"previous_screening_sequence","previous_covidence_number","next_screening_sequence","next_covidence_number","gap_size","previous_vote_registered","queue_count_changed","next_citation_distinct","visible_citation_bypassed","notes"
"328","986","329","988","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"352","1011","353","1013","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"353","1013","354","1015","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"363","1024","364","1026","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"365","1027","366","1029","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"373","1036","374","1038","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"378","1042","379","1044","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"380","1045","381","1047","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"384","1050","385","1053","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"386","1054","387","1057","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"389","1059","390","1061","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"394","1065","395","1067","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"397","1069","398","1071","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"399","1072","400","1075","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"401","1076","402","1079","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"404","1081","405","1083","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"407","1085","408","1095","9","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"413","1100","414","1102","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"414","1102","415","1105","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"417","1107","418","1110","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"418","1110","419","1113","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"423","1117","424","1119","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"436","1131","437","1136","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"439","1138","440","1140","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"441","1141","442","1144","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"443","1145","444","1154","8","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"447","1157","448","1159","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"451","1162","452","1166","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"453","1167","454","1169","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"458","1173","459","1175","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"459","1175","460","1177","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"466","1183","467","1185","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"468","1186","469","1192","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"469","1192","470","1194","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"470","1194","471","1196","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"488","1213","489","1215","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"497","1223","498","1228","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"504","1234","505","1238","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"505","1238","506","1240","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"511","1245","512","1247","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"516","1251","517","1256","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"517","1256","518","1259","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"521","1262","522","1264","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"541","1283","542","1288","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"543","1289","544","1293","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"544","1293","545","1295","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"546","1296","547","1298","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"548","1299","549","1301","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"549","1301","550","1307","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"550","1307","551","1314","6","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"551","1314","552","1319","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"556","1323","557","1325","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"557","1325","558","1329","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"560","1331","561","1334","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"562","1335","563","1339","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"563","1339","564","1341","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"566","1343","567","1345","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"572","1350","573","1352","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"575","1354","576","1363","8","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"576","1363","577","1371","7","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"577","1371","578","1382","10","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"578","1382","579","1387","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"579","1387","580","1389","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"580","1389","581","1398","8","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"581","1398","582","1408","9","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"582","1408","583","1411","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"583","1411","584","1435","23","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"584","1435","585","1448","12","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"585","1448","586","1451","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"587","1452","588","1456","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"590","1458","591","1460","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"592","1461","593","1464","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"596","1467","597","1470","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"598","1471","599","1474","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"599","1474","600","1478","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"600","1478","601","1480","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"602","1481","603","1483","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"607","1487","608","1490","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"608","1490","609","1495","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"611","1497","612","1499","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"613","1500","614","1502","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"615","1503","616","1506","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"616","1506","617","1508","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"618","1509","619","1511","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"620","1512","621","1514","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"626","1519","627","1523","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"627","1523","628","1525","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"628","1525","629","1528","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"640","1539","641","1541","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"643","1543","644","1546","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"645","1547","646","1549","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"650","1553","651","1556","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"652","1557","653","1559","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"658","1564","659","1567","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"662","1570","663","1572","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"677","1586","678","1588","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"688","1598","689","1600","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"697","1608","698","1611","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"698","1611","699","1614","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"699","1614","700","1617","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"700","1617","701","1755","137","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"706","1760","707","1762","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"709","1764","710","1767","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"712","1769","713","1771","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"714","1772","715","1774","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"730","1789","731","1791","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"731","1791","732","1793","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"753","1623","754","1625","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"763","1634","764","1636","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"777","1649","778","1651","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"781","1654","782","1656","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"798","1672","799","1674","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"802","1677","803","1679","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"803","1679","804","1690","10","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"804","1690","805","1692","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"805","1692","806","1695","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"807","1696","808","1702","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"808","1702","809","1705","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"811","1707","812","1711","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"812","1711","813","1713","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"817","1717","818","1719","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"818","1719","819","1721","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"823","1725","824","1727","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"827","1730","828","1732","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"831","1735","832","1737","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"842","1747","843","1750","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"844","1751","845","1753","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"846","1754","847","1812","57","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"848","1813","849","1815","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"857","1823","858","1825","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"862","1829","863","1835","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"863","1835","864","1841","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"864","1841","865","1843","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"865","1843","866","1846","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"866","1846","867","1854","7","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"867","1854","868","1859","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"868","1859","869","1885","25","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"869","1885","870","1906","20","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"870","1906","871","1916","9","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"871","1916","872","1920","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"872","1920","873","1924","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"873","1924","874","1930","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"874","1930","875","1932","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"875","1932","876","1952","19","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"876","1952","877","1965","12","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"877","1965","878","1970","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"879","1971","880","1983","11","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"880","1983","881","1996","12","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"881","1996","882","2004","7","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"882","2004","883","2010","5","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"883","2010","884","2035","24","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"884","2035","885","2037","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"885","2037","886","2044","6","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"887","2045","888","2047","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"888","2047","889","2049","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"889","2049","890","2059","9","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"890","2059","891","2063","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"891","2063","892","2068","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"893","2069","894","2073","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"896","2075","897","2077","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"897","2077","898","2079","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"899","2080","900","2085","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"900","2085","901","2226","140","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"910","2235","911","2237","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"913","2239","914","2241","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"914","2241","915","2243","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"915","2243","916","2245","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"927","2256","928","2258","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"928","2258","929","2260","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"930","2261","931","2263","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"936","2087","937","2090","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"937","2090","938","2093","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"938","2093","939","2095","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"940","2096","941","2098","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"955","2112","956","2114","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"961","2119","962","2122","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"967","2127","968","2134","6","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"973","2139","974","2141","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"978","2145","979","2148","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"981","2150","982","2152","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"987","2157","988","2161","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"988","2161","989","2163","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"989","2163","990","2170","6","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"990","2170","991","2174","3","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"995","2178","996","2181","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"997","2182","998","2184","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1007","2193","1008","2195","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1011","2198","1012","2200","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1013","2201","1014","2206","4","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1019","2211","1020","2213","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1026","2219","1027","2221","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1027","2221","1028","2223","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1030","2225","1031","2267","41","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1034","2270","1035","2393","122","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1036","2394","1037","2396","1","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
"1037","2396","1038","2399","2","yes","yes; previous card left active queue","yes","no","Covidence-number gap observed in ascending active queue; no visible citation was bypassed."
