result_id,study,trial_id,comparison_id,intervention,comparator,modality,comparator_class,family,outcome,window,population,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,unit,data_type,source_location,source_quote,source_pdf,source_sha256,source_qc,legacy_eligibility,decision,rationale,models,factor,comparator_class_v34,comparator_adjudication
V33-OD-0012,Chen 1998,Chen_1998,CHEN98_DERM_vs_SHAM,Active dermatomal/peri-incisional TENS,Sham ST36 TENS (0 mA),TEAS,Sham,Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Outcome-specific analyzed population,25.0,25.0,6.8,4.2,10.7,5.0,,,mg hydromorphone,Mean/SD,Table 2 / first-24-h hydromorphone,,TEAS EA Verification/Source PDFs/covidence_969_chen_1998.pdf,92fa5191eb603eec1bd5fec9c4261c08c70fe527617dd9a72956ffeb8a29c232,Four-arm RCT; shared sham control must be handled correctly,INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,,
V33-OD-0013,Chen 1998,Chen_1998,CHEN98_ACU_vs_SHAM,Active ST36 acupoint TENS,Sham ST36 TENS (0 mA),TEAS,Sham,Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Outcome-specific analyzed population,25.0,25.0,6.5,3.5,10.7,5.0,,,mg hydromorphone,Mean/SD,Table 2 / first-24-h hydromorphone,,TEAS EA Verification/Source PDFs/covidence_969_chen_1998.pdf,92fa5191eb603eec1bd5fec9c4261c08c70fe527617dd9a72956ffeb8a29c232,Four-arm RCT; shared sham control must be handled correctly,INCLUDE,SENSITIVITY,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,;opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020;opioid24_TEAS_sham_expanded_suf1;opioid24_TEAS_sham_expanded_suf1_without_Chen2020,1,,
V33-OD-0014,Chen 2020,Chen_2020,CHEN20_TEAS_vs_SHAM,Perioperative TEAS,Sham low/zero-current protocol,TEAS,Sham,Opioid consumption,Cumulative sufentanil,24 h postoperatively,Outcome-specific analyzed population,40.0,40.0,72.43,4.78,100.62,10.2,,,µg sufentanil,Mean/SD,Cumulative sufentanil result,,TEAS EA Verification/Source PDFs/Thoracic Cancer - 2020 - Chen - Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia.pdf,debc925a549725290efc12e4fde6fbbb63880cb0bbd6425faac2e22b1e5c3663,Sham was 4 mA pre/postoperatively but 0 mA intraoperatively; preserve this nuance,INCLUDE,SENSITIVITY,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,;opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf1,1,,
V33-OD-0015,Chen 2020,Chen_2020,CHEN20_TEAS_vs_SHAM_VAS,Perioperative TEAS,Sham low/zero-current protocol,TEAS,Sham,Pain,VAS pain intensity,24 h postoperatively,Outcome-specific analyzed population,40.0,40.0,2.91,0.2,5.97,0.56,,,VAS 0-10,Mean/SD,24-h VAS result,,TEAS EA Verification/Source PDFs/Thoracic Cancer - 2020 - Chen - Efficacy of transcutaneous electrical acupoint stimulation combined with general anesthesia.pdf,debc925a549725290efc12e4fde6fbbb63880cb0bbd6425faac2e22b1e5c3663,Patient blinding adequacy depends on sensory contrast of sham protocol,INCLUDE,SENSITIVITY,Rest/movement not established. Never use this mixed-setting body to assert registered pain co-outcome criterion.,;pain24_unclassified_TEAS_sham,1,,
V33-OD-0016,Coura 2011,Coura_2011,COURA11_EA_vs_SHAM,Preoperative EA,Sham stimulation,EA,Sham,Opioid consumption,Cumulative fentanyl,First 24 h postoperatively,Outcome-specific analyzed population,13.0,9.0,13.1,2.2,16.3,1.6,,,µg/kg fentanyl,Mean/SD,Published cumulative first-24-h fentanyl result,,TEAS EA Verification/Source PDFs/covidence_819_full_article.pdf,4e6e6512dd139c7b914b56c3b22b6c05eb6c884675c03db02a924eec5a6f7be6,10/32 post-randomization exclusions; supplemental morphine/fentanyl inclusion unclear,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,;opioid24_EA_sham_fentanyl_per_kg,1,,
V33-OD-0017,Ao 2021,Ao_2021,AO21_TEAS_vs_SHAM_VAS,TEAS,Sham/no current,TEAS,Sham,Pain,VAS pain intensity,24 h postoperatively,Outcome-specific analyzed population,32.0,33.0,2.51,0.49,2.95,0.53,,,VAS 0-10,Graph-digitized mean/SD,Figure-only 24-h VAS,,TEAS EA Verification/Source PDFs/download.pdf,023be0cdbc3241bf59fa7725d3149866a3e4066f696415c969ee99adfce8cfda,"Exact values are graph-digitized, not numerically tabulated by authors",CONDITIONAL,HOLD,"No directly tabulated mean/SD or event/denominator for current quantitative body; preserve original statistic, no automatic median or graph conversion.",,1,,
V33-OD-0018,Ao 2021,Ao_2021,AO21_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,TEAS,Sham,Opioid consumption,Cumulative postoperative sufentanil,Exact 0-24 h,Outcome-specific analyzed population,32.0,33.0,,,,,,,µg sufentanil,Not reported,Article reports 48-h PCA framework only,,TEAS EA Verification/Source PDFs/download.pdf,023be0cdbc3241bf59fa7725d3149866a3e4066f696415c969ee99adfce8cfda,PCA followed for 48 h; no extractable cumulative 0-24-h total,NOT REPORTED,HOLD,"No directly tabulated mean/SD or event/denominator for current quantitative body; preserve original statistic, no automatic median or graph conversion.",,1,,
V33-OD-0019,Zhu 2022,Zhu_2022,ZHU22_PRE_vs_USUAL_PON,EA day before surgery,Usual care alone,EA,Usual care,PONV,Postoperative nausea,6-24 h postoperatively,Outcome-specific analyzed population,101.0,101.0,,,,,11.0,27.0,participants with nausea,Events/total,Table 2,,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,Four-arm RCT; no sham; analysis denominators differ from randomized denominators,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,;nausea6to24_EA_usual,1,,
V33-OD-0020,Zhu 2022,Zhu_2022,ZHU22_PRE_vs_USUAL_POV,EA day before surgery,Usual care alone,EA,Usual care,PONV,Postoperative vomiting,6-24 h postoperatively,Outcome-specific analyzed population,101.0,101.0,,,,,5.0,22.0,participants with vomiting,Events/total,Table 2,,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,Four-arm RCT; no sham; use exact arm-specific analyzed denominators,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,;vomiting6to24_EA_usual,1,,
V33-OD-0021,Zhu 2022,Zhu_2022,ZHU22_30_vs_USUAL_PON,EA 30 min before surgery,Usual care alone,EA,Usual care,PONV,Postoperative nausea,6-24 h postoperatively,Outcome-specific analyzed population,98.0,101.0,,,,,18.0,27.0,participants with nausea,Events/total,Table 2,,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,Four-arm RCT; no sham; analysis denominators differ from randomized denominators,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,;nausea6to24_EA_usual,1,,
V33-OD-0022,Zhu 2022,Zhu_2022,ZHU22_30_vs_USUAL_POV,EA 30 min before surgery,Usual care alone,EA,Usual care,PONV,Postoperative vomiting,6-24 h postoperatively,Outcome-specific analyzed population,98.0,101.0,,,,,8.0,22.0,participants with vomiting,Events/total,Table 2,,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,Four-arm RCT; no sham; use exact arm-specific analyzed denominators,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,;vomiting6to24_EA_usual,1,,
V33-OD-0023,Zhu 2022,Zhu_2022,ZHU22_COMB_vs_USUAL_PON,EA day before + 30 min before,Usual care alone,EA,Usual care,PONV,Postoperative nausea,6-24 h postoperatively,Outcome-specific analyzed population,100.0,101.0,,,,,11.0,27.0,participants with nausea,Events/total,Table 2,,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,Four-arm RCT; no sham; analysis denominators differ from randomized denominators,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,;nausea6to24_EA_usual,1,,
V33-OD-0024,Zhu 2022,Zhu_2022,ZHU22_COMB_vs_USUAL_POV,EA day before + 30 min before,Usual care alone,EA,Usual care,PONV,Postoperative vomiting,6-24 h postoperatively,Outcome-specific analyzed population,100.0,101.0,,,,,9.0,22.0,participants with vomiting,Events/total,Table 2,,TEAS EA Verification/Source PDFs/covidence_381_full_article.pdf,81b253dfbb68322da8383e775b391e0eb829702de456e01224fa82bf6b56bde0,Four-arm RCT; no sham; use exact arm-specific analyzed denominators,INCLUDE,INCLUDE,Source construct/window/contrast reviewed; direct data admitted.,;vomiting6to24_EA_usual,1,,
V33-OD-0025,Zhou 2025,Zhou_2025,ZHOU25_TEAS_vs_SHAM_QOR15,PACU TEAS,Sham/no current,TEAS,Sham,Quality of recovery,Global QoR-15,POD1,Outcome-specific analyzed population,48.0,49.0,112.0,10.67,107.62,10.27,,,QoR-15 points,Mean/SD,"Table 2, p7",,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,3 post-randomization withdrawals; sensory blinding uncertain because active 10-15 mA/De Qi vs no current,INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,,
V33-OD-0026,Zhou 2025,Zhou_2025,ZHOU25_TEAS_vs_SHAM_PAINREST,PACU TEAS,Sham/no current,TEAS,Sham,Pain,Resting pain VAS,POD1,Outcome-specific analyzed population,48.0,49.0,,,,,,,VAS 0-10,Median/IQR,"Table 3, p8",,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,Do not convert median/IQR to mean/SD without prespecified method,NARRATIVE ONLY,HOLD,"No directly tabulated mean/SD or event/denominator for current quantitative body; preserve original statistic, no automatic median or graph conversion.",,1,,
V33-OD-0027,Zhou 2025,Zhou_2025,ZHOU25_TEAS_vs_SHAM_PONV,PACU TEAS,Sham/no current,TEAS,Sham,PONV,PONV incidence,POD1,Outcome-specific analyzed population,48.0,49.0,,,,,10.0,19.0,participants,Events/total,"Table 4, p8",,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,Participant sensory blinding uncertain,INCLUDE,INCLUDE,Includes Song non-acupoint active-current sham as permitted by broader registered sham definition; diagnostic against conservative main taxonomy.,;ponv24_TEAS_sham;ponv24_TEAS_sham_point_window_sensitivity;ponv24_TEAS_broad_sham_sensitivity,1,,
V33-OD-0028,Zhou 2025,Zhou_2025,ZHOU25_TEAS_vs_SHAM_FLATUS,PACU TEAS,Sham/no current,TEAS,Sham,GI recovery,Time to first flatus,Postoperative,Outcome-specific analyzed population,48.0,49.0,14.1,3.19,15.88,3.78,,,hours,Mean/SD,Postoperative recovery-time table,,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,Ascertainment mechanism should be considered in RoB because participant sensory blinding may be imperfect,INCLUDE,INCLUDE,Leave-out diagnostic: Zheng2025 printed SD/P internal inconsistency unresolved; not a replacement body.,;flatus_TEAS_sham;flatus_TEAS_sham_SMD_sensitivity;flatus_TEAS_sham_without_Zheng2025,1,,
V33-OD-0029,Zhou 2025,Zhou_2025,ZHOU25_TEAS_vs_SHAM_RESCUE,PACU TEAS,Sham/no current,TEAS,Sham,Rescue analgesia,Any rescue analgesia,POD1-POD3,Outcome-specific analyzed population,48.0,49.0,,,,,6.0,13.0,participants,Events/total,"Table 3, p8",,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,Not a 24-h opioid dose; exact cumulative tramadol dose is not reported,INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,,
V33-OD-0030,Zhou 2025,Zhou_2025,ZHOU25_TEAS_vs_SHAM_OPIOID24,PACU TEAS,Sham/no current,TEAS,Sham,Opioid consumption,Exact cumulative postoperative opioid dose,0-24 h,Outcome-specific analyzed population,48.0,49.0,,,,,,,mg/µg,Not reported,Not numerically reported,,TEAS EA Verification/Source PDFs/105119.pdf,d9bf76bd7e244dd4513f686ee9be168122d8db4ced699a7f881f93237b3cb52b,Standard perioperative sufentanil plus PRN tramadol; exact 0-24-h cumulative dose not reported,NOT REPORTED,HOLD,"No directly tabulated mean/SD or event/denominator for current quantitative body; preserve original statistic, no automatic median or graph conversion.",,1,,
V33-OD-0031,Zhou 2021,Zhou_2021,ZHOU21_TEAS_vs_UC_PAIN,Postoperative TEAS + ERAS,ERAS/usual care,TEAS,Usual care,Pain,Average postoperative pain,POD1-POD5 average,Outcome-specific analyzed population,41.0,40.0,2.55,0.21,3.1,0.42,,,pain score,Mean/SD,"Table 3, p6",,TEAS EA Verification/Source PDFs/getfile.php-5.pdf,187c314f6ed2ab4d736d5f0c790f362884c8fe767db1969c617f0ca9abc2b7a7,Open-label/no sham; subjective outcome,INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,,
V33-OD-0032,Zhou 2021,Zhou_2021,ZHOU21_TEAS_vs_UC_OPIOIDUSE,Postoperative TEAS + ERAS,ERAS/usual care,TEAS,Usual care,Opioid consumption,Any postoperative opioid use,Postoperative window not clearly defined as 0-24 h,Outcome-specific analyzed population,41.0,40.0,,,,,18.0,30.0,participants,Events/total,Table 3,,TEAS EA Verification/Source PDFs/getfile.php-5.pdf,187c314f6ed2ab4d736d5f0c790f362884c8fe767db1969c617f0ca9abc2b7a7,Exact postoperative time window is not clearly stated,INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,,
V33-OD-0033,Zheng 2025,Zheng_2025,ZHENG25_TEAS_vs_SHAM_PONV,Perioperative TEAS,Sham/no current,TEAS,Sham,PONV,Any PONV,Within 24 h postoperatively,Outcome-specific analyzed population,42.0,43.0,,,,,18.0,29.0,participants,Events/total,Primary outcome / 24-h PONV result,,TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,Counts 18/42 and 29/43 are reconstructed from reported 42.9% and 67.4%; use percentages as source truth,INCLUDE,INCLUDE,Includes Song non-acupoint active-current sham as permitted by broader registered sham definition; diagnostic against conservative main taxonomy.,;ponv24_TEAS_sham;ponv24_TEAS_sham_point_window_sensitivity;ponv24_TEAS_broad_sham_sensitivity,1,,
V33-OD-0034,Zheng 2025,Zheng_2025,ZHENG25_TEAS_vs_SHAM_REMI,Perioperative TEAS,Sham/no current,TEAS,Sham,Intraoperative opioid,Total intraoperative remifentanil consumption,Intraoperative,Outcome-specific analyzed population,42.0,43.0,233.1,29.6,289.5,37.9,,,µg remifentanil,Mean/SD,"Table 3, p9",,TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,Not a postoperative endpoint,INCLUDE,INCLUDE,v36: Pan2023 and Liang2021 no-stimulation controls moved to usual-care body.,;intraop_remifentanil_TEAS_sham,1,,
V33-OD-0035,Zheng 2025,Zheng_2025,ZHENG25_TEAS_vs_SHAM_PCA_PRESS,Perioperative TEAS,Sham/no current,TEAS,Sham,Opioid demand,Total PCIA button presses,Postoperative; exact pump duration NR,Outcome-specific analyzed population,42.0,43.0,6.3,2.2,10.7,3.9,,,presses,Mean/SD,Postoperative PCIA results,,TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,"PCIA final volume/concentration is NR, so presses cannot be converted to sufentanil mass",INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,,
V33-OD-0036,Zheng 2025,Zheng_2025,ZHENG25_TEAS_vs_SHAM_OPIOID24,Perioperative TEAS,Sham/no current,TEAS,Sham,Opioid consumption,Exact cumulative postoperative sufentanil mass,0-24 h,Outcome-specific analyzed population,42.0,43.0,,,,,,,µg sufentanil,Not reported,PCIA formulation section / missing outcome,,TEAS EA Verification/Source PDFs/109499.pdf,a99722242c4b1800916d66613b5a0ed223a91f853e14ecce929740eb91dc466b,Final PCIA volume/concentration and exact cumulative sufentanil mass are not reported,NOT REPORTED,HOLD,"No directly tabulated mean/SD or event/denominator for current quantitative body; preserve original statistic, no automatic median or graph conversion.",,1,,
V33-OD-0037,Zhan 2020,Zhan_2020,ZHAN20_TAPTEAS_vs_TAP_PAIN24,TAP block + postoperative TEAS,TAP block,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,Pain,VAS pain intensity,24 h postoperatively,Outcome-specific analyzed population,30.0,30.0,,,,,,,VAS,Source-format ambiguous,"Table 2, p4",,TEAS EA Verification/Source PDFs/covidence_1389_full_article.pdf,29bd9ef73831d7db7c4c06fd0b685eff6a1ff9d942165f2b2b265f8021c8be76,"Printed source values are TAP+TEAS '2 (1.7 ± 2.2)' vs TAP '2 (2.0 ± 3.0)'; format is not defined as mean/SD, median/IQR, or range",HOLD,HOLD,"Source ambiguity or unavailable required statistic: Unresolved source statistic, denominator or timepoint.",,1,,
V33-OD-0038,Zhan 2020,Zhan_2020,ZHAN20_TAPTEAS_vs_TAP_OPIOID24,TAP block + postoperative TEAS,TAP block,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,Opioid consumption,Actual cumulative postoperative sufentanil consumption,0-24 h,Outcome-specific analyzed population,30.0,30.0,,,,,,,µg sufentanil,Not reported,PCIA protocol / exact 24-h opioid section,,TEAS EA Verification/Source PDFs/covidence_1389_full_article.pdf,29bd9ef73831d7db7c4c06fd0b685eff6a1ff9d942165f2b2b265f8021c8be76,Only programmed PCIA reservoir/basal settings are reported; actual group-specific delivered opioid is NR,NOT REPORTED,HOLD,"No directly tabulated mean/SD or event/denominator for current quantitative body; preserve original statistic, no automatic median or graph conversion.",,1,,
V33-OD-0039,Zhang 2025,Zhang_2025,ZHANG25_TEAS_vs_SHAM_SUFPOD1,Perioperative TEAS,Sub-sensory sham,TEAS,Sham,Opioid consumption,Total sufentanil consumption,POD1; approximately 24 h but exact clock window not explicit,Outcome-specific analyzed population,45.0,48.0,50.53,4.46,53.79,5.14,,,µg sufentanil,Mean/SD,"Table 4, p9",,TEAS EA Verification/Source PDFs/109551.pdf,691899a10069da68a1525a13662118fca1d4f9ed245d4304b120c426d27bb053,"Endpoint is directly reported as POD1, not explicitly clock-defined 0-24 h; 15/108 excluded after randomization",INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,,
V33-OD-0040,Zhang 2025,Zhang_2025,ZHANG25_TEAS_vs_SHAM_RESCUE,Perioperative TEAS,Sub-sensory sham,TEAS,Sham,Rescue analgesia,Any rescue analgesia demand,POD1 / postoperative period reported in Table 4,Outcome-specific analyzed population,45.0,48.0,,,,,14.0,29.0,participants,Events/total,"Table 4, p9",,TEAS EA Verification/Source PDFs/109551.pdf,691899a10069da68a1525a13662118fca1d4f9ed245d4304b120c426d27bb053,Published RR 0.70 (0.44-1.10) conflicts with raw counts (~0.52) and significant P-value; use raw event counts,INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,,
V33-OD-0041,Zhang 2025,Zhang_2025,ZHANG25_TEAS_vs_SHAM_VISCERAL_POD1,Perioperative TEAS,Sub-sensory sham,TEAS,Sham,Pain,Moderate-to-severe visceral pain,POD1,Outcome-specific analyzed population,45.0,48.0,,,,,4.0,18.0,participants,Events/total,"Figure 3D, p8",,TEAS EA Verification/Source PDFs/109551.pdf,691899a10069da68a1525a13662118fca1d4f9ed245d4304b120c426d27bb053,Figure 3D reports 8.9% vs 37.5%; 4/45 and 18/48 are exact denominator reconstructions,INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,,
