study,trial_family,modality,qor,satisfaction,other_prom,intervention_harms,persistent_opioid_beyond_30d,qor_discovery_hits,satisfaction_discovery_hits,quality_of_life_discovery_hits,harms_discovery_hits,long_term_opioid_discovery_hits,source_pdf,source_text,source_text_sha256
Gao 2022,Gao_2022,TEAS,QoR-40 domains,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Explicit zero intervention-related events,No eligible result located; NOT zero users,9,1,0,13,0,TEAS EA Verification/Source PDFs/pdf-2.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Gao_2022.txt,2cd9b214d9b6941dab96535e9ef5efc9e76bbb9fdd87780b8bc172bc60c0b5ae
Grech 2016,Grech_2016,EA,QoR-9 (0–18),NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,5,0,0,6,0,retrieved_pdfs/030_grech_2016_lund.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Grech_2016.txt,dafecd9548fc5e20be738f15f959db42a79d3afed12ed09be3d123a697ef33f8
Gu 2019,Gu_2019,TEAS,NOT LOCATED in available report text,Four ordered categories,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,7,0,10,0,TEAS EA Verification/Source PDFs/covidence_1471_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Gu_2019.txt,79b7b4ee6ceb49dc416d01e51925dde4e18cdabf892323ac1a6ce297604f7773
Guo 2023,Guo_2023,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,EORTC-QLQ-C30,Nonzero intervention-related events,No eligible result located; NOT zero users,0,1,21,22,0,retrieved_pdfs/006_guo_2023.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Guo_2023.txt,d5aae1d9d83f5b3168a1bb4a8f079e1dd4ea10a158c18fa429935ae7f5d8c45c
He 2026 (breast/WJCO),He_2026_breast_WJCO,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,1,3,14,0,TEAS EA Verification/Source PDFs/covidence_41_verified.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/He_2026_breast_WJCO.txt,7cd93ac083c6fcde7ec2cdcda0050af3c08c86a5f51aa326b045425ddf33b1a6
He 2026 (hepatectomy/JIS),He_2026_hepatectomy_JIS,TEAS,QoR-15,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,"All-cause serious outcome, attribution unreported",No eligible result located; NOT zero users,7,0,0,4,0,TEAS EA Verification/Source PDFs/covidence_25_verified.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/He_2026_hepatectomy_JIS.txt,6c3919eefe5fdf3383eebd9d2a94a898af9c7eb91bbfaeb40d4ef86fd2a8d03b
Hou 2023,Hou_2023,TEAS,QoR-15,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,14,3,3,10,0,retrieved_pdfs/007_hou_2023.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Hou_2023.txt,bbe80fd736c7d0e2bd0002b2dd8f8bbb61efdef209046e6fd05b82ae52b8f97f
Huang 2017,Huang_2017,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,SF-12 PCS/MCS,Limited selected side-effect report,No eligible result located; NOT zero users,0,0,12,17,0,TEAS EA Verification/Source PDFs/covidence_666_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Huang_2017.txt,f2eeca2c55a0f24afc440c3019d8586af52fd37a344883df7a2f568f0c7dc875
Huang 2024,Huang_2024,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,VAS acceptance and discomfort (0–100),Nonzero intervention-related events,No eligible result located; NOT zero users,0,2,0,13,0,TEAS EA Verification/Source PDFs/covidence_245_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Huang_2024.txt,16b7fdc84f1ceb6ccdf5ed4b96fdedb4d249cfd80431ee2ff7a4cd0073ed92ba
Huang 2025,Huang_2025,EA,QoR-40,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Explicit zero serious/procedure-related events,No eligible result located; NOT zero users,10,0,0,12,0,TEAS EA Verification/Source PDFs/covidence_131_verified.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Huang_2025.txt,c1fffd818287692202f9839d56ab456e9bd9e453582e516ebd38dbbb37103ba4
Jiang 2026,Jiang_2026,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Nonzero local adverse events,No eligible result located; NOT zero users,0,0,0,17,0,TEAS EA Verification/Source PDFs/study_4_Jiang_2026.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Jiang_2026.txt,fb6c67562b1f392b877cb1cb2ce50e7c0452442dec14a0e72916fabe4aee2549
Jin 2023,Jin_2023,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Nonzero events; existing eligibility hold,No eligible result located; NOT zero users,0,0,0,16,0,retrieved_pdfs/009_jin_2023.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Jin_2023.txt,b868e3f9664afd9c05b82e1c0eae1d247df956f7c35054f4d53a58a9f5684138
Lee 2011,Lee_2011,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,0,0,1,0,retrieved_pdfs/049_lee_2011.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lee_2011.txt,a9a232ed618b6589c69f8f6468dc1f1997e5c494029c4bbdd0bc71a4518c2d93
Li 2021,Li_2021,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,0,0,6,0,TEAS EA Verification/Source PDFs/covidence_437_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Li_2021.txt,318b609f5f9ccea144c404596bc200bcf9a1d516e8e74cdaf9695ab68c475823
Li 2022,Li_2022,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,0,0,5,0,TEAS EA Verification/Source PDFs/getfile.php.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Li_2022.txt,98aecd1b18ce3c5d5dae72e48c8c072afdb6eca88632a30f13700f1709968c58
Liang 2021,Liang_2021,TEAS,QoR-40,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,16,0,0,23,0,retrieved_pdfs/014_liang_2021.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liang_2021.txt,774810820c5e5ba80f1259fa1349bd6065859536d95dd2e001d02e8b80c21ef8
Lin 2002,Lin_2002,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,0,0,14,0,TEAS EA Verification/Source PDFs/covidence_951_lin_2002.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lin_2002.txt,aef03b3474e6c6da35cd527bee98c30f7443f907df2b865546d7d7011b61a226
Liu 2015,Liu_2015,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,2,0,0,27,0,TEAS EA Verification/Source PDFs/covidence_681_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2015.txt,9f01f68de87353f96afb10aa8d16cc417e823e0a8190d6b3629718f877c2fbee
Liu 2021,Liu_2021,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,1,0,1,0,TEAS EA Verification/Source PDFs/getfile.php-2.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2021.txt,971e4e7d414ecec376422cbabba91c313c55808319c5422c8508899a1b7b8ef8
Liu 2025,Liu_2025,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Explicit zero local events,No eligible result located; NOT zero users,0,0,0,8,0,TEAS EA Verification/Source PDFs/pdf.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2025.txt,5a801b60d1d84a61c912fb31090b264f4ee299d51aa920c16e0a7605c68f8460
Liu 2026 (ESD),Liu_2026_ESD,TEAS,NOT LOCATED in available report text,0–100 verbal score,NOT LOCATED for QoL/acceptability scope,Postoperative bleeding withdrawals; attribution unreported,No eligible result located; NOT zero users,0,11,1,10,0,TEAS EA Verification/Source PDFs/covidence_69_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2026_ESD.txt,61f76a56d37729977f5f38c5a72becdb297a8cc2f8e61aaec57d349a599f4c96
Liu 2026 (burn),Liu_2026_burn,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Nonzero intervention-related withdrawals,No eligible result located; NOT zero users,0,0,1,19,3,TEAS EA Verification/Source PDFs/covidence_48_verified.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2026_burn.txt,d910a5302242f7906ec5f806ce0a4b0a1823a45914f2db1d8cf87f05a3ee7921
Long 2025,Long_2025,UNCLEAR,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,1,1,16,0,TEAS EA Verification/Source PDFs/1-s2.0-S0020138325005200.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Long_2025.txt,072fad719a33d660ddb211b969b62964bd583c85fc20377f02534806b6b7e1bd
Lu 2021,Lu_2021,TEAS,NOT LOCATED in available report text,Analgesia satisfaction score,NOT LOCATED for QoL/acceptability scope,Nonzero intervention-related event,No eligible result located; NOT zero users,1,2,1,5,0,TEAS EA Verification/Source PDFs/covidence_414_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lu_2021.txt,f6cd5adfe410b378cfda06841e100b5c7e740d3cd3fc24a0a83a0231cf7265a9
Lu 2022,Lu_2022,TEAS,QoR-15,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,6,1,1,7,0,TEAS EA Verification/Source PDFs/getfile.php-3.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lu_2022.txt,1c6fd26d573b276abaff48364cd0a137e790b7aae8562cf7ac934a35ba0fdd73
Luo 2026,Luo_2026,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Explicit zero local events,No eligible result located; NOT zero users,1,0,0,13,0,TEAS EA Verification/Source PDFs/covidence_35_verified.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Luo_2026.txt,d78b6bebb3aa3642b8b5a9a99c772013234a200c47e79926604564d8250c9a12
Ma 2026,Ma_2026,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Explicit zero local/serious events,No eligible result located; NOT zero users,0,0,0,11,1,TEAS EA Verification/Source PDFs/117210.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ma_2026.txt,34c68d87a053d9542eaeaa0d01487fe85302c97e8f38f0430731a40ad08a1ec3
Ng 2013,Ng_2013,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Explicit zero intervention-related events,No eligible result located; NOT zero users,0,0,0,14,0,TEAS EA Verification/Source PDFs/covidence_1970_ng_2013.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ng_2013.txt,89e82a9b20269584ae144effd81710991e2cff5668d00d7a6bf1de569153115d
Ntritsou 2014,Ntritsou_2014,EA,NOT LOCATED in available report text,6-point Likert verbal rating,NOT LOCATED for QoL/acceptability scope,Narrative zero selected harms,No eligible result located; NOT zero users,0,6,1,17,0,TEAS EA Verification/Source PDFs/covidence_729_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ntritsou_2014.txt,31b132a8f58768d2e537797831ba682e9b0285bd3889cf6c527d206522a8a91f
Oztas 2019,Oztas_2019,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,1,0,0,14,0,TEAS EA Verification/Source PDFs/covidence_505_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Oztas_2019.txt,bccd590f56d88fd0fab111d4e8d471e20dc5f96486bd0453d46475a67da8fdfe
Pan 2023,Pan_2023,TEAS,QoR-40,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,19,1,0,10,0,TEAS EA Verification/Source PDFs/getfile.php-4.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Pan_2023.txt,afaa51e8883649e5a3366e84e0d6a016c8ca737b38ad94552dd5bc944f8a7d91
Seevaunnamtum 2016,Seevaunnamtum_2016,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,0,0,0,1,TEAS EA Verification/Source PDFs/covidence_596_verified.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Seevaunnamtum_2016.txt,a0f8699000445c79ad1d3cf3cfbfb9e7db383ebb196fa7282903312e79856816
Sim 2002,Sim_2002,EA,NOT LOCATED in available report text,Satisfaction/willingness to repeat EA,NOT LOCATED for QoL/acceptability scope,Explicit zero procedure-related complications,No eligible result located; NOT zero users,0,2,0,8,1,TEAS EA Verification/Source PDFs/covidence_952_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Sim_2002.txt,fa50aa41641dfb362037afbb8faf008fc3f60adb525f604a504214d0705b8019
Song 2020,Song_2020,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,1,0,2,13,0,TEAS EA Verification/Source PDFs/getfile.php-6.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Song_2020.txt,eaa45574a75c807e5f7d6a83b4ac998ebccd3095d3848ea12fb9a5fe6fe46971
Sun 2017,Sun_2017,TEAS,NOT LOCATED in available report text,5-point scale; extremely satisfied,NOT LOCATED for QoL/acceptability scope,Explicit zero intervention-related events,No eligible result located; NOT zero users,3,12,1,13,0,TEAS EA Verification/Source PDFs/sun2017-2.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Sun_2017.txt,b9fed9b42dcde9b403fcae7fb65484109cba0fba9d0182d4c14ac6c63c2ec19a
Szmit 2021,Szmit_2021,TEAS,NOT LOCATED in available report text,"Pain satisfactorily treated, interview",NOT LOCATED for QoL/acceptability scope,Nonzero local events,No eligible result located; NOT zero users,1,1,0,23,2,TEAS EA Verification/Source PDFs/pdf-3.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Szmit_2021.txt,c15af01d31dbd49a8bbcb8228709855cbadfa87eacbc7e6759e8cce4debe8ec8
Tu 2024,Tu_2024,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Explicit zero intervention-related events,No eligible result located; NOT zero users,0,2,0,8,0,TEAS EA Verification/Source PDFs/study_244_Tu_2023.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Tu_2024.txt,e80fd7ad75c9780493301454a8dda16b4c7293c60c8c45cf887b112daeaf1f32
Wang 2023,Wang_2023,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,1,0,15,0,TEAS EA Verification/Source PDFs/s40122-023-00493-2.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wang_2023.txt,9eb90859db72d7cb76dbff382a64a43ae760f930966fbd55e171f0847288965a
Wang 2024,Wang_2024,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,0,0,2,0,TEAS EA Verification/Source PDFs/covidence_212_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wang_2024.txt,8b8d8cce75dc019b7d8a4a3c25f2d7bb9a6259ab3d01abf6d8b540ff4a210e42
Wong 2006,Wong_2006,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Explicit zero intervention-related events,No eligible result located; NOT zero users,0,1,0,6,0,TEAS EA Verification/Source PDFs/covidence_912_wong_2006.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wong_2006.txt,1c2072bd2a767e53ddd91d76178603b8b1ecffee130c347f20a5c53ce5d8d77a
Wu 2016,Wu_2016,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,0,0,10,0,TEAS EA Verification/Source PDFs/wu2015.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wu_2016.txt,da581ccd7a2757840ffc68be5ff8c0ff126011fde0b919bcb0ca99a619c993da
Wu 2022,Wu_2022,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,2,3,32,0,TEAS EA Verification/Source PDFs/s12871-022-01875-3.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wu_2022.txt,ca9a93af8f9a1fb817f8eb8cbc9b2f6455efe11804e4f2f06c870a7e007e6519
Wu 2025,Wu_2025,TEAS,QoR-15,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Explicit zero local/serious events,No eligible result located; NOT zero users,13,1,0,15,0,TEAS EA Verification/Source PDFs/103940.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Wu_2025.txt,aebc2703278c084d7aa54d27cd5ed11fb08e4efb39fa2dd5d2055572dd10bb0d
Xie 2014,Xie_2014,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,4,0,4,1,TEAS EA Verification/Source PDFs/covidence_701_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Xie_2014.txt,4ce205f8969c4afd62b2967af417891eea7d4c97c7926b89d6ea6ad38bb8530c
Xing 2022,Xing_2022,TEAS,QoR-15,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,25,0,0,15,1,TEAS EA Verification/Source PDFs/s40122-022-00429-2.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Xing_2022.txt,b7777b307e38b0d85457e7ce3439bbfc8aac27ba8adc43e57eace188c2857533
Xiong 2021,Xiong_2021,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,1,0,0,13,0,TEAS EA Verification/Source PDFs/covidence_431_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Xiong_2021.txt,139037fc6e2b374bccc768ae1e7e9e439bbc3e8511e93ed2ab89b2d2ca4bd370
Yang 2020,Yang_2020,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,"Nonzero intervention-related events, unquantified",No eligible result located; NOT zero users,1,2,0,11,0,TEAS EA Verification/Source PDFs/covidence_464_verified.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yang_2020.txt,d80261b4779f86971f979429aa386bb7b120d2281c4c0854f8618bfcc1744bb3
Yang 2024,Yang_2024,EA,NOT LOCATED in available report text,NOT LOCATED in available report text,Narrative acceptability,Nonzero intervention-related withdrawal,No eligible result located; NOT zero users,0,2,2,4,0,TEAS EA Verification/Source PDFs/covidence_1930_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yang_2024.txt,c26a89b854144c0dee728371de177d707396a154147ce9063a16dc4c0b2176c9
Yao 2015,Yao_2015,TEAS,QoR-40,1–10 numerical scale; threshold ≥8,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,19,9,0,7,0,retrieved_pdfs/039_yao_2015.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yao_2015.txt,8a196fed942d9398e2dae6aa32a56cd978655acfc586f73b184f49271205bf77
Yeh 2010,Yeh_probable_family,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,0,6,0,10,0,TEAS EA Verification/Source PDFs/015_PainATHM-2.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yeh_2010.txt,beb6871162d94613c6ed1d466c03bee7c7738c807c5cb08a03fee978052e9bd0
Yeh 2011,Yeh_probable_family,TEAS,NOT LOCATED in available report text,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,Explicit zero events; overlap hold,No eligible result located; NOT zero users,0,3,0,12,0,TEAS EA Verification/Source PDFs/covidence_828_full_article.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yeh_2011.txt,4cdd78f12f2cef325791f74037135435c1656deecee647547b55d600f76c7a3c
Yu 2020,Yu_2020,TEAS,QoR-40,NOT LOCATED in available report text,NOT LOCATED for QoL/acceptability scope,No explicit intervention-harm result located; NOT a zero,No eligible result located; NOT zero users,26,3,0,5,0,TEAS EA Verification/Source PDFs/s13063-019-3892-4.pdf,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yu_2020.txt,a1018b46eec1d8df75bd7c11d0a7ce0f5ec19a70194a7812a651c55f003871a1
