report,result_id,modality,comparator,reported,window,unit,systemic_capture,decision,models,source_location,rationale,src,E2_disposition,E2_basis
Lin 2002,V33-OD-0007,EA,Sham,Cumulative IV PCA morphine delivered during postoperative test period,Postoperative hour 1 through next 23 h (published as 24-h test-period value),mg morphine,SYSTEMIC EXPOSURE WITH UNQUANTIFIED RESCUE,SENSITIVITY,opioid_partial_EA_sham,Table 2,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table,ADMIT,"DP1: PCA connected at 1 h (boundary of 'within the first hour'), ends 24 h; DP4: IM pethidine 1 mg/kg first-hour rescue unfactored and unquantified"
Ntritsou 2014,V33-OD-0111,EA,Sham,Total tramadol exposure,Perioperative / first 24 h most consistent with protocol; table does not restate window,mg tramadol,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,EXCLUDE,,Table 1 / tramadol sum,Outside defined quantitative estimands; retained in full descriptive extraction.,primary_evidence_table,NOT ADMITTED,A4: tramadol only quantified opioid
Seevaunnamtum 2016,V33-OD-0003,EA,Usual care,Cumulative IV PCA morphine requirement,First 24 h postoperatively,mg morphine,ALL SYSTEMIC OPIOID EXPOSURE supported by source,INCLUDE,opioid24_EA_usual;opioid24_EA_usual_without_ElRakshy;opioid24_EA_usual_expanded,Table 2 / 24-h PCA morphine,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table,ADMIT,All systemic opioid; meets E1
Sim 2002,V33-OD-0107,EA,Sham,Cumulative postoperative IV PCA morphine,0-24 h,mg/kg morphine,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid24_EA_sham_weight_normalized,Figure 4 / cumulative 24-h morphine,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table,NOT ADMITTED,X1: mg/kg; never multiplied by mean weight
Sim 2002,V33-OD-0108,EA,Sham,Cumulative postoperative IV PCA morphine,0-24 h,mg/kg morphine,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,opioid24_EA_sham_weight_normalized,Figure 4 / cumulative 24-h morphine,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table,NOT ADMITTED,X1: mg/kg; never multiplied by mean weight
Szmit 2021,V33-OD-0350,TEAS,Sham,Total IV PCA morphine dose,0–24 h postoperative,mg IV morphine,ALL SYSTEMIC OPIOID EXPOSURE supported by source,INCLUDE,opioid24_TEAS_sham;opioid24_TEAS_sham_expanded_suf0.25;opioid24_TEAS_sham_expanded_suf0.25_without_Chen2020;opioid24_TEAS_sham_expanded_suf0.5;opioid24_TEAS_sham_expanded_suf0.5_without_Chen2020;opioid24_TEAS_sham_expanded_suf1;opioid24_TEAS_sham_expanded_suf1_without_Chen2020,Table 2 / primary outcome,Expanded device/rescue/unit-uncertain body. Published source values unchanged. Not the registered systemic estimand.,primary_evidence_table,ADMIT,All systemic opioid; meets E1
Szmit 2021,V33-OD-0351,TEAS,Usual care,Total IV PCA morphine dose,0–24 h postoperative,mg IV morphine,ALL SYSTEMIC OPIOID EXPOSURE supported by source,INCLUDE,opioid24_TEAS_usual,Table 2 / primary outcome,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table,ADMIT,All systemic opioid; meets E1
Xie 2014,V33-OD-0067,EA,Sham,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,µg sufentanil,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,,Table 2 / total sufentanil,"Source ambiguity or unavailable required statistic: Unresolved source statistic, denominator or timepoint.",primary_evidence_table,HOLD,Source question unresolved; also A2 window unstated ('study PCA period')
Xie 2014,V33-OD-0068,EA,CONTROL_TYPE_REVIEW_REQUIRED,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,µg sufentanil,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,,Table 2 / total sufentanil,"Source ambiguity or unavailable required statistic: Unresolved source statistic, denominator or timepoint.",primary_evidence_table,HOLD,Comparator class unresolved (arm A described as 'control'; sham vs usual care not established); E2 does not resolve source questions; window also unstated (A2)
Yang 2024,V33-OD-0052,EA,Usual care,Morphine use via IV PCA,First 24 h / POD1,mg morphine,SYSTEMIC EXPOSURE WITH UNQUANTIFIED RESCUE,SENSITIVITY,opioid24_EA_usual_expanded,Table 3 / Morphine use on POD1,Source construct/window/contrast reviewed; direct data admitted.,primary_evidence_table,ADMIT,A3: IV PCA morphine 'first 24 h / POD1' with unquantified rescue
Yeh 2011,V33-OD-0245,TEAS,Sham,24-h IV morphine PCA dose,First 24 postoperative hours,mg IV morphine,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,,Table 3 / 24-h opiate dose,Probable overlapping family; conflicting epidural/IV route for opioids. No independent duplicated cohort admitted.,primary_evidence_table,HOLD,Cohort overlap and route unresolved; E2 does not resolve source questions
Yeh 2011,V33-OD-0246,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,24-h IV morphine PCA dose,First 24 postoperative hours,mg IV morphine,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,,Table 3 / 24-h opiate dose,Probable overlapping family; conflicting epidural/IV route for opioids. No independent duplicated cohort admitted.,primary_evidence_table,HOLD,Comparator class unresolved and Yeh 2010/2011 cohort overlap unresolved; E2 does not resolve source questions
