trial_id,report_id,randomized_n,counted_randomized_n,itt_n,mitt_n,pp_n,outcome_n,source_page,source_excerpt,status,notes
Gao_2022,Gao 2022,1655,1655,,,,827 / 828,4,"Results / CONSORT: 1,655 randomized, TEAS827 and sham828; separators in source preserved.",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Grech_2016,Grech 2016,20,20,,,,9 women vs 9 women subgroup,2,"ey Medical School, Rutgers University, Newark, NJ, USA and registered at clinicaltrials.gov (code NCT01937520). This wasa prospective double-blinded study with 20 patients undergoingthyroid and parathyroid surgery randomized in two groups: EA (n Z 11) group or sham (control, n Z 9) group. Participation was voluntary without economical compensation, and each participant signed a written consent. Exclusion criteria include pre-existing diabetes, cardiovascular",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Gu_2019,Gu 2019,120,120,,,,58 vs 59,3,"ﬁcant. All analyses were performed with the Statistical Package for SPSS 24.0 (SPSS Inc., Chicago, IL, USA). 3. Results 3.1. Patients Of 139 screened patients, 120 patients met the inclusion criteria and were randomly allocated to one of the 2 study groups using random number tables. A total of 117 patients completed the trial (Fig. 2). No diﬀerences in the operation duration, TNM stage, operative method or anastomotic mode were observed among the groups. Bas",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Guo_2023,Guo 2023,128,128,,,,55 vs 55,2,"n sequence was generated by Statistical Product and Service Solutions (SPSS 25.0) software, and the allocation code was performed by an independent technician, 128 patients were enrolled and randomly assigned to the TEAS group and the sham- F. Guo et al. ",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
He_2026_breast_WJCO,He 2026 (breast/WJCO),130,130,,,,65 vs 65,4," we collected and recorded all possible demographic and characteristic data as a baseline to describe the homogeneity of both groups of breast cancer patients. 130 patients were included in the statistics. No significant differences in baseline characteristics were found between the two groups (P > 0.05; Table 1). Primary outcome EA reduced the incidence of moderate to severe pain during exercise 24 hours after surgery. Specifically, 32 of 65 (49.2%) in the E",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
He_2026_hepatectomy_JIS,He 2026 (hepatectomy/JIS),161,161,,159,153,80 vs 79,2,"mary outcome was the incidence of PONV within 24 h postoperatively. Key secondary outcomes included the severity of PONV and pain after surgery. Results: Among 161 randomized patients, 159 completed the study. No significant difference was observed in the incidence of PONV within 24 h postoperatively between the TEAS and control groups (23.8% vs. 26.6%; OR, 95% CI: 0.86, 0.42–1.76). However, the TEAS group exhibited less patient controlled analgesia (PCA) att",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Hou_2023,Hou 2023,74,74,,,,36 vs 36,4,"vels). P values < 0.05 were considered statistically significant. All analyses were performed using IBM®SPSS 25.0 (Armonk, New York USA). 3. Results A total of 74 LKDs were recruited but two LKDs withdrew from the study for personal reasons (Fig. 1). Therefore, only 72 LKDs completed the study and were included in the final data analyses. There were no differences in baseline characteristics between the groups (Table 2). There were also no significant differ",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Huang_2017,Huang 2017,80,80,,,,20 vs 20,4,ase with American Society of Anesthesiologists score Recent use of TEAS or acupuncture Neural damage or infection along the meridian on which the acupoints lie 80 patients who met the inclusion criteria Con group n = 20 2/100 Hz n = 20 2 Hz n = 20 100 Hz n = 20 Fig. 1 Flow chart of trial distribution ,SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Huang_2024,Huang 2024,114,114,,,,38 vs 38,1,"or sham EA in terms of relieving postoperative pain and promoting post-TKA rehabilitation. Methods: In this parallel, single-blind randomized controlled trial, 114 patients undergoing unilateral TKA were assigned to the contralateral EA (EA on the contralateral side + sham EA on the ipsilateral), ipsilateral EA (EA on the ipsilateral + sham EA on the contralateral side), or sham EA (sham EA on both sides) groups (n = 38 each). Treatment was performed once dai",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Huang_2025,Huang 2025,101,101,,,,43 vs 45,4,The remaining patients were randomly allocated to the EA arm (n = 51) or the Standard care group (n = 50). Total101 derived by addition.,SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Jiang_2026,Jiang 2026,614,614,,593,587,296 vs 297,3,"eligibility. Of these, 612 were eliminated because of failure to meet the inclusion criteria, refusal to take part in this study, or other reasons. Ultimately, 614 eligible patients were allocated to the TEAS (n = 308) or sham-TEAS (n = 306) group. During this study, 12 and 9 patients in the TEAS and sham-TEAS groups, respectively, withdrew. Thus, 587 patients (TEAS: n = 294; sham-TEAS: n = 293) were included in this study and were thereby enrolled in the fin",SOURCE VERIFIED,614 randomized 308/306; mITT593=296/297; PP587=294/293. Baseline sex/ASA denominators conflict; not repaired.
Jin_2023,Jin 2023,174,174,174,,,53 vs 52,3,"as set at P<.05/ k (k for number of comparisons). Results Patients and baseline characteristics A total of 453 patients were planned scheduled for CD, of which 174 eligible patients were enrolled; 250 patients were excluded for different reasons, and 29 were not randomized. The 174 patients were randomized to receive PCIA + 2-Hz EA (n=58), PCIA + 20/ 100−Hz EA (n=58), or PCIA + sham EA (n=58) treatment (Figure 1). Of note, 16 patients (9.2%) dropped out of th",SOURCE VERIFIED,174 randomized58/58/58;158 completed53/53/52. General anaesthesia not established from supplied main report; HOLD inference pending source verification.
Lee_2011,Lee 2011,49,49,,,,10 vs 12,3,"eceived allocated intervention (n = 12) Group 4 received allocated intervention (n = 12) Randomly assigned to group 1, 2, 3, or 4 Assessed for eligibility (n = 49) Analysed (n = 13) Analysed (n = 12) Analysed (n = 12) Analysed (n = 10) Completed allocated intervention (n = 13) Completed allocated intervention (n = 12) Completed allocated intervention (n = 12) Discontinued intervention (n = 2) due to the inability to carry out the VAS Follow up Enrolment Allo",SOURCE VERIFIED,49 randomized13/12/12/12; two low-frequency participants excluded;47 analyzed. Abstract calls47 randomized; flow/body control.
Li_2021,Li 2021,280,280,,,,140 vs 140,1,"patients with gastric and colorectal surgery for improving postoperative gastrointestinal function. Design, setting, participants and interventions: A total of 280 patients undergoing abdominal surgery were stratiﬁed by type of surgery (i.e., gastric or colorectal surgery) and randomly allocated into the TEAS group (group T) or the sham group (group S). Patients in group T received TEAS at LI4, PC6, ST36 and ST37. Patients in group S received pseudo-TEAS at s",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Li_2022,Li 2022,80,80,,,,39 vs 40,4,"of 80 patients, should be reasonable for our study. Results Patient Features, Surgery, and Anesthesia All 83 eligible subjects were included in the study, with 80 being hospitalized and randomly assigned to one of the two groups. One patient dropped out of the EA group after declining to undergo the procedure. The records of the remaining 79 patients were analyzed. Figure 2 depicts the study’s flow diagram. Figure 1 Electronic von Frey (EvF) device. https://",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Liang_2021,Liang 2021,75,75,,,,35 vs 35,5,"ta is presented as mean standard deviations. TEAS: transcutaneous electrical acupoint stimulation. Enrollment Assessed for eligibility (n = 80) Randomized (n = 75) Allocation Lost to follow-up (surgical procedure change) (n = 3) Discontinued intervention (n = 0) Lost to follow-up (n = 0) Discontinued intervention (blood sample loss, failure to arterial puncture) (n = 2) Follow-up Analysis Excluded (n = 5) Not meeting inclusion criteria (n = 3) (i) Other reas",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Lin_2002,Lin 2002,100,100,,,,25 per arm,2,", as well as postoperative opioid-related side effects. 2. Methods 2.1. Subjects The study protocol was approved by the Hospital Research Committee. A total of 100 female patients were enrolled. After providing written informed consent, patients of ASA physical status I–II (American Society of Anesthe- siology nomenclature) who were scheduled for abdominal hysterectomy were randomly divided into four groups of 25 each by a computer-generated randomization seq",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Liu_2015,Liu 2015,92,92,,,,44 / 44,1,"ctrical acupuncture stimulation (TEAS) during supratentorial tumour resection for postoperative recovery and side effects. Methods In a blinded clinical trial, 92 patients scheduled for supratentorial craniotomy under general anaesthesia were randomly allocated into either a multipoint TEAS (n=46) or a sham TEAS group (n=46). All patients received total intravenous anaesthesia (TIVA) with propofol and sufentanil. The target concentration of sufentanil was ad",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Liu_2021,Liu 2021,100,100,,,,50 vs 50,4,"ry drugs (n = 1 [0.95%]), aural disorders inability to cooperate (n = 2 [1.9%]), skin damage located on the right ST36 acupoints (n = 1 [0.95%]). The remaining 100 patients were randomly divided into Group T and Group C (Figure 2). Patient Characteristics The patients included into this final cohort were all Han Chinese, the general characteristics of the entire patients included gender [female, 49 (49%)], age (70.24±5.143 years), BMI (24.78±3.04 kg/m2), Amer",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Liu_2025,Liu 2025,80,80,,,,38 vs 39,4,".org 3 Results Between December 2023 and July 2024, 132 patients were screened for eligibility. 52 (39%) were excluded according to the exclusion criteria, and 80 patients were enrolled in this study. In the EA group, one patient had an additional incision during thoracoscopic procedure, and another patient had the ECG leads detached during ECG monitoring. Therefore, these two patients were withdrawn from the study. In the control group, there was also a pat",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Liu_2026_ESD,Liu 2026 (ESD),129,129,,,,58 vs 62,4,"ASA Physical Status Classiﬁ cation grades > Ċ, 125 had took part in earlier research, 2 with cardiac pacemakers, and 5 had opted out of the trial. As a result, 129 patients were enrolled and randomized assigned to the TEAS or the sham group. One patient from the TEAS group and 1 from the sham group were converted to laparotomy due to further pathological infiltration of lesions and were eliminated from the study. Two patients from the TEAS group and 1 from th",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Liu_2026_burn,Liu 2026 (burn),88,88,,,,43 vs 43,5,"Visually verified CONSORT Figure 1: randomized88; allocated44/44; analyzed43/43. Abstract86 is analyzed, not randomized.",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Long_2025,Long 2025,60,60,,,,27 active vs 26 control,3,"as assessed using the X2- test. P < 0.05 was considered statistically significant. Results Clinical characteristics of patients and surgical results A total of 60 patients who met the inclusion and exclusion criteria were initially enrolled. Two patients withdrew consent, one canceled surgery, and four were lost to follow-up. Ultimately, 53 patients were included in the trial. The patients were randomly assigned to Group C (n = 26) and Group A (n = 27) using",SOURCE VERIFIED,Needle OR patch wording prevents physical modality determination. Retain registry; HOLD modality-specific inference.
Lu_2021,Lu 2021,576,576,,,,ITT 190 vs 188,3,"oups (40%), using two degrees of freedom chi-square test with a significance alpha level of 0.05. Considering a dropout rate of 5%, we defined a sample size of 576 participants. We performed all the analyses in an intention-to-treat population, which included all patients who had undergone randomization and in­ terventions. Descriptive statistics were applied to present the charac­ teristics of each group with mean ± standard deviation, median (interquartile)",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Lu_2022,Lu 2022,100,100,,,,47 vs 47,3," P-value of 0.05 was considered as statistically significant with a 95% confidence interval (95% CI). Results From November 2016 through March 2018, a total of 100 patients were enrolled at 3 hospitals. We randomly assigned 50 patients to each group (Figure 1). After randomization, 5 patients were excluded due to procedure converting from laparoscopic to open surgery and 1 patient was excluded due to rejection to TEAS (Figure 1). There was no significant diff",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Luo_2026,Luo 2026,277,277,,,,138 vs 139,3," 286 patients were assessed for eligibility. Of these, nine were excluded (four did not meet the inclusion criteria; five declined participation), resulting in 277 patients who under­ went randomization. Ultimately, all randomized partici­ pants (TEAS group, n = 138; Sham-TEAS group, n = 139) were included in the final analysis (Fig. 1). Baseline ",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Ma_2026,Ma 2026,35,35,,,,17 vs 16,5,"or not meeting inclusion criteria. Sixty-one patients were enrolled: 26 patients with PSQI < 6 were assigned to the non-randomized control group (Group C), and 35 patients with PSQI ≥ 6 were randomly allocated (1:1) to the sleep disturbance group (Group S, n = 17) or the TEAS intervention group (Group T, n = 18). During the follow-up period, one patient in Group S and one patient in Group T were lost to follow-up due to incomplete postoperative data. Consequ",SOURCE VERIFIED,Only35 randomized18/17. Nonrandomized normal-sleep group26 excluded from randomized total.
Ng_2013,Ng 2013,165,165,,,,55 vs 55,3,"tive laparoscopic resection of colonic and upper rectal cancer who were assessed for eligibility; of these, 43 patients were excluded after surgery. A total of 165 patients subse- quently were enrolled and randomized to receive either EA (55 patients), SA (55 patients), or NA (55 patients) (Sup- plementary Figure 1). There was no withdrawal or drop- out, and all recruited patients were available for analysis of primary and secondary outcomes. No adverse event",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Ntritsou_2014,Ntritsou 2014,75,75,,,,35 vs 35,3,"05 were considered statistically significant. IBM SPSS Statistics V.19.0.0 (SPSS, Chicago, Illinois, USA) was used for statistical analyses. RESULTS A total of 75 patients were included in the trial. Three patients from the control group and two patients from the EA group were excluded during the study, so a total of 70 patients completed the study with 35 in each group (figure 1). The study lasted from January to December 2012. The baseline demographic and ",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Oztas_2019,Oztas 2019,48,48,,,,TAES 15 / Control 16,1,Research sample consisted of 48 patients who underwent abdominal surgery with a midline incision; patients randomized into three groups.,SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Pan_2023,Pan 2023,120,120,,,,52 / 53,2,"er: ChiCTR2100045173; Registry URL: YJLCYJ-2020-148). The study was conducted in accordance with the Declaration of Helsinki. Included in the study cohort were 120 women (ASA I and II) aged 18 to 60 years and who received laparoscopic myomectomy at the First Affiliated Hospital, WMU, Zhejiang, China, from May 2021 to December 2021. Patients were assigned to TEAS group (Group T) and control group (Group C) using random number tables. All participants provided ",SOURCE VERIFIED,120 randomized 60/60; outcome analysis52/53. Flow attrition arm labels conflict; trial total retained.
Seevaunnamtum_2016,Seevaunnamtum 2016,64,64,,,,32 / 32,5," Praveena Seevaunnamtum S et al. Randomisation n = 64 Allocated to Receive EA (n = 32) Allocated to Control (n = 32) Followed up at 30 minutes, 2 hours and 4 hours (n = 32) No drop out NRS, incidence of nausea and need of rescue antiemetics measured Followed up at 30 minutes, 2 hours and 4 hours (n = 32) No drop out NRS, incidence of nausea and need o",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Sim_2002,Sim 2002,90,90,,,,30 vs 30,2,"thesia, whereas a value of more than 70 is frequently seen during awakening.3 Methods After obtaining Ethics Committee’s approval and written informed consent, 90 female patients were recruited, American Society of Anaesthesiologists physical status (ASA) I or II, who underwent the above-mentioned elective surgery under balanced general anaesthesia that lasted for more than one hour. Exclusion criteria included: previous history of acupuncture, ASA physical ",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Song_2020,Song 2020,85,85,,,78,ITT TEAS 42 / Control 43 (PP 38 / 40 reported separately),4,"partici­ pate in this study. Among them, 15 patients did not meet the inclusion criteria, and 9 patients refuse to participate (Figure 1). Finally, we included 85 patients in the ITT population and 78 in the PP population (three patients were allergic to TEAS, two patients were transferred to the intensive care unit after surgery, and two patients removal of the drainage tube was delayed). Demographic Characteristics of the Two Groups There were no statistic",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Sun_2017,Sun 2017,380,380,,,,89 vs 90,3," P < 0.05 was considered statistically signiﬁcant. RESULTS During the study period, 435 patients were assessed for eligibility. After exclusion of 55 patients, 380 patients were randomized into 4 groups with 95 patients per group. A total of 19 patients were withdrawn by the end of the trial due to follow-up lost (n= 8), change of surgery (n= 6), prolonged surgery time (n= 2), and intraoperative complications (n= 3), leaving 361 patients for analysis (Fig. 1)",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Szmit_2021,Szmit 2021,71,71,,,,24 / 24,7,"ults 3.1. Participants and Baseline Characteristic The recruitment and follow-up of the trial participants are presented in Figure 1. Of 140 patients screened, 71 patients were randomly assigned to the TEAS, Sham, or control group. The study included 60 men (84.5%) and 11 women (15.5%) aged 23 to 89 years (mean 57.6; standard deviation SD = 14.6 years). The baseline characteristic of the randomized groups is presented in Table 1. All three patient groups wer",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Tu_2024,Tu 2024,120,120,,,,57 vs 58,1,"ation (TEAS) at P6 as an adjunct to antiemetic drugs to prevent PONV after craniotomy. Materials and methods: This randomized placebo-controlled trial enrolled 120 patients scheduled for craniotomy. The enrolled patients were randomly assigned to a TEAS or sham TEAS group. The incidence of PONV, pain score, and postoperative remedial treatment with antiemetics and analgesics at 0–2, 2–6, and 6–24 h after craniotomy were assessed. Results: The patient characte",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Wang_2023,Wang 2023,88,88,,,,40 vs 43,5,"lity to partic- ipate in this study initially. Among them, seven patients did not meet the inclusion criteria, and three declined to participate. The remaining 88 patients were enrolled in the study. Later, three patients from the TEAS group and two from the Fig. 1 Location of Shenmen (HT7), Neiguan (PC6) and Zusanli (ST36) acupoints. a Lateral view, b front view Pain Ther (2023) 12:707–722 711 ",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Wang_2024,Wang 2024,140,140,,,,33 vs 35,3,"n + Dex, OD) or Ondan + Dex + TEAS (ODT) treat- ment subgroups (SNVP-OD group vs. SNVP-ODT group, MNVP-OD group vs. MNVP-ODT group). Prior to study initiation, 140 sequentially numbered envelopes containing the allocations were prepared. A physician independent of the study randomly inserted 70 treatment strategies for each group into the envelope. A random allocation sequence was generated by using computer-generated random numbers. The researchers opened an",SOURCE VERIFIED,"140 randomized across two risk strata, each 35 OD/35 ODT. SNVP/MNVP totals are risk strata, not intervention arms."
Wong_2006,Wong 2006,27,27,,,,13 vs 12,3,"an 0.05 were regarded as statistically signiﬁcant. Results Subjects were recruited from January 2002 to August 2004. A total of 153 patients were screened, and 27 (17.6%) were enrolled. Two patients were subsequently excluded from the study because of postoperative complications unrelated to acupuncture: one patient experienced respi- ratory failure requiring ventilatory support and the other Fig 1. Contrast between the needle used in electro-acupuncture (up",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Wu_2016,Wu 2016,90,90,,,,27 / 27,5," EXPERIMENTAL AND THERAPEUTIC MEDICINE 11: 495-502, 2016 499 Results Demographic and surgical information. Of the 90 patients, nine were excluded: Three due to serious postoperative complications (two in group 2, and one in group 3), and six due to incomplete data collection (three in group 1, one in group 2 and two in group 3). Thus, a total of 81 patients were included in the data analysis. There were no signif",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Wu_2022,Wu 2022,90,90,,,,44 vs 40,2,"ical complications such as the patient falling into a coma. Randomization and blinding The sample size was determined by previous literature. All patients (n = 90) were randomized using a computer- generated number. Numbers 1 to 45 were assigned to the pTEAS group, while numbers 46–90 were assigned to the Control group. All researchers involved in this study were blinded to these groupings. Only the stimulator was aware of the groupings; however, the stimula",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Wu_2025,Wu 2025,100,100,,,,ITT 50 vs 50; 3 unavailable at 24 h,4,"levels. To account for the potential loss to follow-up (estimated at approximately 20%), 50 patients per treatment group were included, resulting in a total of 100 participants. Results Participant Flow Between January 5, 2023, and May 28, 2023, 132 patients admitted to the day ward of the Chest Hospital Affiliated to Shanghai Jiao Tong University School of Medicine for minimally invasive lung cancer surgery were screened. Among them, 32 refused to sign an in",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Xie_2014,Xie 2014,60,60,,,,20 vs 20,1,Sixty patients (ASA III) scheduled for elective radical esophagectomy were randomized into three groups.,SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Xing_2022,Xing 2022,90,90,,,,29 vs 29,1,"Ninety patients undergoing laparoscopic gastric cancer surgery were randomly divided into general anesthesia, TAPB, and TEAS plus TAPB groups.",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Xiong_2021,Xiong 2021,62,62,,,,31 vs 31,5,"ty (n= 67) Excluded (n= 5) Not meeting inclusion criteria (n= 4) Declined to participate (n=1) Control group (n= 31) TEAS group (n= 31) Randomized patients (n= 62) Analysed (n= 31) Analysed (n= 31) Fig. 1 CONSORT flow chart for the selection of patients included in the study. TEAS, transcutaneous electrical acupoint stimulation Table 2 PONV intensity in the first 48 h after surgery and the need for rescue antiemetics. Data are shown as the numbers of patient",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Yang_2020,Yang 2020,59,59,,,,EA 29 / UC 28,4,"EA group. Additionally, the frequency of use of rescue antiemetic medicine was comparable in both groups (P=0.473). Assessed for eligibility (n=60) Enrolled (n=59) Randomized UC group (n=29) EA group (n=30) Completed (n=29) Completed (n=28) Attition (n=1) Unknown causde Attition (n=1) No PVB Refusul of electroacupuncture (n=1) Figure 1. Flow chart of participants through the study period. EA – electroacupuncture; UC – usual care; PVB – paravertebral block. ",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Yang_2024,Yang 2024,180,180,,,,90 vs 90,1," gastrointestinal recovery in patients receiving thoracoscopic lung surgery. Methods: This study was a single-center, prospective, randomized open-label trial. 180 patients who underwent video-assisted thoracoscopic segmentectomy or lobectomy were randomized to EA group (three sessions, 24 h prior to surgery, postoperative 4 h and 24 h) or usual care group (UC group). The primary outcomes were time to first flatus and defecation. Secondary outcomes included i",SOURCE VERIFIED,Randomized trial total; analyzed populations remain outcome-specific.
Yao_2015,Yao 2015,74,74,,,,35 / 36,3,"or eligibility to participate in this study (Figure 2). Of these, 21 patients did not meet the inclusion criteria, 8 declined to participate, and the remaining 74 patients enrolled to the study. Two patients from the TEAS group and one patient from the Control group were later excluded because of protocol breach. A total of 71 patients randomized to treatment allocation completed the study and their data were included in the analysis. Patient demographic cha",SOURCE VERIFIED,74 randomized;71 completed35/36. Automated prior extraction71 was analyzed rather than randomized N.
Yeh_probable_family,Yeh 2010,99,99,,,,33 vs 30 analyzed,6,"Results: Initially, 99 participants met the criteria and were included in the study. Five participants did not complete; remaining94=33/30/31.",SOURCE VERIFIED total; operational lower bound for Yeh,Probable overlap family: use maximum reported randomized cohort (99) as operational lower bound; unique family union unknown. Do not sum 99+90.
Yeh_probable_family,Yeh 2011,90,0,,,,30 vs 30,2,"llow-up loss, 99 overall were thought to be necessary. Fig. 1 shows the ﬂow chart of participants of this study. Initially, 99 patients were eligible, and then 90 who signed the informed consent were included in the study and randomly assigned to one of the three groups: the AES group (n = 30) received AES at the true acupoints; the sham group (n = 30) received AES in the same manner but at sham acupoints; and the control group (n = 30) received no AES inter",SOURCE VERIFIED total; operational lower bound for Yeh,"Companion report in probable overlapping Yeh family, counted once under Yeh 2010. Cohort identity not proven."
