result_id,study,modality,comparator_class,outcome,window,unit,n_i,n_c,mean_i,sd_i,mean_c,sd_c,systemic_capture,decision,model_roles,models,source_location,source_pdf,source_sha256,source_text,literal_source_check,rob2,rob2_assessment,caveat
V33-OD-0016,Coura 2011,EA,Sham,Cumulative fentanyl,First 24 h postoperatively,µg/kg fentanyl,13.0,9.0,13.1,2.2,16.3,1.6,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,SENSITIVITY,opioid24_EA_sham_fentanyl_per_kg,Published cumulative first-24-h fentanyl result,TEAS EA Verification/Source PDFs/covidence_819_full_article.pdf,4e6e6512dd139c7b914b56c3b22b6c05eb6c884675c03db02a924eec5a6f7be6,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Coura_2011.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,High,CORRECTED-V34-057,Source construct/window/contrast reviewed; direct data admitted.
V33-OD-0107,Sim 2002,EA,Sham,Cumulative postoperative IV PCA morphine,0-24 h,mg/kg morphine,30.0,30.0,0.52,0.19,0.68,0.38,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,SENSITIVITY,opioid24_EA_sham_weight_normalized,Figure 4 / cumulative 24-h morphine,TEAS EA Verification/Source PDFs/covidence_952_full_article.pdf,1cf418faabb4104db030b3f0b0196783cd6198d2ff5ed51c539c88ca51e6bd8a,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Sim_2002.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,Some concerns,CORRECTED-V34-025,Source construct/window/contrast reviewed; direct data admitted.
V33-OD-0108,Sim 2002,EA,Sham,Cumulative postoperative IV PCA morphine,0-24 h,mg/kg morphine,30.0,30.0,0.58,0.27,0.68,0.38,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,SENSITIVITY,opioid24_EA_sham_weight_normalized,Figure 4 / cumulative 24-h morphine,TEAS EA Verification/Source PDFs/covidence_952_full_article.pdf,1cf418faabb4104db030b3f0b0196783cd6198d2ff5ed51c539c88ca51e6bd8a,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Sim_2002.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,UNLINKED,,Source construct/window/contrast reviewed; direct data admitted.
V33-OD-0184,Lee 2011,TEAS,Sham,Cumulative IV PCA morphine delivered,First 24 postoperative hours,mg IV morphine,10.0,12.0,29.29,8.89,34.2,6.4,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,SENSITIVITY,opioid_partial_TEAS_sham,Table 8 / total morphine delivered,retrieved_pdfs/049_lee_2011.pdf,7ccfcd9d5a6cb8d3957f2666285774d528469a929b619a9e28a7c2b56ca36fe5,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lee_2011.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,Some concerns,CORRECTED-V34-040,Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.
V33-OD-0185,Lee 2011,TEAS,Sham,Cumulative IV PCA morphine delivered,First 24 postoperative hours,mg IV morphine,12.0,12.0,31.14,8.15,34.2,6.4,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,SENSITIVITY,SENSITIVITY,opioid_partial_TEAS_sham,Table 8 / total morphine delivered,retrieved_pdfs/049_lee_2011.pdf,7ccfcd9d5a6cb8d3957f2666285774d528469a929b619a9e28a7c2b56ca36fe5,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lee_2011.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,Some concerns,AF26-F-postop-dose-002,Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.
V33-OD-0111,Ntritsou 2014,EA,Sham,Total tramadol exposure,Perioperative / first 24 h most consistent with protocol; table does not restate window,mg tramadol,35.0,35.0,443.7,67.4,461.5,63.2,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,EXCLUDE,NOT MODELLED,,Table 1 / tramadol sum,TEAS EA Verification/Source PDFs/covidence_729_full_article.pdf,f75d422117f1c9468f6bfaf215e0c43c38fd842380657e42e1508b6a9aa13242,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Ntritsou_2014.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,High,CORRECTED-V34-026,Outside defined quantitative estimands; retained in full descriptive extraction.
V33-OD-0190,Jin 2023,EA,Sham,Published 'fentanyl consumption' / PCIA solution volume,24 h,mL PCIA solution,53.0,52.0,39.31,15.58,56.54,12.5,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,NOT MODELLED,,Table 3 / 24-h 'fentanyl consumption',retrieved_pdfs/009_jin_2023.pdf,928c915846bbaba438191b56e2ce56d1cbfc88d52a6b213a40270366b05edf50,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Jin_2023.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,UNLINKED,,General anaesthesia unverified from available main report.
V33-OD-0191,Jin 2023,EA,Sham,Published 'fentanyl consumption' / PCIA solution volume,24 h,mL PCIA solution,53.0,52.0,45.72,16.92,56.54,12.5,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,NOT MODELLED,,Table 3 / 24-h 'fentanyl consumption',retrieved_pdfs/009_jin_2023.pdf,928c915846bbaba438191b56e2ce56d1cbfc88d52a6b213a40270366b05edf50,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Jin_2023.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,UNLINKED,,General anaesthesia unverified from available main report.
V33-OD-0067,Xie 2014,EA,Sham,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,µg sufentanil,20.0,20.0,115.0,6.0,133.0,7.0,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,NOT MODELLED,,Table 2 / total sufentanil,TEAS EA Verification/Source PDFs/covidence_701_full_article.pdf,266dbdedc8cd25d5a1062363b7ead083bd8d7f939052db59b24463cdf7f795a3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Xie_2014.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,Some concerns,CORRECTED-V34-018,"Source ambiguity or unavailable required statistic: Unresolved source statistic, denominator or timepoint."
V33-OD-0068,Xie 2014,EA,CONTROL_TYPE_REVIEW_REQUIRED,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,µg sufentanil,20.0,20.0,115.0,6.0,134.0,5.9,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,NOT MODELLED,,Table 2 / total sufentanil,TEAS EA Verification/Source PDFs/covidence_701_full_article.pdf,266dbdedc8cd25d5a1062363b7ead083bd8d7f939052db59b24463cdf7f795a3,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Xie_2014.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,UNLINKED,,"Source ambiguity or unavailable required statistic: Unresolved source statistic, denominator or timepoint."
V33-OD-0245,Yeh 2011,TEAS,Sham,24-h IV morphine PCA dose,First 24 postoperative hours,mg IV morphine,30.0,30.0,19.3,9.7,21.6,13.1,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,NOT MODELLED,,Table 3 / 24-h opiate dose,TEAS EA Verification/Source PDFs/covidence_828_full_article.pdf,f0616419764d81993b6427b4cb4a46af14743f42a5262b8d8a1918d3de66e74a,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yeh_2011.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,Some concerns,CORRECTED-V34-054,Probable overlapping family; conflicting epidural/IV route for opioids. No independent duplicated cohort admitted.
V33-OD-0246,Yeh 2011,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,24-h IV morphine PCA dose,First 24 postoperative hours,mg IV morphine,30.0,30.0,19.3,9.7,28.0,12.1,UNCLEAR / PCA OR NORMALIZED DOSE ONLY,HOLD,NOT MODELLED,,Table 3 / 24-h opiate dose,TEAS EA Verification/Source PDFs/covidence_828_full_article.pdf,f0616419764d81993b6427b4cb4a46af14743f42a5262b8d8a1918d3de66e74a,10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Yeh_2011.txt,ALL ARM MEANS/SDs FOUND IN SOURCE TEXT,UNLINKED,,Probable overlapping family; conflicting epidural/IV route for opioids. No independent duplicated cohort admitted.
