priority,study,outcome,timepoint,outcome_family,rows,data_type,analysed_n_i,analysed_n_c,randomised_n_i,randomised_n_c,intervention,comparator,source_location,source_qc,eligibility,status
1 - inside a fitted model,Huang 2025,Time to first defecation,Postoperative,GI recovery,1,Mean/SD,43,45,51,50,Postoperative EA + ERAS,ERAS/standard care,Co-primary outcome / first defecation,Same post-randomization exclusion and no-sham concerns apply,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Lee 2011,VAS pain intensity,24 h,Pain,1,Mean/SD,10,12,12,12,Low-frequency dense-sparse SSP,Sham SSP,24-h VAS table,Rest vs movement not reported; two low-frequency participants excluded because unable to complete VAS,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Liang 2021,Global QoR-40,24 h (T11),Quality of recovery,1,Mean/SD,35,35,37,38,Preoperative TEAS,Control/no stimulation,Table 4; Results 3.3; Methods 2.7 (T11 definition),"T11 is defined in the source as postoperative 24 hours. Analysis N 35/35 taken from the CONSORT flow diagram (Figure 2), against 37/38 allocated.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Liang 2021,Remifentanil consumption,Intraoperative,Intraoperative opioid,1,Mean/SD,35.0,35.0,37.0,38.0,Preoperative TEAS,Control/no stimulation,"Evidence-Based Complementary and Alternative Medicine 2021, Table 1; Table 1",Table 1 gives no outcome-specific P value and states baseline/intraoperative variables did not significantly differ.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Liang 2021,Sufentanil consumption,Intraoperative,Intraoperative opioid,1,Mean/SD,35.0,35.0,37.0,38.0,Preoperative TEAS,Control/no stimulation,"Evidence-Based Complementary and Alternative Medicine 2021, Table 1; Table 1",Table 1 gives no outcome-specific P value and states baseline/intraoperative variables did not significantly differ.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Lu 2021,Total remifentanil,Intraoperative,Intraoperative opioid,2,Mean/SD,190,188,190,188,Combined PC6+CV17 TEAS,Sham/no current,Table 3 / intraoperative remifentanil,Three-arm trial; sham is a shared comparator,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Lu 2022,Time to first defecation,Postoperative,GI recovery,1,Mean/SD,47,47,50,50,TEAS + ERAS,No-current control + ERAS,First defecation result,Same 6 post-randomization exclusions apply,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Lu 2022,Time to first flatus,Postoperative,GI recovery,1,Mean/SD,47,47,50,50,TEAS + ERAS,No-current control + ERAS,First flatus result,Same 6 post-randomization exclusions apply,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Ng 2013,Time to first bowel motion / defecation,Postoperative,GI recovery,2,Mean/SD,55,55,55,55,Electroacupuncture,Sham acupuncture,Primary outcome / first bowel motion,Allocation used sealed nonopaque envelopes; EA-vs-sham participants and outcome assessors were blinded,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Ntritsou 2014,Remifentanil consumption,Intraoperative,Intraoperative opioid,1,Mean/SD,35,35,37,38,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,Table 1 / remifentanil,No significant intraoperative opioid-sparing effect,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Pan 2023,Intraoperative remifentanil,Intraoperative,Intraoperative opioid,1,Mean/SD,52,53,53,52,TEAS,Control/usual care,"Table 2 (Duration Remifentanil, ug)","Analysis Ns taken from the Table 2 column headers (Group T N=52, Group C N=53) against 105 randomized, i.e. post-randomization exclusions occurred. Existing RoB 2 concern for this trial is retained and NOT downgraded by this addition.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Pan 2023,Total QoR-40 score,24 h after operation,Quality of recovery,1,Mean/SD,52.0,53.0,52.0,53.0,Group T — TEAS,Group C — control,p. 816; Table 10,NOT REPORTED,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Song 2020,Total intraoperative sufentanil consumption,Intraoperative,Intraoperative opioid,1,Mean/SD,42,43,42,43,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Table 1,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Wang 2023,Time to first flatus,Postoperative,GI recovery,1,Mean/SD,40,43,43,45,Nighttime TEAS,Sham/no current,Table 1 / postoperative first flatus,5/88 randomized participants excluded for protocol breaches; no full ITT,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Wang 2024,Total sufentanil,Intraoperative,Intraoperative opioid,2,Mean/SD,33,35,35,35,SNVP: ondansetron+dexamethasone+TEAS,SNVP: ondansetron+dexamethasone,Table 1 / SNVP sufentanil,No intraoperative opioid-sparing effect,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Wu 2022,Cumulative remifentanil,Intraoperative,Intraoperative opioid,1,Mean/SD,44,40,45,45,Perioperative pTEAS,No-current control,Table 2 / cumulative remifentanil,Complete-case analysis with asymmetric attrition,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Xing 2022,Time to first flatus,Postoperative,GI recovery,1,Mean/SD,29,29,30,30,TEAS + active TAPB,Sham TEAS + active TAPB,Postoperative recovery results,Three-arm study; use NTG vs NG for incremental TEAS effect,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Xing 2022,Total remifentanil consumption,Intraoperative,Intraoperative opioid,1,Mean/SD,29,29,30,30,TEAS + active TAPB,Sham TEAS + active TAPB,"Table 3, p10",Direct TEAS contrast is NTG vs NG; do not attribute NTG-vs-G combined package entirely to TEAS,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Yang 2020,Time to first defecation,Postoperative,GI recovery,1,Mean/SD,29,28,30,29,EA + usual care,Usual care,Abstract Results; GI recovery table,Analysis Ns mirror the existing v32 first-flatus row for this trial (29/28 of 30/29 randomized; 57 of 59 completed). Open-label design; existing RoB concern retained.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Yang 2024,Time to first defecation,Postoperative,GI recovery,1,Mean/SD,90,90,90,90,Perioperative EA + usual care,Usual care,Table 2 / primary first-defecation outcome,Open-label participants; outcome assessor blinded,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Yang 2024,Time to first flatus,Postoperative,GI recovery,1,Mean/SD,90,90,90,90,Perioperative EA + usual care,Usual care,Table 2 / primary first-flatus outcome,Open-label participants; outcome assessor blinded,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Zheng 2025,Time to first flatus,Postoperative,GI recovery,1,Mean/SD,42.0,43.0,44.0,44.0,Perioperative TEAS,Sham/no current,Journal of Pain Research 2025;18:6457–6458; Table 3,Table note specifies mean (SD) for these rows.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Zheng 2025,Total intraoperative remifentanil consumption,Intraoperative,Intraoperative opioid,1,Mean/SD,42,43,44,44,Perioperative TEAS,Sham/no current,"Table 3, p9",Not a postoperative endpoint,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Zhou 2025,Time to first flatus,Postoperative,GI recovery,1,Mean/SD,48,49,50,50,PACU TEAS,Sham/no current,Postoperative recovery-time table,Ascertainment mechanism should be considered in RoB because participant sensory blinding may be imperfect,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Zhu 2022,Intraoperative remifentanil,Intraoperative,Intraoperative opioid,3,Mean/SD,101,101,103,104,EA day before surgery,Usual care alone,Table 1 (Intraoperative remifentanil),Table 1 baseline/anaesthesia parameter with a single 4-group omnibus P (0.948).,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
1 - inside a fitted model,Zhu 2022,Intraoperative sufentanil,Intraoperative,Intraoperative opioid,3,Mean/SD,101,101,103,104,EA day before surgery,Usual care alone,Table 1 (Intraoperative sufentanil),"Reported in Table 1 among baseline/anaesthesia parameters, with a single 4-group omnibus P (0.892); no pairwise contrast is reported. Do not enter more than one Zhu 2022 contrast into a pairwise model without splitting the shared control.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,An 2014,Exact cumulative postoperative fentanyl,0-24 h,Opioid consumption,1,Not reported,41,40,45,43,Intraoperative electroacupuncture,No acupuncture control,PCIA results,Published bolus activity is split 0-6 h and 6-48 h; exact 0-24-h fentanyl cannot be reconstructed.,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Ao 2021,Cumulative postoperative sufentanil,Exact 0-24 h,Opioid consumption,1,Not reported,32,33,35,35,TEAS,Sham/no current,Article reports 48-h PCA framework only,PCA followed for 48 h; no extractable cumulative 0-24-h total,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Ao 2021,VAS pain intensity,24 h postoperatively,Pain,1,Graph-digitized mean/SD,32,33,35,35,TEAS,Sham/no current,Figure-only 24-h VAS,"Exact values are graph-digitized, not numerically tabulated by authors",CONDITIONAL,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Chen 2015,Cumulative rescue IV morphine dose derived from fixed 2-mg rescue administrations,0-24 h,Opioid consumption,1,Median/IQR,41,42,42,42,Preoperative TEAS,Electrodes/device with no stimulation,Methods + Table 3,"Source reports rescue-administration count 1 (1-3) vs 3.5 (2-7); each rescue administration was fixed at morphine 2 mg. Linear conversion to mg is exact, but the source itself reports counts rather than dose.",NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Chen 2015 (Hyperalgesia),Cumulative number of rescue sufentanil PCIA boluses,0-24 h,Opioid demand,1,Median/IQR,29,30,30,30,Preoperative TEAS,Electrodes/no-current sham,Table 2 / cumulative rescue analgesia,One TEAS participant excluded for protocol breach. Do not convert using group-average body weight to absolute µg.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Chen 2015 (Hyperalgesia),Derived cumulative sufentanil dose from fixed 0.05 µg/kg bolus,0-24 h,Opioid consumption,1,Median/IQR,29,30,30,30,Preoperative TEAS,Electrodes/no-current sham,PCIA protocol + Table 2,Exact linear conversion from 0.05 µg/kg per bolus × reported bolus count. Do not convert to absolute µg or MME without individual body weights.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Chen 2020,VAS pain intensity,24 h postoperatively,Pain,1,Mean/SD,40,40,40,40,Perioperative TEAS,Sham low/zero-current protocol,24-h VAS result,Patient blinding adequacy depends on sensory contrast of sham protocol,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2021,30-day postoperative complications,0–30 days,Adverse events,1,Source not accessed,,,,,TEAS,Sham,Appendix 2 / Supplementary Table S4,Main paper directs exact values to unaccessed supplement. Not equivalent to NOT REPORTED.,SOURCE NOT ACCESSED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2021,Abdominal pain score,Postoperative 72 h,Pain,1,Mean/SD,303.0,307.0,303.0,307.0,Postoperative TEAS,Sham/no-current TEAS,p. 1623; Table III,Main article states symptom scores/vomiting were assessed at postoperative 72 h.,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2021,Distention score,Postoperative 72 h,GI symptoms,1,Mean/SD,303.0,307.0,303.0,307.0,Postoperative TEAS,Sham/no-current TEAS,p. 1623; Table III,Main article states symptom scores/vomiting were assessed at postoperative 72 h.,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2021,Exact cumulative postoperative opioid consumption,0-24 h,Opioid consumption,1,Not reported,303,307,303,307,Postoperative TEAS,Sham/no-current TEAS,Postoperative analgesia section,"Main article reports only whether postoperative analgesia was used, not drug-specific dose/route/PCA consumption",NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2021,Nausea score,Postoperative 72 h,PONV,1,Mean/SD,303.0,307.0,303.0,307.0,Postoperative TEAS,Sham/no-current TEAS,p. 1623; Table III,Main article states symptom scores/vomiting were assessed at postoperative 72 h.,HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2021,Number of vomiting episodes,Postoperative 72 h,PONV,1,Mean/SD,303.0,307.0,303.0,307.0,Postoperative TEAS,Sham/no-current TEAS,p. 1623; Table III,Main article states symptom scores/vomiting were assessed at postoperative 72 h.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2021,Postoperative paralytic ileus: no flatus >72 h,Postoperative,GI recovery,1,Events/total,303,307,303,307,Postoperative TEAS,Sham/no-current TEAS,Primary POI outcome,Full ITT of all 610 randomized; participant sensory masking limited because active TEAS was perceptible,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2021,Time to resume normal diet,Postoperative,GI recovery,1,Mean/SD,303,307,303,307,Postoperative TEAS,Sham/no-current TEAS,GI recovery outcomes,Full randomized sample retained; participant awareness may influence self-reported GI milestones,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2021,Total hospital length of stay,Total admission,Length of stay,1,Source not accessed,,,,,TEAS,Sham,Appendix 2 / Supplementary Table S4,Main paper directs exact values to unaccessed supplement. Not equivalent to NOT REPORTED.,SOURCE NOT ACCESSED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2022,24 h postoperative pain VAS score,0-24 h / 24 h assessment,Pain,1,Mean/SD,827,828,827,828,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,Table 3 / 24 h pain VAS,Patient-reported subjective outcome; the authors state patients could not be fully blinded because true stimulation was perceptible. Outcome-specific RoB should be assessed separately from the opioid result.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2022,Any postoperative nausea and/or retching and/or vomiting,0-24 h,PONV,1,Events/total,827,828,827,828,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,Table 3 / primary 24 h PONV outcome,Use raw events/total for unadjusted RR. The composite includes subjective nausea and patients were not fully blinded to stimulation sensation; outcome-specific RoB may be higher than for the objective opioid result.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2022,Intraoperative remifentanil dose,Intraoperative,Intraoperative opioid,1,Median/IQR,827,828,827,828,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,Table 2 / intraoperative remifentanil,Preserve native median/IQR; do not relabel as mean/SD.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2022,Intraoperative sufentanil dose,Intraoperative,Intraoperative opioid,1,Median/IQR,827,828,827,828,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,Table 2 / intraoperative sufentanil,Preserve native median/IQR; do not relabel as mean/SD.,NARRATIVE ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2022,Persistent nausea (>5 min),0-24 h,PONV,1,Events/total,827,828,827,828,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,Table 3 / persistent nausea,Subjective nausea outcome with imperfect participant blinding; keep separate from composite PONV and vomiting.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gao 2022,Postoperative vomiting incidence,0-24 h,PONV,1,Events/total,827,828,827,828,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,Table 3 / 24 h vomiting,Use raw events/total rather than the adjusted logistic OR for meta-analysis unless the protocol specifies adjusted effects. Sensory blinding was imperfect.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Grech 2016,Exact cumulative 24-h postoperative morphine-equivalent consumption,0-24 h,Opioid consumption,1,Not reported,,,11,9,Intraoperative low-frequency EA,Sham/control,Postoperative analgesic figures,Day-1 analgesic use is graphical and exact 24-h mean/dispersion is not tabulated,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Grech 2016,Postoperative VAS pain,PACU and POD1-3,Pain,1,Graph-only continuous data,,,11,9,Intraoperative low-frequency EA,Sham/control,Postoperative pain figures,Exact numeric pain means/SEM are not tabulated,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,Any postoperative nausea and/or vomiting (PONV),Postoperative follow-up; exact window not stated,PONV,1,Events/total,58.0,59.0,60.0,60.0,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),p. 15; Figure 5,"Results text reports 12% vs 32.2%; these match 7/58 and 19/59. The exact observation window is not stated, although discussion says most PONV occurred within 24 h.",HOLD,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,Cumulative multimodal PCIA solution consumed,4 h,PCIA solution volume,1,Mean/SD,58,59,60,60,Long-duration TEAS,Sham/no-current TEAS,Figure 4 / 4 h cumulative PCIA,"Pump also contains dexmedetomidine, flurbiprofen and palonosetron; exact 24-h value is graph-only | V34: Solution contains sufentanil, dexmedetomidine, flurbiprofen and palonosetron. No v34 conversion to opioid mass.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,Cumulative multimodal PCIA solution consumed,8 h,PCIA solution volume,1,Mean/SD,58,59,60,60,Long-duration TEAS,Sham/no-current TEAS,Figure 4 / 8 h cumulative PCIA,"Pump also contains dexmedetomidine, flurbiprofen and palonosetron; exact 24-h value is graph-only | V34: Solution contains sufentanil, dexmedetomidine, flurbiprofen and palonosetron. No v34 conversion to opioid mass.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,Cumulative multimodal PCIA solution consumed,36 h,PCIA solution volume,1,Mean/SD,58,59,60,60,Long-duration TEAS,Sham/no-current TEAS,Figure 4 / 36 h cumulative PCIA,"Pump also contains dexmedetomidine, flurbiprofen and palonosetron; exact 24-h value is graph-only | V34: Solution contains sufentanil, dexmedetomidine, flurbiprofen and palonosetron. No v34 conversion to opioid mass.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,Cumulative multimodal PCIA solution consumed,16 h,Opioid demand,1,Graph only,58.0,59.0,60.0,60.0,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),p. 14; Figure 4,"No exact numeric 16-h value is printed. PCIA contains sufentanil plus dexmedetomidine, flurbiprofen and palonosetron; do not label solution volume as pure opioid mass.",GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,Cumulative multimodal PCIA solution volume,0-24 h,PCIA solution volume,1,Graph-only continuous data,58,59,60,60,Long-duration TEAS,Sham/no-current TEAS,Figure 4 / 24-h point,"24-h PCIA point is visible graphically but not numerically reported | V34: Solution contains sufentanil, dexmedetomidine, flurbiprofen and palonosetron. No v34 conversion to opioid mass.",GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,Moderately satisfied,36 h postoperatively,Patient satisfaction,1,Events/total,58.0,59.0,60.0,60.0,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),p. 15; Table 4,"Table 4 category counts are internally coherent, but Results text reports 'moderately satisfied and above' 67.3% vs 42.4%, which does not reconcile with the table. Do not use that composite without adjudication.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,Not satisfied,36 h postoperatively,Patient satisfaction,1,Events/total,58.0,59.0,60.0,60.0,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),p. 15; Table 4,"Table 4 category counts are internally coherent, but Results text reports 'moderately satisfied and above' 67.3% vs 42.4%, which does not reconcile with the table. Do not use that composite without adjudication.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,Satisfied,36 h postoperatively,Patient satisfaction,1,Events/total,58.0,59.0,60.0,60.0,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),p. 15; Table 4,"Table 4 category counts are internally coherent, but Results text reports 'moderately satisfied and above' 67.3% vs 42.4%, which does not reconcile with the table. Do not use that composite without adjudication.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,VAS pain intensity,4 h,Pain,1,Mean/SD,58.0,59.0,60.0,60.0,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),p. 15 (results text); Fig. 3 on p. 14; Results §3.2 + Figure 3,Exact P value is not printed; source reports P<0.05.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,VAS pain intensity,8 h,Pain,1,Mean/SD,58.0,59.0,60.0,60.0,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),p. 15 (results text); Fig. 3 on p. 14; Results §3.2 + Figure 3,Exact P value is not printed; source reports P<0.05.,INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,VAS pain intensity,16 h,Pain,1,Graph only,58.0,59.0,60.0,60.0,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),p. 14; Figure 3,No exact numeric values are printed; do not estimate from bar height.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,VAS pain intensity,36 h,Pain,1,Graph only,58.0,59.0,60.0,60.0,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),p. 14; Figure 3,No exact numeric values are printed; do not estimate from bar height.,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Gu 2019,Very satisfied,36 h postoperatively,Patient satisfaction,1,Events/total,58.0,59.0,60.0,60.0,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),p. 15; Table 4,"Table 4 category counts are internally coherent, but Results text reports 'moderately satisfied and above' 67.3% vs 42.4%, which does not reconcile with the table. Do not use that composite without adjudication.",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Guo 2023,Actual postoperative sufentanil consumption,0-24 h,Opioid consumption,1,Not reported,55,55,64,64,Perioperative TEAS,Sham/no-current TEAS,Postoperative PCIA section,PCIA prescription is reported but actual delivered 24-h/48-h sufentanil is not,NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Guo 2023,NRS pain intensity,POD1,Pain,1,Graph-only continuous data,55,55,64,64,Perioperative TEAS,Sham/no-current TEAS,Figure 3B,Exact means/SDs are figure-only,GRAPH ONLY,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Guo 2023,Postoperative cognitive dysfunction (MoCA decline ≥1 SD),POD1,Neurocognitive,1,Events/total,55,55,64,64,Perioperative TEAS,Sham/no-current TEAS,Primary POCD result,"18/128 randomized participants excluded from analysis, including conversions, repeat surgery, refusal and deaths",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Guo 2023,Postoperative cognitive dysfunction (MoCA decline ≥1 SD),POD7,Neurocognitive,1,Events/total,55,55,64,64,Perioperative TEAS,Sham/no-current TEAS,Primary POCD result,"18/128 randomized participants excluded from analysis, including conversions, repeat surgery, refusal and deaths",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,Guo 2023,Postoperative cognitive dysfunction (MoCA decline ≥1 SD),POD30,Neurocognitive,1,Events/total,55,55,64,64,Perioperative TEAS,Sham/no-current TEAS,Primary POCD result,"18/128 randomized participants excluded from analysis, including conversions, repeat surgery, refusal and deaths",INCLUDE,ROB2_RESULT_SPECIFIC_PENDING
2 - not currently pooled,He 2026 (breast/WJCO),Cumulative rescue morphine consumption,0-24 h,Opioid consumption,1,Not reported,65,65,65,65,Perioperative EA + flurbiprofen,Sham acupuncture + flurbiprofen,Postoperative analgesia limitation,"Rescue morphine 1-3 mg IV was allowed, but authors explicitly state rescue opioid consumption was not recorded or compared",NOT REPORTED,ROB2_RESULT_SPECIFIC_PENDING
