Study,Comparison ID,Intervention,Comparator,Outcome,Timepoint,Data type,n I,n C,Mean/Median I,SD/IQR I,Mean/Median C,SD/IQR C,Unit,Exact 0-24 h?,Primary eligibility,Analysis readiness,Reason,Duplicate hold,Source-QC issue,Source URL
Zhang 2023,ZHANG23_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,Exact cumulative postoperative opioid dose,0-24 h,Not reported,922,916,,,,,mg IV morphine-equivalent,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Only a postoperative 48-h opioid-equivalent endpoint is reported,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk
Zhang 2014,ZHANG14_TEAS_vs_SHAM_OPIOID24,Preoperative TEAS,Sham/no current,Exact cumulative postoperative opioid dose,0-24 h,Not reported,33,32,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Study reports intraoperative remifentanil rate but no exact postoperative opioid-consumption total,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk
Yang 2024,YANG24_EA_vs_UC_MORPH24,Perioperative EA + usual care,Usual care,Morphine use via IV PCA,First 24 h / POD1,Mean/SD,90,90,43.7,4.7,44,4.9,mg morphine,Yes,Yes,INCLUDE,Explicit 0-24-h postoperative opioid endpoint and marked eligible in the reconciled source data.,,All 180 randomized participants retained in ITT; open-label patients but objective PCA drug-use record,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk
Xiong 2021,XIONG21_TEAS_vs_CTRL_POSTOPMME,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,Postoperative opioid consumption,Postoperative window unclear,Mean/SD,31,31,0.6,0.2,0.6,0.1,mg morphine-equivalent/kg,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Exact postoperative interval is not stated; route terminology in Results is internally inconsistent,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk
Xiong 2021,XIONG21_TEAS_vs_CTRL_OPIOID24,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,Exact cumulative postoperative opioid dose,0-24 h,Not reported,31,31,,,,,mg morphine-equivalent/kg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Published opioid-equivalent result lacks a fixed time window,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk
Xing 2022,XING22_NTG_vs_NG_OPIOID24,TEAS + active TAPB,Sham TEAS + active TAPB,Exact cumulative postoperative sufentanil delivered,0-24 h,Not reported,29,29,,,,,µg sufentanil,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,PCIA wording is internally contradictory and only press counts are reported,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk
Xie 2014,XIE14_EAS_vs_SHAM_TOTALSUF,Active EAS PC4/PC6,Sham needling PC4/PC6,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,Mean/SD,20,20,115,6,133,7,µg sufentanil,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Infusion described through POD3; Discussion mentions lower use through 48 h; Table 2 does not define fixed window,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk
Xie 2014,XIE14_EAS_vs_CONTROL_TOTALSUF,Active EAS PC4/PC6,General-anesthesia control,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,Mean/SD,20,20,115,6,134,5.9,µg sufentanil,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Three-arm shared-intervention structure; exact fixed observation window not established,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk
Xie 2014,XIE14_EAS_vs_SHAM_OPIOID24,Active EAS PC4/PC6,Sham needling PC4/PC6,Exact cumulative postoperative sufentanil,0-24 h,Not reported,20,20,,,,,µg sufentanil,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Directly reported total cannot be assigned to a fixed 24-h window,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk
Wu 2022,WU22_PTEAS_vs_CTRL_OPIOID24,Perioperative pTEAS,No-current control,Exact cumulative postoperative opioid consumption,0-24 h,Not reported,44,40,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,"Standard end-of-surgery tramadol/fentanyl are reported, but no randomized group-specific 0-24-h opioid total is provided",https://drive.google.com/file/d/1XR_8qmeHR7ulwV7NaaI0CeYbpwKdc_ym/view?usp=drivesdk
Wu 2025,WU25_TEAS_vs_SHAM_OPIOID24,PACU TEAS,Sham/no current,Exact postoperative opioid/MME consumption,0-24 h,Not calculable,50,50,,,,,MME,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Oxycodone/acetaminophen rescue strength is not reported; rescue regimen is mixed opioid/non-opioid,https://drive.google.com/file/d/1ZV6JFjevGSPqnISdX61KPdcC_yEtq3vf/view?usp=drivesdk
Wang 2023,WANG23_TEAS_vs_SHAM_OPIOID24,Nighttime TEAS,Sham/no current,Exact cumulative postoperative opioid dose,0-24 h,Not reported,40,43,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Only rescue-dose counts are reported and the rescue drug is not identified,https://drive.google.com/file/d/177A4aH42GD90DhsvvtD-VOBSChBBpIWL/view?usp=drivesdk
Wang 2024,WANG24_POSTOP_OPIOID24,TEAS within risk strata,OD within risk strata,Postoperative opioid consumption,0-24 h,Not reported,,,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Postoperative rescue analgesia was non-opioid flurbiprofen; no postoperative opioid-consumption endpoint,https://drive.google.com/file/d/1U8tkq6mKFO0IkA2glfgLjN4Krwku3FZn/view?usp=drivesdk
Tu 2024,TU24_TEAS_vs_SHAM_OPIOID24,Postoperative TEAS,Sham/no current,Cumulative rescue tramadol consumption,0-24 h,Not reported,57,58,,,,,mg tramadol,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Only number of patients receiving rescue tramadol is reported; cumulative dose is unavailable,https://drive.google.com/file/d/1xQ9SbXVZblphUrb0-T9xpnAXk-_z5nBX/view?usp=drivesdk
Sun 2017,SUN17_POSTOP_OPIOID24,True TEAS timing arms,All-period sham TEAS,Postoperative opioid consumption,0-24 h,Not applicable / not reported,,,,,,,mg/µg,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,"Postoperative rescue analgesia was flurbiprofen axetil (NSAID), not an opioid",https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk
Sim 2002,SIM02_PREOP_vs_PLACEBO_MORPH24,Preoperative EA,Placebo EA,Cumulative postoperative IV PCA morphine,0-24 h,Mean/SD,30,30,0.52,0.19,0.68,0.38,mg/kg morphine,Yes,Conditional,CONDITIONAL,24-h opioid endpoint exists but requires a prespecified route/unit/time-window or derived-value rule.,,Do not convert mg/kg to absolute mg using group mean body weight; aggregate means cannot reconstruct individual absolute dose,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk
Sim 2002,SIM02_POSTOP_vs_PLACEBO_MORPH24,Postoperative EA,Placebo EA,Cumulative postoperative IV PCA morphine,0-24 h,Mean/SD,30,30,0.58,0.27,0.68,0.38,mg/kg morphine,Yes,Conditional,CONDITIONAL,24-h opioid endpoint exists but requires a prespecified route/unit/time-window or derived-value rule.,,Postoperative EA is a distinct randomized timing arm and must not be merged with preoperative EA,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk
Sim 2002,SIM02_PREOP_vs_PLACEBO_MORPH6_12,Preoperative EA,Placebo EA,Postoperative IV PCA morphine,6-12 h,Median/IQR,30,30,0.03,None–None,0.1,None–None,mg/kg morphine,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Source reports median (IQR) as 0.03 (0.05) vs 0.10 (0.11); IQR is reported as a single width rather than Q1/Q3,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk
Ntritsou 2014,NTRI14_EA_vs_SHAM_TRAMSUM,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,Total tramadol exposure,Perioperative / first 24 h most consistent with protocol; table does not restate window,Mean/SD,35,35,443.7,67.4,461.5,63.2,mg tramadol,Conditional,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Includes scheduled/background tramadol and likely rescue tramadol; rescue morphine quantity not reported,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk
Ntritsou 2014,NTRI14_EA_vs_SHAM_MME24,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,Complete 24-h opioid/MME exposure,0-24 h,Not calculable,35,35,,,,,MME,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Do not equate lower rescue use with significantly lower total opioid exposure,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk
Ng 2013,NG13_EA_vs_SHAM_OPIOID24,Electroacupuncture,Sham acupuncture,Cumulative pethidine consumption,0-24 h,Not reported,55,55,,,,,mg pethidine,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Do not multiply injection counts by 50 mg and call it a 24-h dose; source time window/dosing statement is ambiguous,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk
Ma 2026,MA26_T_vs_S_OPIOID24,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",Cumulative postoperative opioid consumption,0-24 h,Not reported,17,16,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Routine postoperative analgesia was non-opioid flurbiprofen; whether any postoperative opioid was given is not reported,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk
Lu 2021,LU21_POSTOP_OPIOID24,TEAS arms,Sham/no current,Cumulative postoperative sufentanil PCA consumption,0-24 h,Not reported,,,,,,,µg sufentanil,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,PCA opioid is sufentanil but prescription and cumulative 24-h consumption are not reported,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk
Lu 2022,LU22_TEAS_vs_CTRL_OPIOID24,TEAS + ERAS,No-current control + ERAS,Exact cumulative PCA opioid consumption,0-24 h,Not reported,47,47,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,The main article never identifies the PCA drug or dose,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk
Luo 2026,LUO26_TEAS_vs_SHAM_OPIOIDEQUIV,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Published 'sufentanil equivalents' metric,Perioperative,Mean/SD,138,139,15.86,5.11,15.18,4.95,published as mg; definition/unit unresolved,No,No,CONDITIONAL,Source value is valid in its native metric but cannot be converted to the target opioid mass/MME without additional information.,,Source labels approximately 15-16 as 'sufentanil equivalents (mg)' without explaining conversion; preserve verbatim,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk
Luo 2026,LUO26_TEAS_vs_SHAM_OPIOID24,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Cumulative postoperative oxycodone consumption,0-24 h,Not reported,138,139,,,,,mg oxycodone,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,"Postoperative IV oxycodone is described, but schedule and group-specific cumulative 24-h consumption are not reported",https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk
Long 2025,LONG25_TEAS_vs_CTRL_OPIOID24,Perioperative electrical acupoint stimulation,Electrodes/no current,Exact cumulative postoperative sufentanil consumption,0-24 h,Not reported,27,26,,,,,µg sufentanil,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,24-h PCIA volume/compressions are not reported; even 48-h volume cannot be converted exactly to sufentanil mass without body weight,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk
Li 2021,LI21_TEAS_vs_SHAM_OPIOID24,Perioperative TEAS,Sham-point/no current,Cumulative postoperative sufentanil consumption,0-24 h,Not reported,140,140,,,,,published pump formulation says 250 mg sufentanil/250 mL,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,"Printed pump unit is clinically implausible, programming is missing, and actual 24-h delivered dose is not reported; do not silently change mg to µg",https://drive.google.com/file/d/1NvcLlsb17N6EMhtHs_L_WBnf40wsrtRz/view?usp=drivesdk
Liu 2026 (ESD),LIU26ESD_TEAS_vs_SHAM_MORPH24,Perioperative TEAS,Sham-point/no current,Cumulative postoperative morphine consumption,0-24 h,Not reported,58,62,,,,,mg IV morphine,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,"Binary morphine use is reported, but administration counts and cumulative dose are not",https://drive.google.com/file/d/1Hp7pCBP8iXkGGYVhlFY0BHTeaaM7bhdY/view?usp=drivesdk
Liu 2021,LIU21_TEAS_vs_CTRL_OPIOID24,Perioperative TEAS,Electrodes/no current,Cumulative postoperative sufentanil consumption,0-24 h,Not calculable,50,50,,,,,published formulation 0.15 µg/kg in 100 mL,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,"Published PCA formulation is ambiguous/implausibly low, successful delivered boluses are not reported, and actual cumulative sufentanil is unavailable",https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk
Liu 2026 (burn),LIU26BURN_TEAS_vs_SHAM_OPIOID24,Pre-induction TEAS,Placebo/sham TEAS,Complete postoperative opioid/MME exposure,0-24 h,Not calculable,43,43,,,,,sufentanil + butorphanol PCIA; rescue dezocine,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,"PCIA composition is known but bolus volume, basal rate, delivered-volume and successful-delivery counts are not; two opioids are present in the pump",https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk
Liu 2025,LIU25_EA_vs_CTRL_OPIOID24,Perioperative electroacupuncture,Control/sham procedure,Exact cumulative postoperative opioid consumption,0-24 h,Not reported,38,39,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,No source-grounded exact 0-24-h postoperative opioid total is available in the reconciled extraction,https://drive.google.com/file/d/1SHBSKFaeE4G3PXTGVMm7TR8L0H9EgtsD/view?usp=drivesdk
Li 2022,LI22_EA_vs_SHAM_OPIOID24,Preoperative electroacupuncture,Sham electroacupuncture,Exact cumulative postoperative opioid consumption,0-24 h,Not reported,39,40,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,The prior derivative's 24-h sufentanil result was fabricated; no source-grounded exact 24-h postoperative opioid total is available,https://drive.google.com/file/d/1rQTrwnCvj72poJrGGvYjpxSZXvUhSD0u/view?usp=drivesdk
Liang 2021,LIANG21_TEAS_vs_CTRL_OPIOID24,Preoperative TEAS,Control/no stimulation,Exact cumulative postoperative opioid consumption,0-24 h,Not reported,35,35,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,The source trial focuses on CRBD; no source-grounded exact cumulative 24-h opioid endpoint is available,https://drive.google.com/file/d/1guriAcqNbJNXpfd_UjYwevULLVSeiHXS/view?usp=drivesdk
Jin 2023,JIN23_2HZ_vs_SHAM_VOL24,2-Hz postoperative EA,Sham nonpenetrating EA/no current,Published 'fentanyl consumption' / PCIA solution volume,24 h,Mean/SD,53,52,39.31,15.58,56.54,12.5,mL PCIA solution,Yes,No,CONDITIONAL,Source value is valid in its native metric but cannot be converted to the target opioid mass/MME without additional information.,,Main article does not report fentanyl concentration. Do not convert mL to µg/mg/MME. 2-Hz vs 20/100-Hz inferential statistics conflict between table and prose,https://drive.google.com/file/d/1fkNAFra0gZ9jkWkzp_S0TWy-5zVrXCtj/view?usp=drivesdk
Jin 2023,JIN23_20100_vs_SHAM_VOL24,20/100-Hz postoperative EA,Sham nonpenetrating EA/no current,Published 'fentanyl consumption' / PCIA solution volume,24 h,Mean/SD,53,52,45.72,16.92,56.54,12.5,mL PCIA solution,Yes,No,CONDITIONAL,Source value is valid in its native metric but cannot be converted to the target opioid mass/MME without additional information.,,Main article does not report fentanyl concentration. Do not convert mL to µg/mg/MME. 2-Hz vs 20/100-Hz inferential statistics conflict between table and prose,https://drive.google.com/file/d/1fkNAFra0gZ9jkWkzp_S0TWy-5zVrXCtj/view?usp=drivesdk
Jin 2023,JIN23_OPIOID24_MASS,Active EA arms,Sham nonpenetrating EA/no current,Exact cumulative fentanyl mass / MME,0-24 h,Not calculable,,,,,,,µg fentanyl / MME,Yes,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,Only mL of solution are reported in the main article,https://drive.google.com/file/d/1fkNAFra0gZ9jkWkzp_S0TWy-5zVrXCtj/view?usp=drivesdk
Jiang 2026,JIANG26_TEAS_vs_SHAM_OPIOID24,Perioperative TEAS,Sham/no current,Exact cumulative postoperative opioid consumption,0-24 h,Not reported,294,293,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,PCIA use is reported but exact group-specific postoperative dose is not,https://drive.google.com/file/d/1nujlP9A_IMWUfd3HdCD2rOxTc9-I8v92/view?usp=drivesdk
Huang 2025,HUANG25_EA_vs_UC_OPIOID24,Postoperative EA + ERAS,ERAS/standard care,Exact cumulative postoperative opioid consumption,0-24 h,Not reported,43,45,,,,,mg/µg,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,"PCA drug/composition and consumption are not reported; rescue analgesia was ketorolac, a non-opioid NSAID",https://drive.google.com/file/d/1VnJCbIPz8Uy1kXYCTKk7l9Zqj-rTECrY/view?usp=drivesdk
Huang 2024,HUANG24_OPIOID24,True-EA arms,Bilateral sham EA,Exact cumulative postoperative opioid dose,0-24 h,Not calculable,38,38,,,,,MME,No,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,"PCA drug identity/composition, bolus dose and exact 24-h-after-surgery exposure are unavailable",https://drive.google.com/file/d/1z-76QoxqmtMRV32wOpem7jAyDnuD6fb8/view?usp=drivesdk
Hou 2023,HOU23_TEAS_vs_SHAM_OPIOID24,Perioperative TEAS,Sham/no-current TEAS,Actual total postoperative sufentanil consumption,0-24 h,Not reported,36,36,,,,,µg sufentanil,Yes,No,EXCLUDE — DATA UNAVAILABLE,The source does not provide a defensible quantitative value for this analysis.,,"PCIA concentration and basal/bolus settings are known, but actual bolus use/total delivered sufentanil are not reported; fixed basal exposure is not total consumption",https://drive.google.com/file/d/161WdTRehgwvDHvQ8OkRf8U9TbUmVQgaR/view?usp=drivesdk
Huang 2017,HUANG17_POSTOP_SUF_AGG,2/100-Hz TEAS,Placebo TEAS/no current,Published postoperative sufentanil aggregate,Observation window unclear,Mean/SD,20,20,1.67,0.59,1.32,0.48,µg/kg sufentanil,No,No,EXCLUDE — NOT PRIMARY 24H OPIOID,Not a strict 0-24-h postoperative opioid-consumption endpoint.,,Methods mention 6/12/24/48-h assessments but Table 5 gives only one aggregate dose per group,https://drive.google.com/file/d/1RJGi1PYvw75qVW9UK8CBtJPH4G035ASs/view?usp=drivesdk
