study,outcome,timepoint,outcome_family,intervention,comparator,analysed_n_i,analysed_n_c,randomised_n_i,randomised_n_c,d1_randomisation,d2_deviations,d3_missing,d4_measurement,d5_reporting,overall,rationale,flags,source_pdf,status,adopted_by,adopted_date,provenance_note
Huang 2025,Time to first defecation,Postoperative,GI recovery,Postoperative EA + ERAS,ERAS/standard care,43,45,51,50,Low,High,Some concerns,High,Low,High,"D1: 'A centralized randomization system ensured allocation concealment'; sequence 'computer-generated by an independent statistician'. D2 HIGH: the comparator is standard care alone with no sham, so the report's claim that 'Patients were blinded to their treatment allocation' is not credible for an intervention delivered by needling — the paper itself proposes that 'Future studies could incorporate a sham EA group ... to help control for placebo effects and improve blinding'; analysis is completers only, not ITT. A second, independent reviewer reached the same conclusion on 2026-09-09 after reading the source directly, which reinforces rather than substitutes for this pipeline's own judgement. D3 SOME CONCERNS: 13 of 101 randomised (12.9%) are missing from the analysis (51->43 EA, 50->45 control) with dropout criteria that include protocol violation and postoperative complications, and no ITT or sensitivity analysis. D4 HIGH for THIS result: 'The primary outcomes were the time ... to first flatus and bowel movement, as recorded by patients, family members, or caregivers' — self-reported timing by unblinded participants and their families. D5 LOW: registered (MR-51-24-038798) with defecation as a co-primary, correctly reported. An earlier reading of this source flagged an apparent internal numeric inconsistency between a flatus value pair quoted in different sections (36.4+/-8.0 vs 36.20+/-8.20 and 42.2+/-8.5 vs 42.72+/-8.76); a second independent reviewer confirmed on 2026-09-09 that the '36.20/8.20, 42.72/8.76' pair belongs to a distinct 2023 pilot study cited for the sample-size calculation, not a competing estimate of this trial's own flatus outcome — so this is not an unresolved reporting inconsistency for the defecation result assessed here, and this pipeline's own separately-extracted flatus and defecation rows (36.4/42.2 and 46.0/51.3 respectively) already match the confirmed trial values with no correction needed.","SOURCE-QC: apparent numeric inconsistency between abstract/Results and p.4 text, resolved 2026-09-09 as pilot-study data (2023) vs this trial's own data, not a live inconsistency",covidence_131_verified.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-09,"Adopted by the review lead's direction on 2026-09-08 and re-confirmed on 2026-09-09 after a second, independent reviewer re-read the mapped source PDF against this study's pre-existing source-QC flag and reported back findings, which this pipeline verified against its own extracted data before updating the rationale above. Domain judgements remain the source-evidence extraction; standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement, and this second reading is recorded as that reconciliation step."
Lee 2011,VAS pain intensity,24 h,Pain,Low-frequency dense-sparse SSP,Sham SSP,10,12,12,12,Some concerns,Some concerns,High,Low,High,High,"D1 SOME CONCERNS: 'A random number table was used for grouping', but the report also states 'each subject was assigned to a treatment group in numbered order, as they became available', which describes sequential assignment; no allocation-concealment mechanism is described and no by-group baseline table is presented. D2 SOME CONCERNS: described as double-blind and 'group assignments were kept fully blinded from the subjects and data collectors', with a no-stimulation sham SSP electrode; but no ITT and no protocol. D3 HIGH for THIS result: 'Two of the subjects from Group 4 were excluded from the analysis due to the inability to carry out the VAS' — 2 of 12 (17%) missing from the intervention arm only, and the missingness is in the very outcome being assessed; no sensitivity analysis. D4: VAS is self-reported but subjects were blinded to allocation. D5 HIGH: no trial registration, no protocol, no sample size calculation and no stated primary outcome; multiple pain and PCA endpoints across many time intervals are reported with no pre-specified analysis plan.",no trial registration identified; outcome-related missing data,049_lee_2011.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Liang 2021,Global QoR-40,24 h (T11),Quality of recovery,Preoperative TEAS,Control/no stimulation,35,35,37,38,Low,Low,Low,Low,Low,Low,"D1: 'randomly distributed into two groups, with the help of a computer-generated table of random numbers by an independent statistician'; that statistician 'created identical sealed envelopes before surgery'. D2: 'An anesthesiologist (LDD), who was not aware of the allocation, performed general anesthesia and all intraoperative data recording, and another investigator (WL), in charge of all postoperative assessments, was also blinded to the group identity'. D3: 5 of 75 randomised lost (surgical procedure change n=3; blood-sample loss), 6.7%, with documented reasons unrelated to the outcome; CONSORT reports none excluded from analysis of those followed up. D4 LOW for THIS result: the validated Chinese QoR-40 was administered at pre-defined timepoints (T0, T11, T12) by the blinded postoperative investigator to blinded participants. D5: registered ChiCTR1800019951; QoR-40 at T11 is defined in Methods 2.7 as a pre-specified assessment and is reported in full across all its five subscales.",,014_liang_2021.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Liang 2021,Remifentanil consumption,Intraoperative,Intraoperative opioid,Preoperative TEAS,Control/no stimulation,35.0,35.0,37.0,38.0,Low,Low,Low,Low,Some concerns,Some concerns,"D1: 'randomly distributed into two groups, with the help of a computer-generated table of random numbers by an independent statistician'; that statistician 'created identical sealed envelopes before surgery'. D2: 'An anesthesiologist (LDD), who was not aware of the allocation, performed general anesthesia and all intraoperative data recording, and another investigator (WL), in charge of all postoperative assessments, was also blinded to the group identity'. D3: 5 of 75 randomised lost (surgical procedure change n=3; blood-sample loss), 6.7%, with documented reasons unrelated to the outcome; CONSORT reports none excluded from analysis of those followed up. D4 LOW for THIS result: remifentanil was recorded intraoperatively by the anaesthesiologist who was explicitly 'not aware of the allocation'. D5 SOME CONCERNS: the trial's stated outcomes centre on catheter-related bladder discomfort, MMSE, PONV, pain and QoR-40; intraoperative opioid consumption appears in Table 1 as an anaesthetic characteristic rather than as a named pre-specified outcome.",result not among pre-specified outcomes,014_liang_2021.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Liang 2021,Sufentanil consumption,Intraoperative,Intraoperative opioid,Preoperative TEAS,Control/no stimulation,35.0,35.0,37.0,38.0,Low,Low,Low,Low,Some concerns,Some concerns,"D1: 'randomly distributed into two groups, with the help of a computer-generated table of random numbers by an independent statistician'; that statistician 'created identical sealed envelopes before surgery'. D2: 'An anesthesiologist (LDD), who was not aware of the allocation, performed general anesthesia and all intraoperative data recording, and another investigator (WL), in charge of all postoperative assessments, was also blinded to the group identity'. D3: 5 of 75 randomised lost (surgical procedure change n=3; blood-sample loss), 6.7%, with documented reasons unrelated to the outcome; CONSORT reports none excluded from analysis of those followed up. D4 LOW for THIS result: sufentanil was recorded intraoperatively by the anaesthesiologist who was explicitly 'not aware of the allocation'. D5 SOME CONCERNS: the trial's stated outcomes centre on catheter-related bladder discomfort, MMSE, PONV, pain and QoR-40; intraoperative opioid consumption appears in Table 1 as an anaesthetic characteristic rather than as a named pre-specified outcome.",result not among pre-specified outcomes,014_liang_2021.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Lu 2021,Total remifentanil,Intraoperative,Intraoperative opioid,Combined PC6+CV17 TEAS,Sham/no current,190,188,190,188,Low,Low,Low,Low,Low,Low,"D1: randomised 1:1:1 'using a secured web-based system that was stratified according to permuted blocks' across six centres; baseline characteristics did not differ. D2: 'We performed all the analyses in an intention-to-treat population'; although 'The patients and investigators who participated in the intervention were not masked', 'The stimulator was placed in an opaque box to blind the surgical team and anesthesiologist', and protocol adherence was audited by an independent observer. D3: this is an intraoperative measurement with no missing data — all 190/188 randomised patients contribute. D4: remifentanil was administered and recorded by the anaesthesia team, who were blinded by the opaque-box arrangement. D5: registered NCT02741726 with the protocol supplied; 'The secondary endpoints included remifentanil consumption during general anesthesia' — explicitly pre-specified.",,covidence_414_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Lu 2022,Time to first defecation,Postoperative,GI recovery,TEAS + ERAS,No-current control + ERAS,47,47,50,50,Low,Some concerns,Low,Low,Low,Some concerns,"D1: 'randomly assigned ... in a ratio of 1:1 using a computer-generated random allocation sequence'; 'The randomization code for each patient was put in sealed envelope and not opened until allocation'; multicentre. D2 SOME CONCERNS: participants were not blinded — 'For logistic reasons, blinding the patients was hard to perform' and 'The patient may tell the investigator who did the follow-up that he/she felt a stimuli'; the mITT population excludes 6 randomised patients, one of them 'due to rejection to TEAS', which is an exclusion related to a deviation from the intended intervention. D3: 6 of 100 (6%) excluded post-randomisation with documented reasons (5 conversions to open surgery, 1 refusal). D5: registered NCT02921529; 'The secondary outcomes included time to flatus, time to first defecation' — both explicitly pre-specified. D4 LOW for THIS result: the authors adopted 'time to defecation as one secondary endpoint, because [it is] more objective and can be recorded by the assessor without bias', and 'Investigators involved in the follow-up were blinded to the group allocation'.",,getfile.php-3.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Lu 2022,Time to first flatus,Postoperative,GI recovery,TEAS + ERAS,No-current control + ERAS,47,47,50,50,Low,Some concerns,Low,Some concerns,Low,Some concerns,"D1: 'randomly assigned ... in a ratio of 1:1 using a computer-generated random allocation sequence'; 'The randomization code for each patient was put in sealed envelope and not opened until allocation'; multicentre. D2 SOME CONCERNS: participants were not blinded — 'For logistic reasons, blinding the patients was hard to perform' and 'The patient may tell the investigator who did the follow-up that he/she felt a stimuli'; the mITT population excludes 6 randomised patients, one of them 'due to rejection to TEAS', which is an exclusion related to a deviation from the intended intervention. D3: 6 of 100 (6%) excluded post-randomisation with documented reasons (5 conversions to open surgery, 1 refusal). D5: registered NCT02921529; 'The secondary outcomes included time to flatus, time to first defecation' — both explicitly pre-specified. D4 SOME CONCERNS for THIS result: first flatus is self-reported by unblinded participants; the authors themselves note that 'flatus is sometimes regarded as an insensitive index' and chose defecation instead precisely because it is more objective.",,getfile.php-3.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Ng 2013,Time to first bowel motion / defecation,Postoperative,GI recovery,Electroacupuncture,Sham acupuncture,55,55,55,55,Some concerns,Low,Low,Low,Low,Some concerns,"D1 SOME CONCERNS: 'Patients were randomized (using simple randomization)' and 'A sealed nonopaque envelope ... was opened to determine the limb of entry' — the report states explicitly that the concealment envelopes were NOT opaque, so allocation could in principle be foreseen. D2: 'the patients randomized to the EA/SA groups and the outcome assessor were blinded to the treatment allocation'; the assessed contrast is EA vs sham acupuncture, both blinded arms. D3: 'There was no withdrawal or dropout, and all recruited patients were available for analysis of primary and secondary outcomes'. D4: 'the time to defecation ... from the time the laparoscopic surgery ended until the first observed passage of stool', recorded by the blinded assessor; the authors adopted it 'because it is more objective and can be recorded readily by the assessor without bias'. D5: registered NCT00464425; this is the single pre-specified primary outcome.",,covidence_1970_ng_2013.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Ntritsou 2014,Remifentanil consumption,Intraoperative,Intraoperative opioid,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,35,35,37,38,Low,Some concerns,Some concerns,High,Some concerns,High,"D1: 'randomly divided into two groups using a computer-generated randomisation sequence'; 'The randomisation was concealed by the director of the anaesthesiology department'. D2 SOME CONCERNS: the trial is single-blind by design — 'The study was single blind because the patients were anaesthetised during the initial application of the EA intervention' — and the theatre team delivering anaesthesia was not blinded to the presence of needles. D3 SOME CONCERNS: 'Three patients from the control group and two patients from the EA group were excluded during the study' (5 of 75, 6.7%) with no reasons reported. D4 HIGH for THIS result: intraoperative remifentanil is titrated by the anaesthetist, and 'anaesthesia was conducted by one of a team of five anaesthetists' who were not blinded to the EA intervention — the person deciding and recording the dose is aware of allocation. The blinding that is described covers postoperative assessment, not intraoperative dosing. D5 SOME CONCERNS: remifentanil consumption is not among the trial's stated outcomes (NRS and SF-MPQ pain, algometry, cortisol, rescue analgesia, STAI); it appears in Table 1 as an anaesthetic characteristic.",result not among pre-specified outcomes; unblinded dose-setter is the outcome recorder,covidence_729_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Pan 2023,Intraoperative remifentanil,Intraoperative,Intraoperative opioid,TEAS,Control/usual care,52,53,53,52,Some concerns,Some concerns,Low,Some concerns,Low,Some concerns,"D1 SOME CONCERNS: 'Patients were assigned to TEAS group (Group T) and control group (Group C) using random number tables', with no allocation-concealment mechanism described. D2 SOME CONCERNS: described as a 'double-blind randomized control-group clinical trial', but the comparator is a control group and the report does not describe a sham device, so successful participant blinding is not established. D3 LOW: 105 patients were randomised (52 / 53) and 105 were analysed; the 15 documented exclusions (6 non-protocol analgesics, 6 different surgical procedure, 2 PCIA use, 1 intraoperative bleeding) occur in the enrolment flow before randomisation. D5: registered ChiCTR2100045173; QoR-40 at 24 h is the stated primary outcome and 'dosage of remifentanil, propofol, any vasoactive drugs' is listed among the secondary outcome measures. D4 SOME CONCERNS for THIS result: the report documents blinding for the PACU nurse who collected NRS scores but does not state that the anaesthetist who titrated and recorded intraoperative remifentanil was blinded.",,getfile.php-4.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Pan 2023,Total QoR-40 score,24 h after operation,Quality of recovery,Group T — TEAS,Group C — control,52.0,53.0,52.0,53.0,Some concerns,Some concerns,Low,Some concerns,Low,Some concerns,"D1 SOME CONCERNS: 'Patients were assigned to TEAS group (Group T) and control group (Group C) using random number tables', with no allocation-concealment mechanism described. D2 SOME CONCERNS: described as a 'double-blind randomized control-group clinical trial', but the comparator is a control group and the report does not describe a sham device, so successful participant blinding is not established. D3 LOW: 105 patients were randomised (52 / 53) and 105 were analysed; the 15 documented exclusions (6 non-protocol analgesics, 6 different surgical procedure, 2 PCIA use, 1 intraoperative bleeding) occur in the enrolment flow before randomisation. D5: registered ChiCTR2100045173; QoR-40 at 24 h is the stated primary outcome and 'dosage of remifentanil, propofol, any vasoactive drugs' is listed among the secondary outcome measures. D4 SOME CONCERNS for THIS result: QoR-40 is a participant-completed questionnaire and successful participant blinding is not established, so the respondent may have been aware of the assigned intervention.",,getfile.php-4.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
Song 2020,Total intraoperative sufentanil consumption,Intraoperative,Intraoperative opioid,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,42,43,42,43,Low,Low,Low,Low,Some concerns,Some concerns,"D1: 'divided to the TEAS group or control group randomly in a 1:1 ratio using a computer-generated randomization number sequence'; 'Seal the group assignments in sequentially numbered opaque envelopes'. D2: 'Patients, attending anesthesiologists, surgeons and data collectors ... were all blinded to the group assignment', and the comparator is active non-acupoint stimulation at a matched 2/10 Hz so that 'the low-frequency stimuli were set to the same frequency ... resulting in the patients believing that they were undergoing real TEAS therapy' — an unusually strong blind; 'All analyses were based on the intention-to-treat (ITT) population'. D3: ITT includes all 85 randomised participants (42/43). D4: intraoperative sufentanil was administered and recorded by a blinded anaesthesiologist. D5 SOME CONCERNS: prospectively registered NCT04124679, with the Athens Insomnia Scale as the primary outcome and postoperative pain/adverse effects/PCA presses as the reported secondary outcomes; total intraoperative sufentanil is not among them and is reported in Table 1 as an anaesthetic characteristic.",result not among pre-specified outcomes,getfile.php-6.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction on 2026-09-08. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption."
