study,outcome,timepoint,outcome_family,intervention,comparator,analysed_n_i,analysed_n_c,randomised_n_i,randomised_n_c,d1_randomisation,d2_deviations,d3_missing,d4_measurement,d5_reporting,overall,rationale,flags,source_pdf,status,adopted_by,adopted_date,provenance_note
Gao 2022,Any postoperative nausea and/or retching and/or vomiting,0-24 h,PONV,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,827,828,827,828,Low,Some concerns,Low,Some concerns,Low,Some concerns,"D1 Low: 'The eligible patients were randomly divided into the Sham and TEAS groups in a 1:1 ratio (with a block size of 4) by [an electronic randomization] system'. D2 Some concerns: 'All patients, anesthesiologists, surgeons, and evaluators were blinded for group allocation, screening, intervention treatment, and statistical analysis'; 'Designated evaluators who were totally blinded took charge for follow-up data collections' -- but the authors themselves acknowledge 'the unavoidable limitation in our study was that patients cannot be blinded to the intervention totally as they can sense the acupoint stimuli in the TEAS group'. D3 Low: intention-to-treat analysis included all 1,655 enrolled patients. D5 Low: PONV/vomiting/nausea outcomes are reported under this trial's own 'Primary and Secondary Outcomes' results heading. D4 Some concerns for THIS result: this measure has a subjective, internal-sensation component that only the participant can report, and participants were not successfully blinded, even though the evaluator recording the score was blinded.",,pdf-2.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2022,Intraoperative remifentanil dose,Intraoperative,Intraoperative opioid,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,827,828,827,828,Low,Some concerns,Low,Low,Some concerns,Some concerns,"D1 Low: 'The eligible patients were randomly divided into the Sham and TEAS groups in a 1:1 ratio (with a block size of 4) by [an electronic randomization] system'. D2 Some concerns: 'All patients, anesthesiologists, surgeons, and evaluators were blinded for group allocation, screening, intervention treatment, and statistical analysis'; 'Designated evaluators who were totally blinded took charge for follow-up data collections' -- but the authors themselves acknowledge 'the unavoidable limitation in our study was that patients cannot be blinded to the intervention totally as they can sense the acupoint stimuli in the TEAS group'. D3 Low: intention-to-treat analysis included all 1,655 enrolled patients. D5 Some concerns: not itself named among the trial's PONV-focused primary/secondary outcomes; reported as anaesthetic exposure context. D4 Low for THIS result: intraoperative opioid dosing is set and recorded by the anaesthesiologist, who is explicitly stated to have been blinded to allocation.",result not among the trial's named PONV-focused outcomes,pdf-2.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2022,Intraoperative sufentanil dose,Intraoperative,Intraoperative opioid,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,827,828,827,828,Low,Some concerns,Low,Low,Some concerns,Some concerns,"D1 Low: 'The eligible patients were randomly divided into the Sham and TEAS groups in a 1:1 ratio (with a block size of 4) by [an electronic randomization] system'. D2 Some concerns: 'All patients, anesthesiologists, surgeons, and evaluators were blinded for group allocation, screening, intervention treatment, and statistical analysis'; 'Designated evaluators who were totally blinded took charge for follow-up data collections' -- but the authors themselves acknowledge 'the unavoidable limitation in our study was that patients cannot be blinded to the intervention totally as they can sense the acupoint stimuli in the TEAS group'. D3 Low: intention-to-treat analysis included all 1,655 enrolled patients. D5 Some concerns: not itself named among the trial's PONV-focused primary/secondary outcomes; reported as anaesthetic exposure context. D4 Low for THIS result: intraoperative opioid dosing is set and recorded by the anaesthesiologist, who is explicitly stated to have been blinded to allocation.",result not among the trial's named PONV-focused outcomes,pdf-2.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2022,Persistent nausea (>5 min),0-24 h,PONV,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,827,828,827,828,Low,Some concerns,Low,Some concerns,Low,Some concerns,"D1 Low: 'The eligible patients were randomly divided into the Sham and TEAS groups in a 1:1 ratio (with a block size of 4) by [an electronic randomization] system'. D2 Some concerns: 'All patients, anesthesiologists, surgeons, and evaluators were blinded for group allocation, screening, intervention treatment, and statistical analysis'; 'Designated evaluators who were totally blinded took charge for follow-up data collections' -- but the authors themselves acknowledge 'the unavoidable limitation in our study was that patients cannot be blinded to the intervention totally as they can sense the acupoint stimuli in the TEAS group'. D3 Low: intention-to-treat analysis included all 1,655 enrolled patients. D5 Low: 'Persistent nausea was defined as continuous nausea lasting over' a stated duration, reported alongside the trial's other PONV outcomes. D4 Some concerns for THIS result: this measure has a subjective, internal-sensation component that only the participant can report, and participants were not successfully blinded, even though the evaluator recording the score was blinded.",,pdf-2.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gao 2022,Postoperative vomiting incidence,0-24 h,PONV,"Postoperative TEAS at bilateral P6/ST36 (2/10 Hz, 30 min ×2)",No-current sham with identical electrode/device setup,827,828,827,828,Low,Some concerns,Low,Low,Low,Some concerns,"D1 Low: 'The eligible patients were randomly divided into the Sham and TEAS groups in a 1:1 ratio (with a block size of 4) by [an electronic randomization] system'. D2 Some concerns: 'All patients, anesthesiologists, surgeons, and evaluators were blinded for group allocation, screening, intervention treatment, and statistical analysis'; 'Designated evaluators who were totally blinded took charge for follow-up data collections' -- but the authors themselves acknowledge 'the unavoidable limitation in our study was that patients cannot be blinded to the intervention totally as they can sense the acupoint stimuli in the TEAS group'. D3 Low: intention-to-treat analysis included all 1,655 enrolled patients. D5 Low: PONV/vomiting/nausea outcomes are reported under this trial's own 'Primary and Secondary Outcomes' results heading. D4 Low for THIS result: recorded by 'designated evaluators who were totally blinded', and this is an objectively observable event not dependent on the participant's own account.",,pdf-2.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gu 2019,Any postoperative nausea and/or vomiting (PONV),Postoperative follow-up; exact window not stated,PONV,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),58.0,59.0,60.0,60.0,Some concerns,Low,Low,Low,Some concerns,Some concerns,"D1 Some concerns: 'randomized according to a computer-generated random numbers table', with no allocation-concealment mechanism described. D2 Low: 'All patients were unaware of the group allocations'; 'A single investigator was responsible for applying the type of intervention' while 'Another investigator collected the data and was blind to the group allocation'. D3 Low: 117 of 120 (97.5%) completed the trial, per the CONSORT flow diagram. D5 Some concerns: no trial registration or protocol is reported, and the paper never explicitly names a primary outcome, so pre-specification of this result cannot be verified against an external record. D4 Low for THIS result: PONV was recorded by the same blinded data-collecting investigator responsible for the trial's other postoperative measures.",,covidence_1471_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gu 2019,Cumulative multimodal PCIA solution consumed,4 h,PCIA solution volume,Long-duration TEAS,Sham/no-current TEAS,58,59,60,60,Some concerns,Low,Low,Low,Some concerns,Some concerns,"D1 Some concerns: 'randomized according to a computer-generated random numbers table', with no allocation-concealment mechanism described. D2 Low: 'All patients were unaware of the group allocations'; 'A single investigator was responsible for applying the type of intervention' while 'Another investigator collected the data and was blind to the group allocation'. D3 Low: 117 of 120 (97.5%) completed the trial, per the CONSORT flow diagram. D5 Some concerns: no trial registration or protocol is reported, and the paper never explicitly names a primary outcome, so pre-specification of this result cannot be verified against an external record. D4 Low for THIS result: PCIA solution volume is read from the pump/device record, an objective measure not dependent on the blinded data collector's judgement.",,covidence_1471_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gu 2019,Cumulative multimodal PCIA solution consumed,8 h,PCIA solution volume,Long-duration TEAS,Sham/no-current TEAS,58,59,60,60,Some concerns,Low,Low,Low,Some concerns,Some concerns,"D1 Some concerns: 'randomized according to a computer-generated random numbers table', with no allocation-concealment mechanism described. D2 Low: 'All patients were unaware of the group allocations'; 'A single investigator was responsible for applying the type of intervention' while 'Another investigator collected the data and was blind to the group allocation'. D3 Low: 117 of 120 (97.5%) completed the trial, per the CONSORT flow diagram. D5 Some concerns: no trial registration or protocol is reported, and the paper never explicitly names a primary outcome, so pre-specification of this result cannot be verified against an external record. D4 Low for THIS result: PCIA solution volume is read from the pump/device record, an objective measure not dependent on the blinded data collector's judgement.",,covidence_1471_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gu 2019,Cumulative multimodal PCIA solution consumed,36 h,PCIA solution volume,Long-duration TEAS,Sham/no-current TEAS,58,59,60,60,Some concerns,Low,Low,Low,Some concerns,Some concerns,"D1 Some concerns: 'randomized according to a computer-generated random numbers table', with no allocation-concealment mechanism described. D2 Low: 'All patients were unaware of the group allocations'; 'A single investigator was responsible for applying the type of intervention' while 'Another investigator collected the data and was blind to the group allocation'. D3 Low: 117 of 120 (97.5%) completed the trial, per the CONSORT flow diagram. D5 Some concerns: no trial registration or protocol is reported, and the paper never explicitly names a primary outcome, so pre-specification of this result cannot be verified against an external record. D4 Low for THIS result: PCIA solution volume is read from the pump/device record, an objective measure not dependent on the blinded data collector's judgement.",,covidence_1471_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gu 2019,Cumulative multimodal PCIA solution consumed,16 h,Opioid demand,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),58.0,59.0,60.0,60.0,Some concerns,Low,Low,Low,Some concerns,Some concerns,"D1 Some concerns: 'randomized according to a computer-generated random numbers table', with no allocation-concealment mechanism described. D2 Low: 'All patients were unaware of the group allocations'; 'A single investigator was responsible for applying the type of intervention' while 'Another investigator collected the data and was blind to the group allocation'. D3 Low: 117 of 120 (97.5%) completed the trial, per the CONSORT flow diagram. D5 Some concerns: no trial registration or protocol is reported, and the paper never explicitly names a primary outcome, so pre-specification of this result cannot be verified against an external record. D4 Low for THIS result: PCIA solution volume is read from the pump/device record, an objective measure not dependent on the blinded data collector's judgement.",,covidence_1471_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gu 2019,Cumulative multimodal PCIA solution volume,0-24 h,PCIA solution volume,Long-duration TEAS,Sham/no-current TEAS,58,59,60,60,Some concerns,Low,Low,Low,Some concerns,Some concerns,"D1 Some concerns: 'randomized according to a computer-generated random numbers table', with no allocation-concealment mechanism described. D2 Low: 'All patients were unaware of the group allocations'; 'A single investigator was responsible for applying the type of intervention' while 'Another investigator collected the data and was blind to the group allocation'. D3 Low: 117 of 120 (97.5%) completed the trial, per the CONSORT flow diagram. D5 Some concerns: no trial registration or protocol is reported, and the paper never explicitly names a primary outcome, so pre-specification of this result cannot be verified against an external record. D4 Low for THIS result: identical reasoning to the timepoint-specific PCIA solution results -- an objective device record.",,covidence_1471_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gu 2019,Moderately satisfied,36 h postoperatively,Patient satisfaction,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),58.0,59.0,60.0,60.0,Some concerns,Low,Low,Low,Some concerns,Some concerns,"D1 Some concerns: 'randomized according to a computer-generated random numbers table', with no allocation-concealment mechanism described. D2 Low: 'All patients were unaware of the group allocations'; 'A single investigator was responsible for applying the type of intervention' while 'Another investigator collected the data and was blind to the group allocation'. D3 Low: 117 of 120 (97.5%) completed the trial, per the CONSORT flow diagram. D5 Some concerns: no trial registration or protocol is reported, and the paper never explicitly names a primary outcome, so pre-specification of this result cannot be verified against an external record. D4 Low for THIS result: 'A blinded anesthesiologist recorded the satisfaction of the patient for the anesthetic technique according to four degrees with questionnaires ... at 36 h postoperatively' -- explicitly a blinded assessor.",,covidence_1471_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
Gu 2019,Not satisfied,36 h postoperatively,Patient satisfaction,Long-duration TEAS (L-TEAS),Placebo/no-current TEAS (C-TEAS),58.0,59.0,60.0,60.0,Some concerns,Low,Low,Low,Some concerns,Some concerns,"D1 Some concerns: 'randomized according to a computer-generated random numbers table', with no allocation-concealment mechanism described. D2 Low: 'All patients were unaware of the group allocations'; 'A single investigator was responsible for applying the type of intervention' while 'Another investigator collected the data and was blind to the group allocation'. D3 Low: 117 of 120 (97.5%) completed the trial, per the CONSORT flow diagram. D5 Some concerns: no trial registration or protocol is reported, and the paper never explicitly names a primary outcome, so pre-specification of this result cannot be verified against an external record. D4 Low for THIS result: 'A blinded anesthesiologist recorded the satisfaction of the patient for the anesthetic technique according to four degrees with questionnaires ... at 36 h postoperatively' -- explicitly a blinded assessor.",,covidence_1471_full_article.pdf,ROB2_RESULT_SPECIFIC_ADOPTED,John Ryan N. Mendoza (review lead),2026-09-08,"Adopted by the review lead's direction. Domain judgements and rationale are the source-evidence extraction, unchanged by adoption. Standard Cochrane RoB 2 practice calls for two independent assessors reconciling disagreement; no separately documented dual-assessor record was provided to this pipeline."
