Study ID,Reviewer,Domain 1: Bias arising from the randomization process,"","",Domain 2: Bias due to deviations from intended interventions,"","",Domain 3: Bias due to missing outcome data for All outcomes,"","",Domain 4: Bias in measurement of the outcome for All outcomes,"","",Domain 5: Bias in selection of the reported result for All outcomes,"","",Overall risk of bias for All outcomes,"",""
Luo 2026,Consensus,Some concerns,"","Random sequence generation: random number table/centralized assignment (Signaling 1.1: PY). Allocation concealment: allocation concealment not explicitly detailed in manuscript (Signaling 1.2: NI). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Some concerns.",Some concerns,"",Participant blinding: Open-label control comparison against usual care/standard analgesic regimen without sham stimulation device (Signaling 2.1: Y). Personnel blinding: Healthcare providers and clinical team were aware of study assignment due to pragmatic open-label design (Signaling 2.2: Y). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Some concerns.,Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Some concerns,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Self-reported pain scores (VAS/NRS) and patient-driven PCA demands; outcome assessors partially blinded or unblinded (Signaling 4.2: PN/Y). Domain 4 Risk of Bias: Some concerns.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
He 2026,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
He 2026,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
He 2026,Consensus,Some concerns,"","Random sequence generation: random number table/centralized assignment (Signaling 1.1: PY). Allocation concealment: allocation concealment not explicitly detailed in manuscript (Signaling 1.2: NI). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Some concerns.",Some concerns,"",Participant blinding: Open-label control comparison against usual care/standard analgesic regimen without sham stimulation device (Signaling 2.1: Y). Personnel blinding: Healthcare providers and clinical team were aware of study assignment due to pragmatic open-label design (Signaling 2.2: Y). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Some concerns.,Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Some concerns,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Self-reported pain scores (VAS/NRS) and patient-driven PCA demands; outcome assessors partially blinded or unblinded (Signaling 4.2: PN/Y). Domain 4 Risk of Bias: Some concerns.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Liu 2026,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Liu 2026,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Liu 2026,Consensus,Some concerns,"","Random sequence generation: random number table/centralized assignment (Signaling 1.1: PY). Allocation concealment: allocation concealment not explicitly detailed in manuscript (Signaling 1.2: NI). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Some concerns.",Some concerns,"",Participant blinding: Open-label control comparison against usual care/standard analgesic regimen without sham stimulation device (Signaling 2.1: Y). Personnel blinding: Healthcare providers and clinical team were aware of study assignment due to pragmatic open-label design (Signaling 2.2: Y). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Some concerns.,Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Some concerns,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Self-reported pain scores (VAS/NRS) and patient-driven PCA demands; outcome assessors partially blinded or unblinded (Signaling 4.2: PN/Y). Domain 4 Risk of Bias: Some concerns.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Liu 2025,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Liu 2025,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Liu 2025,Consensus,Some concerns,"","Random sequence generation: random number table/centralized assignment (Signaling 1.1: PY). Allocation concealment: allocation concealment not explicitly detailed in manuscript (Signaling 1.2: NI). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Some concerns.",Some concerns,"",Participant blinding: Open-label control comparison against usual care/standard analgesic regimen without sham stimulation device (Signaling 2.1: Y). Personnel blinding: Healthcare providers and clinical team were aware of study assignment due to pragmatic open-label design (Signaling 2.2: Y). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Some concerns.,Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Some concerns,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Self-reported pain scores (VAS/NRS) and patient-driven PCA demands; outcome assessors partially blinded or unblinded (Signaling 4.2: PN/Y). Domain 4 Risk of Bias: Some concerns.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Zhang 2025,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Zhang 2025,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Zhang 2025,Consensus,Some concerns,"","Random sequence generation: random number table/centralized assignment (Signaling 1.1: PY). Allocation concealment: allocation concealment not explicitly detailed in manuscript (Signaling 1.2: NI). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Some concerns.",Some concerns,"",Participant blinding: Open-label control comparison against usual care/standard analgesic regimen without sham stimulation device (Signaling 2.1: Y). Personnel blinding: Healthcare providers and clinical team were aware of study assignment due to pragmatic open-label design (Signaling 2.2: Y). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Some concerns.,Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Some concerns,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Self-reported pain scores (VAS/NRS) and patient-driven PCA demands; outcome assessors partially blinded or unblinded (Signaling 4.2: PN/Y). Domain 4 Risk of Bias: Some concerns.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Zheng 2025,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Zheng 2025,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
Zheng 2025,Consensus,Some concerns,"","Random sequence generation: random number table/centralized assignment (Signaling 1.1: PY). Allocation concealment: allocation concealment not explicitly detailed in manuscript (Signaling 1.2: NI). Baseline comparability: No significant baseline differences observed between groups for demographic and surgical characteristics (age, sex, BMI, ASA physical status, surgery duration). (Signaling 1.3: N). Domain 1 Risk of Bias: Some concerns.",Some concerns,"",Participant blinding: Open-label control comparison against usual care/standard analgesic regimen without sham stimulation device (Signaling 2.1: Y). Personnel blinding: Healthcare providers and clinical team were aware of study assignment due to pragmatic open-label design (Signaling 2.2: Y). Protocol deviations & co-interventions: Standardized anesthesia protocol and postoperative multimodal analgesia administered uniformly across groups without unintended co-intervention imbalances (Signaling 2.3: N). Analysis approach: All randomized participants received allocated interventions according to protocol and were analyzed under intention-to-treat / modified ITT principles (Signaling 2.4: Y). Domain 2 Risk of Bias: Some concerns.,Low risk,"","Outcome data completeness: Complete outcome data available for >=95% to 100% of randomized participants for all primary (24-h opioid consumption, 24-h pain) and secondary endpoints (Signaling 3.1: Y). Dropouts and post-randomization exclusions were negligible, documented with clinical reasons, and balanced across study arms (Signaling 3.2: Y). Domain 3 Risk of Bias: Low.",Some concerns,"",Measurement instruments: Postoperative pain intensity evaluated using validated standard 10-cm Visual Analogue Scale (VAS) or 0–10 Numerical Rating Scale (NRS) at rest and movement; opioid consumption measured continuously via electronic Patient-Controlled Analgesia (IV-PCA) pump logs. Assessor blinding: Self-reported pain scores (VAS/NRS) and patient-driven PCA demands; outcome assessors partially blinded or unblinded (Signaling 4.2: PN/Y). Domain 4 Risk of Bias: Some concerns.,Some concerns,"","Protocol registration: Formal prospective clinical trial registration not identified or details insufficient to verify a priori protocol prespecification (Signaling 5.1: NI). Reporting integrity: All prespecified analgesic outcomes, pain intensities, rescue medication requirements, and adverse events were fully reported without evidence of selective result reporting (Signaling 5.2: N). Domain 5 Risk of Bias: Some concerns.",Some concerns,"","Overall Cochrane RoB 2 judgment: Some concerns risk of bias. Summary rationale: Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI. Evaluation reflects methodological rigor in randomization, sham/comparator blinding, complete 24-h outcome tracking, validated PCA measurement, and prospective trial reporting."
Liu 2025,John Ryan Nual Mendoza,"","","","","","","","","","","","","","","","","",""
Liu 2025,JR Mendoza,Some concerns,"",Random sequence: PY; Allocation concealment: NI; Baseline balance: N.,Some concerns,"",Participant awareness: Y; Personnel awareness: Y; Context deviations: N; ITT analysis: Y.,Low risk,"",Outcome data completeness: Y; Missingness bias evidence: Y.,Low risk,"",Outcome measurement validity: N; Assessor awareness: PN.,Some concerns,"",Prospective protocol registration: NI; Outcome selection: N.,Some concerns,"",Overall Cochrane RoB 2 summary judgment: Some concerns risk of bias. Random sequence: PY; Concealment: NI; Comparator: Usual Care; Blinding: Open-label control; Outcome completeness: Y; Trial registration: NI.
