covidence_id,covidence_study_id,covidence_decision,exclusion_reason,excluded_on,doi,title,registry_report,match_rule,rejected_matches
1879895960,Liu 2026,INCLUDED,,,10.1186/s13741-026-00656-7,"Effect of transcutaneous electrical acupoint stimulation for preemptive analgesia on intraoperative opioid dosage in burn patients: a randomized, double-blind, controlled trial.",Liu 2026 (burn),TITLE FOUND IN SOURCE TEXT,
1879896597,Liu 2021,INCLUDED,,,10.2147/cia.s309082,Effects of Transcutaneous Electrical Acupoint Stimulation on Postoperative Cognitive Decline in Elderly Patients: A Pilot Study.,Liu 2021,TITLE FOUND IN SOURCE TEXT,
1879896009,Liu 2025,INCLUDED,,,10.1007/s11655-025-3844-7,"Transcutaneous Electrical Acupoint Stimulation Reduces Postoperative Abdominal Pain after Endoscopic Submucosal Dissection: A Single-Center, Prospective, and Randomized Controlled Trial.",Liu 2026 (ESD),TITLE FOUND IN SOURCE TEXT,
1879896618,Li 2021,INCLUDED,,,10.1016/j.joim.2021.01.005,Perioperative transcutaneous electrical acupoint stimulation for improving postoperative gastrointestinal function: A randomized controlled trial.,Li 2021,TITLE FOUND IN SOURCE TEXT,
1879896090,Long 2025,INCLUDED,,,10.1016/j.injury.2025.112660,Effect of electroacupuncture intervention before and after operation on perioperative neurocognitive disorders in elderly patients with hip fractures: A randomized controlled trial.,Long 2025,TITLE FOUND IN SOURCE TEXT,
1879895932,Luo 2026,INCLUDED,,,10.1186/s12906-026-05357-8,Perioperative transcutaneous electrical acupoint stimulation at pericardium 6 reduces postoperative nausea and vomiting after tympanoplasty patients: a randomized controlled study.,Luo 2026,TITLE FOUND IN SOURCE TEXT,
1879896426,Lu 2022,INCLUDED,,,10.2147/jmdh.s391852,Acupoint Stimulation for Enhanced Recovery After Colon Surgery: A Prospective Multicenter Randomized Controlled Trial.,Lu 2022,TITLE FOUND IN SOURCE TEXT,
1879896580,Lu 2021,INCLUDED,,,10.1016/j.jclinane.2021.110453,Transcutaneous electrical acupoint stimulation before surgery reduces chronic pain after mastectomy: A randomized clinical trial.,Lu 2021,TITLE FOUND IN SOURCE TEXT,
1879895855,Ma 2026,INCLUDED,,,10.2147/jpr.s619125,Preoperative Transcutaneous Electrical Acupoint Stimulation Alleviates Postoperative Pain and Improves Sleep Quality in Breast Cancer Patients with Preoperative Sleep Disturbance: A Partially Randomized Controlled Trial.,Ma 2026,TITLE FOUND IN SOURCE TEXT,
1879897195,Ng 2012,INCLUDED,,, 10.1053/j.gastro.2012.10.050; 10.1111/j.1463-1318.2011.02656.x;10.1053/j.gastro.2012.10.050,Electroacupuncture reduces duration of postoperative ileus after laparoscopic surgery for colorectal cancer.,Ng 2013,TITLE FOUND IN SOURCE TEXT,
1879897120,Ntritsou 2014,INCLUDED,,,10.1136/acupmed-2013-010498,Effect of perioperative electroacupuncture as an adjunctive therapy on postoperative analgesia with tramadol and ketamine in prostatectomy: a randomised sham-controlled single-blind trial.,Ntritsou 2014,TITLE FOUND IN SOURCE TEXT,
1879896396,Pan 2023,INCLUDED,,,10.2147/jpr.s399249,Transcutaneous Electrical Acupoint Stimulation Accelerates the Recovery of Patients Undergoing Laparoscopic Myomectomy: A Randomized Controlled Trial.,Pan 2023,TITLE FOUND IN SOURCE TEXT,
1879896891,PraveenaSeevaunnamtum 2016,INCLUDED,,,10.5812/aapm.40106,"Intraoperative Electroacupuncture Reduces Postoperative Pain, Analgesic Requirement and Prevents Postoperative Nausea and Vomiting in Gynaecological Surgery: A Randomised Controlled Trial.",Seevaunnamtum 2016,TITLE FOUND IN SOURCE TEXT,
1879897479,Sim 2002,INCLUDED,,,10.1136/aim.20.2-3.56,Effects of electroacupuncture on intraoperative and postoperative analgesic requirement.,Sim 2002,TITLE FOUND IN SOURCE TEXT,
1879896963,Sun 2017,INCLUDED,,,10.1097/ajp.0000000000000400,Perioperative Transcutaneous Electrical Acupoint Stimulation for Postoperative Pain Relief Following Laparoscopic Surgery: A Randomized Controlled Trial.,Sun 2017,TITLE FOUND IN SOURCE TEXT,
1879896309,Tu 2023,INCLUDED,,,10.1016/j.ctcp.2023.101824,Transcutaneous electrical acupoint stimulation for postoperative nausea and vomiting in patients undergoing craniotomy: A randomized controlled trial.,Tu 2024,TITLE FOUND IN SOURCE TEXT,
1879896259,Wang 2024,INCLUDED,,,10.1007/s12282-024-01606-1,Exploration of treatment strategies and susceptibility gene of postoperative nausea and vomiting in breast cancer patients: a randomised controlled trial.,Wang 2024,TITLE FOUND IN SOURCE TEXT,
1879896394,Wang 2023,INCLUDED,,,10.1007/s40122-023-00493-2,"Transcutaneous Electrical Acupoint Stimulation Improves Postoperative Sleep Quality in Patients Undergoing Laparoscopic Gastrointestinal Tumor Surgery: A Prospective, Randomized Controlled Trial.",Wang 2023,TITLE FOUND IN SOURCE TEXT,
1879897414,Wong 2006,INCLUDED,,,10.1016/j.athoracsur.2005.12.064,Analgesic effect of electroacupuncture in postthoracotomy pain: a prospective randomized trial.,Wong 2006,TITLE FOUND IN SOURCE TEXT,
1879896116,Wu 2025,INCLUDED,,,10.2147/jpr.s529193,Transcutaneous Electrical Acupoint Stimulation (TEAS) Facilitates Postoperative Recovery in Day Lung Cancer Surgery: A Randomized Controlled Trial.,Wu 2025,TITLE FOUND IN SOURCE TEXT,
1879896450,Wu 2022,INCLUDED,,,10.1186/s12871-022-01875-3,Perioperative transcutaneous electrical acupoint stimulation (pTEAS) in pain management in major spinal surgery patients.,Wu 2022,TITLE FOUND IN SOURCE TEXT,
1879897074,Xie 2014,INCLUDED,,,10.1007/s11596-014-1317-x,Effect of electro-acupuncture stimulation of Ximen (PC4) and Neiguan (PC6) on remifentanil-induced breakthrough pain following thoracal esophagectomy.,Xie 2014,TITLE FOUND IN SOURCE TEXT,
1879896460,Xing 2022,INCLUDED,,,10.1007/s40122-022-00429-2,Effect of Transcutaneous Electrical Acupoint Stimulation Combined with Transversus Abdominis Plane Block on Postoperative Recovery in Elderly Patients Undergoing Laparoscopic Gastric Cancer Surgery: A Randomized Controlled Trial.,Xing 2022,TITLE FOUND IN SOURCE TEXT,
1879896608,Xiong 2021,INCLUDED,,,10.1007/s11695-020-05205-9,"Transcutaneous Electrical Acupoint Stimulation Combined with Dexamethasone and Tropisetron Prevents Postoperative Nausea and Vomiting in Female Patients Undergoing Laparoscopic Sleeve Gastrectomy: a Prospective, Randomized Controlled Trial.",Xiong 2021,TITLE FOUND IN SOURCE TEXT,
1879896323,Yang 2023,INCLUDED,,, 10.1016/j.explore.2023.11.004;10.1016/j.explore.2023.11.004, Effects of perioperative electroacupuncture on postoperative gastrointestinal recovery after thoracoscopic lung surgery,Yang 2024,TITLE FOUND IN SOURCE TEXT,
1879896661,Yang 2020,INCLUDED,,,10.12659/msm.920648,Effect of Electroacupuncture on Postoperative Gastrointestinal Recovery in Patients Undergoing Thoracoscopic Surgery: A Feasibility Study.,Yang 2020,TITLE FOUND IN SOURCE TEXT,
1879897026,Yao 2015,INCLUDED,,,10.1155/2015/324360,Transcutaneous Electrical Acupoint Stimulation Improves the Postoperative Quality of Recovery and Analgesia after Gynecological Laparoscopic Surgery: A Randomized Controlled Trial.,Yao 2015,TITLE FOUND IN SOURCE TEXT,
1879897280,Yeh 2010,INCLUDED,,, 10.1016/j.ijnurstu.2010.10.009;10.1016/j.ijnurstu.2010.10.009,Pain reduction of acupoint electrical stimulation for patients with spinal surgery: a placebo-controlled study.,Yeh 2011,TITLE FOUND IN SOURCE TEXT,
1879897273,Yeh 2010,INCLUDED,,,,Acupoint electrical stimulation reduces acute postoperative pain in surgical patients with patient-controlled analgesia: a randomized controlled study.,Yeh 2010,MANUAL: second Covidence record labelled Yeh 2010; ATHM report,
1879896692,Yu 2020,INCLUDED,,,10.1186/s13063-019-3892-4,"The effect of TEAS on the quality of early recovery in patients undergoing gynecological laparoscopic surgery: a prospective, randomized, placebo-controlled trial.",Yu 2020,TITLE FOUND IN SOURCE TEXT,
1879897091,Zhang 2014,INCLUDED,,,10.1111/anae.12639,"The effect of pre-treatment with transcutaneous electrical acupoint stimulation on the quality of recovery after ambulatory breast surgery: a prospective, randomised controlled trial.",Zhang 2014,TITLE FOUND IN SOURCE TEXT,
1879896412,Zhang 2023,INCLUDED,,,10.1007/s00268-023-06924-7,Transcutaneous Electrical Acupoints Stimulation Improves Spontaneous Voiding Recovery After Laparoscopic Cholecystectomy: A Randomized Clinical Trial.,Zhang 2023,TITLE FOUND IN SOURCE TEXT,
1879896013,Zhang 2025,INCLUDED,,,10.2147/jpr.s553932,"Effects of Transcutaneous Electrical Acupoint Stimulation on Postoperative Acute Visceral, Incisional, and Low Back Pain and Recovery in Patients Undergoing Laparoscopic Hysterectomy: A Randomized Controlled Trial.",Zhang 2025,TITLE FOUND IN SOURCE TEXT,
1881841076,Zhan 2020,INCLUDED,,, 10.1016/j.eujim.2020.101087, Addition of transcutaneous electric acupoint stimulation to transverse abdominis plane block for postoperative analgesia in abdominal surgery: a randomized controlled trial,Zhan 2020,TITLE FOUND IN SOURCE TEXT,
1879896014,Zheng 2025,INCLUDED,,,10.2147/jpr.s543574,"Effects of Transcutaneous Electrical Acupoint Stimulation on Recovery After Gynecological Laparoscopic Surgery: A Randomized, Single-Blind, Controlled Trial.",Zheng 2025,TITLE FOUND IN SOURCE TEXT,
1879896611,Zhou 2021,INCLUDED,,, 10.1016/j.clnesp.2023.09.459;10.2147/cmar.s292325,Effects of Transcutaneous Electrical Acupoint Stimulation (TEAS) on Postoperative Recovery in Patients with Gastric Cancer: A Randomized Controlled Trial.,Zhou 2021,TITLE FOUND IN SOURCE TEXT,
1879896105,Zhou 2025,INCLUDED,,,10.2147/tcrm.s507856,Efficacy of Transcutaneous Electrical Acupoint Stimulation Applied During the Post-Anesthesia Recovery Period in Improving Postoperative Recovery Quality After Gynecological Laparoscopic Surgery: A Randomized Controlled Trial.,Zhou 2025,TITLE FOUND IN SOURCE TEXT,
1879896528,Zhu 2022,INCLUDED,,,10.1177/09645284221076517,Preoperative electroacupuncture for postoperative nausea and vomiting in laparoscopic gynecological surgery: a randomized controlled trial.,Zhu 2022,TITLE FOUND IN SOURCE TEXT,
1879897288,An 2010,EXCLUDED,Wrong outcomes,20/08/26,,[Effect of electroacupuncture on Sevoflurane anesthesia in patients undergoing resection of supratentorial tumor].,,NO REGISTRY MATCH,
1881841646,An 2011,EXCLUDED,Wrong outcomes,20/08/26, 10.1097/ana.0b013e31822d8464, The application of electro-Acupuncture combined with sevoflurane anesthesia in neurosurgery,,NO REGISTRY MATCH,
1879896874,Bai 2018,EXCLUDED,Wrong outcomes,20/08/26,10.1097/ana.0000000000000460,Effects of Transcutaneous Electrical Acupoint Stimulation on the Stress Response During Extubation After General Anesthesia in Elderly Patients Undergoing Elective Supratentorial Craniotomy: A Prospective Randomized Controlled Trial.,,NO REGISTRY MATCH,
1879896140,Cai 2025,EXCLUDED,Wrong outcomes,20/08/26,10.1245/s10434-025-17239-3,Randomized Trial on Electroacupuncture for Recovery of Postoperative Gastrointestinal Function Based on Long-Term Monitoring Device.,,NO REGISTRY MATCH,
1879896749,Capodice 2019,EXCLUDED,Wrong intervention,20/08/26,10.1089/end.2018.0665,"A Randomized, Double-Blind, Sham-Controlled Study Assessing Electroacupuncture for the Management of Postoperative Pain after Percutaneous Nephrolithotomy.",,NO REGISTRY MATCH,
1881842368,Chang 2020,EXCLUDED,Wrong comparator,20/08/26, 10.1016/j.imr.2020.100594, To investigate the meridian through electroacupuncture for postoperative pain relief in patients with arthroscopic repair for triangular fibrocartilage complex (TFCC) tears,,NO REGISTRY MATCH,
1879896095,Cheng 2025,EXCLUDED,Wrong outcomes,20/08/26,10.13703/j.0255-2930.20240814-k0004,[Effect of perioperative transcutaneous electrical acupoint stimulation on postoperative fatigue syndrome in elderly patients].,,NO REGISTRY MATCH,
1879896823,Chen 2018,EXCLUDED,Wrong outcomes,20/08/26,10.4240/wjgs.v10.i2.13,Transcutaneous electroacupuncture alleviates postoperative ileus after gastrectomy: A randomized clinical trial.,,NO REGISTRY MATCH,
1879896981,Chen 2016,EXCLUDED,Wrong outcomes,01/09/26,10.1155/2016/2126416,Electroacupuncture Reduces Postoperative Pain and Analgesic Consumption in Patients Undergoing Thoracic Surgery: A Randomized Study.,,NO REGISTRY MATCH,
1879896987,Chen 2015,EXCLUDED,Publication language,20/08/26,,[Electroacupuncture Intervention Combined with Anesthetics for Analgesia and Post-surgical Gastrointestinal Recovery in Pneumectomy Patients].,,NO REGISTRY MATCH,
1879896203,Chen 2024,EXCLUDED,Wrong outcomes,20/08/26,10.1080/08941939.2024.2434093,"A Randomized Controlled Trial Assessing the Impact of Transcutaneous Electrical Acupoint Stimulation on Gastrointestinal Motility, Nutritional Status, and Immune Function in Patients Following Cerebrovascular Accident Surgery.",,NO REGISTRY MATCH,
1879897504,Chiu 1999,EXCLUDED,Wrong intervention,01/09/26,10.1007/bf02237124,"Effect of transcutaneous electrical nerve stimulation for pain relief on patients undergoing hemorrhoidectomy: prospective, randomized, controlled trial.",,NO REGISTRY MATCH,
1879897531,Christensen 1993,EXCLUDED,Wrong outcomes,01/09/26,10.1093/bja/71.6.835,Electroacupuncture in anaesthesia for hysterectomy.,,NO REGISTRY MATCH,
1881841248,Chugh 2016,EXCLUDED,Study not retrieved,20/08/26, 10.1089/end.2016.29020.abstracts, A randomized double-blinded sham controlled study of electro-acupuncture for the management of postoperative pain after percutaneous nephrolithotomy,,NO REGISTRY MATCH,
1881842467,Chung 2014,EXCLUDED,Wrong intervention,20/08/26, 10.1016/j.pmn.2013.07.010, Acupoint stimulation to improve analgesia quality for lumbar spine surgical patients,,NO REGISTRY MATCH,
1879897141,Chung 2013,EXCLUDED,Wrong intervention,20/08/26,10.1016/j.pmn.2013.07.010,Acupoint stimulation to improve analgesia quality for lumbar spine surgical patients.,,NO REGISTRY MATCH,
1879897298,Colak 2010,EXCLUDED,Wrong outcomes,01/09/26,,Postoperative pain and respiratory function in patients treated with electroacupuncture following coronary surgery.,,NO REGISTRY MATCH,
1879897035,Dalamagka 2015,EXCLUDED,Wrong intervention,20/08/26,10.1136/acupmed-2014-010689,Postoperative analgesia after low-frequency electroacupuncture as adjunctive treatment in inguinal hernia surgery with abdominal wall mesh reconstruction.,,NO REGISTRY MATCH,
1879896487,Ding 2022,EXCLUDED,Wrong outcomes,20/08/26,10.1089/jicm.2021.0141,The Preventive Effect of Transcutaneous Electrical Acupoint Stimulation on Postoperative Delirium in Elderly Patients with Time Factors: A Randomized Trial.,,NO REGISTRY MATCH,
1879896683,Ding 2020,EXCLUDED,Wrong outcomes,20/08/26,10.13703/j.0255-2930.20190213-00014,[Effect of electroacupuncture on rehabilitation of knee joint movement after anterior cruciate ligament reconstruction].,,NO REGISTRY MATCH,
1879897256,Ding 2011,EXCLUDED,Wrong intervention,20/08/26,,[Effects of laparoscopic cholecystectomy under different anesthetic methods on T-lymphocyte immune function and postoperative analgesia].,,NO REGISTRY MATCH,
1879897149,Ding 2013,EXCLUDED,Wrong outcomes,20/08/26,,[Effects of acupuncture combined general anesthesia on endorphin and hemodynamics of laparoscopic cholecystectomy patients in the perioperative phase].,,NO REGISTRY MATCH,
1879896592,Ding 2021,EXCLUDED,Wrong outcomes,20/08/26,10.13703/j.0255-2930.20201125-0004,[Effect of electroacupuncture at Neiguan (PC 6) on pulmonary function during one-lung ventilation in patients with lobectomy].,,NO REGISTRY MATCH,
1879897063,Ertas 2015,EXCLUDED,Wrong outcomes,01/09/26,10.1097/hnp.0000000000000061,Effects of P6 acustimulation with the ReliefBand on postoperative nausea and vomiting in patients undergoing gynecological laparoscopy.,,NO REGISTRY MATCH,
1879897200,Fan 2012,EXCLUDED,Wrong outcomes,20/08/26,,[Influence of acupuncture-drug compound anesthesia with different frequency electroacupuncture on immune function in patients undergoing pneumonectomy].,,NO REGISTRY MATCH,
1882882029,Frey 2009,EXCLUDED,Wrong outcomes,20/08/26,10.1093/bja/aep014,P6 acustimulation effectively decreases postoperative nausea and vomiting in high-risk patients,,NO REGISTRY MATCH,
1879897233,Fu 2011,EXCLUDED,Publication language,20/08/26,,[Observation on the anti-stress effect of acupuncture-assisted anesthesia for puhnlmonary lobectomy patients].,,NO REGISTRY MATCH,
1879896270,Fu 2024,EXCLUDED,Wrong outcomes,20/08/26,10.1016/j.heliyon.2024.e30012,Intraoperative transcutaneous electroacupoint stimulation on early postoperative fatigue in patients with Parkinson's disease undergoing deep brain stimulation surgery.,,NO REGISTRY MATCH,
1879896778,Gao 2018,EXCLUDED,Wrong outcomes,01/09/26,10.2147/cia.s183698,Transcutaneous electrical acupoint stimulation for prevention of postoperative delirium in geriatric patients with silent lacunar infarction: a preliminary study.,,NO REGISTRY MATCH,
1879895949,Gao 2026,EXCLUDED,Wrong outcomes,20/08/26,10.2147/cia.s581811,Effect of Continuous Perioperative Transcutaneous Electrical Acupoint Stimulation on Postoperative Delirium in Elderly Patients Undergoing Laparoscopic Gastrointestinal Surgery: A Randomized Controlled Trial.,,NO REGISTRY MATCH,
1879896642,Gao 2020,EXCLUDED,Wrong outcomes,20/08/26,10.13703/j.0255-2930.20190729-k0001,[Effect of transcutaneous electrical acupoint stimulation on catheter related bladder discomfort after ureteroscopic lithotripsy].,,NO REGISTRY MATCH,
1879896511,Gao 2022,EXCLUDED,Wrong outcomes,20/08/26,10.3389/fmed.2022.766244,Transcutaneous Electrical Acupoint Stimulation Decreases the Incidence of Postoperative Nausea and Vomiting After Laparoscopic Non-gastrointestinal Surgery: A Multi-Center Randomized Controlled Trial.,Gao 2022,TITLE FOUND IN SOURCE TEXT,
1879897448,Gejervall 2004,EXCLUDED,Wrong setting,20/08/26,10.1093/humrep/deh665,Electro-acupuncture versus conventional analgesia: a comparison of pain levels during oocyte aspiration and patients' experiences of well-being after surgery.,,NO REGISTRY MATCH,
1879896567,Ge 2021,EXCLUDED,Wrong outcomes,20/08/26,10.12200/j.issn.1003-0034.2021.08.011,[Clinical efficacy of adductor canal blockade combined with transcutaneous electrical acupoint stimulation for total knee arthroplasty].,,NO REGISTRY MATCH,
1879896119,Guan 2025,EXCLUDED,Wrong outcomes,20/08/26,10.13703/j.0255-2930.20240618-k0003,[Effect of electroacupuncture on intestinal function after gastric cancer surgery].,,NO REGISTRY MATCH,
1879897377,He 2008,EXCLUDED,Wrong outcomes,20/08/26,,[Analgesic effect of transcutaneous electrical acupoint stimulation combined with target-controlled infusion in general anesthesia and effects on cardiovascular system].,,NO REGISTRY MATCH,
1879896680,He 2020,EXCLUDED,Wrong outcomes,20/08/26,10.13702/j.1000-0607.1901256,[Effect of low-frequency electrical acupoint stimulation on gastrointestinal motility function following radical gastrectomy in patients with gastric cancer].,,NO REGISTRY MATCH,
1881841159,He 2024,EXCLUDED,Wrong outcomes,20/08/26, 10.3760/cma.j.cn131073.20240422.01114, Improved anesthesia strategy for lumbar spine surgery in elderly patients: transcutaneous electrical acupoint stimulation-erector spinal plane block-general anesthesia,,NO REGISTRY MATCH,
1879896535,He 2022,EXCLUDED,Wrong outcomes,20/08/26,10.13703/j.0255-2930.20210125-0004,[Postoperative ileus after laparotomy for gastrointestinal cancer treated with electroacupuncture: a randomized controlled trial].,,NO REGISTRY MATCH,
1881840718,He 2025,EXCLUDED,Wrong outcomes,20/08/26, 10.3760/cma.j.cn131073-20241105-00614, Preventive effects of transcutaneous electrical acupoint stimulation on chronic pain after lumbar spine surgery,,NO REGISTRY MATCH,
1879896926,Hou 2016,EXCLUDED,Wrong outcomes,20/08/26,10.1016/s0254-6272(16)30061-9,Effect of electric acupoint stimulation on gastrointestinal hormones and motility among geriatric postoperative patients with gastrointestinal tumors.,,NO REGISTRY MATCH,
1879896264,Hou 2024,EXCLUDED,Wrong outcomes,20/08/26,10.1016/j.ctim.2024.103055,Transcutaneous electrical acupoint stimulation to prevent dizziness after microvascular decompression for hemifacial spasm: A randomized controlled trial.,,NO REGISTRY MATCH,
1879896346,Hou 2023,EXCLUDED,Wrong outcomes,20/08/26,10.4240/wjgs.v15.i7.1474,Transcutaneous electrical acupoint stimulation in adult patients receiving gastrectomy/colorectal resection: A randomized controlled trial.,,NO REGISTRY MATCH,
1879896669,Huang 2020,EXCLUDED,Wrong outcomes,20/08/26,10.13703/j.0255-2930.20190326-k0010,[Effect of transcutaneous electrical acupoint stimulation on postoperative olfactory memory disorder and plasma melatonin in patients with general anesthesia of sevoflurane].,,NO REGISTRY MATCH,
1879896675,Huang 2019,EXCLUDED,Wrong outcomes,20/08/26,,"Effect of electrically stimulating acupoint, Zusanli (ST 36), on patient's recovery after laparoscopic colorectal cancer resection: a randomized controlled trial.",,NO REGISTRY MATCH,
1879896784,Huang 2018,EXCLUDED,Publication language,20/08/26,10.13702/j.1000-0607.180005,[Application of Transcutaneous Electrical Acupoint Stimulation Combined with Transversus Abdominis Plane Block to Enhanced Recovery After Surgery in Patients Undergoing Laparoscopic Colorectal Cancer Resection: A Randomized Controlled Clinical Trial].,,NO REGISTRY MATCH,
1879897000,Huang 2015,EXCLUDED,Publication language,20/08/26,,[Impacts of the transcutaneous electrical acupoint stimulation on EC50 in the remifentanil inhibition of tracheal intubation response].,,NO REGISTRY MATCH,
1881841239,Jang 2003,EXCLUDED,Wrong outcomes,20/08/26,, Transcutaneous Electrical Stimulation of the P6 Acupoint Reduces Postoperative Nausea and Vomiting after Laparoscopic Cholecystectomy,,NO REGISTRY MATCH,
