report_id,trial_id,registry_ids,identity_excerpts,source_text,decision
Huang 2025,Huang_2025,,"epartment of Gynaecology, The Affiliated Traditional Chinese Medicine Hospital, Southwest Medical University, Luzhou 646000, Sichuan, China; 2Department of Anesthesiology, The Affiliated Traditional Chinese Medicine Hospital, Southwest Medical University,  | tment of Anesthesiology, The Affiliated Traditional Chinese Medicine Hospital, Southwest Medical University, Luzhou 646000, Sichuan, China Received November 16, 2024; Accepted March 8, 2025; Epub April 15, 2025; Published April 30, 2025 Abstract: Objectives |  groups after surgery at the Affiliated Traditional Chinese Medicine Hospital, Southwest Medical University, China. Members of both groups consented to standard postoperative treatment, and the intervention group received EA treatment starting 3-5 hours a | cy remains limited, and the incidence of POGD remains high, ranging between 10% and 30% of patients, depending on the type and site of surgery [3, 4]. The delayed recovery of GI func­ tion is associated with prolonged length of stay (LOS) and increased | e global meta-analysis, POGD results in a me- an increase in overall hospitalization costs by 8233 euros (66.3%), significantly escalating the financial burden on patients and healthcare systems [6, 7]. Due to the restriction of normal social activities | inal function following laparoscopic gynecological surgery. Methods Ethics statement This single-center, two-arm, single-blind, pro­ spective randomized study was conducted between June 2024 and September 2024 at the Gynecology Department of the Affil |  two-arm, single-blind, pro­ spective randomized study was conducted between June 2024 and September 2024 at the Gynecology Department of the Affiliated Traditional Chinese Medicine Hospital of Sou- thwest Medical University, China. This study adhered t | Gynecology Department of the Affiliated Traditional Chinese Medicine Hospital of Sou- thwest Medical University, China. This study adhered to the principles of the Declaration of Helsinki. The trial was approved by the hospital ethics committee (approval | ciples of the Declaration of Helsinki. The trial was approved by the hospital ethics committee (approval number: KY2024- 023) and registered at medicalresearch.org.cn (registration number: MR-51-24-038798). All patients provided written informed consent  | the Declaration of Helsinki. The trial was approved by the hospital ethics committee (approval number: KY2024- 023) and registered at medicalresearch.org.cn (registration number: MR-51-24-038798). All patients provided written informed consent prior ",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Huang_2025.txt,No additional cohort merge justified by available identity evidence
Jiang 2026,Jiang_2026,NCT03724656,"Zhang b, Jianbo Yu b,* a Department of Anesthesiology, Shanxi Bethune Hospital, Shanxi Academy of Medical Sciences, Third Hospital of Shanxi Medical University, Tongji Shanxi Hospital, Taiyuan, 030032, China b Department of Anesthesiology and Critical Care  | y, Shanxi Bethune Hospital, Shanxi Academy of Medical Sciences, Third Hospital of Shanxi Medical University, Tongji Shanxi Hospital, Taiyuan, 030032, China b Department of Anesthesiology and Critical Care Medicine, Tianjin Nankai Hospital, Tianjin, 300100,  |  Sciences, Third Hospital of Shanxi Medical University, Tongji Shanxi Hospital, Taiyuan, 030032, China b Department of Anesthesiology and Critical Care Medicine, Tianjin Nankai Hospital, Tianjin, 300100, China A R T I C L E I N F O Keywords: Gastrointestina | partment of Anesthesiology and Critical Care Medicine, Tianjin Nankai Hospital, Tianjin, 300100, China A R T I C L E I N F O Keywords: Gastrointestinal disorder Laparoscopy Randomized controlled trial Transcutaneous electrical acupoint stimulation A B S T R  | defecation, postoperative nausea and vomiting (PONV) rate, length of hospital stay, hospital expenses, numeric rating scale (NRS) pain score, and incidence of postoperative complications. Results: A total of 587 patients were enrolled and assigned to the T | toperative nausea and vomiting (PONV) rate, length of hospital stay, hospital expenses, numeric rating scale (NRS) pain score, and incidence of postoperative complications. Results: A total of 587 patients were enrolled and assigned to the TEAS (n = 294) o | lled and assigned to the TEAS (n = 294) or sham-TEAS (n = 293) group between May 15, 2019, and October 18, 2021. Compared with the sham-TEAS group, the TEAS group had a significantly shorter time to first flatus (median [interquartile range (IQR)], 21.50  |  vs. 3 [2–3.5]; p = 0.026). There were no significant differences in hospital stay length and hospitalization expenses. Conclusion: TEAS accelerates gastrointestinal function recovery in patients undergoing laparoscopic non- gastrointestinal surgery, reduc | ). There were no significant differences in hospital stay length and hospitalization expenses. Conclusion: TEAS accelerates gastrointestinal function recovery in patients undergoing laparoscopic non- gastrointestinal surgery, reducing PONV, abdominal diste | scopic surgery offers advantages such as less surgical pain, shorter hospital stays, fewer infections, and faster return to normal activities [1–3]. However, the creation of pneumoperitoneum, the application of anaesthetics, and mechanical punctures duri",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Jiang_2026.txt,No additional cohort merge justified by available identity evidence
Jin 2023,Jin_2023,,"re controlled clinical trial was conducted at a tertiary uni- versity hospital in China. Female patients who underwent cesarean deliv- ery and received fentanyl as patient-controlled intravenous analgesia for postoperative analgesia were enrolled. Patients w | 1, 2021, to December 31, 2021, at the Department of Obstetrics at our hospital. The protocol was carried out following the Declaration of Helsinki and was approved by the Ethics Review Committee of our hospital (permission number: 2021-0373). All participant | ied out following the Declaration of Helsinki and was approved by the Ethics Review Committee of our hospital (permission number: 2021-0373). All participants provided written informed consent before participation. We followed the Consolidated Standards o | on of Helsinki and was approved by the Ethics Review Committee of our hospital (permission number: 2021-0373). All participants provided written informed consent before participation. We followed the Consolidated Standards of Reporting Trials reporting guide | hours after surgery). The randomization sequence was generated at our hospital, and participants were randomized using the sealed envelope method. Physicians with experience in acupuncture provided the EA or sham EA intervention. Participants, outcome assess | irwise com- parison, a signiﬁcant difference in the NAPC was observed between the sham EA group and the 2-Hz EA (P<.001 after adjustment) and 20/100−Hz EA groups (P<.05 after adjustment), but not between the 2 EA groups (P>.05 after adjustment) (Table 2). S | adjustment) and 20/100−Hz EA groups (P<.05 after adjustment), but not between the 2 EA groups (P>.05 after adjustment) (Table 2). Secondary outcomes There were differences in the number of compressions among the 3 groups at 6, 12, and 24 hours after surgery | pairwise comparison, a signiﬁcant difference in the NAPC was observed between the sham EA group and the 2- Hz EA (P<.001 after adjustment) and 20/100−Hz EA groups (P<.05 after adjustment), but not between the 2 EA groups (P>.05 after adjustment) (Table 2).  | adjustment) and 20/100−Hz EA groups (P<.05 after adjustment), but not between the 2 EA groups (P>.05 after adjustment) (Table 2). FIGURE 1 Study ﬂowchart EA, electroacupuncture; ITT, intention to treat; PCIA, patient-controlled intravenous analgesia. Jin. E | the two EA groups than in the sham EA group, with little differ- ence between the 2-Hz and 20/100−Hz groups (P>.05). The decrease in pain scores over time in the sham EA group was signiﬁcantly smaller than that in the EA groups (Figure 2). Fentanyl consumpt",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Jin_2023.txt,No additional cohort merge justified by available identity evidence
Lee 2011,Lee_2011,,"01, Australia 2Department of Anesthesiology, China Medical University Hospital, Taichung 40447, Taiwan Correspondence should be addressed to Hong Xu, hong.xu@vu.edu.au Received 17 January 2011; Accepted 24 March 2011 Copyright © 2011 Daniel Lee et al. This i |  amount of perceived pain felt by each subject. Diﬀerences were found between the means postoperatively at three, four, eight, 16 and 24 hours. Post hoc comparison tests indicated that Group 4 was signiﬁcantly diﬀerent from Groups 1, 2, and 3 at 24 hours. A | controlled analgesia demand and doses indicated signiﬁcant diﬀerences between the groups F(3,42) = 3.59, P < .05. Post hoc analysis conﬁrmed the diﬀerences between Groups 1 (M = 84.54) and 4 (M = 41.60). Treatment outcomes of this therapy showed a positive  | ps F(3,42) = 3.59, P < .05. Post hoc analysis conﬁrmed the diﬀerences between Groups 1 (M = 84.54) and 4 (M = 41.60). Treatment outcomes of this therapy showed a positive eﬀect for the management of postoperative pain. 1. Introduction Acupuncture has been u | ntal design. Hysterectomized patients at the China Medical University Hospital were invited to be subjects in the study. The study was approved by the related institutions, and ethics approval was gained from the Human Research Ethics Committee of La Trobe U | in the study. The study was approved by the related institutions, and ethics approval was gained from the Human Research Ethics Committee of La Trobe University Australia and China Medical University Hospital Taiwan, before conducting the clinical trial.  |  institutions, and ethics approval was gained from the Human Research Ethics Committee of La Trobe University Australia and China Medical University Hospital Taiwan, before conducting the clinical trial. All subjects were asked to complete a medical suita | mmittee of La Trobe University Australia and China Medical University Hospital Taiwan, before conducting the clinical trial. All subjects were asked to complete a medical suitability form for SSP needle-free EA treatment, received an explanation form, and we | cts, nor the nurse collecting the results was aware of the diﬀerences between the diﬀerent interventions. Therefore, there was no disclosure to the subjects in relation to what interventions they had received. In this study there were four groups of subject | ubsequent 23 hours. There was a lockout time of 8 minutes. Doses were registered on a chart. Immediately on return to the general ward from the recovery room, the subjects were asked to complete a VAS for intensity of pain at the time. The VAS is a 10 cm line ",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lee_2011.txt,No additional cohort merge justified by available identity evidence
Li 2021,Li_2021,ChiCTR1900023263,"han Xue a, Yi Du c a Department of Anesthesiology, Beijing Friendship Hospital, Capital Medical University, Beijing 100050, China b Department of Anesthesiology, Beijing Hui-Min Hospital, Beijing 100053, China c Department of Traditional Chinese Medicine, Be | Beijing 100050, China b Department of Anesthesiology, Beijing Hui-Min Hospital, Beijing 100053, China c Department of Traditional Chinese Medicine, Beijing Friendship Hospital, Capital Medical University, Beijing 100050, China a r t i c l e i n f o Article h | hina c Department of Traditional Chinese Medicine, Beijing Friendship Hospital, Capital Medical University, Beijing 100050, China a r t i c l e i n f o Article history: Received 2 September 2020 Accepted 16 November 2020 Available online 13 January 2021 Keyw | currence were signiﬁcantly lower in group T (P < 0.01). Postoperative hospitalization days and the resulting cost to patients were greatly reduced in the TEAS group (P < 0.01). Conclusion: Perioperative TEAS was able to promote the recovery of postoperative  | d trial. J Integr Med. 2021; 19(3): 211–218.  2021 Shanghai Changhai Hospital. Published by ELSEVIER B.V. All rights reserved. https://doi.org/10.1016/j.joim.2021.01.005 2095-4964/ 2021 Shanghai Changhai Hospital. Published by ELSEVIER B.V. All rights rese | doi.org/10.1016/j.joim.2021.01.005 2095-4964/ 2021 Shanghai Changhai Hospital. Published by ELSEVIER B.V. All rights reserved. ⇑Corresponding author. E-mail address: anlixin8120@163.com (L.X. An). Journal of Integrative Medicine 19 (2021) 211–218 Contents l | inimize its prevalence, the incidence of PGD is still high, affecting between 10% and 30% of patients who have received abdominal surgery [2,3]. The delayed recovery of gastrointestinal function is associ- ated with a longer hospital stay and higher risks o | d recovery of gastrointestinal function is associ- ated with a longer hospital stay and higher risks of postoperative complications, which not only increases the healthcare costs to patients but also increases the burden on hospital resources [4,5]. These co | ses the healthcare costs to patients but also increases the burden on hospital resources [4,5]. These costs emphasize the importance of prevention and treatment of PGD. Recently, various techniques have been investigated to prevent and alleviate PGD. Early m | nism of this action is related to the brain-gut axis. 2. Methods 2.1. Ethics statement This single-blinded randomized controlled trial was conducted at Beijing Friendship Hospital, Capital Medical University, China. The study protocol was approved by Beij",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Li_2021.txt,No additional cohort merge justified by available identity evidence
Li 2022,Li_2022,ChiCTR2100050235,"i Cui, Qian Xu, Weiqian Tian Department of Anesthesiology, Affiliated Hospital of Nanjing University of Chinese Medicine, Jiangsu Province Hospital of Chinese Medicine, Nanjing, Jiangsu, People’s Republic of China Correspondence: Weiqian Tian, Department of  |  Hospital of Nanjing University of Chinese Medicine, Jiangsu Province Hospital of Chinese Medicine, Nanjing, Jiangsu, People’s Republic of China Correspondence: Weiqian Tian, Department of Anesthesiology, Affiliated Hospital of Nanjing University of Chinese  | orrespondence: Weiqian Tian, Department of Anesthesiology, Affiliated Hospital of Nanjing University of Chinese Medicine, Jiangsu Province Hospital of Chinese Medicine, Hanzhong Road 155, Nanjing, Jiangsu, 210029, People’s Republic of China, Tel +86 139 1476 |  Hospital of Nanjing University of Chinese Medicine, Jiangsu Province Hospital of Chinese Medicine, Hanzhong Road 155, Nanjing, Jiangsu, 210029, People’s Republic of China, Tel +86 139 14764426, Email tianweiqiantwq6@126.com Objective: Electroacupuncture (EA | . At 24 and 48 h after surgery, no significant differences were found between the two groups, although the pain intensity of the EA group was less than that of the SEA group. There were also no substantial differences between the two groups in the frequency | han that of the SEA group. There were also no substantial differences between the two groups in the frequency of postoperative adverse reactions and rescue analgesia needed. Conclusion: EA administered 24 h before surgery could alleviate RPH in patients und | tion in surgical patients. Furthermore, it can adequately distinguish between hyperalgesia and pain intensity.11 Clinical trials have reported the use of QST in patients undergoing thyroidectomy who experienced RPH (9, 10). Von Frey monofilament (VFM) testi | ter trial. Approval of the research was granted by the Human Research Ethics Committee of the Affiliated Hospital of Nanjing University of Traditional Chinese Medicine, Nanjing, China (2021NL-198-02), and it was registered at the Chinese Clinical Trial Re |  was granted by the Human Research Ethics Committee of the Affiliated Hospital of Nanjing University of Traditional Chinese Medicine, Nanjing, China (2021NL-198-02), and it was registered at the Chinese Clinical Trial Registry (ChiCTR2100050235) before patie | ditional Chinese Medicine, Nanjing, China (2021NL-198-02), and it was registered at the Chinese Clinical Trial Registry (ChiCTR2100050235) before patient enrollment. All patients were briefed on the procedures and methodologies used in the research before it b",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Li_2022.txt,No additional cohort merge justified by available identity evidence
Liang 2021,Liang_2021,ChiCTR1800019951," ,2 JunLu Wang ,2 and JinGui Yu 1 1Department of Anesthesiology, Qilu Hospital, Cheeloo College of Medicine, Shandong University, Jinan, Shandong 250012, China 2Department of Anesthesiology, First Aﬃliated Hospital of Wenzhou Medical University, Wenzhou, Zhe |  Shandong 250012, China 2Department of Anesthesiology, First Aﬃliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang 325000, China Correspondence should be addressed to JinGui Yu; yujingui1109@126.com Received 22 December 2020; Accepted 21 January | ctive, randomized, controlled, double-blind study was approved by the ethics committee for clinical research in Clinical Research of the First Aﬃliated Hospital of Wenzhou Medical (no. 2019-111) and registered in the Chinese Clinical Trial Registry (Regis | ttee for clinical research in Clinical Research of the First Aﬃliated Hospital of Wenzhou Medical (no. 2019-111) and registered in the Chinese Clinical Trial Registry (Registration number: ChiCTR1800019951), on December 9, 2018. )is trial was performed in ac |  of the First Aﬃliated Hospital of Wenzhou Medical (no. 2019-111) and registered in the Chinese Clinical Trial Registry (Registration number: ChiCTR1800019951), on December 9, 2018. )is trial was performed in accordance with the Declaration of Helsinki. Writte | ng intraoperative urinary catheterization were enrolled for the trial between December 2019 and August 2020. Inclusion criteria were as follows: patients aged 18–64 years, American Society of Anesthesiologists (ASA) status II or III, clinical diagnosis of b | collected and analyzed (Figure 2). )ere were no signiﬁcant diﬀerences between the two groups for age, heights, weight, body mass index (BMI), time of anesthesia and surgery, intraoperative sufentanil, propofol, remifentanil consump- tion, and liquid dosage  | e surgery. However, neither MAP and HR nor SPO2 and core temperatures between the two groups had signiﬁcant diﬀerences at all times (Table 3). 3.3. Postoperative Pain and PONV and QoR-40 Scores. )ere was no signiﬁcant diﬀerence in the incidence of PONV and  | ant diﬀerence in the incidence of PONV and pain in patients over time between the two groups. However, the number of patients who required extra analgesia in the control group was much higher than that in the TEAS group [3.8(1.9) vs. 5.0(2.9), P  0.045] (T | [28.3(1.4) vs. 26.2(2.8)]; however, there was no signiﬁcant diﬀerence between the two groups (Table 4). 3.4. Serum Biochemical Parameters Assessment. Serum levels of glucose increased from the time T5 to T10, which cor- responded with the usage of 5% glucos",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liang_2021.txt,No additional cohort merge justified by available identity evidence
Lin 2002,Lin_2002,,"aiwan, ROC cDepartment of Anesthesiology, Shin-Kong Wu Ho-Su Memorial Hospital, Taipei, Taiwan, ROC dInternal Medicine of Chinese Medicine Department, China Medical College Hospital, Taichung, Taiwan, ROC eDepartment of Anesthesiology, National Taiwan Univer | ternal Medicine of Chinese Medicine Department, China Medical College Hospital, Taichung, Taiwan, ROC eDepartment of Anesthesiology, National Taiwan University Hospital College of Medicine, National Taiwan University, Taiwan, ROC Received 8 February 2002; ac | Taiwan, ROC eDepartment of Anesthesiology, National Taiwan University Hospital College of Medicine, National Taiwan University, Taiwan, ROC Received 8 February 2002; accepted 26 June 2002 Abstract In the present study, we examined the effects of preoperative | ects. 2. Methods 2.1. Subjects The study protocol was approved by the Hospital Research Committee. A total of 100 female patients were enrolled. After providing written informed consent, patients of ASA physical status I–II (American Society of Anesthe- siol | dles were inserted at the Zusanli point on both legs, with a distance between the needles of approximately 3 cm, i.e. one needle serving as the positive pole, and the other as the negative pole to allow electrical stimulation of the selected point. After th | likely dissimilar. In the present study, EA-induced analgesic effects between 2 and 100 Hz were compared on the basis that low frequency (2 Hz) and high frequency (100 Hz) presum- ably induce a differential release of enkephalins and dynor- phins in both an | tion and characteristic spatial process in the central nervous system between these two frequencies. The primary difference between 2 and 100 Hz stimulations is the number of electric pulses provided during a given period of time. It is estimated that patie |  nervous system between these two frequencies. The primary difference between 2 and 100 Hz stimulations is the number of electric pulses provided during a given period of time. It is estimated that patients in the high-frequency group received a total of 20 | PCA and sham-EA groups only, we were able to very clearly distinguish between the purely placebo elements involved versus clear evidence of physiological effects. In the present study we also demonstrated that preopera- tive application of 20 min EA, whethe",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Lin_2002.txt,No additional cohort merge justified by available identity evidence
Liu 2015,Liu_2015,ChiCTR-TRC-10001078," MAP, HR and BIS showed stable values with no significant differences between the two groups (p>0.05). Sufentanil target plasma concentration in TEAS patients was significantly lower at some time points during supratentorial craniotomy, and total sufentanil | Patients This randomised, blind, controlled trial was approved by the ethics review board of Beijing Tiantan Hospital and registered in the Chinese Clinical Trial Registry (registration number ChiCTR-TRC-10001078). All participants gave their written info | lled trial was approved by the ethics review board of Beijing Tiantan Hospital and registered in the Chinese Clinical Trial Registry (registration number ChiCTR-TRC-10001078). All participants gave their written informed consent before being enrolled in this | s approved by the ethics review board of Beijing Tiantan Hospital and registered in the Chinese Clinical Trial Registry (registration number ChiCTR-TRC-10001078). All participants gave their written informed consent before being enrolled in this study. A total | scheduled for supratentorial craniotomy, were eligible for this trial between January 2008 and December 2011. Exclusion criteria were as follows: women in pregnancy or lacta- tion; patients with the complication of severe respira- tory and circulatory syste | drawn from the study. Ninety-two patients meeting the cri- teria were recruited and randomised, but four patients were withdrawn from the final analysis. Protocol Consecutive patients were enrolled and randomly allo- cated into the TEAS group or sham group  | here were no statis- tical significant differences at each time point between the TEAS and sham groups (see online supplementary figures S1 and S2; p>0.05). Continuous monitoring of BIS showed values between 40 and 60 after anaes- thesia induction and maint | igures S1 and S2; p>0.05). Continuous monitoring of BIS showed values between 40 and 60 after anaes- thesia induction and maintenance of anaesthesia, and no significant difference was seen between patients receiving TEAS or sham treatment (see online supple | nd maintenance of anaesthesia, and no significant difference was seen between patients receiving TEAS or sham treatment (see online supple- mentary figure S3; p>0.05). Sufentanil target plasma concentration in patients receiving TEAS or sham treatment There | clinical recovery from anaesthesia There were significant differences between the two groups in the total dose of sufentanil consumption, the time to spontaneous respiration, extubation time and the time to discharge from the operating room, all favouring t",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2015.txt,No additional cohort merge justified by available identity evidence
Liu 2021,Liu_2021,ChiCTR2000040397,"higang Wang1 Qiujun Wang 1 1Department of Anesthesiology, The Third Hospital of Hebei Medical University, Shijiazhuang City, Hebei, People’s Republic of China; 2Department of Anesthesiology, Cangzhou Central Hospital, Cangzhou, Hebei, People’s Republi |  Republic of China; 2Department of Anesthesiology, Cangzhou Central Hospital, Cangzhou, Hebei, People’s Republic of China Background: Postoperative cognitive decline (POCD) in the old ages seriously delays the rapid recovery. Here, we aimed to investiga |  after surgery. In addition, it was reported that POCD also prolongs hospital stays and increases the long-term mortality in the population of old ages.1 However, the mechanism of POCD remains unclear. Until now, there are few efficient precautions and in | axis and the intestinal microbiota, may provide a fresh perspective between inflammatory response and subsequent cognitive decline.7 Moreover, the changes of intestinal microbiota via gut–brain axis are likely to be associated with the pathologies of A | c­ tion of colon cancer. In addition, we determined the corre­ lation between TEAS and gut–brain axis-associated inflammatory factors and neuropeptides. Methods Patients and Setting The present study was performed with the approval of the ethics committee | and Setting The present study was performed with the approval of the ethics committee of Cangzhou Central Hospital (ethical register number: 2020-153-02) and was in compliance with the Helsinki Declaration. The project was registered in China Clinical | formed with the approval of the ethics committee of Cangzhou Central Hospital (ethical register number: 2020-153-02) and was in compliance with the Helsinki Declaration. The project was registered in China Clinical Trial Registry (registration number: C | h the approval of the ethics committee of Cangzhou Central Hospital (ethical register number: 2020-153-02) and was in compliance with the Helsinki Declaration. The project was registered in China Clinical Trial Registry (registration number: ChiCTR20 | and was in compliance with the Helsinki Declaration. The project was registered in China Clinical Trial Registry (registration number: ChiCTR2000040397). Written informed consents of the study were collected from all the candidate subjects before randomiz |  laparoscopic radi­ cal resection of colon cancer in Cangzhou Central Hospital from December 1st, 2020 to February 15th, 2021 were enrolled into this trial. The inclusion criteria for patients who underwent surgery were as follows: (1) aged ≥65 years; an",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2021.txt,No additional cohort merge justified by available identity evidence
Liu 2025,Liu_2025,ChiCTR2300077984,"angzhou, China, 2 Department of Anesthesiology, The First Affiliated Hospital of Guangzhou University of Chinese Medicine, Guangzhou, China, 3 Guangdong Clinical Research Academy of Chinese Medicine, Guangzhou, China, 4 Department of Thoracic Surgery, The | ngzhou, China, 4 Department of Thoracic Surgery, The First Affiliated Hospital of Guangzhou University of Chinese Medicine, Guangzhou, China, 5 NMPA Key Laboratory for Research and Evaluation of Drug Metabolism, Guangdong Provincial Key Laboratory of New D | . 1095.9, p = 0.01). However, VAS scores after surgery did not differ between groups. In all the patients recruited, adverse effects such as redness, swelling and inflammatory reactions were not observed at the acupuncture site. Conclusion: The results  | res after surgery did not differ between groups. In all the patients recruited, adverse effects such as redness, swelling and inflammatory reactions were not observed at the acupuncture site. Conclusion: The results of this study suggest that peri | al South University, China REVIEWED BY Yijian Chen, Ganzhou People’s Hospital, China Heng Liu, Agency for Science, Technology and Research (A*STAR), Singapore *CORRESPONDENCE Ying Cao yingcao@163.com Caineng Wu wucaineng861010@163.com RECEIVED 21 Feb | thmia and sleep disorders undergoing thoracic surgery. 2 Methods 2.1 Ethics approval and informed consent The present study was approved by the Ethics Committee of First Affiliated Hospital of Guangzhou University of Chinese Medicine (Approval No. K-20 | s approval and informed consent The present study was approved by the Ethics Committee of First Affiliated Hospital of Guangzhou University of Chinese Medicine (Approval No. K-2023-128) in November 2023. It was registered at the Chinese Clinical Trial  | esent study was approved by the Ethics Committee of First Affiliated Hospital of Guangzhou University of Chinese Medicine (Approval No. K-2023-128) in November 2023. It was registered at the Chinese Clinical Trial Registry (Registration No. ChiCTR23000779 |  Chinese Medicine (Approval No. K-2023-128) in November 2023. It was registered at the Chinese Clinical Trial Registry (Registration No. ChiCTR2300077984). Written informed consent was obtained from each patient enrolled. The work has been reported per the | al status 1 to 3, single-port thoracoscopic lung cancer surgery; age between 20 and 80 years old; volunteered to participate in this trial. Exclusion criteria included any cardiac, pulmonary, hepatic or renal dysfunction; pre-existed cardiac arrhythmia;",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2025.txt,No additional cohort merge justified by available identity evidence
Liu 2026 (ESD),Liu_2026_ESD,ChiCTR2100052837," (No. WS2024036) 1. Department of Anesthesiology, Beijing Friendship Hospital, Capital Medical University, Beijing (100050), China; 2. Department of Anesthesiology, Peking University Cancer Hospital, Beijing (100053), China; 3. Department of Traditional  | 0), China; 2. Department of Anesthesiology, Peking University Cancer Hospital, Beijing (100053), China; 3. Department of Traditional Chinese Medicine, Beijing Friendship Hospital, Capital Medical University, Beijing (100050), China Correspondence to: Pro | a; 3. Department of Traditional Chinese Medicine, Beijing Friendship Hospital, Capital Medical University, Beijing (100050), China Correspondence to: Prof. AN Li-xin, E-mail: anlixin8120@163.com DOI: https://doi.org/10.1007/s11655-025-3844-7 ABSTRACT ABSTR | gastrointestinal function, postoperative adverse events were similar between the two groups. According to the results of function, postoperative adverse events were similar between the two groups. According to the results of multivariate logistic regress | o the results of function, postoperative adverse events were similar between the two groups. According to the results of multivariate logistic regression, TEAS treatment was a protective factor associated with reduced incidence multivariate logistic regr |  a direct negative impact on patient satisfaction, but also prolongs hospitalization time and increases hospitalization costs. (8,9) However, postoperative pain after ESD is always underestimated and ignored by anesthesiologists and endoscopists, partly  |  satisfaction, but also prolongs hospitalization time and increases hospitalization costs. (8,9) However, postoperative pain after ESD is always underestimated and ignored by anesthesiologists and endoscopists, partly due to the emphasis on enhanced rec | ized, sham-controlled clinical trial conducted at Beijing Friendship Hospital affiliated to Capital Medical University in China. It was approved by the Bioethics Committee of Beijing Friendship Hospital, Capital Medical University (No. 2021-P2-315-01) an | d to Capital Medical University in China. It was approved by the Bioethics Committee of Beijing Friendship Hospital, Capital Medical University (No. 2021-P2-315-01) and registered in the China Clinical Trials Registry (No. ChiCTR2100052837) on Novembe | na. It was approved by the Bioethics Committee of Beijing Friendship Hospital, Capital Medical University (No. 2021-P2-315-01) and registered in the China Clinical Trials Registry (No. ChiCTR2100052837) on November 6, 2021. The study protocol for this tr",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2026_ESD.txt,No additional cohort merge justified by available identity evidence
Liu 2026 (burn),Liu_2026_burn,ChiCTR2300078615,". Results The dosage of remifentanil showed a significant difference between the two groups, with 0.65(0.45,1.00) in the TEAS group (T group) and 0.90(0.67,1.23) in the control group (C group) (P < 0.05). Meanwhile, there was no significant difference in |  was no significant difference in the intraoperative propofol dosage between groups. F2 and F3 in the T group were lower than those in the C group (P < 0.05), and no significant differences were observed in F1 and F4 (P > 0.05) between the two groups. Un |  and no significant differences were observed in F1 and F4 (P > 0.05) between the two groups. Until POD1, the incidence of nausea-vomiting and constipation (P < 0.05) in the T group was lower than that the C group, while there was no significant differenc | ess (P > 0.05). It is worth noting that the use of rescue analgesics between the two groups was comparable (P > 0.05). Conclusions The preoperative application of TEAS for preemptive analgesia can reduce intraoperative remifentanil dosage. Meanwhile, it  | esign This study protocol was approved by the Science and Technology Ethics Committee of the First Affiliated Hospital of Shihezi University on December 1, 2023 (reference: KJ2023-385–01) and registered in the Chi­ nese Clinical Trials Registry (ChiCTR | the Science and Technology Ethics Committee of the First Affiliated Hospital of Shihezi University on December 1, 2023 (reference: KJ2023-385–01) and registered in the Chi­ nese Clinical Trials Registry (ChiCTR2300078615, date of registration: 14/12/2023 | hihezi University on December 1, 2023 (reference: KJ2023-385–01) and registered in the Chi­ nese Clinical Trials Registry (ChiCTR2300078615, date of registration: 14/12/2023, retrospectively registered). Between December 2023 and December 2024, American So | (ChiCTR2300078615, date of registration: 14/12/2023, retrospectively registered). Between December 2023 and December 2024, American Society of Anesthesiologists (ASA) physical status I or II in moderate burn adult patients aged ≤ 60 years who were planned | 615, date of registration: 14/12/2023, retrospectively registered). Between December 2023 and December 2024, American Society of Anesthesiologists (ASA) physical status I or II in moderate burn adult patients aged ≤ 60 years who were planned to undergo | tion, or major systemic diseases. Trial registration This study was registered in the Chinese Clinical Trials Registry (ChiCTR2300078615, date of registration: 14/12/2023, retrospectively registered). Keywords Transcutaneous electrical acupoint stimulation",10_FINAL_ADJUDICATION/01_SOURCE_EVIDENCE/Liu_2026_burn.txt,No additional cohort merge justified by available identity evidence
