id	study	contrast	family	outcome	time	type	ni	nc	mi	sdi	mc	sdc	ei	ec	unit	eligibility	QC
V33-OD-0025	Zhou 2025	ZHOU25_TEAS_vs_SHAM_QOR15	Quality of recovery	Global QoR-15	POD1	Mean/SD	48	49	112	10.67	107.62	10.27			QoR-15 points	INCLUDE	3 post-randomization withdrawals; sensory blinding uncertain because active 10-15 mA/De Qi vs no current
V33-OD-0026	Zhou 2025	ZHOU25_TEAS_vs_SHAM_PAINREST	Pain	Resting pain VAS	POD1	Median/IQR	48	49							VAS 0-10	NARRATIVE ONLY	Do not convert median/IQR to mean/SD without prespecified method
V33-OD-0027	Zhou 2025	ZHOU25_TEAS_vs_SHAM_PONV	PONV	PONV incidence	POD1	Events/total	48	49					10	19	participants	INCLUDE	Participant sensory blinding uncertain
V33-OD-0028	Zhou 2025	ZHOU25_TEAS_vs_SHAM_FLATUS	GI recovery	Time to first flatus	Postoperative	Mean/SD	48	49	14.1	3.19	15.88	3.78			hours	INCLUDE	Ascertainment mechanism should be considered in RoB because participant sensory blinding may be imperfect
V33-OD-0029	Zhou 2025	ZHOU25_TEAS_vs_SHAM_RESCUE	Rescue analgesia	Any rescue analgesia	POD1-POD3	Events/total	48	49					6	13	participants	INCLUDE	Not a 24-h opioid dose; exact cumulative tramadol dose is not reported
V33-OD-0030	Zhou 2025	ZHOU25_TEAS_vs_SHAM_OPIOID24	Opioid consumption	Exact cumulative postoperative opioid dose	0-24 h	Not reported	48	49							mg/µg	NOT REPORTED	Standard perioperative sufentanil plus PRN tramadol; exact 0-24-h cumulative dose not reported
V33-OD-0031	Zhou 2021	ZHOU21_TEAS_vs_UC_PAIN	Pain	Average postoperative pain	POD1-POD5 average	Mean/SD	41	40	2.55	0.21	3.1	0.42			pain score	INCLUDE	Open-label/no sham; subjective outcome
V33-OD-0032	Zhou 2021	ZHOU21_TEAS_vs_UC_OPIOIDUSE	Opioid consumption	Any postoperative opioid use	Postoperative window not clearly defined as 0-24 h	Events/total	41	40					18	30	participants	INCLUDE	Exact postoperative time window is not clearly stated
V33-OD-0033	Zheng 2025	ZHENG25_TEAS_vs_SHAM_PONV	PONV	Any PONV	Within 24 h postoperatively	Events/total	42	43					18	29	participants	INCLUDE	Counts 18/42 and 29/43 are reconstructed from reported 42.9% and 67.4%; use percentages as source truth
V33-OD-0034	Zheng 2025	ZHENG25_TEAS_vs_SHAM_REMI	Intraoperative opioid	Total intraoperative remifentanil consumption	Intraoperative	Mean/SD	42	43	233.1	29.6	289.5	37.9			µg remifentanil	INCLUDE	Not a postoperative endpoint
V33-OD-0035	Zheng 2025	ZHENG25_TEAS_vs_SHAM_PCA_PRESS	Opioid demand	Total PCIA button presses	Postoperative; exact pump duration NR	Mean/SD	42	43	6.3	2.2	10.7	3.9			presses	INCLUDE	PCIA final volume/concentration is NR, so presses cannot be converted to sufentanil mass
V33-OD-0036	Zheng 2025	ZHENG25_TEAS_vs_SHAM_OPIOID24	Opioid consumption	Exact cumulative postoperative sufentanil mass	0-24 h	Not reported	42	43							µg sufentanil	NOT REPORTED	Final PCIA volume/concentration and exact cumulative sufentanil mass are not reported
V33-OD-0037	Zhan 2020	ZHAN20_TAPTEAS_vs_TAP_PAIN24	Pain	VAS pain intensity	24 h postoperatively	Source-format ambiguous	30	30							VAS	HOLD	Printed source values are TAP+TEAS '2 (1.7 ± 2.2)' vs TAP '2 (2.0 ± 3.0)'; format is not defined as mean/SD, median/IQR, or range
V33-OD-0038	Zhan 2020	ZHAN20_TAPTEAS_vs_TAP_OPIOID24	Opioid consumption	Actual cumulative postoperative sufentanil consumption	0-24 h	Not reported	30	30							µg sufentanil	NOT REPORTED	Only programmed PCIA reservoir/basal settings are reported; actual group-specific delivered opioid is NR
V33-OD-0039	Zhang 2025	ZHANG25_TEAS_vs_SHAM_SUFPOD1	Opioid consumption	Total sufentanil consumption	POD1; approximately 24 h but exact clock window not explicit	Mean/SD	45	48	50.53	4.46	53.79	5.14			µg sufentanil	INCLUDE	Endpoint is directly reported as POD1, not explicitly clock-defined 0-24 h; 15/108 excluded after randomization
V33-OD-0040	Zhang 2025	ZHANG25_TEAS_vs_SHAM_RESCUE	Rescue analgesia	Any rescue analgesia demand	POD1 / postoperative period reported in Table 4	Events/total	45	48					14	29	participants	INCLUDE	Published RR 0.70 (0.44-1.10) conflicts with raw counts (~0.52) and significant P-value; use raw event counts
V33-OD-0041	Zhang 2025	ZHANG25_TEAS_vs_SHAM_VISCERAL_POD1	Pain	Moderate-to-severe visceral pain	POD1	Events/total	45	48					4	18	participants	INCLUDE	Figure 3D reports 8.9% vs 37.5%; 4/45 and 18/48 are exact denominator reconstructions
V33-OD-0042	Zhang 2023	ZHANG23_TEAS_vs_SHAM_VOID	Urinary recovery	Time to first spontaneous void	Postoperative	Median/IQR	922	916							hours	NARRATIVE ONLY	110/1948 randomized participants were excluded from final analysis; abstract gives sham median 7.0 h but Table 2 gives 7.1 h—use table value
V33-OD-0043	Zhang 2023	ZHANG23_TEAS_vs_SHAM_DELAYED	Urinary recovery	Delayed urinary recovery (>12 h without spontaneous void)	Postoperative	Events/total	922	916					103	173	participants	INCLUDE	Use analyzed denominators 922 and 916, not randomized denominators
V33-OD-0044	Zhang 2023	ZHANG23_TEAS_vs_SHAM_POUR	Urinary recovery	Postoperative urinary retention	Postoperative	Events/total	922	916					75	104	participants	INCLUDE	Use analyzed denominators 922 and 916
V33-OD-0045	Zhang 2023	ZHANG23_TEAS_vs_SHAM_MME48	Opioid consumption	Postoperative IV morphine-equivalent consumption	Within 48 h	Median/IQR	922	916							mg IV morphine-equivalent	NARRATIVE ONLY	Authors converted opioids using ClinCalc; exact 24-h postoperative dose is not reported
V33-OD-0046	Zhang 2023	ZHANG23_TEAS_vs_SHAM_OPIOID24	Opioid consumption	Exact cumulative postoperative opioid dose	0-24 h	Not reported	922	916							mg IV morphine-equivalent	NOT REPORTED	Only a postoperative 48-h opioid-equivalent endpoint is reported
V33-OD-0047	Zhang 2014	ZHANG14_TEAS_vs_SHAM_RR	Recovery	Recovery-room stay	Recovery-room discharge	Mean/SD	33	32	35.6	12.9	48.3	16.3			minutes	INCLUDE	Abstract incorrectly states 72 randomized; detailed flowchart/tables show 65 randomized and analyzed
V33-OD-0048	Zhang 2014	ZHANG14_TEAS_vs_SHAM_REMI	Intraoperative opioid	Remifentanil consumption rate	Intraoperative	Mean/SD	33	32	0.06	0.02	0.09	0.03			µg/kg/min	INCLUDE	Weight/time-normalized consumption, not absolute remifentanil dose
V33-OD-0049	Zhang 2014	ZHANG14_TEAS_vs_SHAM_NAUSEA	PONV	Postoperative nausea	Postoperative	Events/total	33	32					7	15	participants	INCLUDE	No exact narrower time window reported in the extraction
V33-OD-0050	Zhang 2014	ZHANG14_TEAS_vs_SHAM_VOMIT	PONV	Postoperative vomiting	Postoperative	Events/total	33	32					4	11	participants	INCLUDE	No exact narrower time window reported in the extraction
V33-OD-0051	Zhang 2014	ZHANG14_TEAS_vs_SHAM_OPIOID24	Opioid consumption	Exact cumulative postoperative opioid dose	0-24 h	Not reported	33	32							mg/µg	NOT REPORTED	Study reports intraoperative remifentanil rate but no exact postoperative opioid-consumption total
V33-OD-0052	Yang 2024	YANG24_EA_vs_UC_MORPH24	Opioid consumption	Morphine use via IV PCA	First 24 h / POD1	Mean/SD	90	90	43.7	4.7	44	4.9			mg morphine	INCLUDE	All 180 randomized participants retained in ITT; open-label patients but objective PCA drug-use record
V33-OD-0053	Yang 2024	YANG24_EA_vs_UC_FLATUS	GI recovery	Time to first flatus	Postoperative	Mean/SD	90	90	15.4	3.2	17	3.7			hours	INCLUDE	Open-label participants; outcome assessor blinded
V33-OD-0054	Yang 2024	YANG24_EA_vs_UC_DEFEC	GI recovery	Time to first defecation	Postoperative	Mean/SD	90	90	75.9	7.9	79.7	8.1			hours	INCLUDE	Open-label participants; outcome assessor blinded
V33-OD-0055	Yang 2024	YANG24_EA_vs_UC_VOMIT	PONV	Postoperative vomiting	0-24 h after surgery	Events/total	90	90					12	25	participants	INCLUDE	No sham acupuncture; patient knowledge could affect subjective nausea but vomiting is more objective
V33-OD-0056	Xiong 2021	XIONG21_TEAS_vs_CTRL_PONV48	PONV	Any PONV	Within 48 h	Events/total	31	31					13	24	participants	INCLUDE	Participant blinding intended but active postoperative tingling may have revealed allocation
V33-OD-0057	Xiong 2021	XIONG21_TEAS_vs_CTRL_CIPONV	PONV	Clinically important PONV	Within 48 h	Events/total	31	31					5	15	participants	INCLUDE	Patient-reported symptom severity; sensory blinding may be imperfect
V33-OD-0058	Xiong 2021	XIONG21_TEAS_vs_CTRL_RESCUEAE	Rescue antiemetic	Any rescue antiemetic medication	Within 48 h	Events/total	31	31					9	18	participants	INCLUDE	Counts reconstructed exactly from group denominator 31
V33-OD-0059	Xiong 2021	XIONG21_TEAS_vs_CTRL_POSTOPMME	Opioid consumption	Postoperative opioid consumption	Postoperative window unclear	Mean/SD	31	31	0.6	0.2	0.6	0.1			mg morphine-equivalent/kg	HOLD	Exact postoperative interval is not stated; route terminology in Results is internally inconsistent
V33-OD-0060	Xiong 2021	XIONG21_TEAS_vs_CTRL_OPIOID24	Opioid consumption	Exact cumulative postoperative opioid dose	0-24 h	Not reported	31	31							mg morphine-equivalent/kg	NOT REPORTED	Published opioid-equivalent result lacks a fixed time window
V33-OD-0061	Xing 2022	XING22_NTG_vs_NG_REMI	Intraoperative opioid	Total remifentanil consumption	Intraoperative	Mean/SD	29	29	1182.61	253.61	1415.41	295.67			µg remifentanil	INCLUDE	Direct TEAS contrast is NTG vs NG; do not attribute NTG-vs-G combined package entirely to TEAS
V33-OD-0062	Xing 2022	XING22_NTG_vs_NG_FLATUS	GI recovery	Time to first flatus	Postoperative	Mean/SD	29	29	32.57	6.94	36.83	6.19			hours	INCLUDE	Three-arm study; use NTG vs NG for incremental TEAS effect
V33-OD-0063	Xing 2022	XING22_NTG_vs_NG_PONV	PONV	PONV incidence	Postoperative	Events/total	29	29					5	11	participants	INCLUDE	Counts reconstructed from n=29 analyzed per arm
V33-OD-0064	Xing 2022	XING22_NTG_vs_NG_RESTVAS24	Pain	Rest pain VAS	24 h	Mean/SD	29	29	1.18	0.42	1.4	0.52			VAS 0-10	INCLUDE	At 24 h both TAPB groups improved versus G, but incremental NTG-vs-NG difference was not reported significant
V33-OD-0065	Xing 2022	XING22_NTG_vs_NG_PRESS	Opioid demand	PCIA pump press count	48-h / 2-day PCIA period	Mean/SD	29	29	6.55	3.19	9.97	3.8			presses	INCLUDE	Press attempts may not equal successful delivered boluses; do not multiply by 1 µg
V33-OD-0066	Xing 2022	XING22_NTG_vs_NG_OPIOID24	Opioid consumption	Exact cumulative postoperative sufentanil delivered	0-24 h	Not reported	29	29							µg sufentanil	NOT REPORTED	PCIA wording is internally contradictory and only press counts are reported
V33-OD-0067	Xie 2014	XIE14_EAS_vs_SHAM_TOTALSUF	Opioid consumption	Total postoperative/perioperative sufentanil	Study PCA period; exact fixed window unclear	Mean/SD	20	20	115	6	133	7			µg sufentanil	HOLD	Infusion described through POD3; Discussion mentions lower use through 48 h; Table 2 does not define fixed window
V33-OD-0068	Xie 2014	XIE14_EAS_vs_CONTROL_TOTALSUF	Opioid consumption	Total postoperative/perioperative sufentanil	Study PCA period; exact fixed window unclear	Mean/SD	20	20	115	6	134	5.9			µg sufentanil	HOLD	Three-arm shared-intervention structure; exact fixed observation window not established
V33-OD-0069	Xie 2014	XIE14_EAS_vs_SHAM_PCADEMAND	Opioid demand	Patient-controlled analgesia demand count	Study PCA period	Mean/SD	20	20	16	3	43	3			demands	INCLUDE	Demand count should not be converted into delivered sufentanil without confirmation
V33-OD-0070	Xie 2014	XIE14_EAS_vs_SHAM_OPIOID24	Opioid consumption	Exact cumulative postoperative sufentanil	0-24 h	Not reported	20	20							µg sufentanil	NOT REPORTED	Directly reported total cannot be assigned to a fixed 24-h window
V33-OD-0071	Wu 2022	WU22_PTEAS_vs_CTRL_PAINPOD1	Pain	VAS pain intensity	POD1	Mean/SD	44	40	1.77	0.91	2.25	0.71			VAS 0-10	INCLUDE	Asymmetric post-randomization exclusions: 1/45 pTEAS vs 5/45 control; participant sensory blinding not convincing
V33-OD-0072	Wu 2022	WU22_PTEAS_vs_CTRL_REMI	Intraoperative opioid	Cumulative remifentanil	Intraoperative	Mean/SD	44	40	1383	494	1637	630			µg remifentanil	INCLUDE	Complete-case analysis with asymmetric attrition
V33-OD-0073	Wu 2022	WU22_PTEAS_vs_CTRL_REMIINDEX	Intraoperative opioid	Remifentanil dose index	Intraoperative	Mean/SD	44	40	0.084	0.018	0.114	0.09			µg/min/kg	INCLUDE	Preserve source units as reported
V33-OD-0074	Wu 2022	WU22_PTEAS_vs_CTRL_OPIOID24	Opioid consumption	Exact cumulative postoperative opioid consumption	0-24 h	Not reported	44	40							mg/µg	NOT REPORTED	Standard end-of-surgery tramadol/fentanyl are reported, but no randomized group-specific 0-24-h opioid total is provided
V33-OD-0075	Wu 2025	WU25_TEAS_vs_SHAM_VAS24	Pain	VAS pain intensity	24 h	Mean/SD	50	50	1.7	0.9	4	1.4			VAS 0-10	INCLUDE	Three patients could not be contacted at 24 h, yet all 100 were included in ITT; imputation/handling method is not explained
V33-OD-0076	Wu 2025	WU25_TEAS_vs_SHAM_MODPAIN12	Pain	Moderate-to-severe pain (VAS >4)	Within 12 h	Events/total	50	50					6	37	participants	INCLUDE	Very large subjective effect; interpret with incomplete sensory blinding
V33-OD-0077	Wu 2025	WU25_TEAS_vs_SHAM_INTRAOPSUF	Intraoperative opioid	Sufentanil consumption	Intraoperative	Mean/SD	50	50	24.2	9.5	24.3	10.9			µg sufentanil	EXCLUDE	No intraoperative opioid-sparing effect
V33-OD-0078	Wu 2025	WU25_TEAS_vs_SHAM_INTRAOPREMI	Intraoperative opioid	Remifentanil consumption	Intraoperative	Mean/SD	50	50	489.4	226	533.8	263.6			µg remifentanil	EXCLUDE	No significant intraoperative opioid-sparing effect
V33-OD-0079	Wu 2025	WU25_TEAS_vs_SHAM_OPIOID24	Opioid consumption	Exact postoperative opioid/MME consumption	0-24 h	Not calculable	50	50							MME	HOLD	Oxycodone/acetaminophen rescue strength is not reported; rescue regimen is mixed opioid/non-opioid
V33-OD-0080	Wang 2023	WANG23_TEAS_vs_SHAM_SLEEPD1	Sleep quality	PSQI and AIS postoperative sleep quality	POD1	Graph-only continuous data	40	43							PSQI/AIS points	GRAPH ONLY	Exact POD1 means/SDs are figure-only; do not use fabricated exact AIS/PSQI values
V33-OD-0081	Wang 2023	WANG23_TEAS_vs_SHAM_RESCUEDOSE	Rescue analgesia	Cumulative number of additional rescue-analgesia doses	0-72 h	Mean/SD	40	43	0.53	0.55	0.98	0.96			rescue doses	INCLUDE	Rescue drug, dose, route and opioid/non-opioid identity are not specified in the main article
V33-OD-0082	Wang 2023	WANG23_TEAS_vs_SHAM_FLATUS	GI recovery	Time to first flatus	Postoperative	Mean/SD	40	43	54.57	16.62	60.7	19.1			hours	INCLUDE	5/88 randomized participants excluded for protocol breaches; no full ITT
V33-OD-0083	Wang 2023	WANG23_TEAS_vs_SHAM_PAIN24	Pain	Activity pain VAS	24 h	Graph-only mean/SD	40	43							VAS 0-10	GRAPH ONLY	Exact 24-h activity VAS values are only shown graphically; stored derivative exact values were fabricated
V33-OD-0084	Wang 2023	WANG23_TEAS_vs_SHAM_OPIOID24	Opioid consumption	Exact cumulative postoperative opioid dose	0-24 h	Not reported	40	43							mg/µg	NOT REPORTED	Only rescue-dose counts are reported and the rescue drug is not identified
V33-OD-0085	Wang 2024	WANG24_SNVP_ODT_vs_OD_PONV6_12	PONV	PONV incidence	6-12 h	Events/total	33	35					7	16	participants	INCLUDE	Do not pool across SNVP/MNVP as if strata were randomized; 2 ODT patients excluded after randomization due postoperative fever
V33-OD-0086	Wang 2024	WANG24_SNVP_ODT_vs_OD_PONV12_24	PONV	PONV incidence	12-24 h	Events/total	33	35					2	11	participants	INCLUDE	Two post-randomization ODT exclusions; marked surgical-procedure imbalance (radical mastectomy + axillary dissection 36.4% vs 71.4%)
V33-OD-0087	Wang 2024	WANG24_SNVP_ODT_vs_OD_TOTALPONV	PONV	Any PONV over reported follow-up	0-36 h	Events/total	33	35					14	20	participants	INCLUDE	No significant overall treatment effect despite time-specific benefits
V33-OD-0088	Wang 2024	WANG24_MNVP_ODT_vs_OD_PONV0_2	PONV	PONV incidence	0-2 h	Events/total	35	35					2	9	participants	INCLUDE	Keep separate from SNVP; MNVP-ODT had more segmental mastectomy + axillary dissection (20.0% vs 2.9%)
V33-OD-0089	Wang 2024	WANG24_MNVP_ODT_vs_OD_PONV2_6	PONV	PONV incidence	2-6 h	Events/total	35	35					2	8	participants	INCLUDE	Keep separate from SNVP risk stratum
V33-OD-0090	Wang 2024	WANG24_MNVP_ODT_vs_OD_TOTALPONV	PONV	Any PONV over reported follow-up	0-36 h	Events/total	35	35					5	10	participants	INCLUDE	No significant overall treatment effect despite early time-specific benefit
V33-OD-0091	Wang 2024	WANG24_SNVP_ODT_vs_OD_INTRAOPSUF	Intraoperative opioid	Total sufentanil	Intraoperative	Mean/SD	33	35	21.2	3.1	21.9	3.2			µg sufentanil	INCLUDE	No intraoperative opioid-sparing effect
V33-OD-0092	Wang 2024	WANG24_MNVP_ODT_vs_OD_INTRAOPSUF	Intraoperative opioid	Total sufentanil	Intraoperative	Mean/SD	35	35	21	3.4	20.9	3.1			µg sufentanil	INCLUDE	No intraoperative opioid-sparing effect
V33-OD-0093	Wang 2024	WANG24_POSTOP_OPIOID24	Opioid consumption	Postoperative opioid consumption	0-24 h	Not reported									mg/µg	NOT REPORTED	Postoperative rescue analgesia was non-opioid flurbiprofen; no postoperative opioid-consumption endpoint
V33-OD-0094	Tu 2024	TU24_TEAS_vs_SHAM_VOMIT2_6	PONV	Vomiting incidence	2-6 h	Events/total	57	58					8	17	participants	INCLUDE	Five post-randomization exclusions include one sham participant excluded specifically for vomiting caused by intracranial hypertension | V34: Table 3/abstract P=0.047; Results prose P=0.47; retain tab
V33-OD-0095	Tu 2024	TU24_TEAS_vs_SHAM_VOMIT6_24	PONV	Vomiting incidence	6-24 h	Events/total	57	58					11	15	participants	INCLUDE	Same post-randomization exclusion concern
V33-OD-0096	Tu 2024	TU24_TEAS_vs_SHAM_PAIN6_24	Pain	VAS pain intensity	6-24 h	Median/IQR	57	58							VAS 0-10	NARRATIVE ONLY	Subjective outcome; sensory difference between active de qi and no-current sham may affect participant masking
V33-OD-0097	Tu 2024	TU24_TEAS_vs_SHAM_TRAMADOL	Rescue opioid use	Any rescue tramadol use	6–24 h	Events/total	57	58					3	6	participants	INCLUDE	Tramadol was 10 mg IM for VAS >6; number of doses/cumulative tramadol per patient is not reported
V33-OD-0098	Tu 2024	TU24_TEAS_vs_SHAM_OPIOID24	Opioid consumption	Cumulative rescue tramadol consumption	0-24 h	Not reported	57	58							mg tramadol	NOT REPORTED	Only number of patients receiving rescue tramadol is reported; cumulative dose is unavailable
V33-OD-0099	Sun 2017	SUN17_TSS_vs_SSS_ACTIVITY24	Pain	Activity-evoked VAS	24 h	Median/IQR	91	90							VAS 0-10	NARRATIVE ONLY	Four-arm timing trial; sham received 5 min perceptible low-current stimulation, not electrically inert
V33-OD-0100	Sun 2017	SUN17_TTS_vs_SSS_ACTIVITY24	Pain	Activity-evoked VAS	24 h	Median/IQR	91	90							VAS 0-10	NARRATIVE ONLY	Four-arm timing trial; sham received 5 min perceptible low-current stimulation, not electrically inert
V33-OD-0101	Sun 2017	SUN17_TST_vs_SSS_ACTIVITY24	Pain	Activity-evoked VAS	24 h	Median/IQR	89	90							VAS 0-10	NARRATIVE ONLY	Four-arm timing trial; sham received 5 min perceptible low-current stimulation, not electrically inert
V33-OD-0102	Sun 2017	SUN17_TSS_vs_SSS_NSAID48	Rescue analgesia	Supplemental flurbiprofen axetil requirement	Within 48 h	Published percentage	91	90							11.0% intervention vs 23.3% SSS	NARRATIVE ONLY	Do not convert printed percentages to exact event counts without confirmation
V33-OD-0103	Sun 2017	SUN17_TTS_vs_SSS_NSAID48	Rescue analgesia	Supplemental flurbiprofen axetil requirement	Within 48 h	Published percentage	91	90							15.4% intervention vs 23.3% SSS	NARRATIVE ONLY	Do not convert printed percentages to exact event counts without confirmation
V33-OD-0104	Sun 2017	SUN17_TST_vs_SSS_NSAID48	Rescue analgesia	Supplemental flurbiprofen axetil requirement	Within 48 h	Published percentage	89	90							7.9% intervention vs 23.3% SSS	NARRATIVE ONLY	Do not convert printed percentages to exact event counts without confirmation
V33-OD-0105	Sun 2017	SUN17_INTRAOP_MORPH_EQUIV	Intraoperative opioid	Author-defined intraoperative morphine-equivalent exposure	Intraoperative	Study-defined converted metric	91	90							mg/kg morphine-equivalent	EXCLUDE	Values ~1.5-1.6 mg/kg across all four groups; study-specific conversion of sufentanil/remifentanil | V34: Historical aggregate placeholder superseded for active analysis by three audit arm-specific co
V33-OD-0106	Sun 2017	SUN17_POSTOP_OPIOID24	Opioid consumption	Postoperative opioid consumption	0-24 h	Not applicable / not reported									mg/µg	NOT REPORTED	Postoperative rescue analgesia was flurbiprofen axetil (NSAID), not an opioid
V33-OD-0107	Sim 2002	SIM02_PREOP_vs_PLACEBO_MORPH24	Opioid consumption	Cumulative postoperative IV PCA morphine	0-24 h	Mean/SD	30	30	0.52	0.19	0.68	0.38			mg/kg morphine	INCLUDE	Do not convert mg/kg to absolute mg using group mean body weight; aggregate means cannot reconstruct individual absolute dose
