covidence_id,study_id,title,journal,exclusion_reason,excluded_on,evidence_basis,full_text_sha256,non_english_signal,term_intervention,term_randomized,term_general_anaesthesia,term_opioid,term_pain,term_ponv,term_recovery_quality,term_gi_recovery,term_rescue_analgesia,term_hospital_stay,term_adverse_events,registered_outcome_terms,triage,status
1879897063,Ertas 2015,Effects of P6 acustimulation with the ReliefBand on postoperative nausea and vomiting in patients undergoing gynecological laparoscopy.,Holistic nursing practice  2015;29(1):6-12,Wrong outcomes,01/09/26,FULL TEXT (retrieved PDF),80e6437b7f5a4ee00ae5786c77246613509d19aecaeb63518c4b35707ad03149,False,False,True,True,True,True,True,False,False,False,False,True,opioid;pain;ponv;adverse_events,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897200,Fan 2012,[Influence of acupuncture-drug compound anesthesia with different frequency electroacupuncture on immune function in patients undergoing pneumonectomy].,Zhongguo zhen jiu = Chinese acupuncture & moxibustion  2012;32(8):715-9,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,True,True,False,False,False,False,False,False,False,opioid,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1882882029,Frey 2009,P6 acustimulation effectively decreases postoperative nausea and vomiting in high-risk patients,British Journal of Anaesthesia  2009;102(5):620-625,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,False,False,True,False,True,False,True,False,False,False,False,False,opioid;ponv,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897233,Fu 2011,[Observation on the anti-stress effect of acupuncture-assisted anesthesia for puhnlmonary lobectomy patients].,Zhen ci yan jiu = Acupuncture research  2011;36(5):361-5,Publication language,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,True,True,False,False,False,False,False,False,False,opioid,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896270,Fu 2024,Intraoperative transcutaneous electroacupoint stimulation on early postoperative fatigue in patients with Parkinson's disease undergoing deep brain stimulation surgery.,Heliyon  2024;10(9):e30012,Wrong outcomes,20/08/26,FULL TEXT (retrieved PDF),aeb1243c1dc6db41a613bc384eeecef168d45fcfab1ec33c1714fa6ae41924e5,False,True,True,True,True,True,True,True,False,True,True,True,opioid;pain;ponv;recovery_quality;rescue_analgesia;hospital_stay;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896778,Gao 2018,Transcutaneous electrical acupoint stimulation for prevention of postoperative delirium in geriatric patients with silent lacunar infarction: a preliminary study.,Clinical interventions in aging  2018;13():2127-2134,Wrong outcomes,01/09/26,FULL TEXT (retrieved PDF),65c135d359a448ed980bdba4ec20a0ff46004ec7ce31da40ccc4739ae36945c1,False,True,True,False,True,True,True,False,False,True,True,True,opioid;pain;ponv;rescue_analgesia;hospital_stay;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879895949,Gao 2026,Effect of Continuous Perioperative Transcutaneous Electrical Acupoint Stimulation on Postoperative Delirium in Elderly Patients Undergoing Laparoscopic Gastrointestinal Surgery: A Randomized Controlled Trial.,Clinical interventions in aging  2026;21():581811,Wrong outcomes,20/08/26,FULL TEXT (retrieved PDF),f35acc336ee461854c19b585b64959836e6aa15fa92af83cef41d4035ae0ac40,False,True,True,True,True,True,True,False,True,False,True,True,opioid;pain;ponv;gi_recovery;hospital_stay;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896642,Gao 2020,[Effect of transcutaneous electrical acupoint stimulation on catheter related bladder discomfort after ureteroscopic lithotripsy].,Zhongguo zhen jiu = Chinese acupuncture & moxibustion  2020;40(8):829-33,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,True,True,True,True,False,False,False,False,True,opioid;pain;ponv;adverse_events,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896511,Gao 2022,Transcutaneous Electrical Acupoint Stimulation Decreases the Incidence of Postoperative Nausea and Vomiting After Laparoscopic Non-gastrointestinal Surgery: A Multi-Center Randomized Controlled Trial.,Frontiers in medicine  2022;9():766244,Wrong outcomes,20/08/26,FULL TEXT (retrieved PDF),5cfa6412264e74d7e713676f049fb116278621263c2a13a84c82c48084231492,False,True,True,True,True,True,True,True,True,False,False,True,opioid;pain;ponv;recovery_quality;gi_recovery;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897448,Gejervall 2004,Electro-acupuncture versus conventional analgesia: a comparison of pain levels during oocyte aspiration and patients' experiences of well-being after surgery.,"Human reproduction (Oxford, England)  2004;20(3):728-35",Wrong setting,20/08/26,TITLE/ABSTRACT ONLY,,False,True,True,False,True,True,False,False,False,False,False,False,opioid;pain,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896567,Ge 2021,[Clinical efficacy of adductor canal blockade combined with transcutaneous electrical acupoint stimulation for total knee arthroplasty].,Zhongguo gu shang = China journal of orthopaedics and traumatology  2021;34(8):750-4,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,False,False,False,True,False,False,False,False,False,False,pain,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896119,Guan 2025,[Effect of electroacupuncture on intestinal function after gastric cancer surgery].,Zhongguo zhen jiu = Chinese acupuncture & moxibustion  2025;45(6):751-756,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,False,False,False,False,False,True,False,False,False,gi_recovery,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897377,He 2008,[Analgesic effect of transcutaneous electrical acupoint stimulation combined with target-controlled infusion in general anesthesia and effects on cardiovascular system].,Zhongguo zhen jiu = Chinese acupuncture & moxibustion  2008;28(3):219-21,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,True,False,False,False,False,False,False,False,False,,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896680,He 2020,[Effect of low-frequency electrical acupoint stimulation on gastrointestinal motility function following radical gastrectomy in patients with gastric cancer].,Zhen ci yan jiu = Acupuncture research  2020;45(1):51-6,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,False,False,False,False,False,True,False,False,False,gi_recovery,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1881841159,He 2024, Improved anesthesia strategy for lumbar spine surgery in elderly patients: transcutaneous electrical acupoint stimulation-erector spinal plane block-general anesthesia,  2024; 44( 11): 1356‐1360,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,False,True,False,True,True,True,False,False,False,True,False,False,opioid;pain;rescue_analgesia,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896535,He 2022,[Postoperative ileus after laparotomy for gastrointestinal cancer treated with electroacupuncture: a randomized controlled trial].,Zhongguo zhen jiu = Chinese acupuncture & moxibustion  2022;42(1):45-8,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,False,False,False,False,False,True,False,True,False,gi_recovery;hospital_stay,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1881840718,He 2025, Preventive effects of transcutaneous electrical acupoint stimulation on chronic pain after lumbar spine surgery,  2025; 45( 6): 745‐749,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,False,True,False,True,False,False,False,False,True,False,False,False,gi_recovery,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896926,Hou 2016,Effect of electric acupoint stimulation on gastrointestinal hormones and motility among geriatric postoperative patients with gastrointestinal tumors.,Journal of traditional Chinese medicine = Chung i tsa chih ying wen pan  2016;36(4):450-5,Wrong outcomes,20/08/26,FULL TEXT (retrieved PDF),f0e0ac74b5beefc9a7791c099d831b3d231aa926f376d2d43fe962487be2f8df,False,True,True,False,True,False,False,False,True,False,False,True,opioid;gi_recovery;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896264,Hou 2024,Transcutaneous electrical acupoint stimulation to prevent dizziness after microvascular decompression for hemifacial spasm: A randomized controlled trial.,Complementary therapies in medicine  2024;83():103055,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,False,True,True,False,False,False,True,False,False,False,True,True,ponv;hospital_stay;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896346,Hou 2023,Transcutaneous electrical acupoint stimulation in adult patients receiving gastrectomy/colorectal resection: A randomized controlled trial.,World journal of gastrointestinal surgery  2023;15(7):1474-1484,Wrong outcomes,20/08/26,FULL TEXT (retrieved PDF),2f2e25751b075fd7d6e51a8e3bb28fa2beae5faa58233d065db13d4d3cd8f6cc,False,True,True,False,True,True,True,False,True,False,True,True,opioid;pain;ponv;gi_recovery;hospital_stay;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896669,Huang 2020,[Effect of transcutaneous electrical acupoint stimulation on postoperative olfactory memory disorder and plasma melatonin in patients with general anesthesia of sevoflurane].,Zhongguo zhen jiu = Chinese acupuncture & moxibustion  2020;40(3):243-6,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,True,False,False,False,False,False,False,False,False,,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896675,Huang 2019,"Effect of electrically stimulating acupoint, Zusanli (ST 36), on patient's recovery after laparoscopic colorectal cancer resection: a randomized controlled trial.",Journal of traditional Chinese medicine = Chung i tsa chih ying wen pan  2019;39(3):433-439,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,False,True,True,False,True,True,False,False,True,False,True,False,opioid;pain;gi_recovery;hospital_stay,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896784,Huang 2018,[Application of Transcutaneous Electrical Acupoint Stimulation Combined with Transversus Abdominis Plane Block to Enhanced Recovery After Surgery in Patients Undergoing Laparoscopic Colorectal Cancer Resection: A Randomized Controlled Clinical Trial].,Zhen ci yan jiu = Acupuncture research  2018;43(10):611-5,Publication language,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,False,True,True,True,False,True,False,True,False,opioid;pain;ponv;gi_recovery;hospital_stay,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897000,Huang 2015,[Impacts of the transcutaneous electrical acupoint stimulation on EC50 in the remifentanil inhibition of tracheal intubation response].,Zhongguo zhen jiu = Chinese acupuncture & moxibustion  2015;35(8):812-5,Publication language,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,True,True,False,False,False,False,False,False,False,opioid,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1881841239,Jang 2003, Transcutaneous Electrical Stimulation of the P6 Acupoint Reduces Postoperative Nausea and Vomiting after Laparoscopic Cholecystectomy,  2003; 44( 6): 853‐859,Wrong outcomes,20/08/26,FULL TEXT (retrieved PDF),671ab6884cd881790844d00467481a7e9a642e24c225f0cee52268f5b3d1a473,True,False,False,False,False,False,False,False,False,False,False,False,,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896147,Jin 2025,Effect of single or multi-period use of transcutaneous acupoint electrical stimulation on postoperative nausea and vomiting in patients undergoing gynecological laparoscopic surgery: a prospective randomized double-blind trial.,BMC complementary medicine and therapies  2025;25(1):110,Wrong comparator,01/09/26,FULL TEXT (retrieved PDF),943ed41a9abcd65a2bf9ef97eeeefb2e724a06bc82c1c43d74e1d29199093e6b,False,True,True,True,True,True,True,False,True,False,True,True,opioid;pain;ponv;gi_recovery;hospital_stay;adverse_events,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897133,Jin 2013,[Efficacy of preventing postoperative nausea and vomiting after thyroid tumor surgery by TAES at neiguan (P1): a clinical observation].,Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine  2013;33(9):1199-202,Wrong outcomes,20/08/26,TITLE/ABSTRACT ONLY,,True,True,True,False,False,False,True,False,False,False,False,False,ponv,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896316,Ju 2023,Transcutaneous electrical acupoint stimulation improves pulmonary function by regulating oxidative stress during one-lung ventilation in patients with lung cancer undergoing thoracoscopic surgery: a randomized controlled trial.,BMC complementary medicine and therapies  2023;23(1):463,Wrong outcomes,20/08/26,FULL TEXT (retrieved PDF),ba63839f4a96c5f0a9b5d5988a12c1fa2602e8abbd9c03fa098261b27ff0259c,False,True,True,False,True,False,False,True,False,False,True,True,opioid;recovery_quality;hospital_stay;adverse_events,PRIORITY RE-SCREEN: registered outcome terms present,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879896410,Kang 2023,Electroacupuncture alleviates pain after total knee arthroplasty through regulating neuroplasticity: A resting-state functional magnetic resonance imaging study.,Brain and behavior  2023;13(3):e2913,Wrong setting,20/08/26,TITLE/ABSTRACT ONLY,,False,True,True,False,False,True,False,False,False,False,False,False,pain,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1882880803,Kang 2023,EFFECTS AND MECHANISMS OF TRANSCUTANEOUS ELECTRICAL ACUSTIMULATION ON POSTOPERATIVE RECOVERY AFTER THORACOLUMBER VERTEBRAL FRACTURE,Gastroenterology  2023;164(6):S-76,Wrong outcomes,01/09/26,FULL TEXT (retrieved PDF),0debe98736c00b91535cb7e114380e636aad318b33b50aac76232708108b3e3a,False,False,True,False,True,True,False,False,True,False,False,True,opioid;pain;gi_recovery;adverse_events,RE-SCREEN: outcome terms present; intervention or language needs confirmation,TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1879897219,Lan 2012,Transcutaneous electrical nerve stimulation on acupoints reduces fentanyl requirement for postoperative pain relief after total hip arthroplasty in elderly patients.,Minerva anestesiologica  2012;78(8):887-95,Wrong patient population,01/09/26,FULL TEXT (retrieved PDF),d095d1b02d9655adaa21a0755d270e65f1fd622954274839eae6ea0dd980b344,False,True,True,True,True,True,True,False,False,False,True,True,opioid;pain;ponv;hospital_stay;adverse_events,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
1881840917,Lan 2011, Transcutaneous electrical acupoint stimulation for pain relief and decreasing opioid-related side-effects after total hip arthroplasty in elderly patients,  2011; 107( 5): 830P,Wrong study design,20/08/26,TITLE/ABSTRACT ONLY,,False,True,True,False,True,True,True,False,False,False,False,False,opioid;pain;ponv,NO MECHANICAL FLAG (reason retained pending human confirmation),TRIAGE FLAG ONLY — NOT AN ELIGIBILITY DECISION
