covidence_number,title,full_text_retrieved,source_type,source_description,pdf_available,pdf_status,complete_html_used,identity_verified,eligibility_vote_cast,screening_sequence,retrieval_incident,notes,full_article_title,full_article_citation,full_article_local_path,human_readjudication_required
941,Acupuncture fails to reduce but increases anaesthetic gas required to prevent movement in response to surgical incision.,yes,institutional_pdf,"Complete Lund University Publications repository PDF matched by title, authors, journal, year, pages and DOI.",yes,downloaded_local_only,no,yes,yes,112,,"Excluded for no eligible clinical outcome; PDF text and rendered pages were verified, and the card left the queue after Wrong outcomes was confirmed.",,,,
912,Analgesic effect of electroacupuncture in postthoracotomy pain: a prospective randomized trial.,yes,publisher_pdf,"Complete six-page Annals of Thoracic Surgery publisher PDF matched by title, authors, journal, year, pages and DOI.",yes,downloaded_local_only,no,yes,yes,113,,"Included and flagged UNCERTAIN_GENERAL_ANAESTHESIA; PDF text and rendered pages were verified, and the exact active card left the vote-required queue after registration.",,,,
1970,Electroacupuncture reduces duration of postoperative ileus after laparoscopic surgery for colorectal cancer,yes,repository_pdf,"Complete eight-page Gastroenterology PDF hosted by the Shanghai Medical Association, matched by title, authors, journal, year, pages, DOI and trial registration.",yes,downloaded_local_only,no,yes,yes,114,,"Included and flagged UNCERTAIN_TIMING; PDF text and rendered pages were verified, exact card left the queue, and probable companion Covidence #2625 must not be voted.",,,,
2044,Efficacy of electroacupuncture combined with intravenous patient-controlled analgesia after cesarean delivery: a randomized clinical trial,yes,complete_publisher_html,"Complete open-access AJOG MFM publisher HTML matched by title, authors, journal, year, article number and DOI; matching nine-page PDF visually inspected in Chrome.",yes,externally_viewed_not_saved,yes,yes,yes,115,,"Included and flagged UNCERTAIN_GENERAL_ANAESTHESIA; complete HTML Methods and Results were reviewed, and the exact card left the queue.",,,,
950,Comparative efficacy of acustimulation (ReliefBand) versus ondansetron (Zofran) in combination with droperidol for preventing nausea and vomiting.,yes,institutional_pdf,"Complete seven-page Anesthesiology article PDF hosted by the Helms Medical Institute, matched by title, authors, journal, year and pages.",yes,downloaded_local_only,no,yes,yes,116,,"Included; complete PDF was extracted and visually verified, and the exact card left the vote-required queue.",,,,
969,The effect of location of transcutaneous electrical nerve stimulation on postoperative opioid analgesic requirement: acupoint versus nonacupoint stimulation.,yes,institutional_pdf,"Complete six-page Anesthesia & Analgesia PDF hosted by the Helms Medical Institute, matched by title, authors, journal, year and pages.",yes,downloaded_local_only,no,yes,yes,117,,"Included; complete PDF was extracted and visually verified, and the exact card left the queue.",,,,
951,The effect of high and low frequency electroacupuncture in pain after lower abdominal surgery.,yes,institutional_pdf,"Complete six-page Pain article PDF hosted by the Helms Medical Institute, matched by title, authors, journal, year, pages and PII/DOI.",yes,downloaded_local_only,no,yes,yes,118,,"Included; complete PDF was extracted and visually verified, and the exact card left the queue.",,,,
109,[Effect of perioperative transcutaneous electrical acupoint stimulation on postoperative fatigue syndrome in elderly patients].,yes,publisher_pdf,"Complete seven-page Chinese Acupuncture & Moxibustion PDF hosted by SciOpen, matched by title, authors, journal, year, pages and DOI.",yes,downloaded_local_only,no,yes,yes,119,,"Included; complete PDF was extracted and visually verified, and the exact card left the queue.",,,,
860,[Adjuvant effect of transcutaneous electrical acupoint stimulation in propofol-fentanyl anesthesia in partial mastectomy].,yes,publisher_pdf,"Complete three-page Journal of Southern Medical University PDF obtained from the official publisher issue archive and matched by title, authors, journal, year and pages.",yes,downloaded_local_only,no,yes,yes,120,,"Included; complete PDF was extracted and visually verified, and the exact card left the queue.",,,,
2409,Preoperative fasting for the infusion of ‘yerba mate’: a randomized clinical trial with ultrasound evaluation of gastric contents.,yes,complete_pmc_html,"Complete PubMed Central article with Abstract, Methods, Results and tables; matched by title, authors, journal, year, pages, DOI, PMID and PMCID.",yes; matching PMC PDF,not_applicable_html,yes,yes,no,,,"Complete report positively establishes a randomized crossover experiment in 30 healthy volunteers with beverage ingestion and gastric ultrasound, not operative surgery. Prepared as EXCLUDE_NON_SURGICAL, but no Covidence card verification or vote occurred because Chrome became unavailable before the read-only card check completed.",,,,
2446,To investigate the meridian through electroacupuncture for postoperative pain relief in patients with arthroscopic repair for triangular fibrocartilage complex (TFCC) tears,no,publisher_route_blocked,Matching Covidence LibKey route reached ScienceDirect but was blocked by a human-verification CAPTCHA; focused public-repository searches found no complete report.,not retrieved,FULL_TEXT_UNAVAILABLE,no,yes,no,,FULL_TEXT_UNAVAILABLE,Left unvoted and moved on in accordance with the strict full-text-unavailable rule.,,,,
1299,Transcutaneous electrical acupoint stimulation for pain relief and decreasing opioid-related side-effects after total hip arthroplasty in elderly patients,yes,publisher_pdf,"Complete nine-page Minerva Anestesiologica participant-results publisher PDF retrieved after quality-control review; authors, population, intervention, comparator and outcomes map to the #1299 proceedings abstract.",yes,complete_pdf_saved_and_verified,no,yes,yes,121,PRIOR_VOTE_REQUIRES_HUMAN_CORRECTION,"Do not silently alter the registered Covidence vote. The prior publication-type reason relied on proceedings-abstract-only material. The complete participant-results article is now available. It reports computer-generated randomization (PDF p.2) and combined spinal-epidural anaesthesia for all participants (PDF pp.2-3), so human readjudication of the registered reason is required.",Transcutaneous electrical nerve stimulation on acupoints reduces fentanyl requirement for postoperative pain relief after total hip arthroplasty in elderly patients,"Lan F, Ma YH, Xue JX, Wang TL, Ma DQ. Minerva Anestesiol. 2012;78(8):887-895. PMID 22531569.",/Users/ryan/Documents/Perioperative_TEAS_EA_Review_2026/02_screening/full_text/codex_fulltext_strict_next_100_2026-08-09/retrieved_fulltexts/covidence_1299_full_article.pdf,yes
124,[Effect of electroacupuncture on intestinal function after gastric cancer surgery].,no,publisher_and_repository_routes_blocked,"Matching PubMed abstract was accessible, but CNKI/SciOpen complete-report routes failed or were blocked and no usable full text was obtained.",not retrieved,FULL_TEXT_UNAVAILABLE,no,yes,no,,FULL_TEXT_UNAVAILABLE,Left unvoted and moved on; the PubMed abstract was not used to cast an eligibility decision.,,,,
1185,Effect of transcutaneous electrical acupoint stimulation on postoperative gastrointestinal function in patients undergoing lumbar spinal surgery,no,publisher_authentication_required,Matching CMA journal record exposed a trial excerpt but required login for complete text.,not retrieved,FULL_TEXT_UNAVAILABLE,no,yes,no,,FULL_TEXT_UNAVAILABLE,Left unvoted and moved on.,,,,
244,Transcutaneous electrical acupoint stimulation for postoperative nausea and vomiting in patients undergoing craniotomy: A randomized controlled trial.,no,publisher_authentication_required,Matching ClinicalKey full-article record required login; PubMed supplied only the abstract.,not retrieved,FULL_TEXT_UNAVAILABLE,no,yes,no,,FULL_TEXT_UNAVAILABLE,Left unvoted; no decision was cast from the abstract.,,,,
473,"Effect of electrically stimulating acupoint, Zusanli (ST 36), on patient's recovery after laparoscopic colorectal cancer resection: a randomized controlled trial.",no,publisher_and_database_routes_blocked,Matching journal PDF returned HTTP 403 and the matching EBSCO record required institutional sign-in.,not retrieved,FULL_TEXT_UNAVAILABLE,no,yes,no,,FULL_TEXT_UNAVAILABLE,Left unvoted; PubMed abstract was not used for a decision.,,,,
1389,Addition of transcutaneous electric acupoint stimulation to transverse abdominis plane block for postoperative analgesia in abdominal surgery: a randomized controlled trial,no,publisher_route_blocked,Matching ScienceDirect record stopped at a human-verification CAPTCHA.,not retrieved,FULL_TEXT_UNAVAILABLE,no,yes,no,,FULL_TEXT_UNAVAILABLE,Left unvoted; CAPTCHA was not solved or bypassed.,,,,
952,Effects of electroacupuncture on intraoperative and postoperative analgesic requirement.,no,publisher_route_blocked,Matching SAGE/Atypon record required security verification and no open repository copy was identified.,not retrieved,FULL_TEXT_UNAVAILABLE,no,yes,no,,FULL_TEXT_UNAVAILABLE,Left unvoted and moved on.,,,,
1334,"Effect of Transcutaneous Acupoint Electrical Stimulation on Post-Hemorrhoidectomy-Associated Pain, Anxiety, and Heart Rate Variability: a Randomized-Controlled Study",no,metadata_only_and_publisher_blocked,"Institutional record contained metadata only, ResearchGate explicitly had no full text, and SAGE required security verification.",not retrieved,FULL_TEXT_UNAVAILABLE,no,yes,no,,FULL_TEXT_UNAVAILABLE,Left unvoted and moved on.,,,,
519,"A Randomized, Double-Blind, Sham-Controlled Study Assessing Electroacupuncture for the Management of Postoperative Pain after Percutaneous Nephrolithotomy.",no,publisher_route_blocked,Matching publisher record/PDF route required security verification; no public complete copy was identified.,not retrieved,FULL_TEXT_UNAVAILABLE,no,yes,no,,FULL_TEXT_UNAVAILABLE,Left unvoted and moved on.,,,,
4701,Effects of conventional nursing in the operating room combined with transcutaneous electrical acupoint stimulation on postoperative cognitive dysfunction after total knee arthroplasty in elderly patients.,yes,publisher_pdf_and_complete_html,Complete seven-page open-access Springer/BMC publisher PDF and full publisher HTML containing Methods and Results; the same PDF was available as Covidence Open Access primary full text.,yes,already_in_covidence,yes,yes,yes,122,,Complete full text positively established combined lumbar-epidural rather than general anaesthesia; Covidence exclusion registered with Wrong setting.,,,/Users/ryan/Documents/Perioperative_TEAS_EA_Review_2026/02_screening/full_text/codex_fulltext_strict_next_100_2026-08-09/retrieved_fulltexts/covidence_4701_full_article.pdf,
215,Transcutaneous electrical acupoint stimulation to prevent dizziness after microvascular decompression for hemifacial spasm: A randomized controlled trial.,no,incomplete_or_inaccessible,"Covidence Open Access LibKey link was opened in Chrome but returned a reconnect/error page. PubMed PMID 38782080 confirmed the exact randomized trial but supplied only abstract text and publisher links. Elsevier ScienceDirect stopped at a human-verification CAPTCHA, which was not solved or bypassed. Focused Google search found the publisher record and a ResearchGate request page but no legitimate complete copy.",no usable complete PDF retrieved,not_retrieved,no,yes; citation metadata matched,no,,FULL_TEXT_UNAVAILABLE,Leave unvoted; human may retrieve through publisher/library access.,,,,
611,Effect of electric acupoint stimulation on gastrointestinal hormones and motility among geriatric postoperative patients with gastrointestinal tumors.,no,incomplete_or_inaccessible,"Covidence Open Access LibKey link was opened in Chrome but returned a reconnect/error page. Focused exact-title search found the ScienceDirect citation and a prohibited pirated copy; the pirated result was not opened or used. No legitimate complete publisher, repository, or PMC copy was located.",no usable complete PDF retrieved,not_retrieved,no,yes; citation metadata matched,no,,FULL_TEXT_UNAVAILABLE,Leave unvoted; human may retrieve through legitimate publisher or library access.,,,,
362,Transcutaneous Electrical Acupoint Stimulation Improves Postoperative Cognitive Function in Senior Patients Undergoing Video-Assisted Thoracoscopic Surgery: A Randomized Controlled Trial.,no,incomplete_or_inaccessible,The matching Springer publisher article was opened in Chrome. The page exposed only the structured abstract; complete Methods and Results were subscription content requiring institutional login or purchase.,no usable complete PDF retrieved,not_retrieved,no,yes; citation metadata matched,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Leave unvoted; human may retrieve through authenticated institutional access.,,,,
431,"Transcutaneous Electrical Acupoint Stimulation Combined with Dexamethasone and Tropisetron Prevents Postoperative Nausea and Vomiting in Female Patients Undergoing Laparoscopic Sleeve Gastrectomy: a Prospective, Randomized Controlled Trial.",no,incomplete_or_inaccessible,The matching Springer publisher article was opened in Chrome. The page exposed only the structured abstract; complete Methods and Results were subscription content requiring institutional login or purchase.,no usable complete PDF retrieved,not_retrieved,no,yes; citation metadata matched,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Leave unvoted; human may retrieve through authenticated institutional access.,,,,
790,Transcutaneous electrical nerve stimulation on acupoints reduces fentanyl requirement for postoperative pain relief after total hip arthroplasty in elderly patients.,yes,publisher_pdf,"Complete nine-page free Minerva Anestesiologica publisher PDF opened in Chrome, saved locally, text-extracted and visually verified.",yes,downloaded_local_only,no,yes,yes,123,,Companion to Covidence #1299 proceedings abstract. Complete report positively established combined spinal-epidural rather than general anaesthesia; Covidence exclusion registered with Wrong setting.,,,/Users/ryan/Documents/Perioperative_TEAS_EA_Review_2026/02_screening/full_text/codex_fulltext_strict_next_100_2026-08-09/retrieved_fulltexts/covidence_1299_full_article.pdf,
393,Transcutaneous electrical acupoint stimulation promotes general anesthesia recovery in patients undergoing gastrointestinal surgery.,no,incomplete_or_unavailable,Official journal DOI route exposed no matching article content or download.,no,not_retrieved,no,yes; citation metadata matched,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward the sequence target.,,,,
414,Transcutaneous electrical acupoint stimulation before surgery reduces chronic pain after mastectomy: A randomized clinical trial.,no,inaccessible_free_publisher_article,"PubMed marked the exact article free, but Elsevier required human verification and no legitimate complete alternate copy was located.",no usable complete PDF retrieved,not_retrieved,no,yes,no,,FULL_TEXT_UNAVAILABLE,Left vote-required; human may retrieve after publisher verification or library access.,,,,
444,Transcutaneous electrical acupoint stimulation relieves post-operative nausea and vomiting possibly by reducing serum motilin secretion in patients undergoing laparoscopic surgery.,no,abstract_and_metadata_only,Official publisher page supplied only a structured abstract; the downloadable JATS Meta-XML contained no article body.,no,not_retrieved,no,yes,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; incomplete metadata was not used for a vote.,,,,
819,"Randomised, controlled study of preoperative electroacupuncture for postoperative pain control after cardiac surgery.",no,publisher_authentication_required,SAGE/Acupuncture in Medicine exposed subscriber access only; no legitimate complete repository copy located.,no,not_retrieved,no,yes,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Left vote-required; does not count toward the sequence target.,,,,
973,Effect of the intensity of transcutaneous acupoint electrical stimulation on the postoperative analgesic requirement.,no,publisher_and_library_authentication_required,Ovid/LWW and Lund Finn exposed citation/subscriber records; Lund institutional authentication was not active.,no,not_retrieved,no,yes,no,,FULL_TEXT_AUTHENTICATION_REQUIRED,Left vote-required; resume after Lund authentication.,,,,
1523,Electroacupuncture analgesia in major abdominal and pelvic surgery: a randomised study.,no,publisher_security_verification,SAGE remained on a publisher security-verification interstitial; no complete content was exposed.,no,not_retrieved,no,yes,no,,FULL_TEXT_UNAVAILABLE,Left vote-required; does not count toward the sequence target.,,,,
2267,Electroacupuncture on adjuvant analgesia after total knee arthroplasty: a randomized controlled trail.,no,not_retrieved,Focused title search located only secondary citations and a different older ResearchGate article.,no,not_retrieved,no,yes,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward the sequence target.,,,,
2807,Transcutaneous electrical acupoint stimulation reduces perioperative arrhythmia risk and improves recovery quality in laparoscopic cholecystectomy: mechanisms involving suppression of repolarization abnormalities induced by CO2 pneumoperitoneum.,no,citation_links_only,The journal route loaded no article data and DOI resolution exposed CNKI citation links only.,no,not_retrieved,no,yes,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward the sequence target.,,,,
4330,"The effect of electroacustimulation on postoperative nausea, vomiting, and pain in outpatient plastic surgery patients: a prospective, randomized, blinded, clinical trial.",no,author_request_or_secondary_only,The matching ResearchGate record offered author request only; other results were secondary citing sources.,no,not_retrieved,no,yes,no,,FULL_TEXT_NOT_RETRIEVED,Left vote-required; does not count toward the sequence target.,,,,
4,Transcutaneous electrical acupoint stimulation accelerates postoperative gastrointestinal function recovery in patients undergoing non-gastrointestinal laparoscopic surgery: a randomized controlled trial.,yes,publisher_pdf,Complete ScienceDirect publisher PDF and complete publisher HTML accessed through Lund University Libraries.,yes,externally_viewed_not_saved,yes,yes,yes,125,,Included; vote registered and verified after reload.,,,,
28,[Effect of electroacupuncture on intestinal function after laparoscopic colorectal cancer surgery].,no,abstract_and_broken_pdf_link,Official journal abstract record; CNKI PDF route failed with a privacy/TLS error and no complete HTML was exposed.,unknown,not_retrieved,no,yes,no,,FULL_TEXT_LINK_BROKEN,Left vote-required; does not count toward the sequence target.,,,,
29,[Effects of electroacupuncture on gastrointestinal dysfunction and serum metabolites in postoperative patients with gastric cancer].,no,abstract_and_broken_pdf_link,Official journal abstract record; CNKI PDF route failed with a privacy/TLS error and no complete HTML was exposed.,unknown,not_retrieved,no,yes,no,,FULL_TEXT_LINK_BROKEN,Left vote-required; does not count toward the sequence target.,,,,
69,"Transcutaneous Electrical Acupoint Stimulation Reduces Postoperative Abdominal Pain after Endoscopic Submucosal Dissection: A Single-Center, Prospective, and Randomized Controlled Trial.",yes,institutional_pdf,Complete Springer publisher PDF accessed through Lund University Libraries.,yes,downloaded_local_only,no,yes,yes,126,,Included; complete eight-page PDF saved locally; vote verified after reload.,,,,
106,Effect of electroacupuncture intervention before and after operation on perioperative neurocognitive disorders in elderly patients with hip fractures: A randomized controlled trial.,yes,complete_publisher_html,Complete ScienceDirect HTML containing Methods and Results accessed through Lund University; matching 11-page PDF visually opened.,yes,externally_viewed_not_saved,yes,yes,yes,127,,Included with needs_human_review for unresolved EA-versus-TEAS modality classification; vote verified after reload.,,,,
