screening_sequence,covidence_number,title,first_author,publication_year,DOI,decision,primary_exclusion_reason,needs_human_review,uncertainty_reason,full_text_source_type,full_text_identity_verified,pdf_status,vote_registered,post_vote_timestamp,trial_registration,definitive_exclusion,record_type,participant_results_reported,randomized,randomization_method,adult_population,sample_size_randomized,sample_size_analysed,country,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,stimulation_frequency,stimulation_intensity,stimulation_duration,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,number_of_sessions,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,interface_issue,notes,full_text_source_description,full_text_url_or_identifier,pdf_saved,pdf_attached_to_covidence,retrieval_timestamp,pdf_local_path,qc_incident_type,qc_incident_status,qc_full_article_local_path
103,117,[Effects of transcutaneous electrical acupoint stimulation at Neiguan (PC6) and Jianshi (PC5) on autonomic nervous function and inflammatory factors in frail elderly patients after surgery].,"Zhang, Meng",2025,10.13702/j.1000-0607.20241107,INCLUDE,not_applicable,no,none,publisher_pdf,yes,externally_viewed_not_saved,yes,2026-08-09T18:10:44+02:00,not reported,no,full randomized journal report,yes,yes,The Methods state that 78 patients were assigned to TEAS or control with a random-number table.,yes; frail elderly patients aged at least 65 years,,,,Elective laparoscopic colorectal cancer surgery,yes,"yes; IV induction, tracheal intubation, mechanical ventilation and IV maintenance are explicitly described","Sufentanil, etomidate and cisatracurium induction followed by tracheal intubation/mechanical ventilation; propofol, remifentanil and cisatracurium maintenance with BIS 40-60.",TEAS,"Bilateral PC6/PC5 surface-electrode TEAS from 30 minutes before anaesthesia induction through the end of surgery, using alternating 4/20-Hz stimulation at a tolerable intensity.","PC6 (Neiguan) and PC5 (Jianshi), bilateral",,,,yes; surface electrodes with alternating 4/20-Hz current,yes,30 minutes before anaesthesia induction,yes,,Electrodes and device connected at the same points and times but with no electrical current,yes; the same general-anaesthesia regimen and perioperative care were used,yes,"QoR-15 postoperative recovery score and adverse reactions including PONV, palpitations, chest tightness and chest pain; HRV and inflammatory markers were also reported",no trial-group opioid-consumption outcome,no,chest pain recorded as an adverse reaction; no postoperative surgical-pain scale reported,yes,"yes; PONV, palpitations, chest tightness and chest pain",no,none identified,"PDF p.1 / journal p.815, title/English abstract/DOI: identity, randomized frail elderly laparoscopic colorectal sample under GA, bilateral PC6/PC5 TEAS and postoperative outcomes. | PDF p.2 / journal p.816, Methods §§1.1-1.4: random-number-table allocation, elderly inclusion criteria, elective laparoscopic colorectal cancer surgery and ASA I-III eligibility. | PDF p.3 / journal p.817, Methods §1.6: IV GA induction, tracheal intubation, mechanical ventilation and maintenance drugs; sham setup and TEAS points, 4/20-Hz frequency and pre-induction-through-surgery timing. | PDF p.4 / journal p.818, Results/Table 1/Figure 1: 37 TEAS and 38 control participants analyzed with group-level perioperative and postoperative results.","Complete publisher PDF establishes a randomized elderly intubated-GA laparoscopic-surgery trial with eligible pre/intraoperative TEAS, a separable no-current comparator and postoperative recovery/adverse-event outcomes.",,none,Strict-batch sequence 103; no abstract-only evidence used.,Complete seven-page open-access Acupuncture Research PDF viewed in Chrome via SciOpen.,https://www.sciopen.com/article/pdf/10.13702/j.1000-0607.20241107.pdf,no,no,2026-08-09T18:10:44+02:00,,,,
104,121,[Application of transcutaneous electrical acupoint stimulation in preoperative analgesia for intertrochanteric fracture of femur in elderly patients].,"Zhou, Xin",2025,10.13702/j.1000-0607.20241048,INCLUDE,not_applicable,yes,"UNCERTAIN_GENERAL_ANAESTHESIA: the complete report establishes elderly patients awaiting operative management of intertrochanteric fracture and preoperative TEAS, but it does not report the anaesthetic technique used for surgery.",publisher_pdf,yes,externally_viewed_not_saved,yes,2026-08-09T18:12:26+02:00,not reported,no,full randomized journal report,yes,yes,The complete report states that 126 patients were randomly allocated to observation and control groups.,yes; elderly patients aged 75-90 years,,,,Operative management of intertrochanteric femur fracture; intervention delivered during preoperative hospitalization,yes; report explicitly concerns preoperative analgesia while awaiting fracture surgery,uncertain in the complete report,No surgical anaesthesia regimen or airway management is reported.,TEAS,"Surface-electrode TEAS at ipsilateral GB30, GB34, ST36 and Extra Kuanguan from within one hour of hospital admission, one-hour sessions twice daily for up to three days before surgery, using 2/10-Hz disperse-dense stimulation at 6-9 mA.","GB30, GB34, ST36 and Extra Kuanguan on the affected side",,,,"yes; KWD-808I device, 2/10 Hz, 6-9 mA",yes,"Within one hour after hospital admission, preoperatively",yes; first session was preoperative,,Same electrodes and device at the same points and schedule without electrical current,yes; both groups received the same routine oral analgesia and rescue analgesia protocol,yes,"Rest and movement NRS pain, supplemental analgesic consumption, nausea/vomiting, other adverse reactions and analgesia satisfaction","rescue analgesic use reported, but the specified rescue drug was flurbiprofen axetil rather than an opioid",no,yes; NRS at rest and during movement through 48 hours after first treatment,nausea and vomiting reported during preoperative treatment,yes,no,none identified,"PDF p.1 / journal p.689, title/English abstract/DOI: identity, randomized elderly fracture sample, preoperative TEAS and clinical analgesic/adverse-event outcomes. | PDF p.2 / journal p.690, Methods §§1.1-1.6: random allocation, age 75-90/ASA II-III criteria, treatment within one hour of admission, sham comparator, TEAS points, 2/10-Hz frequency, 6-9-mA intensity and shared analgesia protocol. | PDF p.3 / journal p.691, Results/Table 1/Figures 1-2: 61 participants per group analyzed with group-level pain, satisfaction, adverse-event and supplemental-analgesic results. | Complete six-page PDF, Methods and perioperative text: no surgical GA airway or drug regimen is reported.","Complete publisher PDF establishes randomized elderly operative-fracture patients receiving separable, therapeutic preoperative TEAS with clinical pain and medication outcomes; retained for human review because GA cannot be confirmed or excluded.",,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA; no abstract-only evidence used.,Complete six-page open-access Acupuncture Research PDF viewed in Chrome via SciOpen.,https://www.sciopen.com/article/pdf/10.13702/j.1000-0607.20241048.pdf,no,no,2026-08-09T18:12:26+02:00,,,,
105,406,Effects of Transcutaneous Electrical Acupoint Stimulation on Systemic Inflammatory Response Syndrome of Patients after Percutaneous Nephrolithotomy: A Randomized Controlled Trial.,"Que, Bin",2021,10.1155/2021/5909956,INCLUDE,not_applicable,no,none,complete_pmc_html,yes,not_applicable_html,yes,2026-08-09T18:14:13+02:00,ChiCTR1800018254,no,full randomized journal report,yes,yes,Central 1:1 randomization with admission-time stratified blocks of 10; an independent statistician generated and concealed the random-number list.,yes; adult perioperative cohort with mean ages 45.4 and 47.1 years,,,,Percutaneous nephrolithotomy for upper urinary calculi,yes,yes; the report explicitly states general anaesthesia with IV induction/maintenance and post-extubation PACU transfer,"Fentanyl, propofol and rocuronium induction; propofol/remifentanil closed-loop maintenance with additional rocuronium and BIS 40-50; extubation before PACU.",TEAS,"Bilateral BL23, SP9, LI4 and PC6 surface-electrode TEAS from 30 minutes before anaesthesia induction until surgery ended, HANS 200A dense-disperse 2/100 Hz at 5-30 mA in 30-minute intervals.","BL23, SP9, LI4 and PC6, bilateral",,,,yes; HANS 200A with alternating 2/100-Hz current at 5-30 mA,yes,30 minutes before anaesthesia induction,yes,,Same electrodes at the same acupoints with the stimulator not operated,"yes; standardized surgery, anaesthesia and postoperative medication were shared",yes,"SIRS within 48 hours, intraoperative remifentanil consumption, PONV, emergence agitation, blood-pressure complications, other adverse events and length of stay",yes; intraoperative remifentanil consumption,no postoperative 24-hour opioid total,postoperative pain prophylaxis described but no pain-score outcome,yes,yes,no,ChiCTR1800018254; PMCID PMC8376454; PMID 34422076,"Complete PMC HTML, article citation/Abstract: title, authors, journal, year, DOI/PMCID/PMID identity and participant results. | Complete PMC HTML, Materials and Methods §§2.1-2.2: enrolled PCNL participants, trial registration, prospective randomized design, central allocation and independent random-list generation/concealment. | Complete PMC HTML, Materials and Methods §2.3: bilateral BL23/SP9/LI4/PC6 TEAS parameters and 30-minute pre-induction-through-surgery timing, inactive sham electrodes, explicit GA drugs/monitoring and post-extubation PACU transfer. | Complete PMC HTML, Results §§3.1-3.2/Table 2: 60 analyzed participants with group-level SIRS, anaesthetic-consumption, PONV, emergence-agitation and other complication results.","Complete PMC article establishes an adult centrally randomized PCNL trial under explicit GA with eligible pre/intraoperative TEAS, a separable inactive sham and clinical complications plus intraoperative opioid use.",,none,Strict-batch sequence 105; no abstract-only evidence used.,"Complete open-access PubMed Central article with Methods, Results, tables and figures.",https://pmc.ncbi.nlm.nih.gov/articles/PMC8376454/,no,no,2026-08-09T18:14:13+02:00,,,,
106,228,"Effect of transcutaneous electrical acupoint stimulation based on the theory of ""qi ascending and descending movement"" on autonomic nervous system and gastrointestinal function in patients after general anesthesia laparoscopic cholecystectomy.","Cai, Yuan-chun",2024,10.13702/j.1000-0607.20221402,INCLUDE,not_applicable,no,none,publisher_pdf,yes,externally_viewed_not_saved,yes,2026-08-09T18:17:00+02:00,not reported,no,full randomized journal report,yes,yes,"Random-number-table allocation assigned 204 patients equally to no-stimulation control, two-acupoint TEAS and multiple-acupoint TEAS groups.",yes; age 18-75 years,,,,Elective laparoscopic cholecystectomy,yes,"yes; complete report specifies IV induction, tracheal intubation, mechanical ventilation and IV maintenance",Standard IV induction followed by tracheal intubation/mechanical ventilation; propofol and remifentanil maintenance with BIS monitoring.,TEAS,"TEAS from 30 minutes before anaesthesia induction through surgery at bilateral ST36/PC6 in one active arm and ST36, CV22, CV17, CV12, LR3 and PC6 in the multiple-point arm; HANS-type device, alternating 2/10 Hz at 5-15 mA.","Two-point arm: ST36 and PC6 bilateral; multiple-point arm: ST36, CV22, CV17, CV12, LR3 and PC6",,,,"yes; surface electrodes, 2/10 Hz, 5-15 mA",yes,30 minutes before anaesthesia induction,yes,,No electrical stimulation with shared anaesthesia and perioperative care,yes,yes; both TEAS arms and control were separately reported,"Postoperative abdominal distension, bowel-sound recovery, first flatus and defecation, length of stay, nausea/vomiting and autonomic recovery",no trial-group opioid-consumption outcome,no,no,yes,postoperative nausea/vomiting reported,no,none identified,"PDF p.1 / journal p.283, title/English abstract/DOI: identity, 204 randomized GA laparoscopic-cholecystectomy patients, three arms, TEAS timing/points and clinical gastrointestinal/PONV outcomes. | PDF p.2 / journal p.284, Methods §§1.1-1.4: random-number-table allocation, adult inclusion criteria, GA laparoscopic surgery and standardized IV anaesthesia with intubation/mechanical ventilation. | PDF p.3 / journal p.285, Methods §§1.4-1.5: active-arm acupoints, 2/10-Hz frequency, 5-15-mA intensity, 30-minute pre-induction-through-surgery timing, no-stimulation control and outcome definitions; Table 1 begins participant results.","Complete publisher PDF establishes randomized adults undergoing intubated GA laparoscopic surgery, two independently reported therapeutic TEAS regimens beginning pre-induction, a no-stimulation comparator and eligible gastrointestinal/PONV outcomes.",,none,Strict-batch sequence 106; no abstract-only evidence used.,Complete six-page open-access Acupuncture Research PDF viewed in Chrome via SciOpen.,https://www.sciopen.com/article/pdf/10.13702/j.1000-0607.20221402.pdf,no,no,2026-08-09T18:17:00+02:00,,,,
107,711,"The effect of pre-treatment with transcutaneous electrical acupoint stimulation on the quality of recovery after ambulatory breast surgery: a prospective, randomised controlled trial.","Zhang, Q.",2014,10.1111/anae.12639,INCLUDE,not_applicable,no,none,publisher_pdf,yes,externally_viewed_not_saved,yes,2026-08-09T18:24:30+02:00,NCT01700855,no,full randomized journal report,yes,yes,Random-number-table sequence with allocation lists concealed from the anaesthetists and analysis personnel.,"yes; women aged 20-50 years, ASA I-II",,,,Elective ambulatory cosmetic breast surgery,yes,"yes; IV induction, laryngeal mask airway, mechanical ventilation and target-controlled propofol/remifentanil maintenance","Midazolam premedication; fentanyl, propofol and rocuronium induction; LMA with mechanical ventilation; propofol/remifentanil maintenance.",TEAS,"Bilateral LI4, PC6 and ST36 surface-electrode TEAS for 30 minutes before anaesthesia induction, dense-disperse 2/10 Hz at 6-9 mA.","LI4, PC6 and ST36, bilateral",,,,"yes; surface electrodes, 2/10 Hz, 6-9 mA",yes,30 minutes before anaesthesia induction,yes,,Identical placebo gel electrodes at the same acupoints with no electrical stimulation,"yes; standardized surgery, anaesthesia and antiemetic/analgesic prophylaxis",yes,"Recovery-room stay, LMA removal and reorientation times, postoperative pain, nausea, vomiting, dizziness, pruritus, respiratory depression and recovery readiness",yes; intraoperative remifentanil consumption,no postoperative 24-hour opioid total,yes; 0-10 pain scores through 24 hours,yes,yes,no,NCT01700855,"PDF p.1 / journal p.832, title/summary/DOI: identity, randomized ambulatory breast-surgery sample, pre-induction TEAS, GA and recovery/pain/side-effect outcomes. | PDF p.2 / journal p.833, Methods: trial registration, age/ASA criteria, random-number sequence and concealment, bilateral LI4/PC6/ST36, 2/10-Hz 6-9-mA TEAS, inactive sham and IV GA with LMA/mechanical ventilation. | PDF p.3 / journal p.834, Methods: maintenance anaesthesia, standardized perioperative care and prespecified recovery-room, anaesthetic-consumption, pain, PONV and adverse-event outcomes. | PDF p.5 / journal p.836, Results/Table 1/Table 2: 65 analyzed participants (33 TEAS, 32 sham) with group-level remifentanil, recovery, pain and adverse-event results.","Complete publisher PDF establishes a concealed randomized adult ambulatory breast-surgery trial under LMA GA with eligible pre-induction TEAS, an inactive sham and clinical recovery, pain and side-effect outcomes.",,none,Strict-batch sequence 107; no abstract-only evidence used.,Complete eight-page Anaesthesia publisher PDF opened from the Wiley link exposed by Google Scholar.,https://associationofanaesthetists-publications.onlinelibrary.wiley.com/doi/pdf/10.1111/anae.12639,no,no,2026-08-09T18:24:30+02:00,,,,
108,458,Impact of Electroacupuncture Stimulation on Postoperative Constipation for Patients Undergoing Brain Tumor Surgery.,"Li, Danni",2020,10.1097/JNN.0000000000000531,INCLUDE,not_applicable,yes,"UNCERTAIN_GENERAL_ANAESTHESIA; UNCERTAIN_TIMING: the complete report concerns brain-tumor resection and a seven-day postoperative EA course, but it does not state the surgical anaesthetic technique or an exact clock time for the first postoperative session.",repository_pdf,yes,externally_viewed_not_saved,yes,2026-08-09T18:29:05+02:00,not reported,no,full multicenter randomized journal report,yes,yes,"The complete report states that 150 participants were randomly assigned 1:1:1 across three centers to no treatment, manual acupuncture or EA.",yes; age 18-70 years,,,,Brain tumor resection,yes,uncertain in the complete report,"No anaesthetic drugs, airway technique or explicit GA statement is provided.",EA,"Needles at bilateral ST25 (Tianshu) linked to electrical conducting wires, 15 Hz, 5-10 mA and 20-µs pulse width for 20 minutes once daily during a seven-day postoperative course.","ST25 (Tianshu), bilateral",,,,"yes; inserted needles linked to electrical wires, 15 Hz, 5-10 mA, 20-µs pulse width",yes,During the postoperative seven-day treatment course; exact start time is not reported,uncertain; postoperative-day context is compatible with ≤24 hours but exact initiation is not stated,,No-treatment group and separately reported manual-acupuncture group,"yes; feeding, fluid/electrolyte balance and nursing intervention were standardized","yes; EA, acupuncture and no-treatment results were reported separately","Constipation/Cleveland Clinic Constipation Score, weekly spontaneous bowel movements, abdominal discomfort, constipation severity and PAC-QOL",no,no,abdominal discomfort recorded; no postoperative surgical-pain scale,no,not a principal reported outcome,no,none identified,"PDF p.1 / journal p.257, title/authors/DOI/abstract: identity, 150 randomized brain-tumor-resection patients, three arms and constipation/quality-of-life participant results. | PDF p.2 / journal p.258, Methods: multicenter design, age 18-70 inclusion, brain-tumor resection, 1:1:1 random assignment, seven-day postoperative treatment, ST25 acupuncture and standardized background care. | PDF p.3 / journal p.259, Methods/Results: inserted needles linked to electrical wires, 15-Hz 5-10-mA EA, 20-minute daily sessions and group-level constipation, bowel-movement, abdominal-discomfort and PAC-QOL results. | Complete six-page PDF, Methods/perioperative text: no explicit GA airway/drug regimen and no exact first-session clock time are reported.",Complete author-shared PDF establishes randomized adult operative patients and independently separable therapeutic needle EA with clinical bowel/QoL outcomes; retained for human review because GA and exact ≤24-hour start cannot be confirmed or excluded.,,none,NEEDS_HUMAN_REVIEW - UNCERTAIN_GENERAL_ANAESTHESIA and UNCERTAIN_TIMING; no abstract-only evidence used.,Complete six-page author-shared ResearchGate PDF discovered through the scholarly result link and viewed in Chrome.,https://www.researchgate.net/profile/Hongbo-Bao/publication/342984426_Impact_of_Electroacupuncture_Stimulation_on_Postoperative_Constipation_for_Patients_Undergoing_Brain_Tumor_Surgery/links/5f8c3057458515b7cf88281d/Impact-of-Electroacupuncture-Stimulation-on-Postoperative-Constipation-for-Patients-Undergoing-Brain-Tumor-Surgery.pdf,no,no,2026-08-09T18:29:05+02:00,,,,
109,682,"Single-blinded, randomised preliminary study evaluating the effects of 2 Hz electroacupuncture for postoperative pain in patients with total knee arthroplasty.","Tzeng, Chung-Yuh",2015,10.1136/acupmed-2014-010722,EXCLUDE,EXCLUDE_NO_GENERAL_ANAESTHESIA,no,none,complete_pmc_html,yes,not_applicable_html,yes,2026-08-09T18:36:00+02:00,not reported,yes,full randomized participant-results report,yes,yes,"Blank-envelope allocation to control, acupoint EA or non-point EA groups; envelope opened immediately after wound closure.",yes; patients older than 50 years (observed age 59-84),,,,Total knee arthroplasty,yes,no,The complete Methods state that intraoperative anaesthesia was spinal (subarachnoid) anaesthesia at L3-L4 with 0.5% bupivacaine; no general anaesthesia regimen was used.,EA,"Inserted-needle 2-Hz EA at contralateral ST36 and GB34, 2 mA with visible anterior-tibial twitch, for 30 minutes when recovery-room epidural PCA began and again 24 hours later.",ST36 and GB34 contralateral to the operated leg,,,,"yes; needles, HANS device, 2 Hz, 2 mA",yes,When postoperative PCA was started in the recovery room,yes,,PCA-only control; separately reported non-point needle EA arm,yes; all groups received the same epidural fentanyl/bupivacaine PCA protocol,yes; acupoint EA and no-EA control reported separately,"Time to first PCA demand, 48-hour PCA dose, pain VAS and postoperative vomiting",yes; epidural fentanyl PCA,no; 48-hour total reported,yes,yes; vomiting,vomiting reported,no,PMCID PMC4552907; PMID 25910930,"Complete PMC HTML, Patients and methods > Patients/Randomisation and blinding: adults older than 50 undergoing TKA were randomly allocated by blank envelope to three arms. | Complete PMC HTML, Patients and methods > Interventions: intraoperative anaesthesia was explicitly spinal (subarachnoid) L3-L4 anaesthesia with 0.5% bupivacaine. | Complete PMC HTML, Patients and methods > Interventions: needles at ST36/GB34 delivered 2-Hz, 2-mA EA for 30 minutes when recovery-room PCA began and again 24 hours later; control received PCA only. | Complete PMC HTML, Results/Table 2: participant results for time to PCA demand, PCA dosage and vomiting are reported across all three groups.","Definite exclusion: the complete participant-results report explicitly establishes spinal anaesthesia as the intraoperative anaesthetic technique, with no general anaesthesia.",,Covidence reason selected: Wrong setting (mapped to EXCLUDE_NO_GENERAL_ANAESTHESIA).,Strict-batch sequence 109; stopped after the first definitive exclusion criterion; no abstract-only evidence used.,"Complete PubMed Central HTML article with Methods, Results and tables; matching PMC PDF also available.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4552907/,no,no,2026-08-09T18:35:00+02:00,,,,
110,673,Transcutaneous electric acupoint stimulation alleviates remifentanil-induced hyperalgesia in patients undergoing thyroidectomy: a randomized controlled trial.,"Chen, Yanqing",2015,not reported,INCLUDE,not_applicable,no,none,complete_pmc_html,yes,not_applicable_html,yes,2026-08-09T18:44:00+02:00,not reported,no,full prospective randomized double-blind participant-results report,yes,yes,"Computer-generated 1:1 allocation list with sealed envelopes; patients, investigators, anaesthetists, surgeons, nurses and analyst blinded.",yes; female adults aged 18-60 years,,,,Elective thyroidectomy,yes,"yes; propofol/remifentanil induction, cisatracurium-facilitated tracheal intubation, sevoflurane/remifentanil maintenance and BIS 40-60","Intubated general anaesthesia using propofol, target-controlled remifentanil, cisatracurium and sevoflurane.",TEAS,"Surface-electrode TEAS at bilateral LI4 and PC6 using a HANS-100A device, dense-disperse 2/10 Hz at 6-9 mA for 30 minutes in the holding area before anaesthesia induction.",Bilateral LI4 (Hegu) and PC6 (Neiguan),,,,"yes; surface electrodes, 2/10 Hz, 6-9 mA",yes,30 minutes before anaesthesia induction,yes,,Identical electrodes at the same acupoints with no electrical stimulation,yes; standardized anaesthesia and postoperative sufentanil PCIA,yes,"Postoperative pain scores, time to first rescue analgesia, number of rescue-analgesia demands, PONV, dizziness and shivering through 24 hours",yes; rescue sufentanil PCIA demands,yes; cumulative rescue-analgesia demand count through 24 hours,yes,yes,"yes; PONV, dizziness and shivering",no,PMCID PMC4483830; PMID 26131165,"Complete PMC HTML, Materials and methods > Patients: 60 ASA I-II women aged 18-60 scheduled for elective thyroidectomy under general anaesthesia. | Complete PMC HTML, Materials and methods > Intervention: computer-generated concealed 1:1 randomization; bilateral LI4/PC6 surface TEAS, 2/10 Hz and 6-9 mA for 30 minutes before induction versus electrodes with no stimulation. | Complete PMC HTML, Materials and methods > Standardized protocol: propofol/remifentanil induction, cisatracurium, tracheal intubation and sevoflurane/remifentanil maintenance with BIS 40-60. | Complete PMC HTML, Results/Table 2: 59 analyzed patients with 24-hour pain, rescue-analgesia, PONV, dizziness and shivering results.","Complete PMC participant-results report establishes a concealed randomized adult thyroidectomy trial under intubated general anaesthesia with pre-induction therapeutic LI4/PC6 TEAS, inactive sham, balanced care and eligible clinical outcomes.",,none,Strict-batch sequence 110; no abstract-only evidence used.,"Complete PubMed Central HTML article with Methods, Results, figures and tables; matching PMC PDF available.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4483830/,no,no,2026-08-09T18:43:00+02:00,,,,
111,839,Postoperative pain and respiratory function in patients treated with electroacupuncture following coronary surgery.,"Colak, Mehmet C.",2010,not reported,INCLUDE,not_applicable,no,none,publisher_pdf,yes,downloaded_local_only,yes,2026-08-09T18:47:00+02:00,not reported,no,full randomized participant-results journal report,yes,yes,Tables of Random Numbers allocated 30 participants to EA plus pharmacologic analgesia or pharmacologic analgesia alone.,yes; mean age approximately 52 years,,,,Coronary artery bypass graft surgery through median sternotomy with cardiopulmonary bypass,yes,yes; the report explicitly describes general anaesthesia as part of the median-sternotomy pathway and reports postoperative mechanical-ventilation extubation times,General anaesthesia for CABG with cardiopulmonary bypass; mean extubation time was approximately 8 hours postoperatively.,EA,"Inserted stainless-steel needles at LI4, LI11, ST36, PC6 and LR3 connected to an ES-160 unit, alternating 60-Hz current for 20 minutes, first performed about 2 hours after extubation and then daily for seven days.","LI4, LI11, ST36, PC6 and LR3",,,,"yes; inserted needles, alternating 60 Hz, strong but comfortable intensity",yes,Approximately 2 hours after extubation,yes; clearly within 24 postoperative hours,,Pharmacologic analgesia alone,yes; both groups could receive the same metamizole and rescue pethidine regimen,yes,"Pain VAS through postoperative day 7, pethidine and metamizole consumption, pulmonary function and atelectasis",yes; total pethidine dose,no; cumulative seven-day intake reported,yes,no,yes; pulmonary complications/atelectasis and no EA adverse effects,no,PMID 20677584,"PDF p.1 / journal p.7, abstract and identity: randomized CABG participants, EA plus pharmacologic analgesia versus pharmacologic analgesia alone, and pain/opioid/respiratory participant results. | PDF p.2 / journal p.8, Introduction/Methods: median-sternotomy patients are described as exposed to general anaesthesia; random-number allocation; inserted LI4/LI11/ST36/PC6/LR3 needles; alternating 60-Hz EA for 20 minutes beginning about 2 hours after extubation. | PDF p.3 / journal p.9, Table 1/Results: adult baseline age, extubation time, pain VAS, pethidine and metamizole consumption and pulmonary-function outcomes by randomized group. | PDF p.4 / journal p.10, Discussion/Conclusion: EA reduced postoperative pain and opioid/non-opioid intake; no EA adverse effects were encountered.","Complete open-access publisher PDF establishes randomized adult CABG patients exposed to general anaesthesia, inserted-needle EA beginning about two hours after extubation, a pharmacologic-care control and eligible pain/opioid/respiratory outcomes.",,none,Strict-batch sequence 111; no abstract-only evidence used.,"Complete four-page open-access Neurosciences Journal publisher PDF retrieved from the journal site, extracted and visually verified.",https://nsj.org.sa/content/nsj/15/1/7.full.pdf,yes,no,2026-08-09T18:45:00+02:00,/Users/ryan/Documents/Perioperative_TEAS_EA_Review_2026/tmp/pdfs/covidence_839_colak_2010.pdf,,,
112,941,Acupuncture fails to reduce but increases anaesthetic gas required to prevent movement in response to surgical incision.,"Kvorning, N.",2003,10.1034/j.1399-6576.2003.00171.x,EXCLUDE,EXCLUDE_NO_ELIGIBLE_OUTCOME,no,none,institutional_pdf,yes,downloaded_local_only,yes,2026-08-09T18:50:00+02:00,not reported,yes,full randomized double-blind participant-results report,yes,yes,Randomization list in pairs of ten allocated 46 participants to electroacupuncture or sham.,"yes; adult women, mean age 37 years",,,,Laparoscopic sterilization,yes,yes; sevoflurane mask induction/maintenance followed by endotracheal-intubation anaesthesia,"General anaesthesia induced by facemask with 6-8% sevoflurane; maintained with sevoflurane in oxygen-air, then endotracheal anaesthesia after incision testing.",EA,"Intramuscular stainless-steel needles at three right-sided point pairs (LI4/PC6, ST36/SP9, LR3/SP6) stimulated at 2 Hz, 180 microseconds and 2.5 mA for approximately 25 minutes between induction and incision.","LI4/PC6, ST36/SP9 and LR3/SP6 on the right",,,,"yes; inserted needles, 2 Hz, 180 microseconds, 2.5 mA",yes,After induction of general anaesthesia and before surgical incision,yes,,Electrodes taped at the same points but not connected to the stimulator,yes,yes,"None eligible; only sevoflurane minimum alveolar concentration, movement response to incision, blood pressure, heart rate, pupil size and eye-axis orientation were measured",no,no,no patient-reported clinical pain outcome,no,no clinical adverse-event outcome,no,PMID 12859301,"PDF p.3 / journal p.818, Abstract/Methods: 46 adult women undergoing laparoscopic sterilization were randomized to EA or sham under sevoflurane general anaesthesia; outcome was MAC needed to prevent movement at incision. | PDF p.4 / journal p.819, Methods: facemask sevoflurane GA; inserted LI4/PC6, ST36/SP9 and LR3/SP6 needles, 2-Hz 2.5-mA EA for about 25 minutes versus disconnected electrodes. | PDF p.5 / journal p.820, Outcomes/Results: only neck/limb movement, sevoflurane concentration, pupil/eye-axis observations, heart rate and blood pressure were assessed and reported. | PDF p.6 / journal p.821, Discussion/Conclusion: the report concludes solely on sevoflurane anaesthetic-gas requirement and reflex response, with no postoperative clinical outcome.","Definite outcome exclusion: the complete report measured only anaesthetic-gas MAC, incision movement and physiologic responses; no eligible clinical perioperative outcome was collected.",,Covidence reason selected: Wrong outcomes (mapped to EXCLUDE_NO_ELIGIBLE_OUTCOME).,Strict-batch sequence 112; stopped after the first definitive exclusion criterion; no abstract-only evidence used.,"Complete five-journal-page article embedded in a seven-page Lund University Publications repository PDF, extracted and visually verified.",https://lup.lub.lu.se/search/files/2585331/623829.pdf,yes,no,2026-08-09T18:48:00+02:00,/Users/ryan/Documents/Perioperative_TEAS_EA_Review_2026/tmp/pdfs/covidence_941_kvorning_2003.pdf,,,
