screening_sequence,covidence_number,title,first_author,publication_year,DOI,decision,primary_exclusion_reason,needs_human_review,uncertainty_reason,full_text_source_type,full_text_identity_verified,pdf_status,vote_registered,post_vote_timestamp,trial_registration,definitive_exclusion,record_type,participant_results_reported,randomized,randomization_method,adult_population,sample_size_randomized,sample_size_analysed,country,surgery_type,operative_surgery,general_anaesthesia,anaesthesia_description,modality,intervention_description,acupuncture_points,stimulation_frequency,stimulation_intensity,stimulation_duration,electrical_stimulation_confirmed,therapeutic_stimulation,first_treatment_timing,timing_eligible,number_of_sessions,comparator,background_care_balanced,intervention_effect_separable,clinical_outcomes,opioid_outcome_reported,opioid_24h_reported,pain_reported,PONV_reported,adverse_events_reported,possible_companion_report,companion_identifiers,evidence_pages,evidence_summary,pdf_accessible,interface_issue,notes,full_text_source_description,full_text_url_or_identifier,pdf_saved,pdf_attached_to_covidence,retrieval_timestamp,pdf_local_path,qc_incident_type,qc_incident_status,qc_full_article_local_path
11,83,Efficacy of preoperative transcutaneous electrical acupoint stimulation in reducing postoperative delirium in older adults undergoing orthopedic surgery: a randomized controlled trial.,Sun,2025,10.3389/fneur.2025.1668610,INCLUDE,not_applicable,yes,Mixed anaesthetic techniques were used and outcomes were not reported separately by general-anaesthesia subgroup.,,,,yes,2026-08-09T15:01:35+02:00,ChiCTR-INR-17012951,no,primary randomized participant-results report,yes,yes,Computer/R-generated 1:1 allocation,yes; age >65,608,592,China,Elective orthopedic surgery,yes,mixed; some participants received spinal anaesthesia,"Propofol/remifentanil GA; lower-limb procedures could receive spinal anaesthesia, with GA plus regional block when spinal was contraindicated; upper-limb procedures received GA plus brachial plexus block.",TEAS,Surface-electrode TEAS at bilateral ST36-LR3 and LI4-PC6 twice daily for three preoperative days plus 30 min starting 30 min before induction.,"Bilateral ST36, LR3, LI4 and PC6",2/100 Hz dispersed-dense,Maximum tolerable,30 min per session,yes,yes,3 days preoperatively,yes,7,Visually identical modified device with no current on same schedule,yes,yes,Postoperative delirium through day 5; cognition; sleep; pain; inflammatory/brain-injury biomarkers,yes; postoperative sufentanil PCIA and rescue pethidine described,unclear,yes,no,unclear,no,ChiCTR-INR-17012951,"PDF p.2, Methods/Participants: prospective randomized trial in adults >65 undergoing elective orthopedic surgery. | PDF p.3, Intervention: bilateral ST36/LR3/LI4/PC6 TEAS 2/100 Hz, maximum tolerable intensity, seven 30-min preoperative sessions versus no-current sham. | PDF p.3, Anaesthesia: mixed spinal and general anaesthesia depending on surgical site; no outcome stratification by anaesthetic technique reported. | PDF p.3, Endpoints: postoperative delirium through day 5 plus cognitive, sleep and pain outcomes. | PDF p.4, Results: 608 randomized and 592 analyzed.","Randomized therapeutic TEAS trial with eligible clinical outcomes; retained because some patients clearly underwent GA, but mixed spinal/GA outcome separability is unresolved and was flagged for human review rather than used for exclusion.",yes; Covidence-hosted 9-page PDF,none,Sensitivity-first retention under the protocol; requires adjudication of mixed-anaesthesia eligibility.,,,,,,,,,
220,716,Efficacy on analgesia with electric stimulation of long-term retaining needle after laparoscopic cholecystectomy,"Yu, G.J.",2014,,INCLUDE,not applicable,yes,Full text is needed to determine whether the transverse long-term retained needles were ordinary acupuncture needles or an excluded press-tack/intradermal device; ages are also absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:20:45+02:00,,no,,yes,yes; 90 patients randomized among three groups,,uncertain; ages not reported,90,,China,Laparoscopic cholecystectomy,yes,yes; static absorptive composite GA explicitly stated,,electrical stimulation through retained needles; exact needle type uncertain,"Needles inserted transversely at GB24, ST30 and GB34, fixed with sterile stickers, then electrically stimulated at 8 and 24 postoperative hours.","GB24, ST30 and GB34",2/100 Hz,not reported,30 minutes at 8 and 24 hours after surgery,yes,,8 postoperative hours,yes,,no postoperative analgesia and PCIA comparator groups,,yes,"Pain, PONV and flatus",,,,,,,,"Complete indexed abstract: 90 LC patients under GA randomized to no analgesia, PCIA or electrically stimulated retained needles. | Recognized points were electrically stimulated for 30 minutes at 8 and 24 postoperative hours. | Needle-device type and ages require full-text verification.",Potentially eligible needle-based EA with eligible timing; included for human confirmation that the retained needle is not an excluded press-tack/intradermal intervention and that participants are adults.,,,Strict-batch sequence 220; CNKI not used.,,PMID 24796057,no,no,2026-08-11T10:20:45+02:00,,,,
222,638,Analgesic and Sedative Effect of Acupuncture Combined with Medicine on Patients Undergoing Cardiac Surgery,"Yu, H.J.",2016,,INCLUDE,not applicable,yes,The complete abstract omits participant ages and exact first EA timing; no non-CNKI PDF was located.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:20:45+02:00,,no,,yes,yes; 50 patients randomized 25/25,,uncertain; ages not reported,50,,China,Cardiac surgery,yes,"yes; cardiac surgery necessarily used operative GA, but regimen is not described in the abstract",,EA,EA at GV24 and EX-HN3 with dexmedetomidine versus dexmedetomidine alone for postsurgical analgesia and sedation.,GV24 and EX-HN3,not reported,not reported,not reported,yes,,perioperative/postoperative analgesia-sedation period; exact start not reported,uncertain; initiation within 24 hours is realistic,,dexmedetomidine analgesia/sedation without EA,,yes,"Pain, sedation, dexmedetomidine and morphine dose, adverse events, ventilation and ICU time",,,,,,,,"Complete indexed abstract: 50 cardiac-surgery patients randomized to dexmedetomidine alone or EA plus dexmedetomidine. | EA at recognized head points is explicit, with participant outcomes including morphine use. | Age and exact treatment start are omitted.",Potentially eligible randomized perioperative EA trial; included for adult-age and first-session timing verification.,,,Strict-batch sequence 222; CNKI not used.,,PMID 27236884,no,no,2026-08-11T10:20:45+02:00,,,,
223,801,The application of electro-acupuncture combined with sevoflurane anesthesia in neurosurgery,"An, L.X.",2011,,INCLUDE,not applicable,yes,Participant ages are absent and study-level linkage to Covidence #1724 is required; no non-CNKI PDF was located.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:20:45+02:00,,no,,yes,yes; 80 patients randomized to two groups,,uncertain; ages not reported,80,,China,Supratentorial tumour resection,yes,"yes; propofol, sufentanil, vecuronium and sevoflurane explicitly reported",,EA,EA at ipsilateral GB20-BL10 and BL2-EX-HN4 before induction through surgery versus wires attached without acupuncture or current.,"GB20, BL10, BL2 and EX-HN4",2/100 Hz,not reported,before induction through end of operation,yes,,before anaesthesia induction,yes,,conducting wires attached without acupuncture or electrical stimulation,,yes,"Sevoflurane requirement, recovery, dysphoria, nausea and vomiting",,,,,,yes,Covidence #1724 has the same title/cohort description and is likely the conference version,Complete indexed abstract: 80 supratentorial-tumour patients randomized to EA plus sevoflurane or sham/no-current sevoflurane. | EA 2/100 Hz at GB20-BL10 and BL2-EX-HN4 from before induction through surgery. | Likely journal companion to Covidence #1724; ages omitted.,Eligible randomized perioperative needle-EA report under GA; included as a probable companion of #1724 with adult-age verification.,,,Strict-batch sequence 223; CNKI not used.,,PMID 22013791,no,no,2026-08-11T10:20:45+02:00,,,,
224,833,Effect of electroacupuncture on Sevoflurane anesthesia in patients undergoing resection of supratentorial tumor,"An, L.X.",2010,,INCLUDE,not applicable,yes,Participant ages are absent and possible study-level linkage to later An/Yang supratentorial reports requires reconciliation; no non-CNKI PDF was located.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:20:45+02:00,,no,,yes,yes; 80 patients randomized 40/40,,uncertain; ages not reported,80,,China,Supratentorial tumour resection,yes,yes; 2% sevoflurane explicitly stated,,EA,"EA at LI4-TE5, BL63-LR3 and ST36-GB40 from anaesthesia start through the operation versus sevoflurane without EA.","LI4, TE5, BL63, LR3, ST36 and GB40",not reported in abstract,not reported,from anaesthesia beginning to end of operation,yes,,at anaesthesia beginning,yes,,sevoflurane GA without EA,,yes,"Sevoflurane requirement, BIS, recovery, dysphoria and PONV",,,,,,yes,"Potentially related to An/Yang supratentorial-craniotomy reports #698, #774 and #1500; linkage uncertain",Complete indexed abstract: 80 supratentorial-tumour patients randomized to EA plus sevoflurane or sevoflurane alone. | EA at recognized points from anaesthesia start through surgery; participant recovery and PONV results reported. | Ages omitted and study linkage requires reconciliation.,Eligible randomized perioperative needle-EA report under GA; included with adult-age and companion-linkage review.,,,Strict-batch sequence 224; CNKI not used.,,PMID 20942286,no,no,2026-08-11T10:20:45+02:00,,,,
225,473,"Effect of electrically stimulating acupoint, Zusanli (ST 36), on patient's recovery after laparoscopic colorectal cancer resection: a randomized controlled trial","Huang, W.",2019,not reported,INCLUDE,not applicable,yes,General anaesthesia and participant ages are not explicitly stated in the complete abstract.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,requires verification; see evidence,,TEAS,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,"64 laparoscopic colorectal-resection patients were randomized to TEAS or no stimulation. | Bilateral ST36 stimulation ran from 30 minutes before anaesthesia through surgery; outcomes include pain, remifentanil and GI recovery.",Potentially eligible randomized perioperative TEAS report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 225; CNKI not used.,,PMID 32186016,no,no,2026-08-11T10:26:00+02:00,,,,
226,440,Effect of transcutaneous electrical acupoint stimulation on venous thrombosis after lung cancer surgery: a randomized controlled trial,"Sun, Y.",2020,10.13703/j.0255-2930.20191204-k0007,INCLUDE,not applicable,yes,"The abstract omits general anaesthesia, ages and exact first-session timing.",covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,yes or strongly supported; see evidence,,TEAS,,,,,,yes,yes,,uncertain; initiation within 24 hours remains realistically possible,,,,yes,,,,,,,,,"120 lung-cancer surgery patients were randomized among conventional nursing, rehabilitation and TEAS groups. | TEAS at recognized points was given twice daily for five postoperative days; exact first start is omitted.",Potentially eligible randomized perioperative TEAS report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 226; CNKI not used.,,DOI 10.13703/j.0255-2930.20191204-k0007; PMID 33415872,no,no,2026-08-11T10:26:00+02:00,,,,
227,452,Effect of transcutaneous electrical acupoint stimulation on catheter related bladder discomfort after ureteroscopic lithotripsy,"Gao, P.",2020,10.13703/j.0255-2930.20190729-k0001,INCLUDE,not applicable,yes,Participant ages are omitted from the complete abstract.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,yes or strongly supported; see evidence,,TEAS,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,"60 male patients under general anaesthesia were randomized to TEAS or sham TEAS. | TEAS at CV4, CV3, ST36 and SP6 used 2/15 Hz, 6-10 mA for 30 minutes before induction.",Potentially eligible randomized perioperative TEAS report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 227; CNKI not used.,,DOI 10.13703/j.0255-2930.20190729-k0001; PMID 32869590,no,no,2026-08-11T10:26:00+02:00,,,,
228,469,Effect of transcutaneous electrical acupoint stimulation on postoperative olfactory memory disorder and plasma melatonin in patients with general anesthesia of sevoflurane,"Huang, J.",2020,10.13703/j.0255-2930.20190326-k0010,INCLUDE,not applicable,yes,Participant ages are omitted from the complete abstract.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,yes or strongly supported; see evidence,,TEAS,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,40 gynecological/urological surgery patients under sevoflurane GA were randomized to TEAS or control. | TEAS at LI20 and GV29 began 10 minutes before induction and continued through surgery.,Potentially eligible randomized perioperative TEAS report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 228; CNKI not used.,,DOI 10.13703/j.0255-2930.20190326-k0010; PMID 32270634,no,no,2026-08-11T10:26:00+02:00,,,,
229,421,Effect of electroacupuncture at Neiguan (PC 6) on pulmonary function during one-lung ventilation in patients with lobectomy,"Ding, Y.",2021,10.13703/j.0255-2930.20201125-0004,INCLUDE,not applicable,yes,Participant ages are omitted from the complete abstract.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,yes or strongly supported; see evidence,,EA,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,60 lobectomy patients were randomized to general anaesthesia alone or EA plus GA. | EA 2/100 Hz at PC6 started 30 minutes before induction and continued through surgery.,Potentially eligible randomized perioperative EA report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 229; CNKI not used.,,DOI 10.13703/j.0255-2930.20201125-0004; PMID 34085474,no,no,2026-08-11T10:26:00+02:00,,,,
230,434,Comparative study between electroacupuncture at Neima point and Neiguan (PC 6) and epidural nerve block for preemptive analgesia in patients undergoing thoracic surgery,"Yan, X.B.",2021,10.13703/j.0255-2930.20200121-k0001,INCLUDE,not applicable,yes,Participant ages are omitted from the complete abstract.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,yes or strongly supported; see evidence,,EA,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,"60 elective radical-esophagectomy patients were randomized to epidural block, EA, or GA alone. | EA at Neima and PC6 was delivered for 30 minutes before GA induction; outcomes include remifentanil, pain and recovery.",Potentially eligible randomized perioperative EA report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 230; CNKI not used.,,DOI 10.13703/j.0255-2930.20200121-k0001; PMID 33559444,no,no,2026-08-11T10:26:00+02:00,,,,
231,405,Clinical efficacy of adductor canal blockade combined with transcutaneous electrical acupoint stimulation for total knee arthroplasty,"Ge, M.",2021,10.12200/j.issn.1003-0034.2021.08.011,INCLUDE,not applicable,yes,"The abstract does not state GA, exact acupuncture points or exact first-session time.",covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,yes,,,China,,yes,requires verification; see evidence,,TEAS,,,,,,yes,yes,,uncertain; initiation within 24 hours remains realistically possible,,,,yes,,,,,,,,,84 adults aged 66-77 undergoing TKA were randomized to ACB alone or ACB plus postoperative TEAS. | TEAS was delivered to bilateral lower limbs on postoperative days 1-7; GA and point details require verification.,Potentially eligible randomized perioperative TEAS report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 231; CNKI not used.,,DOI 10.12200/j.issn.1003-0034.2021.08.011; PMID 34423619,no,no,2026-08-11T10:26:00+02:00,,,,
232,385,Postoperative ileus after laparotomy for gastrointestinal cancer treated with electroacupuncture: a randomized controlled trial,"He, Y.",2022,10.13703/j.0255-2930.20210125-0004,INCLUDE,not applicable,yes,"Age, GA and the interval from surgery to randomization/first EA are not reported.",covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,yes,,,China,,yes,requires verification; see evidence,,EA,,,,,,yes,yes,,uncertain; initiation within 24 hours remains realistically possible,,,,yes,,,,,,,,,"90 patients with postoperative ileus after GI-cancer laparotomy were randomized to EA or conventional care. | EA 2 Hz, 3-5 mA at ST36/SP9 with additional needles was delivered daily, but exact first timing is absent.",Potentially eligible randomized perioperative EA report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 232; CNKI not used.,,DOI 10.13703/j.0255-2930.20210125-0004; PMID 35025157,no,no,2026-08-11T10:26:00+02:00,,,,
233,280,Effect of electroacupuncture at Baihui (GV 20) and Sishencong (EX-HN 1) on presurgical anxiety in patients with gynecological laparoscopic surgery,"Zheng, A.T.",2022,10.13703/j.0255-2930.20211124-k0009,INCLUDE,not applicable,yes,"Participant ages and explicit GA wording are absent, although propofol induction is reported.",covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,requires verification; see evidence,,EA,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,"270 gynecological laparoscopic-surgery patients were randomized to EA, midazolam or saline control. | EA 100 Hz at GV20/EX-HN1 was delivered 24 and 2 hours before anaesthesia induction.",Potentially eligible randomized perioperative EA report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 233; CNKI not used.,,DOI 10.13703/j.0255-2930.20211124-k0009; PMID 37199201,no,no,2026-08-11T10:26:00+02:00,,,,
234,273,Effects of transcutaneous electrical acupoint stimulation on the postoperative sleep quality and inflammatory factors in frail elderly patients,"Zhang, M.",2023,10.13703/j.0255-2930.20220919-k0002,INCLUDE,not applicable,yes,"The elderly population and timing are clear, but general anaesthesia is not explicitly stated.",covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,yes,,,China,,yes,yes or strongly supported; see evidence,,TEAS,,,,,,yes,yes,,uncertain; initiation within 24 hours remains realistically possible,,,,yes,,,,,,,,,"100 frail elderly laparoscopic colorectal-cancer patients were randomized to TEAS or no current. | TEAS 2/100 Hz at PC6, HT7 and LI4 began 30 minutes preoperatively and continued through surgery, with postoperative sessions.",Potentially eligible randomized perioperative TEAS report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 234; CNKI not used.,,DOI 10.13703/j.0255-2930.20220919-k0002; PMID 37429652,no,no,2026-08-11T10:26:00+02:00,,,,
235,241,Electroacupuncture combined with continuous adductor canal block for postoperative analgesia in patients undergoing total knee arthroplasty,"Xiang, J.",2024,10.13703/j.0255-2930.20230418-0003,INCLUDE,not applicable,yes,Participant ages and exact hours for postoperative-day-1 EA initiation are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,yes or strongly supported; see evidence,,EA,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,82 TKA patients were randomized to CACB alone or CACB plus EA; endotracheal-tube removal verifies GA. | EA 1/30 Hz for 30 minutes daily at recognized points on postoperative days 1-7.,Potentially eligible randomized perioperative EA report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 235; CNKI not used.,,DOI 10.13703/j.0255-2930.20230418-0003; PMID 38191160,no,no,2026-08-11T10:26:00+02:00,,,,
236,230,Electroacupuncture promotes gastrointestinal function recovery in patients undergoing laparoscopic gastrectomy: a randomized controlled trial,"Xu, H.",2024,10.13703/j.0255-2930.20230712-0001,INCLUDE,not applicable,yes,Participant ages and explicit GA wording are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,requires verification; see evidence,,EA,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,"120 laparoscopic-gastrectomy patients were randomized to EA, placebo EA or usual care. | Needle EA 5 Hz for 30 minutes at PC6, ST36 and ST37 began 24 hours after anaesthesia recovery.",Potentially eligible randomized perioperative EA report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 236; CNKI not used.,,DOI 10.13703/j.0255-2930.20230712-0001; PMID 38467502,no,no,2026-08-11T10:26:00+02:00,,,,
237,220,Clinical study of electroacupuncture therapy on postoperative rehabilitation of patients with knee fractures,"Li, Q.Y.",2024,10.12200/j.issn.1003-0034.20220156,INCLUDE,not applicable,yes,General anaesthesia and the interval from surgery to first EA are not reported.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,yes,,,China,,yes,requires verification; see evidence,,EA,,,,,,yes,yes,,uncertain; initiation within 24 hours remains realistically possible,,,,yes,,,,,,,,,"80 adults aged 20-68 after knee-fracture surgery were randomized to CPM alone or CPM plus EA. | Four-week rehabilitation results are reported, but the first EA session date is absent.",Potentially eligible randomized perioperative EA report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 237; CNKI not used.,,DOI 10.12200/j.issn.1003-0034.20220156; PMID 38664207,no,no,2026-08-11T10:26:00+02:00,,,,
238,217,Effect of transcutaneous electrical acupoint stimulation on postoperative cough in lung cancer patients undergoing video-assisted thoracoscopic surgery,"Wang, P.",2024,10.13703/j.0255-2930.20231027-k0005,INCLUDE,not applicable,yes,Participant ages and explicit GA wording are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,requires verification; see evidence,,TEAS,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,110 VATS lung-cancer patients were randomized to TEAS or sham TEAS. | TEAS 2/100 Hz at six bilateral points began 30 minutes before anaesthesia and continued on postoperative days 1-4.,Potentially eligible randomized perioperative TEAS report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 238; CNKI not used.,,DOI 10.13703/j.0255-2930.20231027-k0005; PMID 38764101,no,no,2026-08-11T10:26:00+02:00,,,,
239,190,Effect of transcutaneous electrical acupoint stimulation on postoperative recovery quality in patients undergoing endoscopic sinus surgery: a randomized controlled trial,"Zhao, Q.",2024,10.13703/j.0255-2930.20231123-0001,INCLUDE,not applicable,yes,Participant ages are omitted from the complete abstract.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,yes or strongly supported; see evidence,,TEAS,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,106 endoscopic-sinus-surgery patients were randomized to TEAS or sham TEAS. | Bilateral PC6/ST36 stimulation ran from 30 minutes before intravenous anaesthesia induction through surgery; extubation was reported.,Potentially eligible randomized perioperative TEAS report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 239; CNKI not used.,,DOI 10.13703/j.0255-2930.20231123-0001; PMID 39401810,no,no,2026-08-11T10:26:00+02:00,,,,
240,174,Effect of electroacupuncture pretreatment on the quality of recovery in the patients undergoing laparoscopic gastrointestinal surgery,"Zhou, P.",2024,10.13703/j.0255-2930.20240223-k0001,INCLUDE,not applicable,yes,Participant ages are omitted from the complete abstract.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,yes or strongly supported; see evidence,,EA,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,60 laparoscopic GI-tumour patients under combined inhalational-IV GA were randomized to EA or control. | EA 2/100 Hz at bilateral PC6/Neimadian was delivered for 30 minutes before induction.,Potentially eligible randomized perioperative EA report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 240; CNKI not used.,,DOI 10.13703/j.0255-2930.20240223-k0001; PMID 39658374,no,no,2026-08-11T10:26:00+02:00,,,,
241,155,Effect of transcutaneous electrical acupoint stimulation on postoperative pain in patients undergoing modified radical mastectomy for breast cancer,"Yan, L.",2025,10.13703/j.0255-2930.20240206-k0002,INCLUDE,not applicable,yes,Participant ages are omitted from the complete abstract.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,yes or strongly supported; see evidence,,TEAS,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,"140 female mastectomy patients under GA were randomized to TEAS or sham TEAS. | TEAS at PC6, ST36 and CV17 began 30 minutes before induction and continued through surgery, with postoperative sessions.",Potentially eligible randomized perioperative TEAS report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 241; CNKI not used.,,DOI 10.13703/j.0255-2930.20240206-k0002; PMID 39943756,no,no,2026-08-11T10:26:00+02:00,,,,
242,124,Effect of electroacupuncture on intestinal function after gastric cancer surgery,"Guan, J.",2025,10.13703/j.0255-2930.20240618-k0003,INCLUDE,not applicable,yes,Participant ages and explicit GA wording are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,requires verification; see evidence,,EA,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,44 radical-gastrectomy patients were randomized to EA or placebo EA under ERAS care. | EA 2/100 Hz for 30 minutes at recognized points began one hour after surgery; placebo used pads without current.,Potentially eligible randomized perioperative EA report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 242; CNKI not used.,,DOI 10.13703/j.0255-2930.20240618-k0003; PMID 40518778,no,no,2026-08-11T10:26:00+02:00,,,,
243,29,Effects of electroacupuncture on gastrointestinal dysfunction and serum metabolites in postoperative patients with gastric cancer,"Li, L.",2026,10.13703/j.0255-2930.20250805-0002,INCLUDE,not applicable,yes,Participant ages and explicit GA wording are absent.,covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,requires verification; see evidence,,EA,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,"60 laparoscopic radical-gastrectomy patients were randomized to standard care or EA. | Needle EA 50 Hz, 0.1-1 mA for 30 minutes at ST36/ST37/PC6 began two hours after anaesthesia recovery.",Potentially eligible randomized perioperative EA report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 243; CNKI not used.,,DOI 10.13703/j.0255-2930.20250805-0002; PMID 41987440,no,no,2026-08-11T10:26:00+02:00,,,,
244,28,Effect of electroacupuncture on intestinal function after laparoscopic colorectal cancer surgery,"Zhang, X.",2026,10.13703/j.0255-2930.20250221-k0003,INCLUDE,not applicable,yes,"General anaesthesia, the full adult age range and exact hours for postoperative-day-1 initiation are absent.",covidence_pubmed_complete_abstract,yes,not_located,yes,2026-08-11T10:26:00+02:00,,no,,yes,yes; randomized allocation stated in complete abstract,,uncertain unless otherwise stated in evidence,,,China,,yes,requires verification; see evidence,,EA,,,,,,yes,yes,,yes,,,,yes,,,,,,,,,"72 laparoscopic colorectal-cancer patients were randomized to EA or rigorous sham EA. | EA 2 Hz, 2-3 mA for 30 minutes daily at recognized points began postoperative day 1; sham needles did not touch skin and delivered no current.",Potentially eligible randomized perioperative EA report; included conservatively with the stated human-verification item(s).,,citation card disappeared after one Include click,Strict-batch sequence 244; CNKI not used.,,DOI 10.13703/j.0255-2930.20250221-k0003; PMID 41987441,no,no,2026-08-11T10:26:00+02:00,,,,
