analysis,body,opioid_model_id,study,trial_id,opioid_result_id,opioid_n_i,opioid_n_c,opioid_md,opioid_ci_low,opioid_ci_high,pain_result_id,pain_outcome,pain_window,pain_unit,pain_n_i,pain_n_c,pain_md,pain_ci_low,pain_ci_high,pain_decision,arm_match,pairing_status,reason
E2,TEAS vs sham,E2_opioid24_TEAS_sham,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,58,59,-1.5650000000000013,-2.956045751329814,-0.17395424867018838,V33-OD-0221,VAS pain intensity,24 h,VAS 0-10,58.0,59.0,-0.7400000000000002,-0.9515909543888752,-0.5284090456111252,SENSITIVITY,SAME ARMS,NOT USABLE FOR REGISTERED CRITERION,SENSITIVITY: Rest/movement not established. Never use this mixed-setting body to assert registered pain co-outcome criterion.
E2,TEAS vs sham,E2_opioid24_TEAS_sham,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,58,59,-1.5650000000000013,-2.956045751329814,-0.17395424867018838,AUDIT-0151,VAS pain intensity,4 h,VAS 0-10,58.0,59.0,-0.6200000000000001,-0.8207185712978736,-0.4192814287021266,EXCLUDE,SAME ARMS,NOT USABLE FOR REGISTERED CRITERION,EXCLUDE: Outside defined quantitative estimands; retained in full descriptive extraction.
E2,TEAS vs sham,E2_opioid24_TEAS_sham,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,58,59,-1.5650000000000013,-2.956045751329814,-0.17395424867018838,AUDIT-0152,VAS pain intensity,8 h,VAS 0-10,58.0,59.0,-0.52,-0.6852758829801848,-0.35472411701981527,EXCLUDE,SAME ARMS,NOT USABLE FOR REGISTERED CRITERION,EXCLUDE: Outside defined quantitative estimands; retained in full descriptive extraction.
E2,TEAS vs sham,E2_opioid24_TEAS_sham,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,58,59,-1.5650000000000013,-2.956045751329814,-0.17395424867018838,AUDIT-0153,VAS pain intensity,16 h,VAS 0-10,58.0,59.0,,,,HOLD,SAME ARMS,NOT USABLE FOR REGISTERED CRITERION,"HOLD: No directly tabulated mean/SD or event/denominator for current quantitative body; preserve original statistic, no automatic median or graph conversion. (not a continuous score)"
E2,TEAS vs sham,E2_opioid24_TEAS_sham,Gu 2019,Gu_2019,E2.1-GU2019-FIG4-T4,58,59,-1.5650000000000013,-2.956045751329814,-0.17395424867018838,AUDIT-0154,VAS pain intensity,36 h,VAS 0-10,58.0,59.0,,,,HOLD,SAME ARMS,NOT USABLE FOR REGISTERED CRITERION,"HOLD: No directly tabulated mean/SD or event/denominator for current quantitative body; preserve original statistic, no automatic median or graph conversion. (not a continuous score)"
E2,TEAS vs usual care,E2_opioid24_TEAS_usual,Szmit 2021,Szmit_2021,V33-OD-0351,24.0,23.0,-8.0,-10.919946920043666,-5.080053079956334,V33-OD-0355,VAS pain at discharge,At discharge; exact postoperative clock time not reported,VAS 0–10,24.0,23.0,-1.8,-2.465074805974669,-1.1349251940253309,EXCLUDE,SAME ARMS,NOT USABLE FOR REGISTERED CRITERION,EXCLUDE: Outside defined quantitative estimands; retained in full descriptive extraction.
E2,EA vs sham,E2_opioid24_EA_sham,Lin 2002,Lin_2002,V33-OD-0006+V33-OD-0007,50.0,25.0,-11.8,-18.523748664973265,-5.076251335026737,,,,,,,,,,,,NO SAME-TRIAL PAIN RESULT,No pain result for this trial and comparator in the canonical results register.
E2,EA vs usual care,E2_opioid24_EA_usual,El-Rakshy 2009,El_Rakshy_2009,V33-OD-0252,42.0,53.0,-1.6000000000000014,-8.888192228344895,5.688192228344892,,,,,,,,,,,,NO SAME-TRIAL PAIN RESULT,No pain result for this trial and comparator in the canonical results register.
E2,EA vs usual care,E2_opioid24_EA_usual,Seevaunnamtum 2016,Seevaunnamtum_2016,V33-OD-0003,32.0,32.0,-12.559999999999999,-21.162391670246286,-3.9576083297537092,,,,,,,,,,,,NO SAME-TRIAL PAIN RESULT,No pain result for this trial and comparator in the canonical results register.
E2,EA vs usual care,E2_opioid24_EA_usual,Yang 2024,Yang_2024,V33-OD-0052,90.0,90.0,-0.29999999999999716,-1.7027403800101766,1.1027403800101823,,,,,,,,,,,,NO SAME-TRIAL PAIN RESULT,No pain result for this trial and comparator in the canonical results register.
E2,EA vs usual care,E2_opioid24_EA_usual,Lin 2002,Lin_2002,V33-OD-0004+V33-OD-0005,50.0,25.0,-19.700000000000003,-26.958287566035963,-12.441712433964042,,,,,,,,,,,,NO SAME-TRIAL PAIN RESULT,No pain result for this trial and comparator in the canonical results register.
