lock_id,target,endpoint_stratum,study,comparison_id,intervention,comparator,outcome,time_window,data_type,n_i,n_c,mean_i,sd_i,median_i,q1_i,q3_i,events_i,mean_c,sd_c,median_c,q1_c,q3_c,events_c,unit,reported_p,derived_effect_measure,derived_effect,rob_overall,include_strict,include_sensitivity,narrative_only,author_priority,p1_disposition,analysis_action,overlap_family,hold_reason,shared_control_issue,source_qc,record_status,source_url,v34_record_id
D-002,D,D_PONV_0-24h,Lu 2021,LU21_COMB_vs_SHAM_PONV24,Combined PC6+CV17 TEAS,Sham/no current,Any PONV,24 h,Events/total,190,188,,,,,,35,,,,,,68,participants,Overall P=0.0001,RR,0.5092879256965943,High,1,0,0,,,STRICT_MODEL,,,Yes,Use raw event counts; three-arm shared sham comparator,SOURCE-VERIFIED,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,V33-OD-0130
D-003,D,D_PONV_0-48h,Xiong 2021,XIONG21_TEAS_vs_CTRL_PONV48,TEAS + dexamethasone + tropisetron,Dexamethasone + tropisetron,Any PONV,Within 48 h,Events/total,31,31,,,,,,13,,,,,,24,participants,0.004,RR,0.5416666666666667,High,1,0,0,,,STRICT_MODEL,,,No,Participant blinding intended but active postoperative tingling may have revealed allocation,SOURCE-VERIFIED,https://drive.google.com/file/d/1sNaquYeWpsts7_e3XYP9c0CwM-tbQS6T/view?usp=drivesdk,V33-OD-0056
D-004,D,D_PONV_0-48h,Xing 2022,XING22_NTG_vs_NG_PONV,TEAS + active TAPB,Sham TEAS + active TAPB,PONV incidence,Postoperative,Events/total,29,29,,,,,,5,,,,,,11,participants,<0.05 pairwise,RR,0.4545454545454546,High,1,0,0,,,STRICT_MODEL,,,Yes,Counts reconstructed from n=29 analyzed per arm,SOURCE-VERIFIED / COUNTS DERIVED,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,V33-OD-0063
D-005,D,D_PONV_other,Zhou 2025,ZHOU25_TEAS_vs_SHAM_PONV,PACU TEAS,Sham/no current,PONV incidence,POD1,Events/total,48,49,,,,,,10,,,,,,19,participants,0.047,RR,0.537280701754386,Some concerns,0,1,0,P2,,SENSITIVITY_MODEL,,,No,Participant sensory blinding uncertain,SOURCE-VERIFIED,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,V33-OD-0027
D-006,D,D_nausea_0-24h,Yang 2024,YANG24_EA_vs_UC_NAUSEA24,Perioperative EA + usual care,Usual care,Postoperative nausea incidence,0-24 h,Events/total,90,90,,,,,,24,,,,,,40,participants,0.013,RR,0.6,High,1,0,0,,,STRICT_MODEL,,,No,Nausea is subjective in an open-label EA-vs-usual-care comparison; result-specific High RoB.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,AF-HIST-YANG24_EA_vs_UC_NAUSEA24
D-007,D,D_nausea_0-24h,Ma 2026,MA26_T_vs_S_NAUSEA24,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",Nausea,24 h,Events/total,17,16,,,,,,6,,,,,,8,participants,Overall 3-group P=0.590; randomized T-vs-S pairwise NR,RR,0.7058823529411765,High,1,0,0,,,STRICT_MODEL,,,No,Overall P-value includes non-randomized Group C; do not treat it as the randomized pairwise P-value,SOURCE-VERIFIED,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,V33-OD-0123
D-008,D,D_nausea_0-48h,Luo 2026,LUO26_TEAS_vs_SHAM_NAUSEA48,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Cumulative postoperative nausea,0-48 h,Events/total,138,139,,,,,,24,,,,,,53,participants,<0.01,RR,0.4561115668580804,High,1,0,0,,,STRICT_MODEL,,,No,Participant blinding was empirically poor: 77.5% of TEAS and 66.2% of sham participants correctly guessed allocation,SOURCE-VERIFIED,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,V33-OD-0139
D-009,D,D_vomiting_0-24h,Yang 2024,YANG24_EA_vs_UC_VOMIT,Perioperative EA + usual care,Usual care,Postoperative vomiting,0-24 h,Events/total,90,90,,,,,,12,,,,,,25,participants,0.016,RR,0.48,Some concerns,1,0,0,,,STRICT_MODEL,,,No,Vomiting 12/90 vs25/90 is the 0-24 h interval; prior v20 label 'within72 h' corrected in AF lock copy.,SOURCE-VERIFIED / AF-CORRECTED,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,V33-OD-0055
D-010,D,D_vomiting_0-24h,Ma 2026,MA26_T_vs_S_VOMIT24,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",Vomiting,24 h,Events/total,17,16,,,,,,6,,,,,,7,participants,Overall 3-group P=0.863; randomized T-vs-S pairwise NR,RR,0.8067226890756303,Some concerns,1,0,0,,,STRICT_MODEL,,,No,Overall P-value includes non-randomized Group C,SOURCE-VERIFIED,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,V33-OD-0124
D-011,D,D_vomiting_0-48h,Luo 2026,LUO26_TEAS_vs_SHAM_VOMIT48,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Cumulative postoperative vomiting,0-48 h,Events/total,138,139,,,,,,9,,,,,,27,participants,<0.01,RR,0.3357487922705314,Some concerns,1,0,0,,,STRICT_MODEL,,,No,"Vomiting is more objective than nausea, but participant masking was incomplete",SOURCE-VERIFIED,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,V33-OD-0140
E-001,E,E_time_to_first_flatus,Zhou 2025,ZHOU25_TEAS_vs_SHAM_FLATUS,PACU TEAS,Sham/no current,Time to first flatus,Postoperative,Mean/SD,48,49,14.1,3.19,,,,,15.88,3.78,,,,,hours,0.014,MD,-1.780000000000001,Some concerns,1,0,0,P2,,STRICT_MODEL,,,No,Ascertainment mechanism should be considered in RoB because participant sensory blinding may be imperfect,SOURCE-VERIFIED,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,V33-OD-0028
E-002,E,E_time_to_first_flatus,Yang 2020,YANG20_EA_vs_UC,EA + usual care,Usual care,Time to first postoperative flatus,From surgery to first flatus,Mean/SD,29,28,20.8,4.6,,,,,24.1,6.2,,,,,hours,0.026,MD,-3.300000000000001,Some concerns,1,0,0,P2,,STRICT_MODEL,,,No,Open-label; 2/59 excluded after randomization; participant-report contribution unclear,SOURCE-VERIFIED,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,V33-OD-0002
E-003,E,E_time_to_first_flatus,Yang 2024,YANG24_EA_vs_UC_FLATUS,Perioperative EA + usual care,Usual care,Time to first flatus,Postoperative,Mean/SD,90,90,15.4,3.2,,,,,17,3.7,,,,,hours,0.004,MD,-1.6,High,1,0,0,,,STRICT_MODEL,,,No,Open-label participants; outcome assessor blinded,SOURCE-VERIFIED,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,V33-OD-0053
E-004,E,E_time_to_first_flatus,Xing 2022,XING22_NTG_vs_NG_FLATUS,TEAS + active TAPB,Sham TEAS + active TAPB,Time to first flatus,Postoperative,Mean/SD,29,29,32.57,6.94,,,,,36.83,6.19,,,,,hours,<0.05 pairwise,MD,-4.259999999999998,Some concerns,1,0,0,P2,,STRICT_MODEL,,,Yes,Three-arm study; use NTG vs NG for incremental TEAS effect,SOURCE-VERIFIED,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,V33-OD-0062
E-006,E,E_time_to_first_flatus,Lu 2022,LU22_TEAS_vs_CTRL_FLATUS,TEAS + ERAS,No-current control + ERAS,Time to first flatus,Postoperative,Mean/SD,47,47,34.5,16.7,,,,,42.4,22.9,,,,,hours,0.03,MD,-7.899999999999999,Some concerns,1,0,0,P2,,STRICT_MODEL,,,No,Same 6 post-randomization exclusions apply,SOURCE-VERIFIED / ATTRITION QC,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,V33-OD-0134
E-007,E,E_time_to_first_flatus,Ng 2013,NG13_EA_vs_SHAM_FLATUS,Electroacupuncture,Sham acupuncture,Time to first flatus,Postoperative,Mean/SD,55,55,2,0.9,,,,,2.3,1.1,,,,,days,0.095,MD,-0.2999999999999998,Some concerns,1,0,0,P2,,STRICT_MODEL,,,Yes,No statistically significant EA-vs-sham difference,SOURCE-VERIFIED,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk,V33-OD-0117
F-intra-001,F-intra,F_intraop_titrated_requirement,Liu 2026 (burn),LIU26BURN_TEAS_vs_SHAM_REMI,Pre-induction TEAS,Placebo/sham TEAS,Remifentanil consumption,Intraoperative,Median/IQR,43,43,,,0.7,0.5,1.1,,,,0.9,0.65,1.25,,mg remifentanil,0.039,,,Some concerns,0,0,1,P1,RESOLVED_BY_SOURCE_HIERARCHY,EXCLUDE_OR_NARRATIVE,,UNRESOLVED before pooling,No,Abstract gives TEAS 0.65 (0.45-1.00) and control 0.90 (0.67-1.23); master uses Results/Figure 4 values and retains source discrepancy,SOURCE-VERIFIED / ABSTRACT VALUE QC,https://drive.google.com/file/d/1mvekGtHD2JAKCRbIXrvLw1Nz7hbQ1dZ3/view?usp=drivesdk,V33-OD-0167
F-intra-002,F-intra,F_intraop_titrated_requirement,Hou 2023,HOU23_TEAS_vs_SHAM_REMI,Perioperative TEAS,Sham/no-current TEAS,Intraoperative remifentanil consumption,Intraoperative,Median/IQR,36,36,,,950,750,1238,,,,1000,881,1144,,µg remifentanil,0.572,,,Some concerns,1,0,0,,,STRICT_MODEL,,,No,TCI target 2.0-3.0 ng/mL; detailed within-range titration algorithm not reported.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/161WdTRehgwvDHvQ8OkRf8U9TbUmVQgaR/view?usp=drivesdk,AF-HIST-HOU23_TEAS_vs_SHAM_REMI
F-intra-003,F-intra,F_intraop_titrated_requirement,Zhang 2014,ZHANG14_TEAS_vs_SHAM_REMI,Preoperative TEAS,Sham/no current,Remifentanil consumption rate,Intraoperative,Mean/SD,33,32,0.06,0.02,,,,,0.09,0.03,,,,,µg/kg/min,0.01,MD,-0.03,Some concerns,1,0,0,P3,,STRICT_MODEL,,,No,"Weight/time-normalized consumption, not absolute remifentanil dose",SOURCE-VERIFIED,https://drive.google.com/file/d/1lws1zFpIE-wbLY8X9ewYyTuIP-WySa-c/view?usp=drivesdk,V33-OD-0048
F-intra-004,F-intra,F_intraop_titrated_requirement,Huang 2017,HUANG17_2100_vs_CTRL_REMI,2/100-Hz TEAS,Placebo TEAS/no current,Total opioid as remifentanil-equivalent rate,Intraoperative,Mean/SD,20,20,0.1128,0.034,,,,,0.1617,0.037,,,,,µg/kg/min remifentanil-equivalent,2/100 vs control P≤0.001,MD,-0.04890000000000001,Some concerns,0,1,0,P2,,SENSITIVITY_MODEL,,,Yes,Four-arm frequency trial; preserve each active frequency separately,SOURCE-VERIFIED,https://drive.google.com/file/d/1RJGi1PYvw75qVW9UK8CBtJPH4G035ASs/view?usp=drivesdk,V33-OD-0209
F-intra-005,F-intra,F_intraop_titrated_requirement,Sim 2002,SIM02_PREOP_vs_PLACEBO_ALFENT,Preoperative EA,Placebo EA,Alfentanil requirement rate,Intraoperative,Mean/SD,30,30,0.44,0.15,,,,,0.51,0.21,,,,,µg/kg/min,0.472,MD,-0.07,Some concerns,1,0,0,,,STRICT_MODEL,,,Yes,No significant placebo-controlled intraoperative opioid-sparing effect,SOURCE-VERIFIED,https://drive.google.com/file/d/1YsNHL-J3Kgfu8mCanRrNu_bHk_roj0w6/view?usp=drivesdk,V33-OD-0110
F-intra-006,F-intra,F_intraop_titrated_requirement,Wu 2022,WU22_PTEAS_vs_CTRL_REMI,Perioperative pTEAS,No-current control,Cumulative remifentanil,Intraoperative,Mean/SD,44,40,1383,494,,,,,1637,630,,,,,µg remifentanil,0.042,MD,-254,Some concerns,0,1,0,,,SENSITIVITY_MODEL,,,No,Complete-case analysis with asymmetric attrition,SOURCE-VERIFIED,https://drive.google.com/file/d/1XR_8qmeHR7ulwV7NaaI0CeYbpwKdc_ym/view?usp=drivesdk,V33-OD-0072
F-intra-007,F-intra,F_intraop_titrated_requirement,Xing 2022,XING22_NTG_vs_NG_REMI,TEAS + active TAPB,Sham TEAS + active TAPB,Total remifentanil consumption,Intraoperative,Mean/SD,29,29,1182.61,253.61,,,,,1415.41,295.67,,,,,µg remifentanil,<0.05 pairwise,MD,-232.8000000000002,Some concerns,1,0,0,,,STRICT_MODEL,,,Yes,Direct TEAS contrast is NTG vs NG; do not attribute NTG-vs-G combined package entirely to TEAS,SOURCE-VERIFIED,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,V33-OD-0061
F-intra-008,F-intra,F_intraop_titrated_requirement,Lu 2021,LU21_COMB_vs_SHAM_REMI,Combined PC6+CV17 TEAS,Sham/no current,Total remifentanil,Intraoperative,Mean/SD,190,188,1.2,0.5,,,,,1.4,0.7,,,,,mg remifentanil,P<0.001 combined vs sham,MD,-0.2,Some concerns,1,0,0,,,STRICT_MODEL,,,Yes,Three-arm trial; sham is a shared comparator,SOURCE-VERIFIED,https://drive.google.com/file/d/1MgD_OucfiyNEDdDe3osh8W01U1yYZs08/view?usp=drivesdk,V33-OD-0128
F-intra-009,F-intra,F_intraop_titrated_requirement,Zheng 2025,ZHENG25_TEAS_vs_SHAM_REMI,Perioperative TEAS,Sham/no current,Total intraoperative remifentanil consumption,Intraoperative,Mean/SD,42,43,233.1,29.6,,,,,289.5,37.9,,,,,µg remifentanil,0.031,MD,-56.40000000000001,Some concerns,0,1,0,,,SENSITIVITY_MODEL,,,No,Not a postoperative endpoint,SOURCE-VERIFIED,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,V33-OD-0034
F-intra-010,F-intra,F_intraop_titrated_requirement,Guo 2023,GUO23_TEAS_vs_SHAM_REMI,Perioperative TEAS,Sham/no-current TEAS,Remifentanil consumption,Intraoperative,Mean/SD,55,55,0.87,0.3,,,,,1.01,0.39,,,,,mg remifentanil,0.040,MD,-0.14,Some concerns,0,1,0,,,SENSITIVITY_MODEL,,,No,Complete-case n=55/group,SOURCE-VERIFIED,https://drive.google.com/file/d/1Idfl7rfZhgAUJHDpsmgzp17ADiGvrU8C/view?usp=drivesdk,V33-OD-0232
F-intra-011,F-intra,F_intraop_titrated_requirement,Yang 2024,YANG24_EA_vs_UC_REMI,Perioperative EA + usual care,Usual care,Intraoperative remifentanil consumption,Intraoperative,Median/IQR,90,90,,,0.5,0.3,0.6,,,,0.5,0.4,0.7,,mg remifentanil,0.75,,,Some concerns,1,0,0,,,STRICT_MODEL,,,No,Preoperative EA occurred before surgery; anesthetist blinded.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,AF-HIST-YANG24_EA_vs_UC_REMI
F-intra-012,F-intra,F_intraop_titrated_requirement,Liang 2021,LIANG21_TEAS_vs_CTRL_REMI,Preoperative TEAS,Control/no stimulation,Intraoperative remifentanil consumption,Intraoperative,Mean/SD,35,35,521.5,206.8,,,,,464.7,156,,,,,µg remifentanil,NR; stated non-significant,MD,56.8,Some concerns,0,1,0,,,SENSITIVITY_MODEL,,,No,Five randomized participants excluded; printed intraoperative sufentanil unit is likely erroneous and must not be silently corrected.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/1guriAcqNbJNXpfd_UjYwevULLVSeiHXS/view?usp=drivesdk,AF-HIST-LIANG21_TEAS_vs_CTRL_REMI
F-intra-013,F-intra,F_intraop_titrated_requirement,Pan 2023,PAN23_TEAS_vs_CONTROL_REMI,TEAS,Control/usual care,Intraoperative remifentanil consumption,Intraoperative,Mean/SD,52,53,740.1,276.9,,,,,854,287.5,,,,,µg remifentanil,0.04,MD,-113.9,High,0,1,0,,,SENSITIVITY_MODEL,,,No,15/120 excluded; titrating anesthesiologist blinding not established.,SOURCE-VERIFIED / AF-NORMALIZED / HIGH ROB,https://drive.google.com/file/d/19IZpaoI-iTQOr_XOTw-a17WTw_haz8q6/view?usp=drivesdk,AF-HIST-PAN23_TEAS_vs_CONTROL_REMI
F-exposure-001,F-exposure,F_intraop_fixed_or_unclear_exposure,Li 2022,LI22_EA_vs_SHAM_REMI_FIXED,Preoperative electroacupuncture,Sham electroacupuncture,Fixed-rate intraoperative remifentanil exposure,Intraoperative,Mean/SD,39,40,2009,143.2,,,,,1989,158.7,,,,,µg remifentanil,0.555,MD,20,—,0,0,1,,,EXCLUDE_OR_NARRATIVE,,DO NOT POOL with titrated,No,Remifentanil fixed at 0.3 µg/kg/min; difference reflects exposure duration/body size rather than titration.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/1rQTrwnCvj72poJrGGvYjpxSZXvUhSD0u/view?usp=drivesdk,AF-HIST-LI22_EA_vs_SHAM_REMI_FIXED
F-exposure-002,F-exposure,F_intraop_fixed_or_unclear_exposure,Chen 2015 (Hyperalgesia),CHEN15H_TEAS_vs_SHAM_REMI_FIXED,Preoperative TEAS,Electrodes/no-current sham,Fixed-target intraoperative remifentanil exposure,Intraoperative,Mean/SD,29,30,1691,37,,,,,1718,43,,,,,µg remifentanil,0.461,MD,-27,Some concerns,0,0,1,,,EXCLUDE_OR_NARRATIVE,,DO NOT POOL with titrated,No,Remifentanil maintained at fixed target 5.0 ng/mL; one TEAS participant excluded.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/13YKAZZsc2VQEPqkw1Ye40BYDZSRpI6N3/view?usp=drivesdk,AF-HIST-CHEN15H_TEAS_vs_SHAM_REMI_FIXED
F-exposure-003,F-exposure,F_intraop_fixed_or_unclear_exposure,Xie 2014,XIE14_EAS_vs_SHAM_REMI,Active EAS PC4/PC6,Sham needling PC4/PC6,Intraoperative remifentanil exposure,Intraoperative,Mean/SD,20,20,1.89,0.63,,,,,1.9,0.59,,,,,mg remifentanil,NR; stated non-significant,MD,-0.01,Some concerns,0,1,0,,,SENSITIVITY_MODEL,,,Yes,Three-arm trial; exact within-range titration algorithm and anesthesiologist masking not reported.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/17faY_h0rMJTuhjPOC5PL_S59jYmHDPee/view?usp=drivesdk,AF-HIST-XIE14_EAS_vs_SHAM_REMI
F-exposure-004,F-exposure,F_intraop_fixed_or_unclear_exposure,Ntritsou 2014,NTRI14_EA_vs_SHAM_REMI,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,Remifentanil consumption,Intraoperative,Mean/SD,35,35,1003.6,522.7,,,,,1041.9,631.9,,,,,µg remifentanil,0.783,MD,-38.30000000000007,Some concerns,0,1,0,,,SENSITIVITY_MODEL,,,No,No significant intraoperative opioid-sparing effect,SOURCE-VERIFIED,https://drive.google.com/file/d/1u_kNuuXF8upB3gJA2aDq8NldYDfhnWy3/view?usp=drivesdk,V33-OD-0112
F-exposure-005,F-exposure,F_intraop_fixed_or_unclear_exposure,Sun 2017,SUN17_INTRAOP_MORPH_EQUIV,Pre/intraoperative TEAS timing arms,All-period sham TEAS,Author-defined intraoperative morphine-equivalent exposure,Intraoperative,Study-defined converted metric,91,90,,,,,,,,,,,,,mg/kg morphine-equivalent,0.303,,,Some concerns,0,0,1,,,V34_HOLD,,Historical aggregate placeholder superseded by arm-specific rows; not an independent result.,Yes,Values ~1.5-1.6 mg/kg across all four groups; study-specific conversion of sufentanil/remifentanil | V34: Historical aggregate placeholder superseded for active analysis by three audit arm-specific converted-metric rows; no double counting. Author-defined intraoperative metric is not review postoperative MME.,SOURCE-VERIFIED / STUDY-DEFINED CONVERSION,https://drive.google.com/file/d/1lELlw0IpkhqoB8OuintAI22fxKfNEcEd/view?usp=drivesdk,V33-OD-0105
