Canonical study,Comparison ID,Intervention arm,Comparator arm,Outcome family,Outcome/result,Timepoint/window,Data type,Randomized n intervention,Randomized n comparator,Analyzed n intervention,Analyzed n comparator,Mean intervention,SD intervention,Median intervention,Q1 intervention,Q3 intervention,Events intervention,Mean comparator,SD comparator,Median comparator,Q1 comparator,Q3 comparator,Events comparator,Unit/scale,Reported P,Directly reported?,Derived/converted?,Derived effect measure,Derived effect,Exact 0-24 h postoperative opioid?,Primary opioid meta-analysis eligible?,Other analysis eligibility,Shared-control / multi-arm issue,Source-QC issue,Source location,Source PDF URL,Record status,V34 record ID,V34 audit row,V34 disposition,Raw statistic intervention,Raw dispersion intervention,Raw statistic comparator,Raw dispersion comparator,Minimum intervention,Maximum intervention,Minimum comparator,Maximum comparator,IQR width intervention,IQR width comparator,Analysis population,V34 source filename,V34 source quote,V34 eligibility,V34 eligibility reason,V34 RoB2 status,V34 endpoint class,V34 modality,V34 comparator class,V34 time class
Chen 1998,CHEN98_DERM_vs_SHAM,Active dermatomal/peri-incisional TENS,Sham ST36 TENS (0 mA),Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Mean/SD,25,25,25,25,6.8,4.2,,,,,10.7,5,,,,,mg hydromorphone,,Yes,No,MD,-3.899999999999999,Yes,Yes,Eligible for 24-h opioid analysis after prespecified opioid/MME conversion,Yes,Four-arm RCT; shared sham control must be handled correctly,Table 2 / first-24-h hydromorphone,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0012,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,Postoperative opioid dose (native window/unit),TEAS,Sham,first 24h postoperatively
Chen 1998,CHEN98_ACU_vs_SHAM,Active ST36 acupoint TENS,Sham ST36 TENS (0 mA),Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Mean/SD,25,25,25,25,6.5,3.5,,,,,10.7,5,,,,,mg hydromorphone,,Yes,No,MD,-4.199999999999999,Yes,Yes,Eligible for 24-h opioid analysis after prespecified opioid/MME conversion,Yes,Four-arm RCT; shared sham control must be handled correctly,Table 2 / first-24-h hydromorphone,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0013,,,,,,,,,,,,,,,,INCLUDE,Locked strict primary result; prespecified source adjudication and conversions retained.,EXISTING_LOCKED_PRIMARY: Some concerns,Postoperative opioid dose (native window/unit),TEAS,Sham,cumulative 0–24 h (locked primary source adjudication)
Chen 2020,CHEN20_TEAS_vs_SHAM,Perioperative TEAS,Sham low/zero-current protocol,Opioid consumption,Cumulative sufentanil,24 h postoperatively,Mean/SD,40,40,40,40,72.43,4.78,,,,,100.62,10.2,,,,,µg sufentanil,,Yes,No,MD,-28.19,Yes,Yes,Eligible for 24-h opioid analysis after prespecified opioid/MME conversion,No,Sham was 4 mA pre/postoperatively but 0 mA intraoperatively; preserve this nuance,Cumulative sufentanil result,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0014,,,,,,,,,,,,,,,,INCLUDE,Locked strict primary result; prespecified source adjudication and conversions retained.,EXISTING_LOCKED_PRIMARY: Some concerns,Postoperative opioid dose (native window/unit),TEAS,Sham,cumulative 0–24 h (locked primary source adjudication)
Chen 2020,CHEN20_TEAS_vs_SHAM_VAS,Perioperative TEAS,Sham low/zero-current protocol,Pain,VAS pain intensity,24 h postoperatively,Mean/SD,40,40,40,40,2.91,0.2,,,,,5.97,0.56,,,,,VAS 0-10,,Yes,No,MD,-3.06,No,No,Eligible for 24-h pain meta-analysis,No,Patient blinding adequacy depends on sensory contrast of sham protocol,24-h VAS result,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0015,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Pain — unspecified context,TEAS,Sham,24 h point
Coura 2011,COURA11_EA_vs_SHAM,Preoperative EA,Sham stimulation,Opioid consumption,Cumulative fentanyl,First 24 h postoperatively,Mean/SD,16,16,13,9,13.1,2.2,,,,,16.3,1.6,,,,,µg/kg fentanyl,,Yes,No,MD,-3.200000000000001,Yes,Conditional,Potentially eligible after confirming whether discretionary supplemental opioids were included,No,10/32 post-randomization exclusions; supplemental morphine/fentanyl inclusion unclear,Published cumulative first-24-h fentanyl result,https://drive.google.com/file/d/120NJxCmxsdiyqWTXzjmaUWAaVa1i8iZz/view?usp=drivesdk,SOURCE-VERIFIED / QC HOLD,V33-OD-0016,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,Postoperative opioid dose (native window/unit),EA,Sham,first 24h postoperatively
Ao 2021,AO21_TEAS_vs_SHAM_VAS,TEAS,Sham/no current,Pain,VAS pain intensity,24 h postoperatively,Graph-digitized mean/SD,35,35,32,33,2.51,0.49,,,,,2.95,0.53,,,,,VAS 0-10,,No,Yes,,,No,No,Needs adjudication/sensitivity analysis before quantitative pooling,No,"Exact values are graph-digitized, not numerically tabulated by authors",Figure-only 24-h VAS,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk,DERIVED / NEEDS ADJUDICATION,V33-OD-0017,,,,,,,,,,,,,,,,CONDITIONAL,No new graph digitization; historical digitized data require their original validation before pooling.,ROB2_RESULT_SPECIFIC_PENDING,Pain — unspecified context,TEAS,Sham,24 h point
Ao 2021,AO21_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,Opioid consumption,Cumulative postoperative sufentanil,Exact 0-24 h,Not reported,35,35,32,33,,,,,,,,,,,,,µg sufentanil,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis without author data,No,PCA followed for 48 h; no extractable cumulative 0-24-h total,Article reports 48-h PCA framework only,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,V33-OD-0018,,,,,,,,,,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),TEAS,Sham,exact 0-24h
Zhu 2022,ZHU22_PRE_vs_USUAL_PON,EA day before surgery,Usual care alone,PONV,Postoperative nausea,6-24 h postoperatively,Events/total,103,104,101,101,,,,,,11,,,,,,27,participants with nausea,0.024,Yes,No,RR,0.4074074074074074,No,No,Eligible for dichotomous PON analysis with shared-control/multi-arm adjustment,Yes,Four-arm RCT; no sham; analysis denominators differ from randomized denominators,Table 2,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0019,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Nausea,EA,Usual care,6-24h postoperatively
Zhu 2022,ZHU22_PRE_vs_USUAL_POV,EA day before surgery,Usual care alone,PONV,Postoperative vomiting,6-24 h postoperatively,Events/total,103,104,101,101,,,,,,5,,,,,,22,participants with vomiting,0.002,Yes,No,RR,0.2272727272727273,No,No,Eligible for dichotomous POV analysis with shared-control/multi-arm adjustment,Yes,Four-arm RCT; no sham; use exact arm-specific analyzed denominators,Table 2,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0020,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,Vomiting,EA,Usual care,6-24h postoperatively
Zhu 2022,ZHU22_30_vs_USUAL_PON,EA 30 min before surgery,Usual care alone,PONV,Postoperative nausea,6-24 h postoperatively,Events/total,103,104,98,101,,,,,,18,,,,,,27,participants with nausea,NR pairwise,Yes,No,RR,0.6870748299319728,No,No,Eligible for dichotomous PON analysis with shared-control/multi-arm adjustment,Yes,Four-arm RCT; no sham; analysis denominators differ from randomized denominators,Table 2,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0021,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Nausea,EA,Usual care,6-24h postoperatively
Zhu 2022,ZHU22_30_vs_USUAL_POV,EA 30 min before surgery,Usual care alone,PONV,Postoperative vomiting,6-24 h postoperatively,Events/total,103,104,98,101,,,,,,8,,,,,,22,participants with vomiting,0.034,Yes,No,RR,0.3747680890538033,No,No,Eligible for dichotomous POV analysis with shared-control/multi-arm adjustment,Yes,Four-arm RCT; no sham; use exact arm-specific analyzed denominators,Table 2,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0022,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,Vomiting,EA,Usual care,6-24h postoperatively
Zhu 2022,ZHU22_COMB_vs_USUAL_PON,EA day before + 30 min before,Usual care alone,PONV,Postoperative nausea,6-24 h postoperatively,Events/total,103,104,100,101,,,,,,11,,,,,,27,participants with nausea,0.024,Yes,No,RR,0.4114814814814814,No,No,Eligible for dichotomous PON analysis with shared-control/multi-arm adjustment,Yes,Four-arm RCT; no sham; analysis denominators differ from randomized denominators,Table 2,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0023,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Nausea,EA,Usual care,6-24h postoperatively
Zhu 2022,ZHU22_COMB_vs_USUAL_POV,EA day before + 30 min before,Usual care alone,PONV,Postoperative vomiting,6-24 h postoperatively,Events/total,103,104,100,101,,,,,,9,,,,,,22,participants with vomiting,NR pairwise,Yes,No,RR,0.4131818181818182,No,No,Eligible for dichotomous POV analysis with shared-control/multi-arm adjustment,Yes,Four-arm RCT; no sham; use exact arm-specific analyzed denominators,Table 2,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0024,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: Some concerns,Vomiting,EA,Usual care,6-24h postoperatively
Zhou 2025,ZHOU25_TEAS_vs_SHAM_QOR15,PACU TEAS,Sham/no current,Quality of recovery,Global QoR-15,POD1,Mean/SD,50,50,48,49,112,10.67,,,,,107.62,10.27,,,,,QoR-15 points,0.042,Yes,No,MD,4.379999999999995,No,No,Eligible for QoR-15 meta-analysis,No,3 post-randomization withdrawals; sensory blinding uncertain because active 10-15 mA/De Qi vs no current,"Table 2, p7",https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0025,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",EXISTING_RESULT_SPECIFIC: High,QoR-15,TEAS,Sham,pod1
Zhou 2025,ZHOU25_TEAS_vs_SHAM_PAINREST,PACU TEAS,Sham/no current,Pain,Resting pain VAS,POD1,Median/IQR,50,50,48,49,,,3,3,4,,,,4,4,5,,VAS 0-10,<0.001,Yes,No,,,No,No,Eligible for pain analysis using nonparametric/prespecified conversion method,No,Do not convert median/IQR to mean/SD without prespecified method,"Table 3, p8",https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0026,,,,,,,,,,,,,,,,NARRATIVE ONLY,Median and original dispersion preserved; no mean/SD conversion or MD pooling.,ROB2_RESULT_SPECIFIC_PENDING,Pain — rest,TEAS,Sham,pod1
Zhou 2025,ZHOU25_TEAS_vs_SHAM_PONV,PACU TEAS,Sham/no current,PONV,PONV incidence,POD1,Events/total,50,50,48,49,,,,,,10,,,,,,19,participants,0.047,Yes,No,RR,0.537280701754386,No,No,Eligible for dichotomous POD1 PONV analysis,No,Participant sensory blinding uncertain,"Table 4, p8",https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0027,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,PONV composite,TEAS,Sham,pod1
Zhou 2025,ZHOU25_TEAS_vs_SHAM_FLATUS,PACU TEAS,Sham/no current,GI recovery,Time to first flatus,Postoperative,Mean/SD,50,50,48,49,14.1,3.19,,,,,15.88,3.78,,,,,hours,0.014,Yes,No,MD,-1.780000000000001,No,No,Eligible for GI-recovery meta-analysis,No,Ascertainment mechanism should be considered in RoB because participant sensory blinding may be imperfect,Postoperative recovery-time table,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0028,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,GI — first flatus,TEAS,Sham,postoperative
Zhou 2025,ZHOU25_TEAS_vs_SHAM_RESCUE,PACU TEAS,Sham/no current,Rescue analgesia,Any rescue analgesia,POD1-POD3,Events/total,50,50,48,49,,,,,,6,,,,,,13,participants,0.124,Yes,No,RR,0.4711538461538461,No,No,Eligible only for 3-day binary rescue-analgesia analysis,No,Not a 24-h opioid dose; exact cumulative tramadol dose is not reported,"Table 3, p8",https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0029,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Rescue analgesia — drug class unresolved,TEAS,Sham,pod1-pod3
Zhou 2025,ZHOU25_TEAS_vs_SHAM_OPIOID24,PACU TEAS,Sham/no current,Opioid consumption,Exact cumulative postoperative opioid dose,0-24 h,Not reported,50,50,48,49,,,,,,,,,,,,,mg/µg,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis without author data,No,Standard perioperative sufentanil plus PRN tramadol; exact 0-24-h cumulative dose not reported,Not numerically reported,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,V33-OD-0030,,,,,,,,,,,,,,,,NOT REPORTED,Accessed source does not supply the requested numerical result.,ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),TEAS,Sham,0-24h
Zhou 2021,ZHOU21_TEAS_vs_UC_PAIN,Postoperative TEAS + ERAS,ERAS/usual care,Pain,Average postoperative pain,POD1-POD5 average,Mean/SD,41,41,41,40,2.55,0.21,,,,,3.1,0.42,,,,,pain score,<0.001,Yes,No,MD,-0.5500000000000003,No,No,Eligible only for matching POD1-POD5 average pain analysis,No,Open-label/no sham; subjective outcome,"Table 3, p6",https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk,SOURCE-VERIFIED,V33-OD-0031,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Pain — unspecified context,TEAS,Usual care,pod1-pod5 average
Zhou 2021,ZHOU21_TEAS_vs_UC_OPIOIDUSE,Postoperative TEAS + ERAS,ERAS/usual care,Opioid consumption,Any postoperative opioid use,Postoperative window not clearly defined as 0-24 h,Events/total,41,41,41,40,,,,,,18,,,,,,30,participants,0.004,Yes,No,RR,0.5853658536585366,No,No,Eligible for binary opioid-use analysis only if matching time window is acceptable,No,Exact postoperative time window is not clearly stated,Table 3,https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk,SOURCE-VERIFIED / WINDOW QC,V33-OD-0032,,,,,,,,,,,,,,,,INCLUDE,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",ROB2_RESULT_SPECIFIC_PENDING,Postoperative opioid dose (native window/unit),TEAS,Usual care,postoperative window not clearly defined as 0-24h
