batch,batch_row,study,outcome_family,outcome_result,timepoint_window,intervention_arm,comparator_arm,randomized_n_int,randomized_n_comp,analyzed_n_int,analyzed_n_comp,statistic_type,value_int,dispersion_int,value_comp,dispersion_comp,events_int,events_comp,unit_scale,reported_p,effect_estimate_as_printed,analysis_population,page,table_or_figure,verbatim_quote,ambiguity_notes,v34_audit_row,v34_disposition,v34_v34_record_id,v34_v33_excel_row,v34_outcome,v34_window
1,11,Zhu 2022,Pain,Pain on movement (NRS),48–72 h,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,103,104,98,101,Mean/SD,0.23,0.59,0.31,0.7,NOT REPORTED,NOT REPORTED,NRS 0-10,0.469,NOT REPORTED,Per-protocol,p. 422,Table 3,Pain at 48–72 h (mean±SD): Pre 0.19±0.56; 30 0.23±0.59; Comb 0.19±0.56; Usual 0.31±0.7; p=0.469,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,12,ADDED,AUDIT-0012,,Pain on movement (NRS),48–72 h
1,12,Zhu 2022,Pain,Pain on movement (NRS),48–72 h,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,103,104,100,101,Mean/SD,0.19,0.56,0.31,0.7,NOT REPORTED,NOT REPORTED,NRS 0-10,0.469,NOT REPORTED,Per-protocol,p. 422,Table 3,Pain at 48–72 h (mean±SD): Pre 0.19±0.56; 30 0.23±0.59; Comb 0.19±0.56; Usual 0.31±0.7; p=0.469,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,13,ADDED,AUDIT-0013,,Pain on movement (NRS),48–72 h
1,13,Zhu 2022,Rescue analgesia,Participants requiring postoperative analgesics,0–48 h after surgery,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,2,3,participants,–,NOT REPORTED,Per-protocol,p. 422,Table 3,Analgesics 0–48 h after surgery (n) 2 3 1 3 –,"Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Rescue analgesic protocol was flurbiprofen 100 mg when NRS >3; table reports only number of patients, not doses.",14,ADDED,AUDIT-0014,,Participants requiring postoperative analgesics,0–48 h after surgery
1,14,Zhu 2022,Rescue analgesia,Participants requiring postoperative analgesics,0–48 h after surgery,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,103,104,98,101,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,3,3,participants,–,NOT REPORTED,Per-protocol,p. 422,Table 3,Analgesics 0–48 h after surgery (n) 2 3 1 3 –,"Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Rescue analgesic protocol was flurbiprofen 100 mg when NRS >3; table reports only number of patients, not doses.",15,ADDED,AUDIT-0015,,Participants requiring postoperative analgesics,0–48 h after surgery
1,15,Zhu 2022,Rescue analgesia,Participants requiring postoperative analgesics,0–48 h after surgery,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,103,104,100,101,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,1,3,participants,–,NOT REPORTED,Per-protocol,p. 422,Table 3,Analgesics 0–48 h after surgery (n) 2 3 1 3 –,"Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Rescue analgesic protocol was flurbiprofen 100 mg when NRS >3; table reports only number of patients, not doses.",16,ADDED,AUDIT-0016,,Participants requiring postoperative analgesics,0–48 h after surgery
1,16,Zhu 2022,GI recovery,Time to passage of first flatus,From end of surgery to first flatus,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Mean/SD,18.38,6.11,21.56,8.07,NOT REPORTED,NOT REPORTED,hours,0.003**,NOT REPORTED,Per-protocol,p. 422,Table 3,Time to passage of first flatus (h; mean±SD) 18.38±6.11 18.47±6.47 18.82±7.50 21.56±8.07 ... 0.003**,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,17,ADDED,AUDIT-0017,,Time to passage of first flatus,From end of surgery to first flatus
1,17,Zhu 2022,GI recovery,Time to passage of first flatus,From end of surgery to first flatus,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,103,104,98,101,Mean/SD,18.47,6.47,21.56,8.07,NOT REPORTED,NOT REPORTED,hours,0.003**,NOT REPORTED,Per-protocol,p. 422,Table 3,Time to passage of first flatus (h; mean±SD) 18.38±6.11 18.47±6.47 18.82±7.50 21.56±8.07 ... 0.003**,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,18,ADDED,AUDIT-0018,,Time to passage of first flatus,From end of surgery to first flatus
1,18,Zhu 2022,GI recovery,Time to passage of first flatus,From end of surgery to first flatus,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,103,104,100,101,Mean/SD,18.82,7.5,21.56,8.07,NOT REPORTED,NOT REPORTED,hours,0.003**,NOT REPORTED,Per-protocol,p. 422,Table 3,Time to passage of first flatus (h; mean±SD) 18.38±6.11 18.47±6.47 18.82±7.50 21.56±8.07 ... 0.003**,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,19,ADDED,AUDIT-0019,,Time to passage of first flatus,From end of surgery to first flatus
1,19,Zhu 2022,Quality of recovery,Overall QoR-15,AMBIGUOUS,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Mean/SD,142.94,6.82,144.23,4.95,NOT REPORTED,NOT REPORTED,QoR-15 points,0.095,NOT REPORTED,Per-protocol,p. 422,Table 3,Overall QoR-15 (mean±SD) 142.94±6.82 144.74±5.21 144.61±5.35 144.23±4.95 ... 0.095,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. The table/methods do not state the assessment timepoint for the reported overall QoR-15 value.,20,AMBIGUOUS_HOLD,AUDIT-0020,,Overall QoR-15,AMBIGUOUS
1,20,Zhu 2022,Quality of recovery,Overall QoR-15,AMBIGUOUS,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,103,104,98,101,Mean/SD,144.74,5.21,144.23,4.95,NOT REPORTED,NOT REPORTED,QoR-15 points,0.095,NOT REPORTED,Per-protocol,p. 422,Table 3,Overall QoR-15 (mean±SD) 142.94±6.82 144.74±5.21 144.61±5.35 144.23±4.95 ... 0.095,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. The table/methods do not state the assessment timepoint for the reported overall QoR-15 value.,21,AMBIGUOUS_HOLD,AUDIT-0021,,Overall QoR-15,AMBIGUOUS
1,21,Zhu 2022,Quality of recovery,Overall QoR-15,AMBIGUOUS,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,103,104,100,101,Mean/SD,144.61,5.35,144.23,4.95,NOT REPORTED,NOT REPORTED,QoR-15 points,0.095,NOT REPORTED,Per-protocol,p. 422,Table 3,Overall QoR-15 (mean±SD) 142.94±6.82 144.74±5.21 144.61±5.35 144.23±4.95 ... 0.095,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. The table/methods do not state the assessment timepoint for the reported overall QoR-15 value.,22,AMBIGUOUS_HOLD,AUDIT-0022,,Overall QoR-15,AMBIGUOUS
1,22,Zhu 2022,PONV,Postoperative nausea incidence,0–6 h after surgery,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,9,20,participants,0.013*,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Nausea (n) 9 11 7 20 0.013*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,23,ADDED,AUDIT-0023,,Postoperative nausea incidence,0–6 h after surgery
1,23,Zhu 2022,PONV,Postoperative vomiting incidence,0–6 h after surgery,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,7,17,participants,0.021*,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Vomiting (n) 7 9 6 17 0.021*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,24,ADDED,AUDIT-0024,,Postoperative vomiting incidence,0–6 h after surgery
1,24,Zhu 2022,PONV,Nausea severity score,0–6 h after surgery,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Mean/SD,0.2,0.68,0.46,0.95,NOT REPORTED,NOT REPORTED,4-point Likert-type severity scale 0-3,0.012*,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Nausea (mean±SD) 0.2±0.68 0.22±0.67 0.14±0.53 0.46±0.95 0.012*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,25,ADDED,AUDIT-0025,,Nausea severity score,0–6 h after surgery
1,25,Zhu 2022,PONV,Vomiting severity score,0–6 h after surgery,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Mean/SD,0.16,0.61,0.36,0.79,NOT REPORTED,NOT REPORTED,4-point Likert-type severity scale 0-3,0.037*,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Vomiting (mean±SD) 0.16±0.61 0.18±0.63 0.11±0.47 0.36±0.79 0.037*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,26,ADDED,AUDIT-0026,,Vomiting severity score,0–6 h after surgery
1,26,Zhu 2022,Rescue antiemetic,Participants requiring metoclopramide rescue antiemetic,0–6 h after surgery,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,4,18,participants,0.001**,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Antiemetic requirement (n) 4 11 4 18 0.001**,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metoclopramide 10 mg as rescue therapy.,27,ADDED,AUDIT-0027,,Participants requiring metoclopramide rescue antiemetic,0–6 h after surgery
1,27,Zhu 2022,PONV,Postoperative nausea incidence,0–6 h after surgery,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,103,104,98,101,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,11,20,participants,0.013*,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Nausea (n) 9 11 7 20 0.013*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,28,ADDED,AUDIT-0028,,Postoperative nausea incidence,0–6 h after surgery
1,28,Zhu 2022,PONV,Postoperative vomiting incidence,0–6 h after surgery,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,103,104,98,101,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,9,17,participants,0.021*,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Vomiting (n) 7 9 6 17 0.021*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,29,ADDED,AUDIT-0029,,Postoperative vomiting incidence,0–6 h after surgery
1,29,Zhu 2022,PONV,Nausea severity score,0–6 h after surgery,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,103,104,98,101,Mean/SD,0.22,0.67,0.46,0.95,NOT REPORTED,NOT REPORTED,4-point Likert-type severity scale 0-3,0.012*,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Nausea (mean±SD) 0.2±0.68 0.22±0.67 0.14±0.53 0.46±0.95 0.012*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,30,ADDED,AUDIT-0030,,Nausea severity score,0–6 h after surgery
1,30,Zhu 2022,PONV,Vomiting severity score,0–6 h after surgery,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,103,104,98,101,Mean/SD,0.18,0.63,0.36,0.79,NOT REPORTED,NOT REPORTED,4-point Likert-type severity scale 0-3,0.037*,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Vomiting (mean±SD) 0.16±0.61 0.18±0.63 0.11±0.47 0.36±0.79 0.037*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,31,ADDED,AUDIT-0031,,Vomiting severity score,0–6 h after surgery
1,31,Zhu 2022,Rescue antiemetic,Participants requiring metoclopramide rescue antiemetic,0–6 h after surgery,Group 30 — EA 30 min before surgery,Group Usual — usual care alone,103,104,98,101,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,11,18,participants,0.001**,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Antiemetic requirement (n) 4 11 4 18 0.001**,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metoclopramide 10 mg as rescue therapy.,32,ADDED,AUDIT-0032,,Participants requiring metoclopramide rescue antiemetic,0–6 h after surgery
1,32,Zhu 2022,PONV,Postoperative nausea incidence,0–6 h after surgery,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,103,104,100,101,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,7,20,participants,0.013*,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Nausea (n) 9 11 7 20 0.013*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,33,ADDED,AUDIT-0033,,Postoperative nausea incidence,0–6 h after surgery
1,33,Zhu 2022,PONV,Postoperative vomiting incidence,0–6 h after surgery,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,103,104,100,101,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,6,17,participants,0.021*,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Vomiting (n) 7 9 6 17 0.021*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Table 2 values are per-protocol.,34,ADDED,AUDIT-0034,,Postoperative vomiting incidence,0–6 h after surgery
1,34,Zhu 2022,PONV,Nausea severity score,0–6 h after surgery,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,103,104,100,101,Mean/SD,0.14,0.53,0.46,0.95,NOT REPORTED,NOT REPORTED,4-point Likert-type severity scale 0-3,0.012*,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Nausea (mean±SD) 0.2±0.68 0.22±0.67 0.14±0.53 0.46±0.95 0.012*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,35,ADDED,AUDIT-0035,,Nausea severity score,0–6 h after surgery
1,35,Zhu 2022,PONV,Vomiting severity score,0–6 h after surgery,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,103,104,100,101,Mean/SD,0.11,0.47,0.36,0.79,NOT REPORTED,NOT REPORTED,4-point Likert-type severity scale 0-3,0.037*,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Vomiting (mean±SD) 0.16±0.61 0.18±0.63 0.11±0.47 0.36±0.79 0.037*,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,36,ADDED,AUDIT-0036,,Vomiting severity score,0–6 h after surgery
1,36,Zhu 2022,Rescue antiemetic,Participants requiring metoclopramide rescue antiemetic,0–6 h after surgery,Group Comb — EA day before + 30 min before surgery,Group Usual — usual care alone,103,104,100,101,Events/total,NOT REPORTED,NOT REPORTED,NOT REPORTED,NOT REPORTED,4,18,participants,0.001**,NOT REPORTED,Per-protocol,p. 420,Table 2,0–6 h after surgery: Antiemetic requirement (n) 4 11 4 18 0.001**,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent. Methods specify metoclopramide 10 mg as rescue therapy.,37,ADDED,AUDIT-0037,,Participants requiring metoclopramide rescue antiemetic,0–6 h after surgery
1,37,Zhu 2022,PONV,Nausea severity score,6–24 h after surgery,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Mean/SD,0.22,0.66,0.5,0.88,NOT REPORTED,NOT REPORTED,4-point Likert-type severity scale 0-3,0.011,NOT REPORTED,Per-protocol,p. 420,Table 2,6–24 h after surgery: Nausea (mean±SD) 0.22±0.66 0.34±0.76 0.2±0.6 0.5±0.88 0.011,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,38,ADDED,AUDIT-0038,,Nausea severity score,6–24 h after surgery
1,38,Zhu 2022,PONV,Vomiting severity score,6–24 h after surgery,Group Pre — EA day before surgery,Group Usual — usual care alone,103,104,101,101,Mean/SD,0.12,0.53,0.41,0.8,NOT REPORTED,NOT REPORTED,4-point Likert-type severity scale 0-3,0.008,NOT REPORTED,Per-protocol,p. 420,Table 2,6–24 h after surgery: Vomiting (mean±SD) 0.12±0.53 0.15±0.54 0.2±0.67 0.41±0.8 0.008,Randomized arm sizes taken from CONSORT Fig 1 (Pre 103/30 103/Comb 103/Usual 104). Abstract instead reports Pre 103/30 104/Comb 103/Usual 103; source is internally inconsistent.,39,ADDED,AUDIT-0039,,Vomiting severity score,6–24 h after surgery
