"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"11","428","Efficacy of Electroacupuncture Combined with Tropisetron in Treating Carboprost Tromethamine-Induced Nausea and Vomiting during Cesarean Section under Lumbar Anesthesia.","Yu","2021","English","yes","No","EXCLUDE_NO_GENERAL_ANAESTHESIA","The title and abstract explicitly state that the cesarean sections were performed under lumbar anaesthesia.","Operative population used neuraxial/lumbar anaesthesia without general anaesthesia.","high","primary_results","yes","no","yes","Needle electroacupuncture alone or with tropisetron","Control, tropisetron, or combination arms","yes","not_applicable","yes","yes","During cesarean section.","yes","no","no","no","yes","2026-07-26T10:40:53.587Z","none","DOI 10.1159/000514946; Ref ID 33784688."
"12","429","Short-term effect of electroacupuncture on rehabilitation after arthroscopic triangular fibrocartilage complex repair: a randomised study.","Chang","2021","English","yes","Maybe","UNCERTAIN_TIMING","The randomized trial added EA to identical active rehabilitation after arthroscopic TFCC repair, but reports only a 4-week treatment course without stating when the first EA session began; the anaesthetic technique is also unreported.","Eligibility remains possible if surgery used general anaesthesia and EA began within 24 postoperative hours, but both require full-text verification.","low","primary_results","yes","unclear","yes","Needle electroacupuncture plus standard active rehabilitation","Identical standard active rehabilitation without EA","yes","not_applicable","yes","unclear","Four-week postoperative rehabilitation course; first EA session not stated.","yes","no","no","no","yes","2026-07-26T10:41:13.881Z","none","DOI 10.1186/s13018-021-02361-1; Ref ID 33761976. General anaesthesia is also unclear."
"13","430","The effectiveness of electro-acupuncture combined with dyclonine hydrochloride in relieving the side effects of gastroscopy: a controlled trial.","Chen","2021","English","yes","No","EXCLUDE_NON_SURGICAL","The study assessed EA and local anaesthetic during diagnostic gastroscopy rather than operative surgery.","Gastroscopy is a non-operative endoscopic procedure and is outside the surgical population.","high","primary_results","yes","no","unclear","Electroacupuncture alone or combined with oral dyclonine","Dyclonine alone or active combination arms","no","not_applicable","yes","yes","During gastroscopy.","yes","no","no","no","yes","2026-07-26T10:41:25.301Z","none","DOI 10.21037/apm-20-831; Ref ID 33691439."
"14","431","Transcutaneous Electrical Acupoint Stimulation Combined with Dexamethasone and Tropisetron Prevents Postoperative Nausea and Vomiting in Female Patients Undergoing Laparoscopic Sleeve Gastrectomy: a Prospective, Randomized Controlled Trial.","Xiong","2021","English","yes","Maybe","UNCERTAIN_TIMING","The randomized comparison balanced dexamethasone and tropisetron across groups and added TEAS only, but the abstract does not report when TEAS was first delivered relative to surgery.","Potentially eligible TEAS RCT with balanced antiemetics; first-session timing requires full-text verification.","medium","primary_results","yes","yes","yes","TEAS plus dexamethasone and tropisetron","Identical dexamethasone and tropisetron without TEAS","yes","not_applicable","yes","unclear","TEAS timing not stated in the abstract.","yes","no","no","no","yes","2026-07-26T10:41:41.686Z","none","DOI 10.1007/s11695-020-05205-9; Ref ID 33650089. Sleeve gastrectomy makes general anaesthesia highly evident, but full text can confirm."
"15","432","The Effect of Transcutaneous Electrical Acupoint Stimulation on Postoperative Catheter-Related Bladder Discomfort in Patients Undergoing Transurethral Resection of the Prostate.","Liang","2021","English","yes","Yes","INCLUDE_CLEAR","Prospective randomized double-blind controlled trial in TURP under general anaesthesia; TEAS was delivered for 30 minutes before anaesthesia at explicitly named acupoints and clinical recovery outcomes were reported.","Clear preoperative TEAS RCT under general anaesthesia with separable control and eligible postoperative outcomes.","high","primary_results","yes","yes","yes","TEAS at RN3-RN7 and bilateral BL32-BL34","Control group","yes","not_applicable","yes","yes","TEAS for 30 minutes before general anaesthesia.","yes","no","no","no","yes","2026-07-26T10:41:58.154Z","none","DOI 10.1155/2021/6691459; Ref ID 33628313."
"16","433","Effects of Transcutaneous Electrical Acupoint Stimulation (TEAS) on Postoperative Recovery in Patients with Gastric Cancer: A Randomized Controlled Trial.","Zhou","2021","English","yes","Maybe","UNCERTAIN_TIMING","The randomized gastrectomy trial delivered TEAS on postoperative days 1-3, but the abstract does not establish the elapsed time from surgery to the first POD1 session.","Potentially eligible postoperative TEAS RCT; POD1 wording alone does not prove initiation within 24 hours.","medium","primary_results","yes","yes","yes","Postoperative TEAS","Control without TEAS","unclear","not_applicable","yes","unclear","TEAS on POD1-POD3; exact elapsed start time not reported.","yes","no","no","no","yes","2026-07-26T10:42:14.578Z","none","DOI 10.2147/CMAR.S292325; Ref ID 33603487. Gastrectomy makes general anaesthesia highly evident."
"17","434","[Comparative study between electroacupuncture at Neima point and Neiguan (PC 6) and epidural nerve block for preemptive analgesia in patients undergoing thoracic surgery].","Yan","2021","Chinese","yes","Yes","INCLUDE_CLEAR","Randomized three-arm radical esophagectomy trial under general anaesthesia includes an independently extractable EA arm receiving 30 minutes of preinduction EA and a general-anaesthesia-only control arm; all groups received PCIA.","Clear separable EA-versus-usual-care comparison in randomized surgery under general anaesthesia.","high","primary_results","yes","yes","yes","Needle EA at bilateral Neima and PC6","General anaesthesia alone; separate epidural-block arm also present","yes","not_applicable","yes","yes","EA for 30 minutes before anaesthesia induction.","yes","no","yes","no","yes","2026-07-26T10:42:30.230Z","none","DOI 10.13703/j.0255-2930.20200121-k0001; Ref ID 33559444."
"18","437","Perioperative transcutaneous electrical acupoint stimulation for improving postoperative gastrointestinal function: A randomized controlled trial.","Li","2021","English","yes","Yes","INCLUDE_CLEAR","Stratified randomized sham-controlled trial in major gastric or colorectal surgery; TEAS at LI4, PC6, ST36, and ST37 began 30 minutes before anaesthesia and continued through surgery, with eligible postoperative gastrointestinal and recovery outcomes.","Clear perioperative TEAS-versus-sham RCT in major abdominal surgery with eligible timing and outcomes.","high","primary_results","yes","yes","yes","TEAS at LI4, PC6, ST36, and ST37","Pseudo-TEAS at sham acupoints","yes","not_applicable","yes","yes","From 30 minutes before anaesthesia until surgery end, repeated POD1-POD3.","yes","no","no","no","yes","2026-07-26T10:43:04.524Z","none","DOI 10.1016/j.joim.2021.01.005; Ref ID 33495134; ChiCTR1900023263. Major gastric/colorectal surgery makes general anaesthesia highly evident."
"19","438","Effects of transcutaneous electrical acupoint stimulation on perioperative immune function and postoperative analgesia in patients undergoing radical mastectomy: A randomized controlled trial.","Ao","2021","English","yes","Yes","INCLUDE_CLEAR","Randomized sham-controlled radical-mastectomy trial; TEAS at LI4, PC6, and ST36 was delivered before anaesthesia induction and again 4 and 12 hours postoperatively, with pain, opioid use, PONV, and adverse-event outcomes.","Clear perioperative TEAS-versus-sham RCT with eligible timing and postoperative clinical outcomes.","high","primary_results","yes","yes","yes","TEAS at bilateral LI4, PC6, and ST36","Sham TEAS","yes","not_applicable","yes","yes","Thirty minutes before anaesthesia induction and at 4 and 12 postoperative hours.","yes","no","no","no","yes","2026-07-26T10:43:26.258Z","none","DOI 10.3892/etm.2021.9615; Ref ID 33488793; ChiCTR1800017768. Radical mastectomy with anaesthesia induction makes general anaesthesia highly evident."
"20","439","The acupoint herbal plaster for the prevention and treatment of postoperative nausea and vomiting after PLIF with general anesthesia: study protocol for a multicenter randomized controlled trial.","Xu","2021","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The title identifies a study protocol and the abstract uses future tense, stating that the trial will be conducted and reporting no participant results.","Protocol-only publication without participant results.","high","protocol","no","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","yes","yes","2026-07-26T10:43:39.456Z","none","DOI 10.1186/s13063-021-05037-7; Ref ID 33482878; ChiCTR1800015768. Planned intervention is also an ineligible herbal acupoint plaster."
"21","440","[Effect of transcutaneous electrical acupoint stimulation on venous thrombosis after lung cancer surgery: a randomized controlled trial].","Sun","2020","Chinese","yes","Maybe","UNCERTAIN_TIMING","The randomized three-arm lung-cancer surgery trial contains a separable TEAS-plus-rehabilitation versus identical-rehabilitation comparison, but the abstract states only twice-daily treatment for 5 days and does not identify the first session time after surgery.","Potentially eligible postoperative TEAS comparison; initiation within 24 hours requires full-text confirmation.","medium","primary_results","yes","yes","yes","TEAS at ST36, SP10, SP6 and other points plus early functional exercise","Identical early functional exercise without TEAS","yes","not_applicable","yes","unclear","Twice daily for 5 postoperative days; first session time not stated.","yes","no","yes","no","yes","2026-07-26T10:43:56.806Z","none","DOI 10.13703/j.0255-2930.20191204-k0007; Ref ID 33415872. Radical lung resection makes general anaesthesia highly evident."
"22","441","Transcutaneous Electrical Acupoint Stimulation Reduces Postoperative Analgesic Requirement in Patients Undergoing Inguinal Hernia Repair: A Randomized, Placebo-Controlled Study.","Szmit","2021","English","yes","Maybe","UNCERTAIN_GENERAL_ANAESTHESIA","The prospective randomized TEAS-versus-sham and PCA-only trial reports a standardized anaesthetic technique but does not identify it as general anaesthesia; TEAS timing is also not stated in the abstract.","Strongly relevant TEAS RCT, but anaesthetic technique and first-session timing require full-text confirmation.","medium","primary_results","yes","unclear","yes","TEAS plus postoperative PCA","Sham TEAS plus PCA or PCA only","yes","not_applicable","yes","unclear","TEAS timing not reported in the abstract.","yes","no","no","no","yes","2026-07-26T10:44:14.086Z","none","DOI 10.3390/jcm10010146; Ref ID 33406735. Known sentinel candidate; retained for full-text verification."
"23","442","A randomized pilot study of electro-acupuncture treatment for hysterosalpingography pain relief and related anxiety.","Bakacak","2020","English","yes","No","EXCLUDE_NON_SURGICAL","The intervention was delivered before hysterosalpingography, a diagnostic imaging procedure rather than operative surgery.","Non-operative hysterosalpingography population, outside the review scope.","high","primary_results","yes","no","yes","Needle electroacupuncture before hysterosalpingography","Diclofenac or no pre-procedure analgesic","yes","not_applicable","yes","yes","Twenty minutes before hysterosalpingography.","yes","no","no","no","yes","2026-07-26T10:44:30.350Z","none","DOI 10.4274/tjod.galenos.2020.66592; Ref ID 33343971."
"24","443","Multicentre randomised controlled clinical trial of electroacupuncture with usual care for patients with non-acute pain after back surgery.","Heo","2020","English","yes","No","EXCLUDE_TIMING","The study enrolled patients with non-acute low back pain after back surgery and delivered EA twice weekly for 4 weeks as conservative treatment, rather than initiating treatment in the acute perioperative window.","Treatment targeted non-acute postoperative pain during later conservative care, outside the ≤24-hour initiation window.","high","primary_results","yes","not_applicable","yes","Needle EA plus usual care","Usual care alone","yes","not_applicable","yes","no","Twice weekly for 4 weeks in patients with non-acute pain after surgery.","yes","no","no","no","yes","2026-07-26T10:44:43.378Z","none","DOI 10.1016/j.bja.2020.10.038; Ref ID 33341226; KCT0001939."
"25","444","[Transcutaneous electrical acupoint stimulation relieves post-operative nausea and vomiting possibly by reducing serum motilin secretion in patients undergoing laparoscopic surgery].","Li","2020","Chinese","yes","Yes","INCLUDE_CLEAR","Randomized four-arm laparoscopic-surgery trial under general anaesthesia compared three separable TEAS acupoint combinations with a general-anaesthesia control. TEAS began 30 minutes before induction and continued through surgery; PONV was reported.","Clear perioperative TEAS randomized trial under general anaesthesia with usual-care control and eligible clinical outcome.","high","primary_results","yes","yes","yes","TEAS at combinations of PC6, LI4, ST36, and SP6","General anaesthesia control without TEAS","yes","not_applicable","yes","yes","From 30 minutes before anaesthesia induction until the end of surgery.","yes","no","yes","no","yes","2026-07-26T10:44:57.240Z","none","DOI 10.13702/j.1000-0607.200060; Ref ID 33269837."
"26","445","Effects of transcutaneous electrical acupuncture point stimulation on peripheral capillary oxygen saturation in elderly patients undergoing colonoscopy with sedation: a prospective randomized controlled trial.","Chen","2020","English","yes","No","EXCLUDE_NON_SURGICAL","Randomized TEAS-versus-sham study during colonoscopy under sedation.","Non-operative colonoscopy under sedation, not surgery under general anaesthesia.","high","primary_results","yes","no","yes","TEAS at PC6","Sham TEAS","yes","not_applicable","yes","yes","Twenty minutes during colonoscopy preparation.","yes","yes","no","no","yes","2026-07-26T10:45:43.494Z","none","DOI 10.1177/0964528420960479; Ref ID 33256456; NCT03775122."
"27","446","The Preventive Effect of Computed Tomography Image-Guided Electroacupuncture Combined with Continuous Femoral Nerve Block on Deep Vein Thrombosis After Total Knee Arthroplasty Based on an Adaptive Algorithm.","Guo","2020","English","yes","Maybe","UNCERTAIN_INTERVENTION_SEPARABILITY","The randomized study had four groups but the abstract does not describe their arm structure; EA is discussed with continuous femoral nerve block, so an independently extractable EA comparison may or may not exist.","Four-arm trial may contain a separable EA contrast, but intervention balance and anaesthetic technique require full-text review.","low","primary_results","yes","unclear","yes","Image-guided EA with continuous femoral nerve block","Four groups not described","unclear","not_applicable","unclear","unclear","Postoperative context; exact first EA time not stated.","yes","no","no","no","yes","2026-07-26T10:46:02.925Z","none","DOI 10.1016/j.wneu.2020.10.159; Ref ID 33248303."
"28","448","Postoperative analgesic efficacy of ear acupuncture in patients undergoing abdominal hysterectomy: a randomized controlled trial.","Hendawy","2020","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Electrical stimulation was delivered through needles at four auricular points, followed by permanent ear press needles.","Auricular electroacupuncture/ear acupuncture is explicitly excluded.","high","primary_results","yes","no","yes","Electric ear acupuncture followed by press needles","Spinal anaesthesia alone","yes","not_applicable","yes","yes","Perioperative and 24 hours postoperative.","yes","no","no","no","yes","2026-07-26T10:46:18.458Z","none","DOI 10.1186/s12871-020-01187-4; Ref ID 33167893; PACTR201903770607799. Spinal-only anaesthesia is also ineligible."
"29","449","Effects of Transcutaneous Electrical Acupoint Stimulation on the Postoperative Sleep Quality and Pain of Patients After Video-Assisted Thoracoscopic Surgery: A Prospective, Randomized Controlled Trial.","Song","2020","English","yes","Yes","INCLUDE_CLEAR","Randomized video-assisted thoracoscopic surgery trial; TEAS was delivered the night before surgery, at surgery end, and on subsequent nights, with postoperative sleep, pain, PONV, and dizziness outcomes.","Clear perioperative TEAS randomized trial with eligible preoperative timing and clinical recovery outcomes.","high","primary_results","yes","yes","yes","Perioperative TEAS","Control without TEAS","unclear","not_applicable","yes","yes","First session the night before surgery; another at surgery end.","yes","no","no","no","yes","2026-07-26T10:46:37.340Z","none","DOI 10.2147/NSS.S270739; Ref ID 33154688. Video-assisted thoracoscopic surgery makes general anaesthesia highly evident."
"30","451","Decreased Synovial Fluid Biomarkers Levels Are Associated with Rehabilitation of Function and Pain in Rotator Cuff Tear Patients Following Electroacupuncture Therapy.","Guan","2020","English","yes","No","EXCLUDE_NON_SURGICAL","Patients with rotator cuff tears received EA as conservative therapy with 6-week and 6-month follow-up; no operative surgery was described.","Non-operative conservative treatment of rotator cuff tear.","high","primary_results","yes","not_applicable","unclear","Needle electroacupuncture","Control group","unclear","not_applicable","yes","not_applicable","Conservative treatment, not perioperative.","yes","no","no","no","yes","2026-07-26T10:46:57.902Z","none","DOI 10.12659/MSM.923240; Ref ID 32915775."
"31","452","[Effect of transcutaneous electrical acupoint stimulation on catheter related bladder discomfort after ureteroscopic lithotripsy].","Gao","2020","Chinese","yes","Yes","INCLUDE_CLEAR","Randomized sham-controlled ureteroscopic lithotripsy under general anaesthesia; TEAS at CV4, CV3, ST36, and SP6 was delivered for 30 minutes before induction, with postoperative bladder discomfort, pain, anaesthetic use, and adverse events.","Clear preoperative TEAS-versus-sham RCT under general anaesthesia with eligible outcomes.","high","primary_results","yes","yes","yes","TEAS at CV4, CV3, ST36, and SP6","Sham TEAS with no current","yes","not_applicable","yes","yes","Thirty minutes before anaesthesia induction.","yes","no","yes","no","yes","2026-07-26T10:47:15.459Z","none","DOI 10.13703/j.0255-2930.20190729-k0001; Ref ID 32869590."
"32","453","Pretreatment with transcutaneous electrical acupoint stimulation to prevent postoperative ileus in patients undergoing laparoscopic colon surgery: study protocol for a randomised controlled trial.","Wang","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The title identifies a study protocol; the abstract states the trial will be conducted and was recruiting, with no participant results.","Protocol-only publication without results.","high","protocol","no","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","yes","yes","2026-07-26T10:47:27.040Z","none","DOI 10.1136/bmjopen-2019-030694; Ref ID 32819923; ChiCTR-INR-17013184."
"33","454","Effectiveness and safety of polydioxanone thread-embedding acupuncture (TEA) and electroacupuncture (EA) treatment for knee osteoarthritis (KOA) patients with postoperative pain: An assessor-blinded, randomized, controlled pilot trial.","Lee","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The methods/design abstract uses future tense and describes a planned 36-patient randomized pilot trial without participant results.","Protocol-only publication without results.","high","protocol","no","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","yes","yes","2026-07-26T10:47:43.791Z","none","DOI 10.1097/MD.0000000000021184; Ref ID 32791693; KCT0004804. Planned intervention also combines thread-embedding acupuncture with EA and targets persistent later postoperative pain."
"34","455","Using electroacupuncture to recover muscle strength in patients with knee osteoarthritis after total knee arthroplasty: a study protocol for a double-blinded, randomized, and placebo-controlled trial.","Xu","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The title identifies a study protocol and the abstract states that participants will be randomized and outcomes will be measured, without results.","Protocol-only publication without participant results.","high","protocol","no","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","yes","yes","2026-07-26T10:47:55.751Z","none","DOI 10.1186/s13063-020-04601-x; Ref ID 32778158; ChiCTR1900027806."
"35","456","Electroacupuncture Improves Cognition in Rats With Sepsis-Associated Encephalopathy.","Li","2020","English","yes","No","EXCLUDE_ANIMAL","The study used rats randomized around cecal ligation and puncture and assessed water-maze cognition, brain histology, and oxidative stress.","Animal electroacupuncture experiment in rats.","high","animal_study","yes","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-26T10:48:07.458Z","none","DOI 10.1016/j.jss.2020.06.056; Ref ID 32712439."
"36","457","GABAergic Inhibition of Spinal Cord Dorsal Horns Contributes to Analgesic Effect of Electroacupuncture in Incisional Neck Pain Rats.","Wang","2020","English","yes","No","EXCLUDE_ANIMAL","The study created an incisional neck pain model in male rats and evaluated EA effects on pain thresholds and spinal GABA pathways.","Animal mechanistic electroacupuncture experiment in rats.","high","animal_study","yes","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","no","yes","2026-07-26T10:48:21.387Z","none","DOI 10.2147/JPR.S242330; Ref ID 32694919."
"37","458","Impact of Electroacupuncture Stimulation on Postoperative Constipation for Patients Undergoing Brain Tumor Surgery.","Li","2020","English","yes","Maybe","UNCERTAIN_TIMING","Randomized brain-tumor resection trial included a separable EA arm and no-treatment control with postoperative constipation outcomes, but the abstract does not report when EA first began after surgery.","Potentially eligible postoperative EA RCT; first-session timing needs full-text verification.","medium","primary_results","yes","yes","yes","Needle electroacupuncture","No treatment; separate manual-acupuncture arm","unclear","not_applicable","yes","unclear","Postoperative treatment; initiation time unreported.","yes","no","no","no","yes","2026-07-26T10:48:43.325Z","none","DOI 10.1097/JNN.0000000000000531; Ref ID 32675583. Brain tumor resection makes general anaesthesia highly evident."
"38","459","Transcutaneous electrical acupuncture stimulation (TEAS) for gastrointestinal dysfunction in adults undergoing abdominal surgery: study protocol for a prospective randomized controlled trial.","Bai","2020","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","The title identifies a study protocol and the abstract states the trial will be performed, with planned outcomes and no participant results.","Protocol-only publication without results.","high","protocol","no","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","no","yes","yes","2026-07-26T10:48:57.940Z","none","DOI 10.1186/s13063-020-04470-4; Ref ID 32631387; ChiCTR1900023263. Protocol companion to results report at Covidence #437."
