target,analysis_id,outcome,stratum,k,effect_measure,estimate,ci_low,ci_high,p_value,tau2,i2,q_stat,model,notes
Target F (Exploratory),TF_RESCUE_OPIOID_STRICT,Rescue opioid requirement,"Strict binary rescue (Xie 2014, Yu 2020, Tu 2024, Zhou 2025)",4,Risk Ratio (RR),.51742059,.36792302,.72766334,.0086507872,0.0,0.0,.99979228,"RR, REML + Hartung-Knapp",Strict binary rescue requirement
Target F (Exploratory),TF_RESCUE_OPIOID_ALL,Rescue opioid requirement,All binary rescue (including Liu 2026 burn),5,Risk Ratio (RR),.50714797,.39029148,.65899229,.0019747755,0.0,0.0,1.1327552,"RR, REML + Hartung-Knapp",All reported binary rescue
Target F (Exploratory),TF_PCA_DEMANDS_SMD,PCA demands / button presses,PCA button presses/demands across trials (SMD),8,SMD,-1.2686,-2.7741,0.2369,0.08656,3.0294,97.87,135.36,"SMD Hedges g, REML + Hartung-Knapp",Standardized mean difference in PCA demands
Sensitivity Grid (Primary 24h),SENS_REML_Hart,Primary 24-h Opioid MME,REML + Hartung-Knapp (KH),7,MD (mg IV MME),-9.9070034,-20.079363,.2653563,.054538377,113.91055,98.569153,,REML (Hartung-Knapp (KH)),PRIMARY AUTHORITATIVE BENCHMARK
Sensitivity Grid (Primary 24h),SENS_REML_Wald,Primary 24-h Opioid MME,REML + Wald (unadjusted),7,MD (mg IV MME),-9.9070034,-18.145546,-1.6684605,.018428519,113.91055,98.569153,,REML (Wald (unadjusted)),Unadjusted standard errors
Sensitivity Grid (Primary 24h),SENS_DerSimonian-Laird (DL)_Hart,Primary 24-h Opioid MME,DerSimonian-Laird (DL) + Hartung-Knapp (KH),7,MD (mg IV MME),-9.7261419,-19.93322,.4809356,.058510989,68.514259,97.64344,,DerSimonian-Laird (DL) (Hartung-Knapp (KH)),DL moments estimator with KH
Sensitivity Grid (Primary 24h),SENS_DerSimonian-Laird (DL)_Wald,Primary 24-h Opioid MME,DerSimonian-Laird (DL) + Wald (unadjusted),7,MD (mg IV MME),-9.7261419,-16.256094,-3.1961892,.0035081895,68.514259,97.64344,,DerSimonian-Laird (DL) (Wald (unadjusted)),Demonstrates artificial significance under unadjusted DL
Sensitivity Grid (Primary 24h),SENS_Empirical Bayes (EB)_Hart,Primary 24-h Opioid MME,Empirical Bayes (EB) + Hartung-Knapp (KH),7,MD (mg IV MME),-9.8998098,-20.073538,.27391884,.054691162,111.26288,98.535599,,Empirical Bayes (EB) (Hartung-Knapp (KH)),Iterative empirical Bayes estimator
Sensitivity Grid (Primary 24h),SENS_Paule-Mandel (PM)_Hart,Primary 24-h Opioid MME,Paule-Mandel (PM) + Hartung-Knapp (KH),7,MD (mg IV MME),-9.8998098,-20.073538,.27391884,.054691162,111.26288,98.535599,,Paule-Mandel (PM) (Hartung-Knapp (KH)),Paule-Mandel estimator
Sensitivity Grid (Primary 24h),SENS_Fixed-effect (Common)_None,Primary 24-h Opioid MME,Fixed-effect (Common) + None (Common effect),7,MD (mg IV MME),-2.7414382,-3.5512185,-1.9316577,3.2388758e-11,0,0,,Fixed-effect (Common) (None (Common effect)),Common-effect inverse-variance model
Subgroups & Meta-reg,SUB_MODALITY_TEAS,Primary 24-h Opioid MME,"Modality: TEAS (Chen 1998, Chen 2020, He 2026, Szmit 2021)",4,MD (mg IV MME),-13.995275,-34.180843,6.1902914,.11447614,156.88229,98.590675,,Subgroup,REML + Hartung-Knapp (t df=2)
Subgroups & Meta-reg,SUB_MODALITY_EA,Primary 24-h Opioid MME,"Modality: EA (El-Rakshy 2009, Seevaunnamtum 2016, Yang 2024)",3,MD (mg IV MME),-3.9358339,-19.773222,11.901554,.39689466,28.471277,77.152611,,Subgroup,REML + Hartung-Knapp (t df=2)
Subgroups & Meta-reg,METAREG_MODALITY,Primary 24-h Opioid MME,Modality: TEAS vs EA (reference: EA),,MD (mg IV MME),-9.3242121,-30.443062,11.794637,.30785999,,,,Meta-regression,Difference between TEAS and EA; underpowered (k=7 < 10)
Primary 24-h Opioid,OP24_STRICT_SMD,24-h Cumulative Postoperative Opioid,"Strict primary 24-h opioid, Hedges g",7,Hedges g (SMD),-.96674985,-2.0861762,.15267643,.079024479,1.3659765,96.496735,100.08619,REML + Hartung-Knapp,Strict set on the SMD metric; comparator for the broader SMD model
Primary 24-h Opioid,OP24_BROADER_SMD,24-h Cumulative Postoperative Opioid,"Strict + conditional 24-h opioid, Hedges g",9,Hedges g (SMD),-.96909535,-1.801098,-.13709269,.027668659,1.070069,94.985733,104.62038,REML + Hartung-Knapp,"Adds Coura 2011, Sim 2002, Zhang 2025. Chen 2015 x2 remain unpoolable (Median/IQR). A k=11 MD pool is not estimable without prohibited body-weight reconstruction."
Primary (v33),V33_S0_TEAS_SHAM,Cumulative 0-24 h postoperative opioid consumption,S0 Tier A: TEAS vs inert sham,4,MD (mg IV MME),-13.995275,-34.18084,6.1902914,.11447614,156.88228,98.590675,232.89409,REML + Hartung-Knapp,v33 PRIMARY. Supersedes OP24_PRIM_COMB as the headline estimate: that row pooled TEAS-vs-sham and EA-vs-usual-care evidence across two different comparators.
Supportive (v33),V33_S0_EA_USUAL,Cumulative 0-24 h postoperative opioid consumption,S0 Tier A: EA vs usual care,3,MD (mg IV MME),-3.9358342,-19.773224,11.901556,.39689469,28.471283,77.152611,7.6678648,REML + Hartung-Knapp,v33 SUPPORTIVE. Not sham-controlled; no sham-controlled EA trial reports this outcome (k=0).
Sensitivity (v33),V33_SENS_C1_SZMIT_ALT,Cumulative 0-24 h postoperative opioid consumption,"TEAS vs sham, Szmit 2021 usual-care arm substituted",4,MD (mg IV MME),-14.071113,-34.177174,6.0349483,.11228666,155.67734,98.581291,,REML + Hartung-Knapp,"Comparator sensitivity. Szmit 2021 contributes exactly one contrast: swapped, never added."
Sensitivity (v33),V33_SENS_C2_REML_WALD,Cumulative 0-24 h postoperative opioid consumption,"S0 primary, REML + Wald CI",4,MD (mg IV MME),-13.995275,-26.63501,-1.3555398,.029994804,156.88228,98.590675,,REML + Wald (z),Estimator/CI sensitivity. Wald intervals are anticonservative at k=4; the pre-specified primary remains Hartung-Knapp.
Sensitivity (v33),V33_SENS_C2_DL_KH,Cumulative 0-24 h postoperative opioid consumption,"S0 primary, DerSimonian-Laird + Hartung-Knapp",4,MD (mg IV MME),-14.024369,-34.189251,6.1405115,.11374643,171.85219,98.711861,,DerSimonian-Laird + Hartung-Knapp,Estimator/CI sensitivity.
