screening_sequence,covidence_number,title,first_author,publication_year,language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,evidence_supporting_decision,concise_private_rationale,confidence_high_medium_low,protocol_or_results,general_anaesthesia_yes_no_unclear,randomized_yes_no_unclear,cointerventions_balanced_yes_no_unclear,intervention_effect_separable_yes_no_unclear,timing_eligible_yes_no_unclear,translation_required_yes_no,possible_companion_report_yes_no,timestamp,interface_issue,notes
11,140,Umbilical acupuncture combined with warm needle acupuncture for the treatment of residual numbness after lumbar disc herniation surgery: a protocol of a randomized controlled trial.,Song,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The report describes a planned trial of warm needling plus acupuncture versus EA for residual symptoms after lumbar disc surgery.,Protocol without participant outcome results.,high,protocol,no,yes,no,no,no,no,no,2026-07-23T12:11:27.698Z,,ITMCTR2024000328
12,141,Effect of single or multi-period use of transcutaneous acupoint electrical stimulation on postoperative nausea and vomiting in patients undergoing gynecological laparoscopic surgery: a prospective randomized double-blind trial.,Jin,2025,English,yes,Yes,INCLUDE_CLEAR,Randomized gynecologic laparoscopy trial compares perioperative TEAS timing groups with a non-stimulation control and reports PONV.,"Eligible TEAS, independent comparison, and clinical perioperative results are supported.",high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,ChiCTR2200065802
13,142,Timing of transcutaneous acupoint electrical stimulation for postoperative recovery in geriatric patients with gastrointestinal tumors: study protocol for a randomized controlled trial.,Yin,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The report is a protocol evaluating TEAS timing in older patients undergoing gastrointestinal tumor resection.,Protocol without participant outcome results.,high,protocol,yes,yes,unclear,unclear,yes,no,no,2026-07-23T12:11:27.698Z,,NCT05482477
14,143,Safety and Effectiveness of Electroacupuncture During Colon Endoscopic Submucosal Dissection: A Randomized Controlled Trial.,Zhang,2025,English,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,Colon endoscopic submucosal dissection is described as painless endoscopy with propofol sedation.,The procedure is performed with sedation rather than general anaesthesia.,high,results,no,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
15,144,[Effect of transcutaneous auricular vagus nerve stimulation combined with patient-controlled intravenous analgesia on postoperative pain in patients with total knee arthroplasty].,Huang,2025,English,yes,No,EXCLUDE_WRONG_INTERVENTION,The intervention is transcutaneous auricular vagus nerve stimulation after total knee arthroplasty.,Auricular stimulation is outside the eligible body-acupoint TEAS definition.,high,results,unclear,yes,yes,yes,unclear,no,no,2026-07-23T12:11:27.698Z,,
16,146,Effects of non-pharmacological interventions on anxiety in patients undergoing colonoscopy: A network meta-analysis of randomized controlled trials.,Chen,2025,English,yes,No,EXCLUDE_PUBLICATION_TYPE,The title and abstract identify a network meta-analysis rather than a primary randomized trial report.,Secondary evidence synthesis is ineligible.,high,results,unclear,no,unclear,unclear,unclear,no,no,2026-07-23T12:11:27.698Z,,
17,147,"Effect of electroacupuncture on the incidence of acute stroke after embolisation of intracranial aneurysm: study protocol for a single-centre, double-blinded, randomised controlled trial.",Zhao,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The report describes a planned preoperative EA trial for intracranial aneurysm embolization without participant results.,Protocol without participant outcome results.,high,protocol,unclear,yes,unclear,unclear,yes,no,no,2026-07-23T12:11:27.698Z,,ChiCTR2300076960
18,149,Electroacupuncture Reduces Duration of Postoperative Ileus After Laparoscopic Gastrectomy for Gastric Cancer: A Multicenter Randomized Trial.,Pei,2025,English,yes,Yes,INCLUDE_CLEAR,Multicenter randomized EA versus sham versus standard-care trial after laparoscopic gastrectomy reports gastrointestinal recovery outcomes.,"Eligible EA, separable comparisons, early postoperative timing, and clinical outcomes are supported.",high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,ChiCTR2100050660
19,150,[Clinical study on transcutaneous electrical acupoint stimulation combined with skin sympathetic response to evaluate autonomic nerve preservation after laparoscopic radical gastrectomy].,Ding,2025,English,yes,No,EXCLUDE_NON_RANDOMIZED,The abstract explicitly identifies a retrospective cohort study.,Observational design rather than an RCT.,high,results,unclear,no,unclear,unclear,unclear,no,no,2026-07-23T12:11:27.698Z,,
20,151,"[Effect of electroacupuncture at ""Baihui"" (GV20) and ""Shenting"" (GV24) on cognitive impairment and mitochondrial energy metabolism in vascular dementia rats].",Jia,2025,English,yes,No,EXCLUDE_ANIMAL,The experiment is conducted in rats with vascular dementia.,Non-human study.,high,results,unclear,unclear,unclear,unclear,unclear,no,no,2026-07-23T12:11:27.698Z,,
21,152,Transcutaneous Electrical Acupoint Stimulation Improves Postoperative Nutrition and Promotes Early Recovery of Gastrointestinal Function in Patients with Colorectal Cancer.,Li,2025,English,yes,Yes,INCLUDE_CLEAR,Patients under elective general anaesthesia are randomized to TEAS or sham during laparoscopic colorectal surgery with recovery outcomes.,All core title-and-abstract eligibility elements are explicit.,high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
22,153,Effect of electroacupuncture on pain after periodontal flap surgery: a randomized controlled trial.,Bulut,2025,English,yes,No,EXCLUDE_NO_GENERAL_ANAESTHESIA,"The intervention is studied during periodontal flap surgery, a dental procedure strongly indicating local rather than general anaesthesia.",General anaesthesia is strongly unsupported for this procedure.,high,results,no,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
23,154,"Effect of Magnetic Ball Pressing Combined With TEAS on Postoperative Nausea, Pain, Comfort, and Satisfaction in Patients Undergoing Gynecological Laparoscopic Surgery: A Randomized Controlled Trial.",Wang,2025,English,yes,No,EXCLUDE_INSEPARABLE_INTERVENTION,The treatment arm combines magnetic-ball acupoint pressing with TEAS and is compared with acupressure and no intervention.,The independent effect of TEAS cannot be separated from the explicitly unequal cointervention.,high,results,yes,yes,no,no,yes,no,no,2026-07-23T12:11:27.698Z,,
24,155,[Effect of transcutaneous electrical acupoint stimulation on postoperative pain in patients undergoing modified radical mastectomy for breast cancer].,Yan,2025,English,yes,Yes,INCLUDE_CLEAR,Patients undergoing modified mastectomy under general anaesthesia are randomized to TEAS or sham with postoperative pain outcomes.,All core eligibility elements are explicit.,high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
25,159,Does perioperative electroacupuncture reduce postoperative pain in dogs undergoing ovariohysterectomy?,Iwe,2025,English,yes,No,EXCLUDE_ANIMAL,The study population is dogs.,Non-human study.,high,results,unclear,unclear,unclear,unclear,unclear,no,no,2026-07-23T12:11:27.698Z,,
26,161,"Effect of electroacupuncture on discomfort in patients undergoing colonoscopy: protocol for a multicentre, randomised, controlled clinical trial.",Sun,2024,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The report is a protocol for an EA study during colonoscopy and contains no participant results.,Protocol without participant outcome results.,high,protocol,no,yes,unclear,unclear,yes,no,no,2026-07-23T12:11:27.698Z,,ChiCTR2300073485
27,162,Combination Treatment with Thread-Embedding Acupuncture and Electroacupuncture for Knee Osteoarthritis Patients with Postoperative Pain: A Randomized Controlled Feasibility Study.,Lee,2025,English,yes,No,EXCLUDE_TIMING,EA is initiated for persistent postoperative knee pain during post-acute rehabilitation after surgery.,Treatment begins outside the required first 24 postoperative hours.,high,results,unclear,yes,yes,yes,no,no,no,2026-07-23T12:11:27.698Z,,
28,165,[Effect of electroacupuncture on denervated skeletal muscle atrophy in rats based on p38 MAPK signaling pathway].,Qiu,2025,English,yes,No,EXCLUDE_ANIMAL,The experiment is conducted in rats.,Non-human study.,high,results,unclear,unclear,unclear,unclear,unclear,no,no,2026-07-23T12:11:27.698Z,,
29,167,Efficacy of wearable transcutaneous electrical acupoint stimulation bracelet on moderate-to-severe postoperative nausea and vomiting in patients after general anesthesia: a study protocol for a multicenter randomized controlled trial.,Ding,2024,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The report is a protocol for a TEAS-bracelet trial without participant outcomes.,Protocol without participant outcome results.,high,protocol,unclear,yes,unclear,unclear,unclear,no,no,2026-07-23T12:11:27.698Z,,ChiCTR2400084329
30,168,Effects of Transcutaneous Electrical Acupoint Stimulation on the Incidence of Hypoxia in Elderly Patients Undergoing Painless Gastrointestinal Endoscopy: A Randomized Controlled Trial.,Zhou,2024,English,yes,No,EXCLUDE_NON_SURGICAL,The intervention is evaluated during painless gastrointestinal endoscopy rather than operative surgery.,Non-operative endoscopic setting is outside scope.,high,results,no,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
31,169,"Effect of electroacupuncture versus sham electroacupuncture on postoperative ileus after laparoscopic surgery for left-sided colorectal cancer: study protocol for a multicentre, randomised, sham-controlled trial.",Zhou,2024,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The report is a protocol for an EA trial in colorectal surgery without participant outcomes.,Protocol without participant outcome results.,high,protocol,yes,yes,unclear,unclear,yes,no,no,2026-07-23T12:11:27.698Z,,ChiCTR2400079645
32,170,[Effect of percutaneous acupoint electrical stimulation on immune function and postoperative recovery in patients with total knee arthroplasty].,Lu,2024,English,yes,No,EXCLUDE_NON_RANDOMIZED,Patients receiving TEAS or sham after knee arthroplasty were divided according to treatment methods; random allocation is not reported.,The complete abstract strongly indicates a non-random allocation and also leaves anaesthesia type unclear.,medium,results,unclear,no,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
33,172,"[Mechanism of electroacupuncture at ""Zusanli"" (ST36) in improving cardiac function in mice with chronic heart failure].",Wang,2024,English,yes,No,EXCLUDE_ANIMAL,The experiment is conducted in mice.,Non-human study.,high,results,unclear,unclear,unclear,unclear,unclear,no,no,2026-07-23T12:11:27.698Z,,
34,174,[Effect of electroacupuncture pretreatment on the quality of recovery in the patients undergoing laparoscopic gastrointestinal surgery].,Zhou,2024,English,yes,Yes,INCLUDE_CLEAR,Patients undergoing laparoscopic gastrointestinal surgery under general anaesthesia are randomly assigned to EA or control with recovery outcomes.,All core eligibility elements are explicit.,high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
35,175,Electroacupuncture promotes gastrointestinal functional recovery after radical colorectal cancer surgery: a protocol of multicenter randomized controlled trial (CORRECT trial).,Sun,2024,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The CORRECT trial report is explicitly a protocol and describes planned methods without participant results.,Protocol without participant outcome results.,high,protocol,yes,yes,unclear,unclear,yes,no,no,2026-07-23T12:11:27.698Z,,CORRECT; NCT06128785
36,176,"A Randomized Controlled Trial Assessing the Impact of Transcutaneous Electrical Acupoint Stimulation on Gastrointestinal Motility, Nutritional Status, and Immune Function in Patients Following Cerebrovascular Accident Surgery.",Chen,2024,English,yes,Maybe,UNCERTAIN_TIMING,"Randomized early TEAS after cerebrovascular surgery in intensive care is reported, but the abstract does not establish that stimulation begins by 24 postoperative hours.","Eligibility is realistic, but the timing threshold needs full-text confirmation.",medium,results,yes,yes,yes,yes,unclear,no,no,2026-07-23T12:11:27.698Z,,
37,177,Effect of electroacupuncture on internal carotid artery blood flow in patients undergoing laparoscopic gallbladder surgery: A randomized clinical trial.,Hu,2024,English,yes,No,EXCLUDE_NO_ELIGIBLE_OUTCOME,Randomized perioperative EA during laparoscopic cholecystectomy reports only carotid flow and intraoperative physiological measures.,No eligible clinical perioperative outcome is reported or realistically indicated.,high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
38,178,Effect of transcutaneous electrical acupoint stimulation in heart rate variability in post-on-call trainees.,Low,2024,English,yes,No,EXCLUDE_NON_SURGICAL,TEAS is tested in anaesthesia trainees after an on-call shift in a cross-sectional study.,Non-surgical population and setting.,high,results,no,no,unclear,unclear,no,no,no,2026-07-23T12:11:27.698Z,,
39,179,[Effects of electroacupuncture at auricular points on excitability of glutamatergic neurons in the anterior cingulate cortex of posttraumatic stress disorder mice].,Zuo,2024,English,yes,No,EXCLUDE_ANIMAL,The experiment concerns PTSD in mice and uses auricular EA.,Non-human study.,high,results,unclear,unclear,unclear,unclear,unclear,no,no,2026-07-23T12:11:27.698Z,,
40,183,Electroacupuncture Protocol for Sensory and Motor Function Recovery After Orthognathic Surgery: a Randomized Clinical Trial.,Spinato,2024,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The title identifies an orthognathic-surgery protocol and the abstract describes future study procedures without results.,Protocol without participant outcome results.,high,protocol,yes,yes,unclear,unclear,yes,no,no,2026-07-23T12:11:27.698Z,,
41,185,[Comparison of the clinical efficacy on chronic abdominal wall pain between trigger-point electroacupuncture and transversus abdominis plane block].,Shen,2024,English,yes,No,EXCLUDE_NON_SURGICAL,"Trigger-point EA is compared with TAP block for chronic abdominal wall pain, outside a perioperative operative episode.",Chronic non-operative pain treatment is outside scope.,high,results,no,yes,yes,yes,no,no,no,2026-07-23T12:11:27.698Z,,
42,186,"[Effect of electroacupuncture at ""Baihui"" (GV20) and ""Zusanli"" (ST36) on angiogenesis in the brain of middle cerebral artery occlusion rats based on HIF/VEGF/Notch signaling pathway].",Yang,2024,English,yes,No,EXCLUDE_ANIMAL,The experiment studies EA after induced cerebral ischemia in rats.,Non-human study.,high,results,unclear,unclear,unclear,unclear,unclear,no,no,2026-07-23T12:11:27.698Z,,
43,188,A prospective cohort study comparing monitored anesthesia care and intubated general anesthesia in cardiac surgery involving cardiopulmonary bypass.,Chen,2024,English,yes,No,EXCLUDE_NON_RANDOMIZED,The abstract explicitly describes a prospective observational cohort comparing monitored anaesthesia care with intubated general anaesthesia.,Non-randomized cohort; EA is also bundled with a different anaesthetic strategy.,high,results,yes,no,no,no,yes,no,no,2026-07-23T12:11:27.698Z,,
44,189,[Mechanism of analgesic effect of electroacupuncture on rats with cervical spondylosis radiculopathy based on activation of astrocytes and HMGB1/TLR4/MyD88 signaling pathway].,Guo,2024,English,yes,No,EXCLUDE_ANIMAL,The experiment evaluates EA in rats with cervical spondylosis radiculopathy.,Non-human study.,high,results,unclear,unclear,unclear,unclear,unclear,no,no,2026-07-23T12:11:27.698Z,,
45,190,[Effect of transcutaneous electrical acupoint stimulation on postoperative recovery quality in patients undergoing endoscopic sinus surgery: a randomized controlled trial].,Zhao,2024,English,yes,Yes,INCLUDE_CLEAR,"Randomized TEAS versus sham from before anaesthesia induction through endoscopic sinus surgery with recovery, pain, PONV, and extubation outcomes.","Eligible perioperative TEAS, sham comparison, and clinical postoperative results are clearly supported.",high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
46,192,Acustimulation combined with pharmacological prophylaxis versus pharmacological prophylaxis alone in postoperative nausea and vomiting (PONV) prophylaxis among patients undergoing laparoscopy abdominal surgery: a research protocol for a randomised control,Chen,2024,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,The abstract explicitly presents a planned randomized acustimulation trial and provides registration NCT06241547 without results.,Protocol without participant outcome results.,high,protocol,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,NCT06241547
47,193,"Effect of Electroacupuncture Added to ERAS on Perioperative Parameters and Postoperative Quality of Life in Breast Cancer: A Single-Center, Randomized Controlled Trial.",Tong,2024,English,yes,Yes,INCLUDE_CLEAR,Randomized breast-cancer surgery trial evaluates preoperative and intraoperative electroacupuncture with conventional-care comparison and postoperative recovery outcomes.,The title identifies EA and the independent perioperative effect is estimable; general anaesthesia is strongly supported by extubation outcomes.,high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,ChiCTR1800019979
48,194,Analysis of rehabilitation effect of electroacupuncture for patients after total knee arthroplasty.,Song,2024,English,yes,No,EXCLUDE_TIMING,EA after total knee arthroplasty begins on postoperative day 3.,No eligible stimulation session occurs by the end of the first 24 postoperative hours.,high,results,unclear,yes,yes,yes,no,no,no,2026-07-23T12:11:27.698Z,,
49,195,Transcutaneous Pericardium 6 Acupoint Electrical Stimulation Provides Comparable Antiemetic Effect to Granisetron When Combined With Dexamethasone in Patients Undergoing Breast Cancer Surgery.,Luo,2024,English,yes,Yes,INCLUDE_CLEAR,Patients undergoing mastectomy under general anaesthesia are randomized to perioperative P6 electrical stimulation or drug-control regimens with PONV outcomes.,Recognized-acupoint transcutaneous electrical stimulation has an independently estimable comparison and eligible timing.,high,results,yes,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
50,196,Electroacupuncture combined with extracorporeal shock wave lithotripsy is beneficial for the expulsion of ureteral calculi: a prospective randomized trial.,Zhang,2024,English,yes,No,EXCLUDE_NON_SURGICAL,EA is combined with extracorporeal shock-wave lithotripsy for ureteral calculi; operative surgery under general anaesthesia is not described.,The intervention occurs with a non-operative lithotripsy procedure outside the required surgical setting.,high,results,no,yes,yes,yes,yes,no,no,2026-07-23T12:11:27.698Z,,
