Assessment_File,Study_Citation,Source_PDF,Trial_Registration,Assessed_Outcome,Timepoint,Domain_1_Randomization,Domain_2_Deviations,Domain_3_Missing_Data,Domain_4_Measurement,Domain_5_Selection,Overall_RoB,Structured_Extraction_JSON
RoB2_Gu_2019_TimeFlatus_POD1to4.md,"Gu Y, Chen Y, Wang Z, et al. Effects of transcutaneous electrical acupoint stimulation on gastrointestinal function recovery after laparoscopic radical gastrectomy: A randomized controlled trial. European Journal of Integrative Medicine. 2019;26:11–17.",covidence_1471_full_article.pdf,None reported,Time to First Postoperative Flatus,Postoperative Day 1 to Day 4,Low,Some concerns,Low,Low,Some concerns,SOME CONCERNS,"{   ""study_id"": ""Gu_2019"",   ""source_file"": ""covidence_1471_full_article.pdf"",   ""trial_registration"": ""None reported"",   ""outcome"": ""Time to first flatus"",   ""timepoint"": ""Postoperative Day 1 to Day 4"",   ""sample_size"": {     ""teas_mixed"": 40,     ""teas_low"": 40,     ""sham"": 40,     ""total"": 120   },   ""result"": {     ""teas_mixed_mean"": 58.2,     ""teas_mixed_sd"": 9.4,     ""sham_mean"": 73.5,     ""sham_sd"": 11.2,     ""p_value"": ""<0.01""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Guo_2023_TimeFlatus_POD1to3.md,"Guo J, Li N, Wang J, et al. Effects of transcutaneous electrical acupoint stimulation on postoperative recovery after laparoscopic bariatric surgery: A randomized controlled trial. Heliyon. 2023;9(9):e19386.",006_guo_2023.pdf,Chinese Clinical Trial Registry ChiCTR2000035552,Time to First Postoperative Flatus,Postoperative Day 1 to Day 3,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Guo_2023"",   ""source_file"": ""006_guo_2023.pdf"",   ""trial_registration"": ""ChiCTR2000035552"",   ""outcome"": ""Time to first flatus"",   ""timepoint"": ""Postoperative Day 1 to Day 3"",   ""sample_size"": {     ""teas"": 64,     ""sham"": 64,     ""total"": 128   },   ""result"": {     ""teas_mean"": 28.4,     ""teas_sd"": 6.2,     ""sham_mean"": 36.8,     ""sham_sd"": 7.9,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_He_2026_JIS_TimeFlatus_POD1to3.md,"He L, Chen M, Wang J, et al. Acupoint Stimulation After Anesthesia Induction Promotes Gastrointestinal Recovery in Colorectal Surgery: A Randomized Controlled Trial. Journal of Investigative Surgery. 2026;39(1):2653912.",covidence_25_verified.pdf,ClinicalTrials.gov NCT05396716,Time to First Postoperative Flatus,Postoperative Day 1 to Day 3,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""He_2026_JIS"",   ""source_file"": ""covidence_25_verified.pdf"",   ""trial_registration"": ""NCT05396716"",   ""outcome"": ""Time to first flatus"",   ""timepoint"": ""Postoperative Day 1 to Day 3"",   ""sample_size"": {     ""teas"": 79,     ""sham"": 79,     ""total"": 158   },   ""result"": {     ""teas_mean"": 44.8,     ""teas_sd"": 9.8,     ""sham_mean"": 56.2,     ""sham_sd"": 12.1,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Low"" }"
RoB2_He_2026_WJCO_PainIntensity_24h.md,"He L, Chen M, Liu Y, et al. Efficacy of transcutaneous electrical acupoint stimulation on postoperative immune function and analgesia in cancer surgery: A randomized controlled trial. World Journal of Clinical Oncology. 2026;17(2):114431.",covidence_41_verified.pdf,None reported,Postoperative Pain Intensity at Rest (VAS 0–10),24 hours postoperatively,Low,Some concerns,Low,Low,Some concerns,SOME CONCERNS,"{   ""study_id"": ""He_2026_WJCO"",   ""source_file"": ""covidence_41_verified.pdf"",   ""trial_registration"": ""None reported"",   ""outcome"": ""Pain intensity at rest (VAS)"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 65,     ""sham"": 65,     ""total"": 130   },   ""result"": {     ""teas_mean"": 2.2,     ""teas_sd"": 0.6,     ""sham_mean"": 3.6,     ""sham_sd"": 0.8,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Hou_2023_SufentanilConsumption_24h.md,"Hou L, Zhang X, Zhou C, et al. Effects of electroacupuncture on postoperative pain and recovery after gynecological laparoscopic surgery: A randomized controlled trial. Heliyon. 2023;9(3):e14423.",007_hou_2023.pdf,Chinese Clinical Trial Registry ChiCTR2000029891,Cumulative Sufentanil Consumption,24 hours postoperatively,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Hou_2023"",   ""source_file"": ""007_hou_2023.pdf"",   ""trial_registration"": ""ChiCTR2000029891"",   ""outcome"": ""Cumulative sufentanil consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""ea"": 93,     ""sham"": 93,     ""total"": 186   },   ""result"": {     ""ea_mean"": 42.6,     ""ea_sd"": 6.8,     ""sham_mean"": 56.4,     ""sham_sd"": 8.2,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Low"" }"
RoB2_Huang_2025_SufentanilConsumption_24h.md,"Huang S, Chen M, Liu Y, et al. Transcutaneous electrical acupoint stimulation combined with multimodal analgesia for laparoscopic colorectal resection: A randomized controlled trial. American Journal of Translational Research. 2025;17(4):2743–2753.",covidence_131_verified.pdf,None reported,Cumulative Sufentanil Consumption,24 hours postoperatively,Low,Some concerns,Low,Low,Some concerns,SOME CONCERNS,"{   ""study_id"": ""Huang_2025"",   ""source_file"": ""covidence_131_verified.pdf"",   ""trial_registration"": ""None reported"",   ""outcome"": ""Cumulative sufentanil consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 43,     ""sham"": 43,     ""control"": 43,     ""total"": 129   },   ""result"": {     ""teas_mean"": 32.4,     ""teas_sd"": 5.8,     ""sham_mean"": 44.6,     ""sham_sd"": 6.9,     ""control_mean"": 58.2,     ""control_sd"": 8.1,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Jiang_2026_TimeFlatus_POD1to3.md,"Jiang X, Zhang Y, et al. Transcutaneous electrical acupoint stimulation accelerates postoperative gastrointestinal function recovery in patients undergoing non-gastrointestinal laparoscopic surgery: a randomized controlled trial. *Complementary Therapies in Clinical Practice*. 2026;64:101890.",study_4_Jiang_2026.pdf,ClinicalTrials.gov NCT03724656,Time to First Postoperative Flatus (hours),Postoperative follow-up (0-72 hours),Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Jiang_2026"",   ""source_file"": ""study_4_Jiang_2026.pdf"",   ""trial_registration"": ""NCT03724656"",   ""outcome"": ""Time to First Postoperative Flatus (hours)"",   ""timepoint"": ""0-72 hours postoperative"",   ""sample_size"": {""teas"": 294, ""sham"": 293, ""total"": 587},   ""result"": {""teas_median"": 21.5, ""teas_iqr"": ""19.0-23.5"", ""sham_median"": 27.0, ""sham_iqr"": ""23.5-30.0"", ""p_value"": ""<0.001""},   ""overall_rob"": ""Low"" }"
RoB2_Jin_2022_MorphineConsumption_24h.md,"Jin S, Chen X, Wang Y, et al. Effect of transcutaneous electrical acupoint stimulation on postoperative analgesia and recovery in elderly patients: A randomized controlled trial. Acupuncture in Medicine. 2022;40(5):415–424.",covidence_381_full_article.pdf,Chinese Clinical Trial Registry ChiCTR-INR-16010035,Cumulative Morphine Consumption,24 hours postoperatively,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Jin_2022"",   ""source_file"": ""covidence_381_full_article.pdf"",   ""trial_registration"": ""ChiCTR-INR-16010035"",   ""outcome"": ""Cumulative morphine consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""teas"": 52,     ""sham"": 51,     ""total"": 103   },   ""result"": {     ""teas_mean"": 19.8,     ""teas_sd"": 5.2,     ""sham_mean"": 31.4,     ""sham_sd"": 7.6,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Jin_2023_AnalgesicPumpCompressions_48h.md,"Jin Y, Huang S, Chen M, et al. Efficacy of electroacupuncture combined with intravenous patient-controlled analgesia after cesarean section: a randomized controlled trial. American Journal of Obstetrics and Gynecology MFM. 2023;5(8):101037.",009_jin_2023.pdf,ClinicalTrials.gov NCT04879212,Cumulative Number of Patient-Controlled Intravenous Analgesia (PCIA) Pump Compressions,0 to 48 hours postoperatively,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Jin_2023"",   ""source_file"": ""009_jin_2023.pdf"",   ""trial_registration"": ""NCT04879212"",   ""outcome"": ""PCIA pump compressions"",   ""timepoint"": ""48 hours postoperative"",   ""sample_size"": {     ""ea"": 87,     ""sham"": 87,     ""total"": 174   },   ""result"": {     ""ea_median"": 12.0,     ""sham_median"": 20.0,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Low"" }"
RoB2_Lee_2011_MorphineConsumption_24h.md,"Lee D, et al. Needle-Free Electroacupuncture for Postoperative Pain Management: A Double-Blind, Sham and Different Intervention Controlled Clinical Experimental Design. *Evidence-Based Complementary and Alternative Medicine*. 2011;2011:696754.",049_lee_2011.pdf,Not reported / omitted in text,Total Postoperative PCA Morphine Doses,24 hours postoperatively,Low,Low,Low,Low,Some Concerns,SOME CONCERNS,"{   ""study_id"": ""Lee_2011"",   ""source_file"": ""049_lee_2011.pdf"",   ""outcome"": ""Total Postoperative PCA Morphine Doses"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {""group_1"": 13, ""group_2"": 12, ""group_3"": 12, ""group_4"": 10, ""total"": 47},   ""result"": {""control_mean"": 15.58, ""control_sd"": 7.91, ""sham_mean"": 14.58, ""sham_sd"": 7.27, ""high_ea_mean"": 6.92, ""high_ea_sd"": 3.82, ""low_ea_mean"": 11.00, ""low_ea_sd"": 6.09, ""p_value"": 0.008},   ""overall_rob"": ""Some concerns"" }"
RoB2_Li_2021_TimeFlatus_POD1to4.md,"Li W, Xu Y, Yang X, et al. Perioperative transcutaneous electrical acupoint stimulation for improving postoperative gastrointestinal function: A randomized controlled trial. Journal of Integrative Medicine. 2021;19(3):211–218.",covidence_437_full_article.pdf,Chinese Clinical Trial Registry ChiCTR1900023263,Time to First Postoperative Flatus,Postoperative Day 1 to Day 4,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Li_2021"",   ""source_file"": ""covidence_437_full_article.pdf"",   ""trial_registration"": ""ChiCTR1900023263"",   ""outcome"": ""Time to first flatus (hours)"",   ""timepoint"": ""Postoperative Day 1 to Day 4"",   ""sample_size"": {     ""teas"": 60,     ""sham"": 60,     ""total"": 120   },   ""result"": {     ""teas_mean"": 58.4,     ""teas_sd"": 14.2,     ""sham_mean"": 72.8,     ""sham_sd"": 16.5,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Li_2022_MechanicalPainThreshold_24h.md,"Li S, Hu C, Zhu J, et al. Effects of Preoperative Electroacupuncture on Remifentanil-Induced Post-Infusion Hyperalgesia in Patients Undergoing Thyroidectomy: A Double-Blind Randomized Controlled Trial. Journal of Pain Research. 2022;15:1581–1590.",getfile.php.pdf,Chinese Clinical Trial Registry ChiCTR2100050235,Mechanical Pain Threshold Surrounding the Incision,24 hours postoperatively,Low,Some concerns,Low,Low,Some concerns,SOME CONCERNS,"{   ""study_id"": ""Li_2022"",   ""source_file"": ""getfile.php.pdf"",   ""trial_registration"": ""ChiCTR2100050235"",   ""outcome"": ""Mechanical pain threshold surrounding incision"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {     ""ea"": 40,     ""sham"": 39,     ""total"": 79   },   ""result"": {     ""ea_mean"": 4.88,     ""ea_sd"": 0.62,     ""sham_mean"": 3.42,     ""sham_sd"": 0.58,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Liang_2021_IncidenceCRBD_6h.md,"Liang F, Liu S, Yang Y, et al. The Effect of Transcutaneous Electrical Acupoint Stimulation on Catheter-Related Bladder Discomfort in Patients Undergoing Transurethral Resection of the Prostate: A Prospective, Randomized, Double-Blind, Sham-Controlled Study. Pain Research and Management. 2021;2021:6654271.",014_liang_2021.pdf,Chinese Clinical Trial Registry ChiCTR1800019951,Incidence of Catheter-Related Bladder Discomfort (CRBD),6 hours postoperatively,Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Liang_2021"",   ""source_file"": ""014_liang_2021.pdf"",   ""trial_registration"": ""ChiCTR1800019951"",   ""outcome"": ""Incidence of CRBD"",   ""timepoint"": ""6 hours postoperative"",   ""sample_size"": {     ""teas"": 35,     ""sham"": 35,     ""total"": 70   },   ""result"": {     ""teas_events"": 11,     ""sham_events"": 22,     ""teas_pct"": 31.4,     ""sham_pct"": 62.9,     ""p_value"": 0.008   },   ""overall_rob"": ""Low"" }"
RoB2_Lin_2002_MorphineConsumption_24h.md,"Lin JG, Lo MW, Wen YR, Hsieh CL, Tsai SK, Sun WZ. The effect of high and low frequency electroacupuncture in pain after lower abdominal surgery. *Pain*. 2002;99(3):509–514.",covidence_951_lin_2002.pdf,Not reported / omitted in text,Cumulative Postoperative PCA Morphine Consumption,24 hours postoperatively,Some Concerns,Low,Low,Low,Some Concerns,SOME CONCERNS,"{   ""study_id"": ""Lin_2002"",   ""source_file"": ""covidence_951_lin_2002.pdf"",   ""outcome"": ""Cumulative Postoperative PCA Morphine Consumption"",   ""timepoint"": ""24 hours postoperative"",   ""sample_size"": {""control"": 25, ""sham_ea"": 25, ""low_ea"": 25, ""high_ea"": 25, ""total"": 100},   ""result"": {""control_mean"": 54.3, ""control_sd"": 19.8, ""sham_mean"": 42.8, ""sham_sd"": 16.4, ""low_mean"": 31.0, ""low_sd"": 15.1, ""high_mean"": 21.2, ""high_sd"": 13.5, ""p_value"": ""<0.001""},   ""overall_rob"": ""Some concerns"" }"
RoB2_Liu_2021_CognitiveDecline_POD7.md,"Liu H, Zhao M, Gao X, et al. Effects of Transcutaneous Electrical Acupoint Stimulation on Postoperative Cognitive Decline in Elderly Patients Undergoing Laparoscopic Colorectal Surgery: A Randomized Controlled Trial. Journal of Pain Research. 2021;14:3125–3136.",getfile.php-2.pdf,Chinese Clinical Trial Registry ChiCTR2000040397,Incidence of Postoperative Cognitive Decline (POCD),Postoperative Day 7 (POD 7),Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Liu_2021_Cognitive"",   ""source_file"": ""getfile.php-2.pdf"",   ""trial_registration"": ""ChiCTR2000040397"",   ""outcome"": ""Incidence of POCD"",   ""timepoint"": ""Postoperative Day 7 (POD 7)"",   ""sample_size"": {     ""teas"": 55,     ""control"": 55,     ""total"": 110   },   ""result"": {     ""teas_events"": 6,     ""control_events"": 15,     ""teas_pct"": 10.9,     ""control_pct"": 27.3,     ""p_value"": 0.028   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Liu_2024_TimeFlatus_POD1to3.md,"Liu W, Wang J, Zhang L, et al. Transcutaneous electrical acupoint stimulation for gastrointestinal recovery after laparoscopic colorectal surgery: A randomized controlled trial. Acupuncture in Medicine. 2024;42(4):183–193.",covidence_245_full_article.pdf,Chinese Clinical Trial Registry ChiCTR1800020297,Time to First Postoperative Flatus,Postoperative Day 1 to Day 3,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Liu_2024"",   ""source_file"": ""covidence_245_full_article.pdf"",   ""trial_registration"": ""ChiCTR1800020297"",   ""outcome"": ""Time to first flatus"",   ""timepoint"": ""Postoperative Day 1 to Day 3"",   ""sample_size"": {     ""teas"": 57,     ""sham"": 57,     ""total"": 114   },   ""result"": {     ""teas_mean"": 48.6,     ""teas_sd"": 11.2,     ""sham_mean"": 61.4,     ""sham_sd"": 13.5,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Some concerns"" }"
RoB2_Liu_2025_SleepQualityEfficiency_POD1.md,"Liu T, Zhang X, Zhou C, et al. Effects of electroacupuncture on supraventricular arrhythmia and sleep quality in patients undergoing thoracoscopic lung surgery: A randomized controlled trial. Frontiers in Neurology. 2025;16:1394208.",pdf.pdf,Chinese Clinical Trial Registry ChiCTR2300077984,"Subjective Sleep Efficiency (Athens Insomnia Scale, AIS)",Postoperative Day 1 (POD 1),Low,Low,Low,Low,Low,LOW,"{   ""study_id"": ""Liu_2025_Sleep"",   ""source_file"": ""pdf.pdf"",   ""trial_registration"": ""ChiCTR2300077984"",   ""outcome"": ""Athens Insomnia Scale score"",   ""timepoint"": ""Postoperative Day 1 (POD 1)"",   ""sample_size"": {     ""ea"": 60,     ""sham"": 60,     ""total"": 120   },   ""result"": {     ""ea_mean"": 5.8,     ""ea_sd"": 1.6,     ""sham_mean"": 8.9,     ""sham_sd"": 2.1,     ""p_value"": ""<0.001""   },   ""overall_rob"": ""Low"" }"
RoB2_Liu_2026_ModerateToSeverePain_24h.md,"Liu S, Zhang M, Wang T, et al. Effects of Transcutaneous Electrical Acupoint Stimulation on Postoperative Pain and Recovery After Endoscopic Submucosal Dissection: A Randomized Controlled Trial. Chinese Journal of Integrative Medicine. 2026;32(8):720–727.",covidence_69_full_article.pdf,Chinese Clinical Trial Registry ChiCTR2100052837,Incidence of Moderate-to-Severe Pain (NRS >= 4),0 to 24 hours postoperatively,Low,Some concerns,Low,Low,Low,SOME CONCERNS,"{   ""study_id"": ""Liu_2026_ESD"",   ""source_file"": ""covidence_69_full_article.pdf"",   ""trial_registration"": ""ChiCTR2100052837"",   ""outcome"": ""Incidence of moderate-to-severe pain"",   ""timepoint"": ""0 to 24 hours postoperative"",   ""sample_size"": {     ""teas"": 64,     ""sham"": 65,     ""total"": 129   },   ""result"": {     ""teas_events"": 8,     ""sham_events"": 21,     ""teas_pct"": 12.5,     ""sham_pct"": 32.3,     ""p_value"": 0.007   },   ""overall_rob"": ""Some concerns"" }"
