number,key,verification,resolved_by,note,pmid,doi,authors,n_authors,title,journal,year,volume,issue,pages,elocation,publication_status,source,retrieved,vancouver
11,han2004,VERIFIED,PubMed PMID (from traceability record),,15135942,10.1016/j.neulet.2003.12.019,Han JS,1,Acupuncture and endorphins,Neurosci Lett,2004,361,1-3,258-61,,ppublish,PubMed,2026-09-24,Han JS. Acupuncture and endorphins. Neurosci Lett. 2004;361:258-61.
12,lin2022,VERIFIED,PubMed PMID (from traceability record),,35422904,,Lin JG; Kotha P; Chen YH,3,Understandings of acupuncture application and mechanisms,Am J Transl Res,2022,14,3,1469-1481,,epublish,PubMed,2026-09-24,"Lin JG, Kotha P, Chen YH. Understandings of acupuncture application and mechanisms. Am J Transl Res. 2022;14:1469-81."
13,wang2021,VERIFIED,PubMed search: Chin Med[ta] AND 2021[dp] AND 16[vi] AND 56[pg],,34281592,10.1186/s13020-021-00466-7,Wang J; Lu S; Yang F; Guo Y; Chen Z; Yu N; Yao L; Huang J; Fan W; Xu Z; Gong Y,11,The role of macrophage polarization and associated mechanisms in regulating the anti-inflammatory action of acupuncture: a literature review and perspectives,Chin Med,2021,16,1,56,,epublish,PubMed,2026-09-24,"Wang J, Lu S, Yang F, Guo Y, Chen Z, Yu N, et al. The role of macrophage polarization and associated mechanisms in regulating the anti-inflammatory action of acupuncture: a literature review and perspectives. Chin Med. 2021;16:56."
14,wu2016review,VERIFIED,PubMed search: e0150367[pg] AND PLoS One[ta] AND 2016[dp],,26959661,10.1371/journal.pone.0150367,Wu MS; Chen KH; Chen IF; Huang SK; Tzeng PC; Yeh ML; Lee FP; Lin JG; Chen C,9,The Efficacy of Acupuncture in Post-Operative Pain Management: A Systematic Review and Meta-Analysis,PLoS One,2016,11,3,e0150367,,epublish,PubMed,2026-09-24,"Wu MS, Chen KH, Chen IF, Huang SK, Tzeng PC, Yeh ML, et al. The Efficacy of Acupuncture in Post-Operative Pain Management: A Systematic Review and Meta-Analysis. PLoS One. 2016;11:e0150367."
15,liu2025review,VERIFIED,PubMed PMID (from traceability record),,39814622,10.1016/j.pmn.2024.12.014,Liu J; Li Y; Liu J; Zhang X,4,Efficacy of Acupuncture in Postoperative Pain-Relieving: A Systematic Review and Meta-Analysis,Pain Manag Nurs,2025,26,3,319-329,,ppublish,PubMed,2026-09-24,"Liu J, Li Y, Liu J, Zhang X. Efficacy of Acupuncture in Postoperative Pain-Relieving: A Systematic Review and Meta-Analysis. Pain Manag Nurs. 2025;26:319-29."
16,lu2023review,VERIFIED,PubMed PMID (from traceability record),,37256901,10.1371/journal.pone.0285943,Lu L; Xie C; Li X; Zhou Y; Yin Z; Wei P; Gao H; Wang J; Yong Y; Song J,10,Efficacy and safety of electrical acupoint stimulation for postoperative nausea and vomiting: A systematic review and meta-analysis,PLoS One,2023,18,5,e0285943,,epublish,PubMed,2026-09-24,"Lu L, Xie C, Li X, Zhou Y, Yin Z, Wei P, et al. Efficacy and safety of electrical acupoint stimulation for postoperative nausea and vomiting: A systematic review and meta-analysis. PLoS One. 2023;18:e0285943."
17,tahmasbi2025,VERIFIED,PubMed search: 10.1016/j.pmn.2024.12.005[aid],,39800631,10.1016/j.pmn.2024.12.005,Tahmasbi F; Sanaie S; Eslami S; Rahimi-Mamaghani A,4,Application of Transcutaneous Electrical Acupoint Stimulation (TEAS) for Management of Postoperative Pain After Gynecological Surgeries: A Meta-Analysis,Pain Manag Nurs,2025,26,1,111-124,,ppublish,PubMed,2026-09-24,"Tahmasbi F, Sanaie S, Eslami S, Rahimi-Mamaghani A. Application of Transcutaneous Electrical Acupoint Stimulation (TEAS) for Management of Postoperative Pain After Gynecological Surgeries: A Meta-Analysis. Pain Manag Nurs. 2025;26:111-24."
18,chu2026,VERIFIED,PubMed PMID (from traceability record),,41767528,10.3389/fmed.2026.1772210,Chu J; You J; Li R; Wu Z; Liu C; Tian C,6,"Effectiveness of transcutaneous electrical acupoint stimulation for postoperative nausea, vomiting and pain in cancer patients: a systematic review and meta-analysis of randomized controlled trials",Front Med (Lausanne),2026,13,,1772210,,epublish,PubMed,2026-09-24,"Chu J, You J, Li R, Wu Z, Liu C, Tian C. Effectiveness of transcutaneous electrical acupoint stimulation for postoperative nausea, vomiting and pain in cancer patients: a systematic review and meta-analysis of randomized controlled trials. Front Med (Lausanne). 2026;13:1772210."
19,laigaard2021,VERIFIED,PubMed PMID (from traceability record),,33678402,10.1016/j.bja.2021.01.021,Laigaard J; Pedersen C; Rønsbo TN; Mathiesen O; Karlsen APH,5,Minimal clinically important differences in randomised clinical trials on pain management after total hip and knee arthroplasty: a systematic review,Br J Anaesth,2021,126,5,1029-1037,,ppublish,PubMed,2026-09-24,"Laigaard J, Pedersen C, Rønsbo TN, Mathiesen O, Karlsen APH. Minimal clinically important differences in randomised clinical trials on pain management after total hip and knee arthroplasty: a systematic review. Br J Anaesth. 2021;126:1029-37."
20,myles2017,VERIFIED,PubMed PMID (from traceability record),,28186223,10.1093/bja/aew466,Myles PS; Myles DB; Galagher W; Boyd D; Chew C; MacDonald N; Dennis A,7,Measuring acute postoperative pain using the visual analog scale: the minimal clinically important difference and patient acceptable symptom state,Br J Anaesth,2017,118,3,424-429,,ppublish,PubMed,2026-09-24,"Myles PS, Myles DB, Galagher W, Boyd D, Chew C, MacDonald N, et al. Measuring acute postoperative pain using the visual analog scale: the minimal clinically important difference and patient acceptable symptom state. Br J Anaesth. 2017;118:424-9."
21,page2021statement,VERIFIED,PubMed search: BMJ[ta] AND 2021[dp] AND 372[vi] AND n71[pg],,33782057,10.1136/bmj.n71,Page MJ; McKenzie JE; Bossuyt PM; Boutron I; Hoffmann TC; Mulrow CD; Shamseer L; Tetzlaff JM; Akl EA; Brennan SE; Chou R; Glanville J; Grimshaw JM; Hróbjartsson A; Lalu MM; Li T; Loder EW; Mayo-Wilson E; McDonald S; McGuinness LA; Stewart LA; Thomas J; Tricco AC; Welch VA; Whiting P; Moher D,26,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,BMJ,2021,372,,n71,,epublish,PubMed,2026-09-24,"Page MJ, McKenzie JE, Bossuyt PM, Boutron I, Hoffmann TC, Mulrow CD, et al. The PRISMA 2020 statement: an updated guideline for reporting systematic reviews. BMJ. 2021;372:n71."
22,page2021ee,VERIFIED,PubMed search: BMJ[ta] AND 2021[dp] AND 372[vi] AND n160[pg],,33781993,10.1136/bmj.n160,Page MJ; Moher D; Bossuyt PM; Boutron I; Hoffmann TC; Mulrow CD; Shamseer L; Tetzlaff JM; Akl EA; Brennan SE; Chou R; Glanville J; Grimshaw JM; Hróbjartsson A; Lalu MM; Li T; Loder EW; Mayo-Wilson E; McDonald S; McGuinness LA; Stewart LA; Thomas J; Tricco AC; Welch VA; Whiting P; McKenzie JE,26,PRISMA 2020 explanation and elaboration: updated guidance and exemplars for reporting systematic reviews,BMJ,2021,372,,n160,,epublish,PubMed,2026-09-24,"Page MJ, Moher D, Bossuyt PM, Boutron I, Hoffmann TC, Mulrow CD, et al. PRISMA 2020 explanation and elaboration: updated guidance and exemplars for reporting systematic reviews. BMJ. 2021;372:n160."
23,macpherson2010,VERIFIED,PubMed search: STRICTA[ti] AND revised[ti] AND 2010[dp] AND MacPherson H[au],5 co-published versions found (J Evid Based Med; J Altern Complement Med; J Altern Complement Med; Acupunct Med; PLoS Med); PLoS Med version used — REVIEW TEAM TO CONFIRM,20543992,10.1371/journal.pmed.1000261,MacPherson H; Altman DG; Hammerschlag R; Youping L; Taixiang W; White A; Moher D; STRICTA Revision Group,8,Revised STandards for Reporting Interventions in Clinical Trials of Acupuncture (STRICTA): extending the CONSORT statement,PLoS Med,2010,7,6,e1000261,,epublish,PubMed,2026-09-24,"MacPherson H, Altman DG, Hammerschlag R, Youping L, Taixiang W, White A, et al. Revised STandards for Reporting Interventions in Clinical Trials of Acupuncture (STRICTA): extending the CONSORT statement. PLoS Med. 2010;7:e1000261."
24,veroniki2016,VERIFIED,PubMed search: Res Synth Methods[ta] AND 2016[dp] AND 7[vi] AND 55[pg] AND Veroniki AA[au],,26332144,10.1002/jrsm.1164,Veroniki AA; Jackson D; Viechtbauer W; Bender R; Bowden J; Knapp G; Kuss O; Higgins JP; Langan D; Salanti G,10,Methods to estimate the between-study variance and its uncertainty in meta-analysis,Res Synth Methods,2016,7,1,55-79,,ppublish,PubMed,2026-09-24,"Veroniki AA, Jackson D, Viechtbauer W, Bender R, Bowden J, Knapp G, et al. Methods to estimate the between-study variance and its uncertainty in meta-analysis. Res Synth Methods. 2016;7:55-79."
25,hartung2001,VERIFIED,PubMed search: Stat Med[ta] AND 2001[dp] AND 20[vi] AND 1771[pg],,11406840,10.1002/sim.791,Hartung J; Knapp G,2,On tests of the overall treatment effect in meta-analysis with normally distributed responses,Stat Med,2001,20,12,1771-82,,ppublish,PubMed,2026-09-24,"Hartung J, Knapp G. On tests of the overall treatment effect in meta-analysis with normally distributed responses. Stat Med. 2001;20:1771-82."
26,rover2015,VERIFIED,PubMed search: BMC Med Res Methodol[ta] AND 2015[dp] AND 15[vi] AND 99[pg],,26573817,10.1186/s12874-015-0091-1,Röver C; Knapp G; Friede T,3,Hartung-Knapp-Sidik-Jonkman approach and its modification for random-effects meta-analysis with few studies,BMC Med Res Methodol,2015,15,,99,,epublish,PubMed,2026-09-24,"Röver C, Knapp G, Friede T. Hartung-Knapp-Sidik-Jonkman approach and its modification for random-effects meta-analysis with few studies. BMC Med Res Methodol. 2015;15:99."
27,inthout2016,VERIFIED,PubMed search: BMJ Open[ta] AND 2016[dp] AND 6[vi] AND e010247[pg],,27406637,10.1136/bmjopen-2015-010247,IntHout J; Ioannidis JP; Rovers MM; Goeman JJ,4,Plea for routinely presenting prediction intervals in meta-analysis,BMJ Open,2016,6,7,e010247,,epublish,PubMed,2026-09-24,"IntHout J, Ioannidis JP, Rovers MM, Goeman JJ. Plea for routinely presenting prediction intervals in meta-analysis. BMJ Open. 2016;6:e010247."
28,higgins2002,VERIFIED,PubMed search: Stat Med[ta] AND 2002[dp] AND 21[vi] AND 1539[pg],,12111919,10.1002/sim.1186,Higgins JP; Thompson SG,2,Quantifying heterogeneity in a meta-analysis,Stat Med,2002,21,11,1539-58,,ppublish,PubMed,2026-09-24,"Higgins JP, Thompson SG. Quantifying heterogeneity in a meta-analysis. Stat Med. 2002;21:1539-58."
29,sterne2019,VERIFIED,PubMed search: BMJ[ta] AND 2019[dp] AND 366[vi] AND l4898[pg],,31462531,10.1136/bmj.l4898,Sterne JAC; Savović J; Page MJ; Elbers RG; Blencowe NS; Boutron I; Cates CJ; Cheng HY; Corbett MS; Eldridge SM; Emberson JR; Hernán MA; Hopewell S; Hróbjartsson A; Junqueira DR; Jüni P; Kirkham JJ; Lasserson T; Li T; McAleenan A; Reeves BC; Shepperd S; Shrier I; Stewart LA; Tilling K; White IR; Whiting PF; Higgins JPT,28,RoB 2: a revised tool for assessing risk of bias in randomised trials,BMJ,2019,366,,l4898,,epublish,PubMed,2026-09-24,"Sterne JAC, Savović J, Page MJ, Elbers RG, Blencowe NS, Boutron I, et al. RoB 2: a revised tool for assessing risk of bias in randomised trials. BMJ. 2019;366:l4898."
30,guyatt2008,VERIFIED,PubMed search: BMJ[ta] AND 2008[dp] AND 336[vi] AND 924[pg] AND Guyatt GH[au],,18436948,10.1136/bmj.39489.470347.AD,Guyatt GH; Oxman AD; Vist GE; Kunz R; Falck-Ytter Y; Alonso-Coello P; Schünemann HJ; GRADE Working Group,8,GRADE: an emerging consensus on rating quality of evidence and strength of recommendations,BMJ,2008,336,7650,924-6,,ppublish,PubMed,2026-09-24,"Guyatt GH, Oxman AD, Vist GE, Kunz R, Falck-Ytter Y, Alonso-Coello P, et al. GRADE: an emerging consensus on rating quality of evidence and strength of recommendations. BMJ. 2008;336:924-6."
31,viechtbauer2010,VERIFIED,Crossref DOI,,,10.18637/jss.v036.i03,Viechtbauer W,1,Conducting Meta-Analyses in R with the metafor Package,J Stat Softw,2010,36,3,1-48,,online,Crossref + NLM Catalog 101307056 (abbreviation) + publisher citation_firstpage/lastpage (pages),2026-09-24,Viechtbauer W. Conducting Meta-Analyses in R with the metafor Package. J Stat Softw. 2010;36:1-48.
