lock_id,target,endpoint_stratum,study,comparison_id,intervention,comparator,outcome,time_window,data_type,n_i,n_c,mean_i,sd_i,median_i,q1_i,q3_i,events_i,mean_c,sd_c,median_c,q1_c,q3_c,events_c,unit,reported_p,derived_effect_measure,derived_effect,rob_overall,include_strict,include_sensitivity,narrative_only,author_priority,p1_disposition,analysis_action,overlap_family,hold_reason,shared_control_issue,source_qc,record_status,source_url,Sourceverifiedresult,rob_d1,rob_d2,rob_d3,rob_d4,rob_d5,result_rob,KeyQCnote
D-006,D,D_nausea_0-24h,Yang 2024,YANG24_EA_vs_UC_NAUSEA24,Perioperative EA + usual care,Usual care,Postoperative nausea incidence,0-24 h,Events/total,90,90,,,,,,24,,,,,,40,participants,0.013,RR,.6,High,1,0,0,,,STRICT_MODEL,,,No,Nausea is subjective in an open-label EA-vs-usual-care comparison; result-specific High RoB.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,24/90 vs 40/90,Low,Low,Low,High,Some concerns,High,
D-007,D,D_nausea_0-24h,Ma 2026,MA26_T_vs_S_NAUSEA24,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",Nausea,24 h,Events/total,17,16,,,,,,6,,,,,,8,participants,Overall 3-group P=0.590; randomized T-vs-S pairwise NR,RR,.7058823529411765,High,1,0,0,,,STRICT_MODEL,,,No,Overall P-value includes non-randomized Group C; do not treat it as the randomized pairwise P-value,SOURCE-VERIFIED,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,6/17 vs 8/16,Some concerns,Some concerns,Low,High,Some concerns,High,
D-008,D,D_nausea_0-48h,Luo 2026,LUO26_TEAS_vs_SHAM_NAUSEA48,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Cumulative postoperative nausea,0-48 h,Events/total,138,139,,,,,,24,,,,,,53,participants,<0.01,RR,.4561115668580804,High,1,0,0,,,STRICT_MODEL,,,No,Participant blinding was empirically poor: 77.5% of TEAS and 66.2% of sham participants correctly guessed allocation,SOURCE-VERIFIED,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,24/138 vs 53/139,Low,Low,Low,High,Some concerns,High,
D-009,D,D_vomiting_0-24h,Yang 2024,YANG24_EA_vs_UC_VOMIT,Perioperative EA + usual care,Usual care,Postoperative vomiting,0-24 h,Events/total,90,90,,,,,,12,,,,,,25,participants,0.016,RR,.48,Some concerns,1,0,0,,,STRICT_MODEL,,,No,Vomiting 12/90 vs25/90 is the 0-24 h interval; prior v20 label 'within72 h' corrected in AF lock copy.,SOURCE-VERIFIED / AF-CORRECTED,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,12/90 vs 25/90,Low,Low,Low,Some concerns,Some concerns,Some concerns,
D-010,D,D_vomiting_0-24h,Ma 2026,MA26_T_vs_S_VOMIT24,Group T: sleep disturbance + preop TEAS,"Group S: sleep disturbance, no TEAS",Vomiting,24 h,Events/total,17,16,,,,,,6,,,,,,7,participants,Overall 3-group P=0.863; randomized T-vs-S pairwise NR,RR,.8067226890756303,Some concerns,1,0,0,,,STRICT_MODEL,,,No,Overall P-value includes non-randomized Group C,SOURCE-VERIFIED,https://drive.google.com/file/d/1tMEOwvRWIMeEmBmKfeHEt7YF10yxslUe/view?usp=drivesdk,6/17 vs 7/16,Some concerns,Some concerns,Low,Some concerns,Some concerns,Some concerns,
D-011,D,D_vomiting_0-48h,Luo 2026,LUO26_TEAS_vs_SHAM_VOMIT48,Intraoperative PC6 TEAS + standard antiemetics,Sham/no current + standard antiemetics,Cumulative postoperative vomiting,0-48 h,Events/total,138,139,,,,,,9,,,,,,27,participants,<0.01,RR,.3357487922705314,Some concerns,1,0,0,,,STRICT_MODEL,,,No,"Vomiting is more objective than nausea, but participant masking was incomplete",SOURCE-VERIFIED,https://drive.google.com/file/d/1xxZle6mPpcnmHLblJbsy1kA4CyQHpvm2/view?usp=drivesdk,9/138 vs 27/139,Low,Low,Low,Some concerns,Some concerns,Some concerns,
E-001,E,E_time_to_first_flatus,Zhou 2025,ZHOU25_TEAS_vs_SHAM_FLATUS,PACU TEAS,Sham/no current,Time to first flatus,Postoperative,Mean/SD,48,49,14.1,3.19,,,,,15.88,3.78,,,,,hours,0.014,MD,-1.780000000000001,Some concerns,1,0,0,P2,,STRICT_MODEL,,,No,Ascertainment mechanism should be considered in RoB because participant sensory blinding may be imperfect,SOURCE-VERIFIED,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,14.10±3.19 vs 15.88±3.78 h,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,Time origin/ascertainment not reported.
E-002,E,E_time_to_first_flatus,Yang 2020,YANG20_EA_vs_UC,EA + usual care,Usual care,Time to first postoperative flatus,From surgery to first flatus,Mean/SD,29,28,20.8,4.6,,,,,24.1,6.2,,,,,hours,0.026,MD,-3.300000000000001,Some concerns,1,0,0,P2,,STRICT_MODEL,,,No,Open-label; 2/59 excluded after randomization; participant-report contribution unclear,SOURCE-VERIFIED,https://drive.google.com/file/d/1hsQR_K6W-5QNP4rqkVxHQaopRp4f1XF0/view?usp=drivesdk,20.8±4.6 vs 24.1±6.2 h,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,'Checked regularly'; exact reporter/time origin incomplete.
E-003,E,E_time_to_first_flatus,Yang 2024,YANG24_EA_vs_UC_FLATUS,Perioperative EA + usual care,Usual care,Time to first flatus,Postoperative,Mean/SD,90,90,15.4,3.2,,,,,17,3.7,,,,,hours,0.004,MD,-1.6,High,1,0,0,,,STRICT_MODEL,,,No,Open-label participants; outcome assessor blinded,SOURCE-VERIFIED,https://drive.google.com/file/d/160N3psd5tLEphwXHJzUEZ3uJfaIXcs5V/view?usp=drivesdk,15.4±3.2 vs 17.0±3.7 h,Low,Low,Low,High,Some concerns,High,Patient-recorded in open-label trial; High measurement bias.
E-004,E,E_time_to_first_flatus,Xing 2022,XING22_NTG_vs_NG_FLATUS,TEAS + active TAPB,Sham TEAS + active TAPB,Time to first flatus,Postoperative,Mean/SD,29,29,32.57,6.94,,,,,36.83,6.19,,,,,hours,<0.05 pairwise,MD,-4.259999999999998,Some concerns,1,0,0,P2,,STRICT_MODEL,,,Yes,Three-arm study; use NTG vs NG for incremental TEAS effect,SOURCE-VERIFIED,https://drive.google.com/file/d/1h3IGpQ56nSh7H16xBEVyTzCBkWOXRSxK/view?usp=drivesdk,32.57±6.94 vs 36.83±6.19 h,Low,Some concerns,Low,Some concerns,Some concerns,Some concerns,Detection method/time origin incompletely described.
E-006,E,E_time_to_first_flatus,Lu 2022,LU22_TEAS_vs_CTRL_FLATUS,TEAS + ERAS,No-current control + ERAS,Time to first flatus,Postoperative,Mean/SD,47,47,34.5,16.7,,,,,42.4,22.9,,,,,hours,0.03,MD,-7.899999999999999,Some concerns,1,0,0,P2,,STRICT_MODEL,,,No,Same 6 post-randomization exclusions apply,SOURCE-VERIFIED / ATTRITION QC,https://drive.google.com/file/d/12Y86huNMuLC8cPH-L2vwlEd7r1X1Qela/view?usp=drivesdk,34.5±16.7 vs 42.4±22.9 h,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,6/100 post-randomization exclusions; ascertainment/time origin not reported.
E-007,E,E_time_to_first_flatus,Ng 2013,NG13_EA_vs_SHAM_FLATUS,Electroacupuncture,Sham acupuncture,Time to first flatus,Postoperative,Mean/SD,55,55,2,.9,,,,,2.3,1.1,,,,,days,0.095,MD,-.2999999999999998,Some concerns,1,0,0,P2,,STRICT_MODEL,,,Yes,No statistically significant EA-vs-sham difference,SOURCE-VERIFIED,https://drive.google.com/file/d/1R1zCiyfWvuSp99Hi2U_K1__8kgdi90gd/view?usp=drivesdk,2.0±0.9 vs 2.3±1.1 days,Some concerns,Low,Low,Low,Low,Some concerns,Nonopaque envelope; exact flatus verification/time origin not explicit.
F-PCA-001,F-PCA,F_PCA_behavior,Chen 2020,CHEN20_TEAS_vs_SHAM_PCAATT48,Perioperative TEAS,Sham low/zero-current protocol,Total PCIA attempts over 48-h course,0-48 h,Mean/SD,40,40,4.83,1.06,,,,,14.05,2.01,,,,,pump attempts,<0.001,MD,-9.220000000000001,High,0,1,0,,,SENSITIVITY_MODEL,,,No,"Patient-generated behavior; active stimulation above sensory threshold, sham below threshold.",SOURCE-VERIFIED / AF-NORMALIZED / HIGH ROB,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,4.83±1.06 /4.58±0.93 vs14.05±2.01 /7.48±1.18,Low,Low,Low,High,Some concerns,High,Behavioral endpoint.
F-PCA-001,F-PCA,F_PCA_behavior,Chen 2020,CHEN20_TEAS_vs_SHAM_PCAEFF48,Perioperative TEAS,Sham low/zero-current protocol,Effective PCIA attempts over 48-h course,0-48 h,Mean/SD,40,40,4.58,.93,,,,,7.48,1.18,,,,,pump attempts,<0.001,MD,-2.9,High,0,1,0,,,SENSITIVITY_MODEL,,,No,"Patient-generated behavior; active stimulation above sensory threshold, sham below threshold.",SOURCE-VERIFIED / AF-NORMALIZED / HIGH ROB,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,4.83±1.06 /4.58±0.93 vs14.05±2.01 /7.48±1.18,Low,Low,Low,High,Some concerns,High,Behavioral endpoint.
F-PCA-002,F-PCA,F_PCA_behavior,He 2026 (hepatectomy/JIS),HEJIS26_TEAS_vs_CTRL_PCAATT24,Intraoperative PC6 TEAS,No-current PC6 control,PCA attempts,24 h,Mean/SD,80,79,2.7,3.3,,,,,3.5,6.1,,,,,attempts,0.02,MD,-.7999999999999998,Some concerns,0,1,0,P1,RESOLVED_BY_PARTIAL_EXCLUSION,SENSITIVITY_MODEL,,,No,Fewer attempts despite no difference in total MME,SOURCE-VERIFIED,https://drive.google.com/file/d/1VgOxIOrGe7ZVevkKEVP7G-0V1DXPU0Gf/view?usp=drivesdk,2.7±3.3 /2.6±3.3 vs3.5±6.1 /3.5±6.0,Low,Some concerns,Low,Low,Some concerns,Some concerns,Mixed sufentanil+oxycodone PCA.
F-PCA-002,F-PCA,F_PCA_behavior,He 2026 (hepatectomy/JIS),HEJIS26_TEAS_vs_CTRL_PCADELIV24,Intraoperative PC6 TEAS,No-current PC6 control,Effective PCA deliveries,24 h,Mean/SD,80,79,2.6,3.3,,,,,3.5,6,,,,,effective deliveries,0.02,MD,-.9,Some concerns,0,1,0,P1,RESOLVED_BY_PARTIAL_EXCLUSION,SENSITIVITY_MODEL,,,No,PCA contains sufentanil + oxycodone; delivery count is not a single-opioid dose. 48-h counters remain P1 unresolved.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/1VgOxIOrGe7ZVevkKEVP7G-0V1DXPU0Gf/view?usp=drivesdk,2.7±3.3 /2.6±3.3 vs3.5±6.1 /3.5±6.0,Low,Some concerns,Low,Low,Some concerns,Some concerns,Mixed sufentanil+oxycodone PCA.
F-PCA-003,F-PCA,F_PCA_behavior,Ao 2021,AO21_TEAS_vs_SHAM_PCA48,Repeated perioperative TEAS,Sham/no current,Cumulative PCA solution consumption,48 h,Mean/SD,32,33,102.8,7.4,,,,,120.6,9.199999999999999,,,,,mL PCA solution,NR,MD,-17.8,Some concerns,0,1,0,,,SENSITIVITY_MODEL,,,No,Exact 24-h sufentanil total is not reported; the earlier 24-h VAS row is graph-digitized and remains derived.,SOURCE-VERIFIED / 48H ONLY,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk,102.8±7.4 vs120.6±9.2 mL;6.2±3.7 vs12.3±4.6 presses,Low,Some concerns,Some concerns,Some concerns,Some concerns,Some concerns,Preserve mL; weight-dependent sufentanil concentration.
F-PCA-004,F-PCA,F_PCA_behavior,Liu 2021,LIU21_TEAS_vs_CTRL_PCAPRESS24,Perioperative TEAS,Electrodes/no current,PCA pump compressions,0-24 h,Mean/SD,50,50,17.62,2.687,,,,,17.38,3.801,,,,,presses,0.716,MD,.240000000000002,High,0,1,0,,,SENSITIVITY_MODEL,,,No,Compressions may represent demands rather than successful boluses; do not convert to sufentanil mass,SOURCE-VERIFIED / DOSE NOT RECONSTRUCTABLE,https://drive.google.com/file/d/1TA4BstaUWY3EdQbDNEvvGxF35ekGanrm/view?usp=drivesdk,17.62±2.687 vs17.38±3.801; P=0.716,Some concerns,Some concerns,Low,High,Some concerns,High,Unmasked behavioral endpoint.
F-PCA-005,F-PCA,F_PCA_behavior,Long 2025,LONG25_TEAS_vs_CTRL_PCIAPRESS48,Perioperative electrical acupoint stimulation,Electrodes/no current,PCIA compression count,48 h,Mean/SD,27,26,7.11,2.14,,,,,8.619999999999999,1.84,,,,,presses,0.008,MD,-1.509999999999999,High,0,1,0,,,SENSITIVITY_MODEL,,,No,Do not translate compression count into delivered sufentanil mass,SOURCE-VERIFIED,https://drive.google.com/file/d/1LDqtQLq9-kZLP0Vv_G3iiK8QKjy4pRXP/view?usp=drivesdk,7.11±2.14 vs8.62±1.84; P=0.008,Some concerns,Some concerns,Some concerns,High,Some concerns,High,11.7% missing; masking unclear.
F-PCA-006,F-PCA,F_PCA_behavior,Zheng 2025,ZHENG25_TEAS_vs_SHAM_PCA_PRESS,Perioperative TEAS,Sham/no current,Total PCIA button presses,Postoperative; exact pump duration NR,Mean/SD,42,43,6.3,2.2,,,,,10.7,3.9,,,,,presses,0.004,MD,-4.399999999999999,Some concerns,0,0,1,P1,RESOLVED_BY_EXCLUSION,EXCLUDE_OR_NARRATIVE,,UNRESOLVED window,No,"PCIA final volume/concentration is NR, so presses cannot be converted to sufentanil mass",SOURCE-VERIFIED / DOSE NOT RECONSTRUCTABLE,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,6.3±2.2 vs10.7±3.9;3.8±1.0 vs4.8±1.6,Low,Some concerns,Low,Low,Some concerns,Some concerns,Exact cumulative window not stated.
F-PCA-007,F-PCA,F_PCA_behavior,Jin 2023,JIN23_2HZ_vs_SHAM_NAPC48,2-Hz postoperative EA,Sham nonpenetrating EA/no current,Cumulative analgesic pump compressions,48 h,Median/IQR,53,52,,,1,0,3,,,,9,4.3,12,,pump compressions,<0.001 vs sham,,,Some concerns,0,1,0,,,SENSITIVITY_MODEL,,,Yes,174 randomized but outcome tables use only 158 completers; dropout reasons include 'unsatisfactory effects' despite ITT terminology,SOURCE-VERIFIED / COMPLETE-CASE + MULTI-ARM QC,https://drive.google.com/file/d/1fkNAFra0gZ9jkWkzp_S0TWy-5zVrXCtj/view?usp=drivesdk,"Sham9.0 (4.3–12.0), 2Hz1.0 (0–3.0),20/100Hz1.0 (0–4.5)",Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,16/174 excluded; some due unsatisfying effects.
F-PCA-007,F-PCA,F_PCA_behavior,Jin 2023,JIN23_20100_vs_SHAM_NAPC48,20/100-Hz postoperative EA,Sham nonpenetrating EA/no current,Cumulative analgesic pump compressions,48 h,Median/IQR,53,52,,,1,0,4.5,,,,9,4.3,12,,pump compressions,<0.001 vs sham,,,Some concerns,0,1,0,,,SENSITIVITY_MODEL,,,Yes,174 randomized but outcome tables use only 158 completers; dropout reasons include 'unsatisfactory effects' despite ITT terminology,SOURCE-VERIFIED / COMPLETE-CASE + MULTI-ARM QC,https://drive.google.com/file/d/1fkNAFra0gZ9jkWkzp_S0TWy-5zVrXCtj/view?usp=drivesdk,"Sham9.0 (4.3–12.0), 2Hz1.0 (0–3.0),20/100Hz1.0 (0–4.5)",Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,16/174 excluded; some due unsatisfying effects.
F-PCA-008,F-PCA,F_PCA_behavior,Lee 2011,LEE11_LOW_vs_SHAM_PCADEMAND24,Low-frequency dense-sparse SSP,Sham SSP,Total PCA demands,0-24 h,Mean/SD,10,12,41.6,36.47,,,,,74.18000000000001,39.33,,,,,PCA demands,Direct active-vs-sham pairwise P not reported,MD,-32.58000000000001,Some concerns,0,1,0,P2,,SENSITIVITY_MODEL,,,Yes,Four-arm study; preserve shared sham control. Two low-frequency participants excluded.,SOURCE-VERIFIED / AF-NORMALIZED,https://drive.google.com/file/d/1kQDSBtx3OpFOsim5oUMwhpfHOqaMy8Q9/view?usp=drivesdk,Sham74.18±39.33; high52.17±21.87; low41.60±36.47,Some concerns,Some concerns,Some concerns,Low,Some concerns,Some concerns,Direct active-vs-sham pairwise P values not reported.
