Canonicalstudy,ComparisonID,Interventionarm,Comparatorarm,Outcomefamily,Outcomeresult,Timepointwindow,Datatype,Randomizednintervention,Randomizedncomparator,Analyzednintervention,Analyzedncomparator,Meanintervention,SDintervention,Medianintervention,Q1intervention,Q3intervention,Eventsintervention,Meancomparator,SDcomparator,Mediancomparator,Q1comparator,Q3comparator,Eventscomparator,Unitscale,ReportedP,Directlyreported,Derivedconverted,Derivedeffectmeasure,Derivedeffect,Exact024hpostoperativeopioi,Primaryopioidmetaanalysiseli,Otheranalysiseligibility,Sharedcontrolmultiarmissue,SourceQCissue,Sourcelocation,SourcePDFURL,Recordstatus,AFlockIDs,AFtargets,AFendpointstratums,AFreconciliationactions,AFincludestrict,AFincludesensitivity,AFoverallRoB,AFunresolvedpriority,AFholdexcludenote,AFsourcetruthresults
Chen 2020,CHEN20_TEAS_vs_SHAM,Perioperative TEAS,Sham low/zero-current protocol,Opioid consumption,Cumulative sufentanil,24 h postoperatively,Mean/SD,40,40,40,40,72.43000000000001,4.78,,,,,100.62,10.2,,,,,µg sufentanil,,Yes,No,MD,-28.19,Yes,Yes,Eligible for 24-h opioid analysis after prespecified opioid/MME conversion,No,Sham was 4 mA pre/postoperatively but 0 mA intraoperatively; preserve this nuance,Cumulative sufentanil result,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Chen 2020,CHEN20_TEAS_vs_SHAM_VAS,Perioperative TEAS,Sham low/zero-current protocol,Pain,VAS pain intensity,24 h postoperatively,Mean/SD,40,40,40,40,2.91,.2,,,,,5.97,.5600000000000001,,,,,VAS 0-10,,Yes,No,MD,-3.06,No,No,Eligible for 24-h pain meta-analysis,No,Patient blinding adequacy depends on sensory contrast of sham protocol,24-h VAS result,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Coura 2011,COURA11_EA_vs_SHAM,Preoperative EA,Sham stimulation,Opioid consumption,Cumulative fentanyl,First 24 h postoperatively,Mean/SD,16,16,13,9,13.1,2.2,,,,,16.3,1.6,,,,,µg/kg fentanyl,,Yes,No,MD,-3.200000000000001,Yes,Conditional,Potentially eligible after confirming whether discretionary supplemental opioids were included,No,10/32 post-randomization exclusions; supplemental morphine/fentanyl inclusion unclear,Published cumulative first-24-h fentanyl result,https://drive.google.com/file/d/120NJxCmxsdiyqWTXzjmaUWAaVa1i8iZz/view?usp=drivesdk,SOURCE-VERIFIED / QC HOLD,F-postop-dose-006,F-postop-dose,F_postop_delivered_dose_or_solution,MATCHED,0,1,High,,,13.1±2.2 vs16.3±1.6 μg/kg
Ao 2021,AO21_TEAS_vs_SHAM_VAS,TEAS,Sham/no current,Pain,VAS pain intensity,24 h postoperatively,Graph-digitized mean/SD,35,35,32,33,2.51,.49,,,,,2.95,.53,,,,,VAS 0-10,,No,Yes,,,No,No,Needs adjudication/sensitivity analysis before quantitative pooling,No,"Exact values are graph-digitized, not numerically tabulated by authors",Figure-only 24-h VAS,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk,DERIVED / NEEDS ADJUDICATION,,,,,0,0,,,,
Ao 2021,AO21_TEAS_vs_SHAM_OPIOID24,TEAS,Sham/no current,Opioid consumption,Cumulative postoperative sufentanil,Exact 0-24 h,Not reported,35,35,32,33,,,,,,,,,,,,,µg sufentanil,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis without author data,No,PCA followed for 48 h; no extractable cumulative 0-24-h total,Article reports 48-h PCA framework only,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,,,,,0,0,,,,
Zhu 2022,ZHU22_PRE_vs_USUAL_PON,EA day before surgery,Usual care alone,PONV,Postoperative nausea,6-24 h postoperatively,Events/total,103,104,101,101,,,,,,11,,,,,,27,participants with nausea,0.024,Yes,No,RR,.4074074074074074,No,No,Eligible for dichotomous PON analysis with shared-control/multi-arm adjustment,Yes,Four-arm RCT; no sham; analysis denominators differ from randomized denominators,Table 2,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Zhu 2022,ZHU22_PRE_vs_USUAL_POV,EA day before surgery,Usual care alone,PONV,Postoperative vomiting,6-24 h postoperatively,Events/total,103,104,101,101,,,,,,5,,,,,,22,participants with vomiting,0.002,Yes,No,RR,.2272727272727273,No,No,Eligible for dichotomous POV analysis with shared-control/multi-arm adjustment,Yes,Four-arm RCT; no sham; use exact arm-specific analyzed denominators,Table 2,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Zhu 2022,ZHU22_30_vs_USUAL_PON,EA 30 min before surgery,Usual care alone,PONV,Postoperative nausea,6-24 h postoperatively,Events/total,103,104,98,101,,,,,,18,,,,,,27,participants with nausea,NR pairwise,Yes,No,RR,.6870748299319728,No,No,Eligible for dichotomous PON analysis with shared-control/multi-arm adjustment,Yes,Four-arm RCT; no sham; analysis denominators differ from randomized denominators,Table 2,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Zhu 2022,ZHU22_30_vs_USUAL_POV,EA 30 min before surgery,Usual care alone,PONV,Postoperative vomiting,6-24 h postoperatively,Events/total,103,104,98,101,,,,,,8,,,,,,22,participants with vomiting,0.034,Yes,No,RR,.3747680890538033,No,No,Eligible for dichotomous POV analysis with shared-control/multi-arm adjustment,Yes,Four-arm RCT; no sham; use exact arm-specific analyzed denominators,Table 2,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Zhu 2022,ZHU22_COMB_vs_USUAL_PON,EA day before + 30 min before,Usual care alone,PONV,Postoperative nausea,6-24 h postoperatively,Events/total,103,104,100,101,,,,,,11,,,,,,27,participants with nausea,0.024,Yes,No,RR,.4114814814814814,No,No,Eligible for dichotomous PON analysis with shared-control/multi-arm adjustment,Yes,Four-arm RCT; no sham; analysis denominators differ from randomized denominators,Table 2,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Zhu 2022,ZHU22_COMB_vs_USUAL_POV,EA day before + 30 min before,Usual care alone,PONV,Postoperative vomiting,6-24 h postoperatively,Events/total,103,104,100,101,,,,,,9,,,,,,22,participants with vomiting,NR pairwise,Yes,No,RR,.4131818181818182,No,No,Eligible for dichotomous POV analysis with shared-control/multi-arm adjustment,Yes,Four-arm RCT; no sham; use exact arm-specific analyzed denominators,Table 2,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Zhou 2025,ZHOU25_TEAS_vs_SHAM_QOR15,PACU TEAS,Sham/no current,Quality of recovery,Global QoR-15,POD1,Mean/SD,50,50,48,49,112,10.67,,,,,107.62,10.27,,,,,QoR-15 points,0.042,Yes,No,MD,4.379999999999995,No,No,Eligible for QoR-15 meta-analysis,No,3 post-randomization withdrawals; sensory blinding uncertain because active 10-15 mA/De Qi vs no current,"Table 2, p7",https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Zhou 2025,ZHOU25_TEAS_vs_SHAM_PAINREST,PACU TEAS,Sham/no current,Pain,Resting pain VAS,POD1,Median/IQR,50,50,48,49,,,3,3,4,,,,4,4,5,,VAS 0-10,<0.001,Yes,No,,,No,No,Eligible for pain analysis using nonparametric/prespecified conversion method,No,Do not convert median/IQR to mean/SD without prespecified method,"Table 3, p8",https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Zhou 2025,ZHOU25_TEAS_vs_SHAM_PONV,PACU TEAS,Sham/no current,PONV,PONV incidence,POD1,Events/total,50,50,48,49,,,,,,10,,,,,,19,participants,0.047,Yes,No,RR,.537280701754386,No,No,Eligible for dichotomous POD1 PONV analysis,No,Participant sensory blinding uncertain,"Table 4, p8",https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,SOURCE-VERIFIED,D-005,D,D_PONV_other,MATCHED,0,1,Some concerns,P2,,10/48 vs 19/49
Zhou 2025,ZHOU25_TEAS_vs_SHAM_FLATUS,PACU TEAS,Sham/no current,GI recovery,Time to first flatus,Postoperative,Mean/SD,50,50,48,49,14.1,3.19,,,,,15.88,3.78,,,,,hours,0.014,Yes,No,MD,-1.780000000000001,No,No,Eligible for GI-recovery meta-analysis,No,Ascertainment mechanism should be considered in RoB because participant sensory blinding may be imperfect,Postoperative recovery-time table,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,SOURCE-VERIFIED,E-001,E,E_time_to_first_flatus,MATCHED,1,0,Some concerns,P2,,14.10±3.19 vs 15.88±3.78 h
Zhou 2025,ZHOU25_TEAS_vs_SHAM_RESCUE,PACU TEAS,Sham/no current,Rescue analgesia,Any rescue analgesia,POD1-POD3,Events/total,50,50,48,49,,,,,,6,,,,,,13,participants,0.124,Yes,No,RR,.4711538461538461,No,No,Eligible only for 3-day binary rescue-analgesia analysis,No,Not a 24-h opioid dose; exact cumulative tramadol dose is not reported,"Table 3, p8",https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,SOURCE-VERIFIED,F-rescue-opioid-009,F-rescue-opioid,F_rescue_opioid,MATCHED,1,0,Some concerns,P2,,6/48 vs13/49; P=0.124
Zhou 2025,ZHOU25_TEAS_vs_SHAM_OPIOID24,PACU TEAS,Sham/no current,Opioid consumption,Exact cumulative postoperative opioid dose,0-24 h,Not reported,50,50,48,49,,,,,,,,,,,,,mg/µg,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis without author data,No,Standard perioperative sufentanil plus PRN tramadol; exact 0-24-h cumulative dose not reported,Not numerically reported,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,,,,,0,0,,,,
Zhou 2021,ZHOU21_TEAS_vs_UC_PAIN,Postoperative TEAS + ERAS,ERAS/usual care,Pain,Average postoperative pain,POD1-POD5 average,Mean/SD,41,41,41,40,2.55,.21,,,,,3.1,.42,,,,,pain score,<0.001,Yes,No,MD,-.5500000000000003,No,No,Eligible only for matching POD1-POD5 average pain analysis,No,Open-label/no sham; subjective outcome,"Table 3, p6",https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk,SOURCE-VERIFIED,,,,,0,0,,,,
Zhou 2021,ZHOU21_TEAS_vs_UC_OPIOIDUSE,Postoperative TEAS + ERAS,ERAS/usual care,Opioid consumption,Any postoperative opioid use,Postoperative window not clearly defined as 0-24 h,Events/total,41,41,41,40,,,,,,18,,,,,,30,participants,0.004,Yes,No,RR,.5853658536585366,No,No,Eligible for binary opioid-use analysis only if matching time window is acceptable,No,Exact postoperative time window is not clearly stated,Table 3,https://drive.google.com/file/d/1PxYyULBv_ZjWeqAm_bNYkDn_j2_lNYLq/view?usp=drivesdk,SOURCE-VERIFIED / WINDOW QC,F-mixed/undefined-007,F-mixed/undefined,F_rescue_mixed_or_undefined,NORMALIZED_V22,0,0,High,P1,EXCLUDE fixed-time pools,Opioid use18/41 vs30/40; MME8.935±3.660 vs12.83±8.097 mg
Zheng 2025,ZHENG25_TEAS_vs_SHAM_PONV,Perioperative TEAS,Sham/no current,PONV,Any PONV,Within 24 h postoperatively,Events/total,44,44,42,43,,,,,,18,,,,,,29,participants,0.023,Percentages directly reported; counts derived,Yes,RR,.6354679802955665,No,No,Eligible for dichotomous 24-h PONV analysis,No,Counts 18/42 and 29/43 are reconstructed from reported 42.9% and 67.4%; use percentages as source truth,Primary outcome / 24-h PONV result,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,SOURCE-VERIFIED / COUNTS DERIVED,D-001,D,D_PONV_0-24h,MATCHED,1,0,Some concerns,P1,,18/42 vs 29/43
Zheng 2025,ZHENG25_TEAS_vs_SHAM_REMI,Perioperative TEAS,Sham/no current,Intraoperative opioid,Total intraoperative remifentanil consumption,Intraoperative,Mean/SD,44,44,42,43,233.1,29.6,,,,,289.5,37.9,,,,,µg remifentanil,0.031,Yes,No,MD,-56.40000000000001,No,No,"Eligible for intraoperative opioid-sparing analysis, not postoperative 24-h opioid analysis",No,Not a postoperative endpoint,"Table 3, p9",https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,SOURCE-VERIFIED,F-intra-009,F-intra,F_intraop_titrated_requirement,MATCHED,0,1,Some concerns,P1,,233.1±29.6 vs289.5±37.9 μg; P=0.031
Zheng 2025,ZHENG25_TEAS_vs_SHAM_PCA_PRESS,Perioperative TEAS,Sham/no current,Opioid demand,Total PCIA button presses,Postoperative; exact pump duration NR,Mean/SD,44,44,42,43,6.3,2.2,,,,,10.7,3.9,,,,,presses,0.004,Yes,No,MD,-4.399999999999999,No,No,Eligible for PCA-demand analysis only,No,"PCIA final volume/concentration is NR, so presses cannot be converted to sufentanil mass",Postoperative PCIA results,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,SOURCE-VERIFIED / DOSE NOT RECONSTRUCTABLE,F-PCA-006,F-PCA,F_PCA_behavior,MATCHED,0,0,Some concerns,P1,UNRESOLVED window,6.3±2.2 vs10.7±3.9;3.8±1.0 vs4.8±1.6
Zheng 2025,ZHENG25_TEAS_vs_SHAM_OPIOID24,Perioperative TEAS,Sham/no current,Opioid consumption,Exact cumulative postoperative sufentanil mass,0-24 h,Not reported,44,44,42,43,,,,,,,,,,,,,µg sufentanil,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis without author data,No,Final PCIA volume/concentration and exact cumulative sufentanil mass are not reported,PCIA formulation section / missing outcome,https://drive.google.com/file/d/1-JWKZgQXaQQQBZgMSDqyIP-vG9aAxBqb/view?usp=drivesdk,MISSING / AUTHOR DATA NEEDED,,,,,0,0,,,,
Zhan 2020,ZHAN20_TAPTEAS_vs_TAP_PAIN24,TAP block + postoperative TEAS,TAP block,Pain,VAS pain intensity,24 h postoperatively,Source-format ambiguous,30,30,30,30,,,,,,,,,,,,,VAS,0.03 pairwise,Yes,No,,,No,No,Qualitative/source-text use only until summary format is clarified,Yes,"Printed source values are TAP+TEAS '2 (1.7 ± 2.2)' vs TAP '2 (2.0 ± 3.0)'; format is not defined as mean/SD, median/IQR, or range","Table 2, p4",https://drive.google.com/file/d/1GYG7JxUOQxbt724-Ng7dWv3sYeC8dDSr/view?usp=drivesdk,SOURCE-VERIFIED / FORMAT QC,,,,,0,0,,,,
Zhan 2020,ZHAN20_TAPTEAS_vs_TAP_OPIOID24,TAP block + postoperative TEAS,TAP block,Opioid consumption,Actual cumulative postoperative sufentanil consumption,0-24 h,Not reported,30,30,30,30,,,,,,,,,,,,,µg sufentanil,,No,No,,,No,No,Not eligible for continuous 24-h opioid meta-analysis,Yes,Only programmed PCIA reservoir/basal settings are reported; actual group-specific delivered opioid is NR,PCIA protocol / exact 24-h opioid section,https://drive.google.com/file/d/1GYG7JxUOQxbt724-Ng7dWv3sYeC8dDSr/view?usp=drivesdk,MISSING / NOT OBSERVED,,,,,0,0,,,,
Zhang 2025,ZHANG25_TEAS_vs_SHAM_SUFPOD1,Perioperative TEAS,Sub-sensory sham,Opioid consumption,Total sufentanil consumption,POD1; approximately 24 h but exact clock window not explicit,Mean/SD,54,54,45,48,50.53,4.46,,,,,53.79,5.14,,,,,µg sufentanil,0.002,Yes,No,MD,-3.259999999999998,Conditional,Conditional,Eligible for POD1 opioid analysis; strict 0-24-h use requires confirmation,No,"Endpoint is directly reported as POD1, not explicitly clock-defined 0-24 h; 15/108 excluded after randomization","Table 4, p9",https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk,SOURCE-VERIFIED / WINDOW QC,,,,,0,0,,,,
Zhang 2025,ZHANG25_TEAS_vs_SHAM_RESCUE,Perioperative TEAS,Sub-sensory sham,Rescue analgesia,Any rescue analgesia demand,POD1 / postoperative period reported in Table 4,Events/total,54,54,45,48,,,,,,14,,,,,,29,participants,0.005 in Table 4; 0.002 in prose,Yes,No,RR,.5149425287356322,No,No,Eligible for binary rescue-analgesia analysis using raw counts,No,Published RR 0.70 (0.44-1.10) conflicts with raw counts (~0.52) and significant P-value; use raw event counts,"Table 4, p9",https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk,SOURCE-VERIFIED / PUBLISHED EFFECT QC,F-mixed/undefined-002,F-mixed/undefined,F_rescue_mixed_or_undefined,MATCHED,0,0,Some concerns,P1,DO NOT POOL pending clarification,14/45 vs29/48
Zhang 2025,ZHANG25_TEAS_vs_SHAM_VISCERAL_POD1,Perioperative TEAS,Sub-sensory sham,Pain,Moderate-to-severe visceral pain,POD1,Events/total,54,54,45,48,,,,,,4,,,,,,18,participants,0.001,Percentages directly reported; counts reconstructed exactly from denominators,Yes,RR,.237037037037037,No,No,Eligible for dichotomous visceral-pain analysis,No,Figure 3D reports 8.9% vs 37.5%; 4/45 and 18/48 are exact denominator reconstructions,"Figure 3D, p8",https://drive.google.com/file/d/1eHx6Hk16vmIfMgoiZ5eNae4zmCR5ktwJ/view?usp=drivesdk,SOURCE-VERIFIED / COUNTS DERIVED,,,,,0,0,,,,
Zhang 2023,ZHANG23_TEAS_vs_SHAM_VOID,TEAS,Sham/no current,Urinary recovery,Time to first spontaneous void,Postoperative,Median/IQR,975,973,922,916,,,5.6,3.7,8,,,,7.1,4.7,9.699999999999999,,hours,<0.001,Yes,No,,,No,No,Eligible for urinary-recovery meta-analysis using median/IQR methods,No,110/1948 randomized participants were excluded from final analysis; abstract gives sham median 7.0 h but Table 2 gives 7.1 h—use table value,Table 2 / primary spontaneous-void outcome,https://drive.google.com/file/d/1LXNXNhVJaOcYXBODulFUuMD4FQXC5dph/view?usp=drivesdk,SOURCE-VERIFIED / ATTRITION QC,,,,,0,0,,,,
