"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"11","15","Efficacy and Safety of Electroacupuncture for Postoperative Insomnia in Patients With Spinal Metastasis: Protocol of a Prospective, Multicenter, Randomized Controlled Study.","Jiang","2026","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The article explicitly states it is a study protocol, recruitment will start in mid-2026, and participant results are not available.","Protocol without participant results.","high","trial protocol","no","5","0","","uncertain","planned randomized trial only","planned electroacupuncture","planned sham acupuncture","uncertain","planned separable comparison","uncertain; first day after surgery","planned only","no","no","yes","2026-07-27T07:20:51.424Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"12","18","Evaluation of postoperative analgesia with perioperative electroacupuncture in clinical dog patients undergoing surgery for cranial cruciate ligament rupture (Tibial Tuberosity Advancement).","Lienert","2026","English","yes","NO","EXCLUDE_ANIMAL","The randomized clinical study enrolled client-owned dogs undergoing veterinary surgery.","Veterinary animal study.","high","veterinary randomized trial","yes","0","0","","veterinary anaesthesia only","veterinary randomization only","electroacupuncture in dogs","veterinary control group","not applicable","not applicable","not applicable","no human outcome","no","no","yes","2026-07-27T07:20:52.075Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"13","19","Effect of transcutaneous electrical acupoint stimulation on major complications after cerebral endovascular procedures (ASSET): study protocol for a randomized controlled trial.","Qu","2026","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title states study protocol and the abstract describes planned allocation and future publication without participant results.","Protocol without participant results.","high","trial protocol","no","4","0","","uncertain","planned randomized trial only","planned TEAS","planned no-stimulation control","uncertain","planned separable comparison","planned intra-procedural","planned only","no","no","yes","2026-07-27T07:20:55.672Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"14","20","Effect of transcutaneous electrical acupoint stimulation on perioperative hypothermia in video-assisted thoracoscopic surgery: a randomized controlled trial.","Zhao","2026","English","yes","YES","INCLUDE_ELIGIBLE","Adults undergoing elective VATS under explicitly stated general anaesthesia were randomized to TEAS at predefined acupoints from 30 minutes before induction through surgery or sham stimulation. Hypothermia, shivering, recovery, complications, and adverse events were reported.","Clearly eligible perioperative TEAS randomized trial.","high","journal article; primary participant-results report","yes","9","0","","yes; explicitly stated","yes","TEAS at predefined acupoints","sham stimulation","yes","yes","yes; 30 minutes before induction through surgery","yes; hypothermia, shivering, recovery, and complications","no","no","yes","2026-07-27T07:20:58.992Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"15","21","Preventive effect of transcutaneous electrical acupoint stimulation pretreatment on lymphedema in patients undergoing axillary lymph node dissection for breast cancer: a randomized controlled trial protocol.","Wu","2026","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title identifies a randomized controlled trial protocol; the abstract describes participants who will be recruited and reports no results.","Protocol without participant results.","high","trial protocol","no","5","0","","uncertain","planned randomized trial only","planned TEAS","planned sham TEAS","uncertain","planned separable comparison","planned preoperative and early postoperative","planned only","no","no","yes","2026-07-27T07:21:37.488Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"16","22","Effect of Transcutaneous Auricular Vagus Nerve Stimulation on Postoperative Cognitive Dysfunction in Older Patients: A Randomized Controlled Clinical Trial.","Li","2026","English","yes","NO","EXCLUDE_WRONG_INTERVENTION","The intervention is explicitly transcutaneous auricular vagus nerve stimulation, an excluded auricular intervention rather than body-acupoint TEAS or needle EA.","Excluded transauricular vagus stimulation intervention.","high","journal article; primary participant-results report","yes","7","0","","highly evident from elective gastrointestinal tumor surgery","yes","transcutaneous auricular vagus nerve stimulation","sham taVNS","yes","yes but intervention ineligible","yes; preoperative day 1 and POD1 onward","yes; cognitive dysfunction, PONV, delirium, sleep, and pain","no","no","yes","2026-07-27T07:21:40.837Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"17","24","Effect of transcutaneous electrical acupoint stimulation at Zusanli (ST36) on postoperative pain following mixed hemorrhoidectomy: a retrospective study.","Ma","2026","English","yes","NO","EXCLUDE_NON_RANDOMIZED","The title and methods explicitly describe a retrospective study in which patients were allocated to cohorts based on received postoperative TEAS or sham stimulation.","Retrospective non-randomized study.","high","retrospective comparative study","yes","7","0","","uncertain","no; retrospective allocation","TEAS at ST36","postoperative sham stimulation","appears balanced","yes","yes; postoperative","yes; pain and gastrointestinal recovery","no","no","yes","2026-07-27T07:21:44.170Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"18","25","Acupoint Stimulation After Anesthesia Induction Does Not Decrease Nausea and Vomiting After Hepatectomy: A Multi-Center Double-Blinded Clinical Trial.","He","2026","English","yes","YES","INCLUDE_ELIGIBLE","Multicenter double-blind randomized trial in elective hepatectomy patients. TEAS at PC6 was delivered during surgery after anaesthesia induction versus no stimulation, with balanced antiemetic care. PONV, pain, analgesic use, ambulation, and gastrointestinal recovery were reported; hepatectomy after induction makes general anaesthesia highly evident.","Clearly eligible intraoperative TEAS randomized trial.","high","journal article; primary participant-results report","yes","9","0","","highly evident from hepatectomy after anaesthesia induction","yes","TEAS at PC6","no stimulation","yes; both received double-antiemetic regimen","yes","yes; intraoperative after induction","yes; PONV, pain, analgesic use, and recovery","no","no","yes","2026-07-27T07:21:48.224Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"19","26","Effect of electroacupuncture on postoperative delirium in elderly patients undergoing laparoscopic radical prostatectomy: study protocol for a double-center randomized controlled trial.","Wei","2026","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title explicitly identifies a study protocol and the abstract describes planned enrollment and outcomes without participant results.","Protocol without participant results.","high","trial protocol","no","7","0","","highly evident from laparoscopic prostatectomy with anaesthesia induction","planned randomized trial only","planned needle electroacupuncture at ST36 and GV20","planned sham EA","planned balanced","planned separable comparison","planned 30 minutes before induction","planned only","no","no","yes","2026-07-27T07:21:51.571Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"20","28","[Effect of electroacupuncture on intestinal function after laparoscopic colorectal cancer surgery].","Zhang","2026","English","yes","MAYBE","UNCERTAIN_TIMING","Randomized sham-controlled needle EA trial in laparoscopic colorectal cancer surgery, with recognized acupoints and clinical gastrointestinal, pain, analgesic-use, hospital-stay, and obstruction outcomes. General anaesthesia is highly evident from laparoscopic colorectal surgery. EA started on postoperative day 1, which does not establish initiation by 24 hours.","Postoperative-day-1 timing is the sole eligibility uncertainty.","high","journal article; primary participant-results report","yes","8","1","timing","highly evident from laparoscopic colorectal surgery","yes","needle electroacupuncture at CV12, CV6, LI11, ST25, ST36, ST37, and ST39","sham EA","yes","yes","uncertain; started postoperative day 1","yes","no","no","yes","2026-07-27T07:22:37.340Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"21","29","[Effects of electroacupuncture on gastrointestinal dysfunction and serum metabolites in postoperative patients with gastric cancer].","Li","2026","English","yes","YES","INCLUDE_ELIGIBLE","Patients undergoing laparoscopic radical gastrectomy were randomized to standardized perioperative care with or without needle EA at recognized acupoints beginning 2 hours after anaesthesia recovery. General anaesthesia is highly evident. Gastrointestinal recovery, ambulation, and pain outcomes were reported.","Clearly eligible early postoperative EA randomized trial.","high","journal article; primary participant-results report","yes","9","0","","highly evident from laparoscopic radical gastrectomy and anaesthesia recovery","yes","needle electroacupuncture at ST36, ST37, and PC6","standardized perioperative care","yes","yes","yes; first session 2 hours after anaesthesia recovery","yes; gastrointestinal recovery, ambulation, and pain","no","no","yes","2026-07-27T07:22:40.653Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"22","30","[Effect of auricular electroacupuncture on tracheal extubation success rate in patients with post-stroke tracheotomy: a randomized controlled trial].","Huang","2026","English","yes","NO","EXCLUDE_WRONG_INTERVENTION","The intervention is explicitly auricular electroacupuncture at ear points, an excluded modality. It was delivered for four weeks in post-stroke tracheotomy rehabilitation.","Excluded auricular electroacupuncture intervention.","high","journal article; primary participant-results report","yes","4","0","","no acute operative context","yes","auricular electroacupuncture","swallowing electrical stimulation","yes","auricular effect separable but ineligible","no; prolonged post-stroke tracheotomy treatment","yes; extubation success and swallowing","no","no","yes","2026-07-27T07:22:41.298Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"23","31","Electroacupuncture-augmented breaststroke vs. breaststroke alone for mild AIS: superior correction in a retrospective cohort.","Ma","2026","English","yes","NO","EXCLUDE_NON_SURGICAL","Retrospective cohort of skeletally immature adolescents with mild scoliosis receiving breaststroke training with or without EA; no operative surgery or acute perioperative setting was involved.","Non-operative retrospective adolescent scoliosis treatment.","high","retrospective cohort","yes","2","0","","no","no","EA plus breaststroke","breaststroke alone","no","no; bundled with breaststroke duration differences","not perioperative","non-perioperative scoliosis outcomes","no","no","yes","2026-07-27T07:22:45.704Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"24","32","Impact of transcutaneous electrical acupoint stimulation combined with aromatherapy on postoperative nausea and vomiting in patients undergoing microvascular decompression surgery: A prospective randomized study.","Luo","2025","English","yes","MAYBE","UNCERTAIN_TIMING","Four-arm randomized trial includes independently extractable TEAS-alone and control arms in microvascular decompression surgery; general anaesthesia is highly evident and PONV results are reported. The abstract does not state when TEAS was delivered.","TEAS timing is the sole eligibility uncertainty; the TEAS-alone arm is separable.","high","journal article; primary participant-results report","yes","8","1","timing","highly evident from microvascular decompression surgery","yes","TEAS alone arm and TEAS plus aromatherapy arm","control arm; TEAS-alone effect independently extractable","yes for TEAS-alone versus control comparison","yes; four-arm design contains TEAS-only and control arms","uncertain; not stated in abstract","yes; PONV","no","no","yes","2026-07-27T07:22:49.024Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"25","33","Effect of Transcutaneous Electrical Acupoint Stimulation on Postoperative Urinary Retention After Radical Hysterectomy for Cervical Cancer: Study Protocol for A Pilot Randomized Controlled Trial.","Li","2026","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract explicitly identify a pilot randomized trial protocol; treatment and analyses are planned and no participant results are reported.","Protocol without participant results.","high","trial protocol","no","5","0","","highly evident from radical hysterectomy","planned randomized trial only","planned TEAS","planned sham TEAS","planned balanced","planned separable comparison","uncertain; treatment after established urinary retention with no start time stated","planned only","no","no","yes","2026-07-27T07:22:49.648Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"26","34","Electroacupuncture for slow flow/no-reflow in patients with acute myocardial infarction undergoing percutaneous coronary intervention: a pilot randomized controlled trial.","Wei","2026","English","yes","NO","EXCLUDE_NON_SURGICAL","Randomized pilot trial during percutaneous coronary intervention for acute myocardial infarction. PCI is a percutaneous treatment, not operative surgery, and general anaesthesia is not supported.","Non-operative percutaneous procedure.","high","journal article; primary participant-results report","yes","5","0","","no evidence; PCI commonly performed without general anaesthesia","yes","needle electroacupuncture at PC6 and PC4","PCI alone","yes","yes","yes; intra-procedural","yes; flow, pain, anxiety, and adverse events","no","no","yes","2026-07-27T07:23:54.273Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"27","35","Perioperative transcutaneous electrical acupoint stimulation at pericardium 6 reduces postoperative nausea and vomiting after tympanoplasty patients: a randomized controlled study.","Luo","2026","English","yes","MAYBE","UNCERTAIN_GENERAL_ANAESTHESIA","Adult randomized sham-controlled PC6 TEAS study during the perioperative period for tympanoplasty with PONV, pain, rescue antiemetic, recovery, and adverse-event outcomes. Tympanoplasty may use general or local anaesthesia, and the abstract does not specify the technique.","Anaesthetic technique is the sole eligibility uncertainty.","high","journal article; primary participant-results report","yes","8","1","general_anaesthesia","uncertain","yes","TEAS at PC6","sham TEAS","yes","yes","yes; described as perioperative","yes; PONV, pain, recovery, rescue antiemetics","no","no","yes","2026-07-27T07:23:57.621Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"28","36","Effect of Electroacupuncture on Postoperative Urinary Retention After Radical Hysterectomy for Cervical Cancer: Study Protocol for A Randomized Controlled Trial.","Lu","2026","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title and abstract explicitly identify a randomized controlled trial protocol; interventions and analyses are planned and no participant results are reported.","Protocol without participant results.","high","trial protocol","no","5","0","","highly evident from radical hysterectomy","planned randomized trial only","planned EA","planned sham EA","planned balanced","planned separable comparison","uncertain; treats established urinary retention with no initiation time","planned only","no","no","yes","2026-07-27T07:23:58.271Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"29","37","The efficacy of transcutaneous electrical acupoint stimulation on postoperative nausea and vomiting after laparoscopic surgery: a meta-analysis of randomized controlled trials.","Qin","2026","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The title and abstract explicitly describe a systematic review and meta-analysis of nine randomized trials, not a primary participant-results report.","Systematic review and meta-analysis.","high","systematic review and meta-analysis","no primary participant results","0","0","","not applicable","no; review of RCTs","TEAS review","varied across included studies","not applicable","not applicable","not applicable","pooled outcomes only","no","no","yes","2026-07-27T07:24:01.592Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"30","38","[Study on the rules of clinical application of acupuncture for prevention and treatment of perioperative neurocognitive disorder in elderly patients based on data mining].","Wu","2026","English","yes","NO","EXCLUDE_PUBLICATION_TYPE","The study retrieved 69 publications and performed data mining of acupuncture methods, acupoints, and timing; it reports no original participant results.","Evidence-synthesis/data-mining publication, not a primary trial.","high","data-mining review","no primary participant results","0","0","","not applicable","no; review of RCTs","mixed acupuncture evidence synthesis","not applicable","not applicable","not applicable","not applicable","no original clinical outcomes","no","no","yes","2026-07-27T07:24:04.921Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"31","39","[Effect of preoperative percutaneous auricular electroacupuncture stimulation on anxiety and postoperative recovery quality in patients with breast cancer].","Li","2026","English","yes","NO","EXCLUDE_WRONG_INTERVENTION","The intervention is percutaneous electrical stimulation at auricular points, an explicitly excluded auricular modality.","Excluded auricular electrical acupuncture intervention.","high","journal article; primary participant-results report","yes","7","0","","highly evident from breast surgery but not explicit","yes","percutaneous auricular point electrical stimulation","sham auricular stimulation","yes","yes but intervention ineligible","yes; three days preoperative through surgery day","yes; recovery, pain, analgesic use, anxiety, sleep","no","no","yes","2026-07-27T07:24:39.154Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"32","40","[Transcutaneous electrical acupoint stimulation reduces perioperative arrhythmia risk and improves recovery quality in laparoscopic cholecystectomy: mechanisms involving suppression of repolarization abnormalities induced by CO2 pneumoperitoneum].","Tian","2026","English","yes","YES","INCLUDE_ELIGIBLE","Patients undergoing elective laparoscopic cholecystectomy were randomized to TEAS at PC6 and TE5 before anaesthesia and throughout surgery or control. Anaesthesia induction and CO2 pneumoperitoneum make general anaesthesia highly evident. Emergence time and postoperative pain were clinical outcomes.","Clearly eligible perioperative TEAS randomized trial.","high","journal article; primary participant-results report","yes","9","0","","highly evident from anaesthesia induction and laparoscopic pneumoperitoneum","yes","TEAS at PC6 and TE5","control without TEAS","yes","yes","yes; before anaesthesia through surgery","yes; emergence time and postoperative pain","no","no","yes","2026-07-27T07:24:42.604Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"33","41","Effects of electroacupuncture combined with flurbiprofen axetil on postoperative pain and early functional recovery after breast cancer surgery.","He","2026","English","yes","YES","INCLUDE_ELIGIBLE","Randomized trial in breast cancer surgery comparing EA with sham acupuncture from 30 minutes before anaesthesia induction through surgery; both groups received postoperative flurbiprofen. General anaesthesia is highly evident. Postoperative pain, function, and complications were reported.","Clearly eligible perioperative EA randomized trial with balanced medication.","high","journal article; primary participant-results report","yes","9","0","","highly evident from anaesthesia induction and surgery","yes","needle electroacupuncture","sham acupuncture","yes; both received flurbiprofen","yes","yes; 30 minutes before induction through surgery","yes; pain, function, and complications","no","no","yes","2026-07-27T07:24:43.672Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"34","42","Efficacy of transcutaneous electrical acupoint stimulation on early mobilisation in patients undergoing unilateral biportal endoscopic discectomy: a study protocol for a randomised controlled trial.","Luo","2026","English","yes","NO","EXCLUDE_PROTOCOL_NO_RESULTS","The title explicitly identifies a study protocol; the abstract states the trial will enroll participants and reports no participant results.","Protocol without participant results.","high","trial protocol","no","8","0","","yes; standardized general anaesthesia planned","planned randomized trial only","planned TEAS at PC6, GV14, BL57, and SP6","planned non-acupoint sham stimulation","planned balanced ERAS care","planned separable comparison","planned 30 minutes before surgery through procedure","planned only","no","no","yes","2026-07-27T07:24:47.446Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"35","43","Effect of Continuous Perioperative Transcutaneous Electrical Acupoint Stimulation on Postoperative Delirium in Elderly Patients Undergoing Laparoscopic Gastrointestinal Surgery: A Randomized Controlled Trial.","Gao","2026","English","yes","YES","INCLUDE_ELIGIBLE","Elderly laparoscopic gastrointestinal surgical patients were randomized to continuous TEAS, twice-TEAS, or sham. TEAS at defined acupoints began 30 minutes before anaesthesia induction and before surgery end. Laparoscopy and induction make general anaesthesia highly evident. Delirium, PONV, dizziness, gastrointestinal recovery, sleep, and adverse events were reported.","Clearly eligible perioperative TEAS randomized trial.","high","journal article; primary participant-results report","yes","9","0","","highly evident from laparoscopic surgery and anaesthesia induction","yes","TEAS at EX-HN3, HT7, PC6, and ST36","sham TEAS","yes","yes","yes; first session before induction","yes; delirium, PONV, recovery, sleep, and adverse events","no","no","yes","2026-07-27T07:24:50.794Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"36","45","[Effects of TEAS and acupoint pressing on the quality of life of breast cancer patients during perioperative chemotherapy: a randomized controlled trial].","Han","2025","English","yes","NO","EXCLUDE_NON_SURGICAL","The population received TEAS across four chemotherapy cycles; no operative surgery, general anaesthesia, or acute perioperative stimulation relative to surgery is described.","Chemotherapy supportive-care study without an operative surgical context.","high","journal article; primary participant-results report","yes","4","0","","no","yes","TEAS during chemotherapy cycles","acupressure and conventional treatment arms","yes","yes; TEAS arm versus conventional treatment","no acute surgical timing","quality of life, sleep, anxiety, and depression during chemotherapy","no","no","yes","2026-07-27T07:25:24.645Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"37","48","Effect of transcutaneous electrical acupoint stimulation for preemptive analgesia on intraoperative opioid dosage in burn patients: a randomized, double-blind, controlled trial.","Liu","2026","English","yes","YES","INCLUDE_ELIGIBLE","Adult burn patients undergoing wound debridement under explicitly stated general anaesthesia were randomized to TEAS at LI4, PC6, ST36, and SP6 for 30 minutes before induction or false stimulation. Intraoperative opioid use, postoperative pain, adverse effects, and rescue analgesia were reported.","Clearly eligible preoperative TEAS randomized trial.","high","journal article; primary participant-results report","yes","9","0","","yes; explicitly stated","yes","TEAS at LI4, PC6, ST36, and SP6","false stimulation","yes","yes","yes; 30 minutes before induction","yes; opioid use, pain, adverse effects, rescue analgesia","no","no","yes","2026-07-27T07:25:25.293Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"38","49","Preventive effect of transcutaneous acupoint electrical stimulation on emergence agitation after general anesthesia in pediatric patients undergoing tonsillectomy: A randomized clinical trial.","Li","2026","English","yes","NO","EXCLUDE_POPULATION","The trial explicitly enrolled pediatric patients undergoing tonsillectomy; the review is restricted to adults aged 18 years or older.","Pediatric-only population.","high","journal article; primary participant-results report","yes","8","0","","yes; explicitly stated","yes","TEAS at LI4 and PC6","control","yes","yes","yes; intraoperative","yes; emergence agitation, anaesthetic consumption, adverse events","no","no","yes","2026-07-27T07:25:28.722Z","none","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
