change_id,study,source_audit_batch,change_type,sheet,old_value_or_status,new_value_or_status,outcome_family,outcome_result,timepoint,intervention,comparator,source_pdf,drive_link,page,table_or_figure,reason,analysis_impact,primary_model_impact,rob2_action,resolved_or_hold
V34-00011,Chen 1998,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":11,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":11,""cells"":{""39"":""V33-OD-0011"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""EXISTING_RESULT_SPECIFIC: Some concerns"",""58"":""Postoperative opioid dose (native window/unit)"",""59"":""TEAS"",""60"":""Sham"",""61"":""first 24h postoperatively""}}",Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Active nonacupoint shoulder TENS,Sham ST36 TENS (0 mA),,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,Table 2 / first-24-h hydromorphone,Table 2 / first-24-h hydromorphone,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.","Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: Some concerns,INCLUDE
V34-00012,Chen 1998,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":12,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":12,""cells"":{""39"":""V33-OD-0012"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""EXISTING_RESULT_SPECIFIC: Some concerns"",""58"":""Postoperative opioid dose (native window/unit)"",""59"":""TEAS"",""60"":""Sham"",""61"":""first 24h postoperatively""}}",Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Active dermatomal/peri-incisional TENS,Sham ST36 TENS (0 mA),,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,Table 2 / first-24-h hydromorphone,Table 2 / first-24-h hydromorphone,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.","Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: Some concerns,INCLUDE
V34-00013,Chen 1998,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":13,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":13,""cells"":{""39"":""V33-OD-0013"",""55"":""INCLUDE"",""56"":""Locked strict primary result; prespecified source adjudication and conversions retained."",""57"":""EXISTING_LOCKED_PRIMARY: Some concerns"",""58"":""Postoperative opioid dose (native window/unit)"",""59"":""TEAS"",""60"":""Sham"",""61"":""cumulative 0–24 h (locked primary source adjudication)""}}",Opioid consumption,Cumulative IV PCA hydromorphone,First 24 h postoperatively,Active ST36 acupoint TENS,Sham ST36 TENS (0 mA),,https://drive.google.com/file/d/1lUyYj9aN1CL9RpY86ZY0970To83Kb17s/view?usp=drivesdk,Table 2 / first-24-h hydromorphone,Table 2 / first-24-h hydromorphone,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.",Locked strict primary result; prespecified source adjudication and conversions retained.,None — strict primary k=7 and numerical results unchanged,EXISTING_LOCKED_PRIMARY: Some concerns,INCLUDE
V34-00014,Chen 2020,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":14,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":14,""cells"":{""39"":""V33-OD-0014"",""55"":""INCLUDE"",""56"":""Locked strict primary result; prespecified source adjudication and conversions retained."",""57"":""EXISTING_LOCKED_PRIMARY: Some concerns"",""58"":""Postoperative opioid dose (native window/unit)"",""59"":""TEAS"",""60"":""Sham"",""61"":""cumulative 0–24 h (locked primary source adjudication)""}}",Opioid consumption,Cumulative sufentanil,24 h postoperatively,Perioperative TEAS,Sham low/zero-current protocol,,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,Cumulative sufentanil result,Cumulative sufentanil result,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.",Locked strict primary result; prespecified source adjudication and conversions retained.,None — strict primary k=7 and numerical results unchanged,EXISTING_LOCKED_PRIMARY: Some concerns,INCLUDE
V34-00015,Chen 2020,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":15,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":15,""cells"":{""39"":""V33-OD-0015"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""Pain — unspecified context"",""59"":""TEAS"",""60"":""Sham"",""61"":""24 h point""}}",Pain,VAS pain intensity,24 h postoperatively,Perioperative TEAS,Sham low/zero-current protocol,,https://drive.google.com/file/d/1y0_cC1NCl5g2vYxDMOtYmxVA_YEE-rsR/view?usp=drivesdk,24-h VAS result,24-h VAS result,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.","Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00016,Coura 2011,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":16,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":16,""cells"":{""39"":""V33-OD-0016"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""EXISTING_RESULT_SPECIFIC: High"",""58"":""Postoperative opioid dose (native window/unit)"",""59"":""EA"",""60"":""Sham"",""61"":""first 24h postoperatively""}}",Opioid consumption,Cumulative fentanyl,First 24 h postoperatively,Preoperative EA,Sham stimulation,,https://drive.google.com/file/d/120NJxCmxsdiyqWTXzjmaUWAaVa1i8iZz/view?usp=drivesdk,Published cumulative first-24-h fentanyl result,Published cumulative first-24-h fentanyl result,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.","Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: High,INCLUDE
V34-00017,Ao 2021,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":17,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":17,""cells"":{""39"":""V33-OD-0017"",""55"":""CONDITIONAL"",""56"":""No new graph digitization; historical digitized data require their original validation before pooling."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""Pain — unspecified context"",""59"":""TEAS"",""60"":""Sham"",""61"":""24 h point""}}",Pain,VAS pain intensity,24 h postoperatively,TEAS,Sham/no current,,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk,Figure-only 24-h VAS,Figure-only 24-h VAS,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.",No new graph digitization; historical digitized data require their original validation before pooling.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,CONDITIONAL
V34-00018,Ao 2021,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":18,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":18,""cells"":{""39"":""V33-OD-0018"",""55"":""NOT REPORTED"",""56"":""Accessed source does not supply the requested numerical result."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""Postoperative opioid dose (native window/unit)"",""59"":""TEAS"",""60"":""Sham"",""61"":""exact 0-24h""}}",Opioid consumption,Cumulative postoperative sufentanil,Exact 0-24 h,TEAS,Sham/no current,,https://drive.google.com/file/d/1tNFnY0fJpx53hrtY4DIaE1RsNjE55Xvd/view?usp=drivesdk,Article reports 48-h PCA framework only,Article reports 48-h PCA framework only,"Add current result identity, readiness and result-specific RoB metadata; original source values preserved.",Accessed source does not supply the requested numerical result.,None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,NOT REPORTED
V34-00019,Zhu 2022,1,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":19,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":19,""cells"":{""39"":""V33-OD-0019"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""Nausea"",""59"":""EA"",""60"":""Usual care"",""61"":""6-24h postoperatively""}}",PONV,Postoperative nausea,6-24 h postoperatively,EA day before surgery,Usual care alone,covidence_381_full_article.pdf,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,Table 2,Zhu CONSORT allocation 103/103/103/104 retained over conflicting abstract.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00020,Zhu 2022,1,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":20,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":20,""cells"":{""39"":""V33-OD-0020"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""EXISTING_RESULT_SPECIFIC: Some concerns"",""58"":""Vomiting"",""59"":""EA"",""60"":""Usual care"",""61"":""6-24h postoperatively""}}",PONV,Postoperative vomiting,6-24 h postoperatively,EA day before surgery,Usual care alone,covidence_381_full_article.pdf,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,Table 2,Zhu CONSORT allocation 103/103/103/104 retained over conflicting abstract.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: Some concerns,INCLUDE
V34-00021,Zhu 2022,1,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":21,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":21,""cells"":{""39"":""V33-OD-0021"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""Nausea"",""59"":""EA"",""60"":""Usual care"",""61"":""6-24h postoperatively""}}",PONV,Postoperative nausea,6-24 h postoperatively,EA 30 min before surgery,Usual care alone,covidence_381_full_article.pdf,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,Table 2,Zhu CONSORT allocation 103/103/103/104 retained over conflicting abstract.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00022,Zhu 2022,1,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":22,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":22,""cells"":{""39"":""V33-OD-0022"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""EXISTING_RESULT_SPECIFIC: Some concerns"",""58"":""Vomiting"",""59"":""EA"",""60"":""Usual care"",""61"":""6-24h postoperatively""}}",PONV,Postoperative vomiting,6-24 h postoperatively,EA 30 min before surgery,Usual care alone,covidence_381_full_article.pdf,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,Table 2,Zhu CONSORT allocation 103/103/103/104 retained over conflicting abstract.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: Some concerns,INCLUDE
V34-00023,Zhu 2022,1,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":23,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":23,""cells"":{""39"":""V33-OD-0023"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""ROB2_RESULT_SPECIFIC_PENDING"",""58"":""Nausea"",""59"":""EA"",""60"":""Usual care"",""61"":""6-24h postoperatively""}}",PONV,Postoperative nausea,6-24 h postoperatively,EA day before + 30 min before,Usual care alone,covidence_381_full_article.pdf,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,Table 2,Zhu CONSORT allocation 103/103/103/104 retained over conflicting abstract.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,ROB2_RESULT_SPECIFIC_PENDING,INCLUDE
V34-00024,Zhu 2022,1,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":24,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":24,""cells"":{""39"":""V33-OD-0024"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""EXISTING_RESULT_SPECIFIC: Some concerns"",""58"":""Vomiting"",""59"":""EA"",""60"":""Usual care"",""61"":""6-24h postoperatively""}}",PONV,Postoperative vomiting,6-24 h postoperatively,EA day before + 30 min before,Usual care alone,covidence_381_full_article.pdf,https://drive.google.com/file/d/1vux5IaubjInusplW6GJ2SsxhzibtSCe-/view?usp=drivesdk,Table 2,Table 2,Zhu CONSORT allocation 103/103/103/104 retained over conflicting abstract.,"Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: Some concerns,INCLUDE
V34-00025,Zhou 2025,,METADATA_CORRECTION,Outcome_Data,"{""excel_row"":25,""cells"":{""39"":null,""55"":null,""56"":null,""57"":null,""58"":null,""59"":null,""60"":null,""61"":null}}","{""excel_row"":25,""cells"":{""39"":""V33-OD-0025"",""55"":""INCLUDE"",""56"":""Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection."",""57"":""EXISTING_RESULT_SPECIFIC: High"",""58"":""QoR-15"",""59"":""TEAS"",""60"":""Sham"",""61"":""pod1""}}",Quality of recovery,Global QoR-15,POD1,PACU TEAS,Sham/no current,,https://drive.google.com/file/d/1gpNBuoukUttXKWiAAeZSqdIaaHSMOwDU/view?usp=drivesdk,"Table 2, p7","Table 2, p7","Add current result identity, readiness and result-specific RoB metadata; original source values preserved.","Numerically extractable in its native endpoint/time/statistic; pooling still requires compatible stratum, comparator and independent-arm selection.",None — strict primary k=7 and numerical results unchanged,EXISTING_RESULT_SPECIFIC: High,INCLUDE
