screening_sequence,covidence_number,title,first_author,publication_year,language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,concise_private_rationale,confidence_high_medium_low,translation_required_yes_no,possible_companion_report_yes_no,timestamp,interface_issue,notes
41,55,Clinical Efficacy and Safety Assessment of Specific-Mode Electroacupuncture Stimulation Combined With Paclitaxel for Recurrent Malignant Gliomas: Study Protocol for a Single-Arm Trial.,Jia,2026,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Single-arm protocol without results and outside operative perioperative care.,high,no,no,2026-07-23T10:15:09.184Z,,
42,56,Electroacupuncture improves psychosocial outcomes in rectal cancer patients with bowel dysfunction.,Wang,2026,English,yes,No,EXCLUDE_NON_RANDOMIZED,Retrospective controlled postoperative electroacupuncture study.,high,no,no,2026-07-23T10:15:09.903Z,,
43,57,Transcutaneous Electrical Acupoint Stimulation vs Metoclopramide for Moderate to Severe Postoperative Nausea and Vomiting: A Randomized Clinical Trial.,Zheng,2026,English,yes,Maybe,UNCERTAIN_COMPARATOR,"Randomized postoperative TEAS is otherwise eligible, but the active-drug comparator requires full-text eligibility review.",medium,no,no,2026-07-23T10:15:10.632Z,,
44,58,A systematic review and meta-analysis of acupuncture versus sham/placebo acupuncture for postoperative gastrointestinal dysfunction in cancer patients: Evidence from randomized controlled trials.,Zhu,2026,English,yes,No,EXCLUDE_PUBLICATION_TYPE,Systematic review/meta-analysis rather than a primary randomized trial report.,high,no,no,2026-07-23T10:15:11.504Z,,
45,59,A study on the efficacy of acupuncture combined with erector spinae plane blockade in patients undergoing thoracoscopic lung lobectomy.,Huang,2026,English,yes,No,EXCLUDE_NON_RANDOMIZED,Retrospective perioperative electroacupuncture study.,high,no,no,2026-07-23T10:15:11.939Z,,
46,62,Evidence-based acupuncture: Methodological insights and challenges in gastroenteroscopy recovery research.,Zhang,2026,English,yes,No,EXCLUDE_PUBLICATION_TYPE,Editorial rather than a primary randomized trial report.,high,no,no,2026-07-23T10:15:12.385Z,,
47,64,Investigating the efficacy of electroacupuncture for postoperative ileus in patients with colorectal cancer: study protocol for a multicentre clinical trial with neuroimaging assessment.,Wang,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,Electroacupuncture trial protocol without outcome results.,high,no,no,2026-07-23T10:15:13.091Z,,
48,65,Efficacy of perioperative transcutaneous electrical acupoint stimulation on postoperative pain and recovery in patients undergoing pancreatectomy: a study protocol for a randomized controlled trial.,Wu,2025,English,yes,No,EXCLUDE_PROTOCOL_NO_RESULTS,TEAS randomized trial protocol without outcome results.,high,no,no,2026-07-23T10:15:14.034Z,,
49,67,Electroacupuncture pretreatment ameliorates anesthesia and surgery-induced cognitive dysfunction in aged rats: insights from gut microbiota modulation.,Lei,2025,English,yes,No,EXCLUDE_ANIMAL,Rat experiment.,high,no,no,2026-07-23T10:15:14.723Z,,
50,68,"Letter to the Editor: a commentary on ""Transcutaneous electrical acupoint stimulation accelerates gastrointestinal function recovery after abdominal surgery: a systemic review and meta-analysis of randomized controlled trials"".",Ziyuan,2025,English,no,No,EXCLUDE_PUBLICATION_TYPE,Letter/commentary rather than a primary randomized trial report.,high,no,no,2026-07-23T10:15:15.170Z,,
