"screening_sequence","segment_number","segment_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","core_criteria_supported_count","core_criteria_uncertain_count","uncertain_criteria","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"2311","24","11","2680","Effectiveness and safety of the electroacupuncture for intractable neuropathic pain","KCT0003615","2019","English","yes","No","EXCLUDE_NON_SURGICAL","Population or treatment context is not perioperative surgery under general anesthesia.","Non-surgical or non-perioperative setting.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:31.200Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2312","24","12","2685","A Pragmatic Randomized Controlled Clinical Trial Study on the Efficacy of an Optimized Protocol Based on Traditional Auricular Acupuncture Techniques in Improving Anorexia in Patients with Advanced Malignant Tumors","ITMCTR2026000049","2026","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:31.891Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2313","24","13","2688","Prospective clinical trial of acupuncture in prevention and treatment of lymphedema of lower extremity after radiotherapy for gynecological tumor","ChiCTR2000029846","2020","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:32.789Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2314","24","14","2689","The Effectiveness of Electroacupuncture and Standard Therapy Compared to Standard Therapy in Gynecological Cancer Pain","NCT06073496","2023","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:33.525Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2315","24","15","2691","Mechanism Study on the Regulatory Effect of ""Tongdu Tiaoshen"" Electroacupuncture in Suppressing Chronic Insomnia Hyperarousal via Brain-Heart Interaction Modulation Based on NTSGlu-CVLMGABA Pathway","ITMCTR2026000321","2026","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:34.219Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2316","24","16","2692","Intelligent and precise rehabilitation system for acute gastrointestinal dysfunction in sepsis: key technologies and clinical applications of AI dynamic regulation of electroacupuncture and central nervous system regulation","ITMCTR2026000256","2026","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:34.895Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2317","24","17","2694","Efficacy of polydioxanone thread embedding acupuncture versus electroacupuncture for chronic sciatica due to lumbar disc herniation","TCTR20260316012","2026","English","yes","No","EXCLUDE_NON_SURGICAL","Population or treatment context is not perioperative surgery under general anesthesia.","Non-surgical or non-perioperative setting.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:35.559Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2318","24","18","2697","Effect of percutaneous electrical stimulation on immunity and prognosis of patients with open spine surgery","ChiCTR1900027533","2019","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:36.298Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2319","24","19","2698","Observation on the clinical effect of acupuncture and moxibustion on demeaning beauty","ITMCTR2024000600","2024","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:36.984Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2320","24","20","2699","Mint Tea for the Treatment of Nasal Polyps","NCT00465543","2007","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:37.659Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2321","24","21","2700","Inhaled Steroids for Acute Pharyngitis","NCT04027322","2019","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:38.315Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2322","24","22","2701","Comparison of oral consumption of pomegranate peel and Mefenamic Acid on Efrat tams disease","IRCT2017090936103N1","2017","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Intervention is not therapeutic TEAS or needle electroacupuncture at recognized acupoints.","Wrong intervention for this review.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:38.998Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2323","24","23","2703","Effect of irritant beverage intake on overactive bladder symptoms: a randomized controlled trial","Schimpf","2014","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Intervention is not therapeutic TEAS or needle electroacupuncture at recognized acupoints.","Wrong intervention for this review.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:39.645Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2324","24","24","2713","Mid- and long-term results of primary vs. secondary total elbow arthroplasty after index intra-articular fracture of the distal humerus in the elderly","Deml","2026","English","yes","No","EXCLUDE_WRONG_INTERVENTION","Intervention is not therapeutic TEAS or needle electroacupuncture at recognized acupoints.","Wrong intervention for this review.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:40.287Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2325","24","25","2715","Effect of transcutaneous electrical acupoint stimulation on postoperative delirium in older patients undergoing laparoscopic gastrointestinal surgery: A randomized controlled trial","Jiang","2026","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:40.912Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2326","24","26","2720","Effectiveness of transcutaneous electrical acupoint stimulation combined with press needle therapy for pain control after caesarean section: A randomized controlled trial","Qin","2026","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:42.004Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2327","24","27","2271","Effect of Electroacupuncture Intervention on Early Postoperative Cognitive Function of Elderly Patients with Spinal Fusion Surgery","ChiCTR1900027013","2019","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:42.838Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2328","24","28","2272","Effect of electroacupuncture combined with thoracic paravertebral block on patients after Video-assisted thoracoscopic surgery of lung cancer: a randomized clinical trial","ChiCTR2100049729","2021","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:57.314Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2329","24","29","2273","Effect of electroacupuncture on the incidence of delirium in elderly patients after major surgery","ChiCTR1800015804","2018","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:57.953Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2330","24","30","2274","Clinical study on the effect of percutaneous electrical stimulation on chronic pain after breast cancer surgery","ChiCTR2200058087","2022","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:58.750Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2331","24","31","2275","The effect of intraoperative transcutanclus electrical acupoint stimulation on hyperalgesia and pain after caesarean section","ChiCTR2200058422","2022","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:55:59.366Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2332","24","32","2277","Effect of Prestimulationon of Electroacupuncture on Postoperative Delirium in Elderly Patients undergoing Laparoscopic Radical ProstatectomyA Double-centerprospectivedouble-blindrandomizedcontrolled trail","ITMCTR2024000490","2024","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:00.030Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2333","24","33","2278","Rearsh on the correlation between analgesia and immune regulation with perioperative acupoint electroacupuncture","ITMCTR2024000575","2024","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:00.643Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2334","24","34","2280","Electroacupuncture for acute postoperative pain after video-assisted thoracoscopic surgery: a randomized controlled trial","ITMCTR2024000170","2024","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:01.287Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2335","24","35","2281","Study on the efficacy of electroacupuncture therapy on the expression of postoperative inflammatory indexes and postoperative anesthesia-related efficacy in patients undergoing general anesthesia combined with scalp nerve block craniovertebral repair sur","ITMCTR2024000663","2024","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:02.080Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2336","24","36","2282","Clinical Study on Electroacupuncture Intervention of Pain after Shoulder Arthroscopic Surgery","ChiCTR2300068773","2023","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:02.863Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2337","24","37","2284","Effect of electroacupuncture prestimulation on early cognitive function after hip replacement in elderly patients and its mechanism","ChiCTR2400081816","2024","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:03.499Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2338","24","38","2285","Effectiveness of Electroacupuncture on Ureteral Access Sheath Placement Success Rate in First-Stage Flexible Ureteroscopy Urolithiasis: a Randomized Single-Blind Sham Electroacupuncture-Controlled Multicenter Clinical Trial","ITMCTR2025001039","2025","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:04.302Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2339","24","39","2286","Clinical Study on the Prevention and Treatment of Postoperative Cognitive Dysfunction under General Anesthesia with Electroacupuncture","ITMCTR2025000143","2025","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:05.080Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2340","24","40","2287","Acupuncture of postoperative ileus after laparoscopic surgery for colorectal cancer: a fMRI study","ITMCTR2024000504","2024","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:05.676Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2341","24","41","2288","A Clinical Trial on the Efficacy of Electroacupuncture in Alleviating Postoperative Pain Following Lumbar Disc Herniation Surgery","ITMCTR2025000360","2025","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:06.278Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2342","24","42","2290","Electroacupuncture for acute pain after total knee arthroplasty: a randomized controlled trial","ChiCTR1800016200","2018","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:07.093Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2343","24","43","2293","The effect of electroacupuncture on sleep quality in patients after laparoscopic cholecystectomy: a randomized controlled clinical study","ITMCTR2025000267","2025","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:07.664Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2344","24","44","2294","Electroacupuncture for postoperative ileus after colorectal cancer surgery: a randomized controlled clinical study","ChiCTR1900027466","2019","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:08.408Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2345","24","45","2298","Clinical study of percutaneous electrical stimulation to improve perioperative lung function in patients with thoracic traumatic fractures","ChiCTR2300077050","2023","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:09.180Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2346","24","46","2299","Effect of percutaneous acupoint electrical stimulation on perioperative anxiety in patients undergoing laparoscopic sleeve gastrectomy","ChiCTR2400093495","2024","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:09.757Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2347","24","47","2300","Effects of combined pericapsular nerve group block with transcutanclus electrical acupoint stimulation on total hip arthroplasty","ITMCTR2200005873","2022","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:10.464Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2348","24","48","2301","Evaluation of electroacupuncture anesthesia for unsedated colonoscopy—— A prospective, randomized, double-blinded, sham-controlled study","ChiCTR2300069903","2023","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:11.099Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2349","24","49","2302","Evaluation of electroacupuncture for esophageo-gastro-duodenoscopy in improving side effects and tolerance: a randomized, double-blinded, sham-controlled study","ChiCTR2300069451","2023","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:11.679Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2350","24","50","2303","Effect of electroacupuncture stimulation on postoperative delirium in elderly patients undergoing laparoscopic radical prostatectomy: a double-center, prospective, double-blind, randomized controlled trial","ChiCTR2500097337","2025","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:12.405Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
"2351","24","51","2304","Clinical efficacy evaluation of electroacupuncture intervention in postoperative intestinal paralysis after laparoscopic resection of colorectal cancer","ITMCTR2025001392","2025","English","yes","No","EXCLUDE_PROTOCOL","Trial registration or study protocol without primary participant results.","No primary study results available for eligibility assessment.","high","other","unclear","0","0","","unclear","unclear","unclear","not_applicable","not_applicable","not_applicable","unclear","not_applicable","not_applicable","no","no","yes","2026-07-28T17:56:13.172Z","chrome_extension_playwright","Vote registered after one click; citation left the active queue. No history, conflict, comment, or tag interface was opened."
