analysis_id,outcome_family,outcome,time_point,modality,comparator,k,N,effect_measure,primary_sensitivity_exploratory_status,stata_model,estimate,lower_95_ci,upper_95_ci,p_value,i2,tau2,prediction_interval_lower,prediction_interval_upper,stata_dataset,stata_command,do_file,log_file,dashboard_displayed_estimate,dashboard_displayed_ci,dashboard_displayed_k,match_status,discrepancy_explanation,final_verification_status
AN-04,Rescue Opioid / Analgesia Outcomes,Incidence of Requiring Rescue Analgesia,0–24 h to 0–48 h,Combined,Sham,9,880,Risk Ratio (RR),SECONDARY,Random-Effects REML + Knapp-Hartung,0.546,0.388,0.768,0.0035,18.34,0.0384,0.32,0.93,stata/stata_rescue_analgesia_data.csv,"meta summarize, random(reml) se(kh) transform(exp) predinterval",stata/04_rescue_analgesia.do,stata/logs/04_rescue_analgesia.log,0.55,"[0.39, 0.77]",9,EXACT MATCH,Binary rescue analgesia requirement.,VERIFIED
AN-05,Rescue Opioid / Analgesia Outcomes,Rescue Opioid Dose Consumed,0–24 h,TEAS,Sham,3,202,Mean Difference (mg IV MME),SECONDARY,Random-Effects REML + Knapp-Hartung,-2.571,-5.733,0.591,0.0768,94.12,2.3412,,,stata/logs/05_rescue_opioid_dose.log,"meta summarize, random(reml) se(kh)",stata/05_rescue_opioid_dose.do,stata/logs/05_rescue_opioid_dose.log,-2.57,"[-5.73, +0.59]",3,EXACT MATCH,Continuous rescue opioid consumption.,VERIFIED
AN-06,Rescue Opioid / Analgesia Outcomes,Time to First Rescue Analgesia,Postoperative interval,TEAS,Sham,3,264,Incompatible (min mean vs median h vs KM),SECONDARY,Narrative Tabulation,,,,,,,,,stata/logs/06_time_to_rescue.log,Format classification and audit,stata/06_time_to_rescue.do,stata/logs/06_time_to_rescue.log,Narrative,Incompatible scales,3,EXACT MATCH,"Incompatible metrics: Sun 2017 (mean min), Hou 2023 (median h), Tu 2024 (Kaplan-Meier survival curve). Pooling inappropriate.",NOT APPROPRIATE TO POOL
AN-07,PCA-Related Outcomes,PCA Demands vs Deliveries vs Dose,0–24 h to 0–48 h,TEAS / EA,Sham / Control,6,480,Device Press Counts & Milligrams,SECONDARY,Device Audit & Narrative Synthesis,,,,,,,,,stata/logs/07_pca_outcomes.log,PCA settings audit,stata/07_pca_outcomes.do,stata/logs/07_pca_outcomes.log,Narrative,Audit table,6,EXACT MATCH,"PCA button presses represent patient pain behavior, not pharmacological exposure. Prevented double-counting.",NOT APPROPRIATE TO POOL
AN-08,Intraoperative Opioid Exposure,Intraoperative Remifentanil Dose (µg),Intraoperative,Combined (TEAS + EA),Sham,11,760,Mean Difference (µg remifentanil),SECONDARY,Random-Effects REML + Knapp-Hartung,-108.31,-175.76,-40.86,0.0051,88.45,7842.12,-312.4,95.8,stata/stata_intraop_remifentanil_data.csv,"meta summarize, random(reml) se(kh) predinterval",stata/08_intraoperative_opioids.do,stata/logs/08_intraoperative_opioids.log,-108.31,"[-175.76, -40.86]",11,EXACT MATCH,Intraoperative remifentanil dose in µg.,VERIFIED
AN-09,Opioid-Related or Postoperative Adverse Outcomes,Postoperative Nausea & Vomiting (PONV),0–24 h to 0–48 h,Combined (TEAS + EA),Sham / Control,17,1974,Risk Ratio (RR),SECONDARY,Random-Effects REML + Knapp-Hartung,0.584,0.465,0.733,0.0001,72.18,0.1245,0.28,1.21,stata/stata_secondary_synthesis_data.csv,"meta summarize, random(reml) se(kh) transform(exp) predinterval",stata/09_ponv.do,stata/logs/09_ponv.log,0.58,"[0.46, 0.73]",17,EXACT MATCH,PONV incidence. TEAS/EA may exert direct antiemetic actions at PC6.,VERIFIED
AN-10,Opioid-Related or Postoperative Adverse Outcomes,"Other Adverse Events (Pruritus, Sedation, Urinary Retention)",Postoperative hospital stay,TEAS / EA,Sham / Control,12,1420,Narrative Incidence Synthesis,SECONDARY,Sparse Event Narrative Audit,,,,,,,,,stata/logs/10_other_adverse_outcomes.log,Adverse events tabulation,stata/10_other_adverse_outcomes.do,stata/logs/10_other_adverse_outcomes.log,0 serious adverse events,Narrative,12,EXACT MATCH,Zero respiratory depression events. Rare pruritus and urinary retention.,VERIFIED
AN-11,Postoperative Pain Intensity,Pain Intensity at ~24h at Rest,24 h,Combined (TEAS + EA),Sham / Control,15,1332,Mean Difference (VAS / NRS 0–10),SECONDARY,Random-Effects REML + Knapp-Hartung,-0.631,-0.942,-0.32,0.0006,98.24,0.312,-1.88,0.62,stata/stata_secondary_synthesis_data.csv,"meta summarize, random(reml) se(kh) predinterval",stata/11_pain.do,stata/logs/11_pain.log,-0.63,"[-0.94, -0.32]",15,EXACT MATCH,Resting pain at ~24h (one effect per study).,VERIFIED
AN-12,Secondary Postoperative Recovery Outcomes,Time to First Postoperative Flatus (Hours),Postoperative recovery,Combined (TEAS + EA),Sham / Control,10,1328,Mean Difference (Hours),SECONDARY,Random-Effects REML + Knapp-Hartung,-3.424,-5.454,-1.394,0.0041,94.38,7.214,-9.92,3.07,stata/stata_secondary_synthesis_data.csv,"meta summarize, random(reml) se(kh) predinterval",stata/12_patient_reported_outcomes.do,stata/logs/12_patient_reported_outcomes.log,-3.42,"[-5.45, -1.39]",10,EXACT MATCH,Time to first flatus.,VERIFIED
AN-13,Patient-Centred Outcomes,"Validated PROMs (QoR-15, QoR-40, Patient Satisfaction)",24 h to discharge,TEAS / EA,Sham / Control,4,380,Narrative Synthesis,SECONDARY,Narrative Reporting Frequency Audit,,,,,,,,,stata/logs/12_patient_reported_outcomes.log,PROMs audit,stata/12_patient_reported_outcomes.do,stata/logs/12_patient_reported_outcomes.log,Sparse reporting (4/63),Narrative,4,EXACT MATCH,Infrequently reported across included evidence base; documented as evidence gap.,INSUFFICIENT DATA
AN-14,Longer-Term Opioid Outcomes,"Post-Discharge Opioid Use (7d, 30d, 90d, Persistent Use)",7 to 90 days,TEAS / EA,Sham / Control,0,0,None,EXPLORATORY,Evidence Gap Documentation,,,,,,,,,None reported,Evidence gap search,None,None,Unreported (0/63),Evidence gap,0,EXACT MATCH,No included RCTs followed patients for chronic/persistent post-discharge opioid consumption.,INSUFFICIENT DATA
AN-15,Exploratory Study-Level Meta-Regression,Moderator: Baseline Control Opioid Consumption,24 h,Combined,Sham / Control,11,945,Regression Slope β,EXPLORATORY,Random-Effects REML + Knapp-Hartung,-0.17,-0.304,-0.036,0.0186,99.47,15.28,,,stata/stata_consensus_synthesis_data.csv,"meta regress arm2_mean_mme, random(reml) se(kh)",stata/17_meta_regression.do,stata/logs/17_meta_regression.log,-0.17,"[-0.30, -0.04]",11,EXACT MATCH,Baseline control opioid explains 49.08% of between-study variance tau2.,VERIFIED
AN-16,Exploratory Study-Level Meta-Regression,Moderator: Publication Year,24 h,Combined,Sham / Control,11,945,Regression Slope β,EXPLORATORY,Random-Effects REML + Knapp-Hartung,0.471,0.062,0.881,0.0286,96.68,5.158,,,stata/stata_consensus_synthesis_data.csv,"meta regress year, random(reml) se(kh)",stata/17_meta_regression.do,stata/logs/17_meta_regression.log,0.47,"[+0.06, +0.88]",11,EXACT MATCH,Later year associated with smaller effect; explains 82.81% of tau2. Secular trends.,VERIFIED
AN-17,Exploratory Study-Level Meta-Regression,Moderator: Proportion Female Participants (%),24 h,Combined,Sham / Control,11,945,Regression Slope β,EXPLORATORY,Random-Effects REML + Knapp-Hartung,-0.013,-0.191,0.165,0.8753,99.76,33.72,,,stata/stata_consensus_synthesis_data.csv,"meta regress pct_female, random(reml) se(kh)",stata/17_meta_regression.do,stata/logs/17_meta_regression.log,-0.01,"[-0.19, +0.17]",11,EXACT MATCH,No association detected (R2 = 0.00%). Ecological fallacy warning attached.,VERIFIED
