result_id,study,trial_id,comparison_id,intervention,comparator,modality,comparator_class,family,outcome,window,population,n_i,n_c,mean_i,sd_i,mean_c,sd_c,events_i,events_c,unit,data_type,source_location,source_quote,source_pdf,source_sha256,source_qc,legacy_eligibility,decision,rationale,models,factor,registered_construct,systemic_capture
V33-OD-0016,Coura 2011,Coura_2011,COURA11_EA_vs_SHAM,Preoperative EA,Sham stimulation,EA,Sham,Opioid consumption,Cumulative fentanyl,First 24 h postoperatively,Outcome-specific analyzed population,13.0,9.0,13.1,2.2,16.3,1.6,,,µg/kg fentanyl,Mean/SD,Published cumulative first-24-h fentanyl result,,TEAS EA Verification/Source PDFs/covidence_819_full_article.pdf,4e6e6512dd139c7b914b56c3b22b6c05eb6c884675c03db02a924eec5a6f7be6,10/32 post-randomization exclusions; supplemental morphine/fentanyl inclusion unclear,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,;opioid24_EA_sham_fentanyl_per_kg,1,systemic opioid end surgery through24h,UNCLEAR / PCA OR NORMALIZED DOSE ONLY
V33-OD-0107,Sim 2002,Sim_2002,SIM02_PREOP_vs_PLACEBO_MORPH24,Preoperative EA,Placebo EA,EA,Sham,Opioid consumption,Cumulative postoperative IV PCA morphine,0-24 h,Outcome-specific analyzed population,30.0,30.0,0.52,0.19,0.68,0.38,,,mg/kg morphine,Mean/SD,Figure 4 / cumulative 24-h morphine,,TEAS EA Verification/Source PDFs/covidence_952_full_article.pdf,1cf418faabb4104db030b3f0b0196783cd6198d2ff5ed51c539c88ca51e6bd8a,Do not convert mg/kg to absolute mg using group mean body weight; aggregate means cannot reconstruct individual absolute dose,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,;opioid24_EA_sham_weight_normalized,1,systemic opioid end surgery through24h,UNCLEAR / PCA OR NORMALIZED DOSE ONLY
V33-OD-0108,Sim 2002,Sim_2002,SIM02_POSTOP_vs_PLACEBO_MORPH24,Postoperative EA,Placebo EA,EA,Sham,Opioid consumption,Cumulative postoperative IV PCA morphine,0-24 h,Outcome-specific analyzed population,30.0,30.0,0.58,0.27,0.68,0.38,,,mg/kg morphine,Mean/SD,Figure 4 / cumulative 24-h morphine,,TEAS EA Verification/Source PDFs/covidence_952_full_article.pdf,1cf418faabb4104db030b3f0b0196783cd6198d2ff5ed51c539c88ca51e6bd8a,Postoperative EA is a distinct randomized timing arm and must not be merged with preoperative EA,INCLUDE,SENSITIVITY,Source construct/window/contrast reviewed; direct data admitted.,;opioid24_EA_sham_weight_normalized,1,systemic opioid end surgery through24h,UNCLEAR / PCA OR NORMALIZED DOSE ONLY
V33-OD-0184,Lee 2011,Lee_2011,LEE11_LOW_vs_SHAM_MORPH24,Low-frequency dense-sparse SSP,Sham SSP,TEAS,Sham,Opioid consumption,Cumulative IV PCA morphine delivered,First 24 postoperative hours,Outcome-specific analyzed population,10.0,12.0,29.29,8.89,34.2,6.4,,,mg IV morphine,Mean/SD,Table 8 / total morphine delivered,,retrieved_pdfs/049_lee_2011.pdf,7ccfcd9d5a6cb8d3957f2666285774d528469a929b619a9e28a7c2b56ca36fe5,Two of 12 low-frequency participants discontinued because they could not complete VAS; publication analyzed 47/49 with no ITT,INCLUDE,SENSITIVITY,Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.,;opioid_partial_TEAS_sham,1,systemic opioid end surgery through24h,UNCLEAR / PCA OR NORMALIZED DOSE ONLY
V33-OD-0185,Lee 2011,Lee_2011,LEE11_HIGH_vs_SHAM_MORPH24,100-Hz SSP,Sham SSP,TEAS,Sham,Opioid consumption,Cumulative IV PCA morphine delivered,First 24 postoperative hours,Outcome-specific analyzed population,12.0,12.0,31.14,8.15,34.2,6.4,,,mg IV morphine,Mean/SD,Table 8 / total morphine delivered,,retrieved_pdfs/049_lee_2011.pdf,7ccfcd9d5a6cb8d3957f2666285774d528469a929b619a9e28a7c2b56ca36fe5,Four-arm RCT; do not reconstruct total dose by summing interval means,INCLUDE,SENSITIVITY,Lee Table8 excludes recovery-room doses; combine low/high arms; sham interval sum differs fromTable8.,;opioid_partial_TEAS_sham,1,systemic opioid end surgery through24h,UNCLEAR / PCA OR NORMALIZED DOSE ONLY
V33-OD-0111,Ntritsou 2014,Ntritsou_2014,NTRI14_EA_vs_SHAM_TRAMSUM,Perioperative EA + tramadol/ketamine,Sham + tramadol/ketamine,EA,Sham,Opioid consumption,Total tramadol exposure,Perioperative / first 24 h most consistent with protocol; table does not restate window,Outcome-specific analyzed population,35.0,35.0,443.7,67.4,461.5,63.2,,,mg tramadol,Mean/SD,Table 1 / tramadol sum,,TEAS EA Verification/Source PDFs/covidence_729_full_article.pdf,f75d422117f1c9468f6bfaf215e0c43c38fd842380657e42e1508b6a9aa13242,Includes scheduled/background tramadol and likely rescue tramadol; rescue morphine quantity not reported,INCLUDE,EXCLUDE,Outside defined quantitative estimands; retained in full descriptive extraction.,,1,systemic opioid end surgery through24h,UNCLEAR / PCA OR NORMALIZED DOSE ONLY
V33-OD-0190,Jin 2023,Jin_2023,JIN23_2HZ_vs_SHAM_VOL24,2-Hz postoperative EA,Sham nonpenetrating EA/no current,EA,Sham,Opioid consumption,Published 'fentanyl consumption' / PCIA solution volume,24 h,Outcome-specific analyzed population,53.0,52.0,39.31,15.58,56.54,12.5,,,mL PCIA solution,Mean/SD,Table 3 / 24-h 'fentanyl consumption',,retrieved_pdfs/009_jin_2023.pdf,928c915846bbaba438191b56e2ce56d1cbfc88d52a6b213a40270366b05edf50,Main article does not report fentanyl concentration. Do not convert mL to µg/mg/MME. 2-Hz vs 20/100-Hz inferential statistics conflict between table and prose,INCLUDE,HOLD,General anaesthesia unverified from available main report.,,1,systemic opioid end surgery through24h,UNCLEAR / PCA OR NORMALIZED DOSE ONLY
V33-OD-0191,Jin 2023,Jin_2023,JIN23_20100_vs_SHAM_VOL24,20/100-Hz postoperative EA,Sham nonpenetrating EA/no current,EA,Sham,Opioid consumption,Published 'fentanyl consumption' / PCIA solution volume,24 h,Outcome-specific analyzed population,53.0,52.0,45.72,16.92,56.54,12.5,,,mL PCIA solution,Mean/SD,Table 3 / 24-h 'fentanyl consumption',,retrieved_pdfs/009_jin_2023.pdf,928c915846bbaba438191b56e2ce56d1cbfc88d52a6b213a40270366b05edf50,Main article does not report fentanyl concentration. Do not convert mL to µg/mg/MME. 2-Hz vs 20/100-Hz inferential statistics conflict between table and prose,INCLUDE,HOLD,General anaesthesia unverified from available main report.,,1,systemic opioid end surgery through24h,UNCLEAR / PCA OR NORMALIZED DOSE ONLY
V33-OD-0067,Xie 2014,Xie_2014,XIE14_EAS_vs_SHAM_TOTALSUF,Active EAS PC4/PC6,Sham needling PC4/PC6,EA,Sham,Opioid consumption,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,Outcome-specific analyzed population,20.0,20.0,115.0,6.0,133.0,7.0,,,µg sufentanil,Mean/SD,Table 2 / total sufentanil,,TEAS EA Verification/Source PDFs/covidence_701_full_article.pdf,266dbdedc8cd25d5a1062363b7ead083bd8d7f939052db59b24463cdf7f795a3,Infusion described through POD3; Discussion mentions lower use through 48 h; Table 2 does not define fixed window,HOLD,HOLD,"Source ambiguity or unavailable required statistic: Unresolved source statistic, denominator or timepoint.",,1,systemic opioid end surgery through24h,UNCLEAR / PCA OR NORMALIZED DOSE ONLY
V33-OD-0068,Xie 2014,Xie_2014,XIE14_EAS_vs_CONTROL_TOTALSUF,Active EAS PC4/PC6,General-anesthesia control,EA,CONTROL_TYPE_REVIEW_REQUIRED,Opioid consumption,Total postoperative/perioperative sufentanil,Study PCA period; exact fixed window unclear,Outcome-specific analyzed population,20.0,20.0,115.0,6.0,134.0,5.9,,,µg sufentanil,Mean/SD,Table 2 / total sufentanil,,TEAS EA Verification/Source PDFs/covidence_701_full_article.pdf,266dbdedc8cd25d5a1062363b7ead083bd8d7f939052db59b24463cdf7f795a3,Three-arm shared-intervention structure; exact fixed observation window not established,HOLD,HOLD,"Source ambiguity or unavailable required statistic: Unresolved source statistic, denominator or timepoint.",,1,systemic opioid end surgery through24h,UNCLEAR / PCA OR NORMALIZED DOSE ONLY
V33-OD-0245,Yeh 2011,Yeh_probable_family,YEH11_AES_vs_SHAM_MORPH24,True-acupoint AES,Electrical sham/nonacupoint AES,TEAS,Sham,Opioid consumption,24-h IV morphine PCA dose,First 24 postoperative hours,Outcome-specific analyzed population,30.0,30.0,19.3,9.7,21.6,13.1,,,mg IV morphine,Mean/SD,Table 3 / 24-h opiate dose,,TEAS EA Verification/Source PDFs/covidence_828_full_article.pdf,f0616419764d81993b6427b4cb4a46af14743f42a5262b8d8a1918d3de66e74a,"Highly similar to Yeh 2010 in population, acupoints, comparator and 24-h opioid values; do not count independently until cohort/publication linkage is adjudicated.",DUPLICATE HOLD,HOLD,Probable overlapping family; conflicting epidural/IV route for opioids. No independent duplicated cohort admitted.,,1,systemic opioid end surgery through24h,UNCLEAR / PCA OR NORMALIZED DOSE ONLY
V33-OD-0246,Yeh 2011,Yeh_probable_family,YEH11_AES_vs_CONTROL_MORPH24,True-acupoint AES,No-AES control,TEAS,CONTROL_TYPE_REVIEW_REQUIRED,Opioid consumption,24-h IV morphine PCA dose,First 24 postoperative hours,Outcome-specific analyzed population,30.0,30.0,19.3,9.7,28.0,12.1,,,mg IV morphine,Mean/SD,Table 3 / 24-h opiate dose,,TEAS EA Verification/Source PDFs/covidence_828_full_article.pdf,f0616419764d81993b6427b4cb4a46af14743f42a5262b8d8a1918d3de66e74a,Sequential allocation without sealed envelopes; probable overlapping publication family with Yeh 2010.,DUPLICATE HOLD,HOLD,Probable overlapping family; conflicting epidural/IV route for opioids. No independent duplicated cohort admitted.,,1,systemic opioid end surgery through24h,UNCLEAR / PCA OR NORMALIZED DOSE ONLY
