screening_sequence,covidence_number,title,first_author,publication_year,publication_language,abstract_available_yes_no,decision_yes_maybe_no,primary_reason_code,evidence_supporting_decision,concise_private_rationale,confidence_high_medium_low,protocol_or_results,actual_clinical_results_reported_yes_no_unclear,outcomes_planned_only_yes_no_not_applicable,general_anaesthesia_yes_no_unclear,randomized_yes_no_unclear,active_comparator_type,common_background_care_balanced_yes_no_unclear,ERAS_identical_between_groups_yes_no_not_applicable_unclear,intervention_effect_separable_yes_no_unclear,timing_eligible_yes_no_unclear,surrogate_only_yes_no_unclear,translation_required_yes_no,possible_companion_report_yes_no,vote_registered_yes_no,post_vote_timestamp,interface_issue,notes
37,246,Synergistic effects of electroacupuncture and bone marrow mesenchymal stem cell transplantation on rat intrauterine adhesion： an observation.,Wang,2023,Chinese,yes,No,EXCLUDE_ANIMAL,The experiment was conducted in female SD rats with an induced intrauterine-adhesion model.,Non-human study.,high,results,yes,not_applicable,unclear,unclear,animal control groups,yes,not_applicable,no,unclear,no,yes,no,yes,2026-07-23T13:40:18.197Z,,
38,248,Transcutaneous electrical acupoint stimulation improves pulmonary function by regulating oxidative stress during one-lung ventilation in patients with lung cancer undergoing thoracoscopic surgery: a randomized controlled trial.,Ju,2023,English,yes,Yes,INCLUDE_CLEAR,Thoracoscopic lung-surgery patients were assigned to TEAS at named acupoints or identical sham from before anaesthesia induction through surgery; clinical recovery outcomes were reported.,One-lung ventilation makes general anaesthesia highly evident and the randomized sham-controlled TEAS effect is separable.,high,results,yes,not_applicable,yes,yes,sham TEAS,yes,not_applicable,yes,yes,no,no,no,yes,2026-07-23T13:40:49.923Z,,ChiCTR2000038243
39,249,"Effect of transcutaneous electrical acupoint stimulation on remifentanil dosage during craniotomy aneurysm clipping: a prospective, randomized controlled study.",Wang,2023,English,yes,Yes,INCLUDE_CLEAR,Randomized craniotomy trial compares TEAS at LI4 PC6 and ST36 with sham from before anaesthesia induction through surgery and reports intraoperative opioid use.,Endotracheal intubation establishes general anaesthesia and the eligible TEAS effect is independently estimable.,high,results,yes,not_applicable,yes,yes,sham TEAS,yes,not_applicable,yes,yes,no,no,no,yes,2026-07-23T13:41:24.193Z,,ChiCTR2100052353
40,250,"Comparing prophylactic efficacy of different interventions on postoperative nausea and vomiting: Methodology is critical-Re: Zhang Y, et al. Transcutaneous electrical acupoint stimulation versus dexamethasone for prophylaxis of postoperative nausea and vo",Wang,2023,English,no,No,EXCLUDE_PUBLICATION_TYPE,The title is a methodological reply concerning another publication and no abstract or original results are present.,Letter or commentary without original participant results.,high,results,no,not_applicable,unclear,no,not applicable,unclear,not_applicable,unclear,unclear,unclear,no,no,yes,2026-07-23T13:41:55.948Z,,
41,252,Effects of perioperative electroacupuncture on postoperative gastrointestinal recovery after thoracoscopic lung surgery.,Yang,2023,English,yes,Yes,INCLUDE_CLEAR,Patients undergoing thoracoscopic lung resection were randomized to EA 24 hours preoperatively and at postoperative hours 4 and 24 or usual care with clinical recovery outcomes.,Eligible randomized perioperative EA with a separable usual-care contrast and highly evident general anaesthesia.,high,results,yes,not_applicable,yes,yes,usual care,yes,not_applicable,yes,yes,no,no,no,yes,2026-07-23T13:42:26.408Z,,
42,255,Meta-analysis of clinical efficacy of electroacupuncture versus conventional treatment for postoperative urinary retention in cervical cancer.,Tan,2023,English,yes,No,EXCLUDE_PUBLICATION_TYPE,The title and methods explicitly identify a meta-analysis of 21 prior randomized controlled trials.,Secondary evidence synthesis without original participant-level trial results.,high,results,no,not_applicable,unclear,no,not applicable,unclear,not_applicable,unclear,unclear,unclear,no,no,yes,2026-07-23T13:44:06.274Z,,
43,257,Electroacupuncture Pretreatment Attenuates Learning Memory Impairment Induced by Repeated Propofol Exposure and Modulates Hippocampal Synaptic Plasticity in Rats.,Fan,2023,English,yes,No,EXCLUDE_ANIMAL,The title and abstract explicitly describe randomized experiments in 10-day-old Sprague Dawley rats.,Animal laboratory study with no adult human surgical participants.,high,results,yes,not_applicable,no,yes,not applicable,yes,not_applicable,yes,yes,no,no,no,yes,2026-07-23T13:44:35.085Z,,
44,258,Suggested Electroacupuncture for Postoperative Nausea and Vomiting: A Comprehensive Meta-Analysis and Systematic Review of Randomized Controlled Trials.,Han,2023,English,yes,No,EXCLUDE_PUBLICATION_TYPE,The title and abstract explicitly identify a systematic review and meta-analysis of eight prior randomized controlled trials.,Secondary evidence synthesis without original participant-level trial results.,high,results,no,not_applicable,yes,no,not applicable,unclear,not_applicable,unclear,unclear,unclear,no,no,yes,2026-07-23T13:45:00.401Z,,
45,260,"Effect of transcutaneous electrical acupoint stimulation on postoperative cognitive function in older patients with lung cancer: A randomized, double-blind, placebo-controlled trial.",Guo,2023,English,yes,Yes,INCLUDE_CLEAR,Older thoracoscopic pulmonary-resection patients were randomized to TEAS at named acupoints or sham from before anaesthesia induction through surgery under an identical general-anaesthetic protocol.,Eligible randomized perioperative TEAS with a separable sham contrast and explicit general anaesthesia.,high,results,yes,not_applicable,yes,yes,sham TEAS,yes,not_applicable,yes,yes,no,no,no,yes,2026-07-23T13:45:24.523Z,,
46,261,[Retrospective cohort study on application of acupuncture-aided anesthesia technique to patients undergoing thoracoscopic lobectomy].,Feng,2023,Chinese,yes,No,EXCLUDE_NON_RANDOMIZED,The title and methods explicitly describe retrospective comparison of two historical treatment schemes from non-overlapping periods.,Retrospective cohort comparison rather than a randomized controlled trial.,high,results,yes,not_applicable,yes,no,historical active regimen,unclear,not_applicable,yes,yes,no,no,yes,yes,2026-07-23T13:45:52.712Z,,
47,263,Electrical Acupoint Stimulation with Low-Frequency Pulse in the Treatment of Urinary Incontinence after Prostatectomy.,Huang,2023,English,yes,No,EXCLUDE_NON_RANDOMIZED,Participants were divided according to the therapeutic regimen received; the abstract does not describe random allocation.,Non-randomized treatment-group comparison rather than a randomized controlled trial.,high,results,yes,not_applicable,unclear,no,pelvic floor muscle exercise,unclear,not_applicable,yes,unclear,no,no,no,yes,2026-07-23T13:47:37.705Z,,
48,266,Impact of Transcutaneous Electrical Acupoint Stimulation on Delayed Neurocognitive Recovery in Elderly Patients Following Bronchoscopy.,Wang,2023,English,yes,No,EXCLUDE_NON_SURGICAL,The randomized sham-controlled TEAS study involved diagnostic bronchoscopy rather than an operative surgical procedure.,Bronchoscopy alone does not meet the protocol requirement for operative surgery.,high,results,yes,not_applicable,unclear,yes,sham TEAS,yes,not_applicable,yes,yes,no,no,no,yes,2026-07-23T13:48:05.892Z,,
49,267,Transcutaneous electrical acupoint stimulation in adult patients receiving gastrectomy/colorectal resection: A randomized controlled trial.,Hou,2023,English,yes,Yes,INCLUDE_CLEAR,Adults undergoing major abdominal surgery were randomized among perioperative TEAS schedules and sham; eligible sessions began before anaesthesia induction and clinical recovery outcomes were reported.,Eligible randomized perioperative TEAS with a separable sham contrast; gastrectomy or colorectal resection makes general anaesthesia highly evident.,high,results,yes,not_applicable,yes,yes,sham TEAS,yes,not_applicable,yes,yes,no,no,no,yes,2026-07-23T13:48:43.796Z,,
50,268,Effects of electroacupuncture on pediatric chronic urinary retention: a case-series study.,Yang,2023,English,yes,No,EXCLUDE_PUBLICATION_TYPE,The title and methods explicitly identify a prospective case series of 14 pediatric participants without a concurrent control group.,Case series rather than an eligible randomized controlled trial results report.,high,results,yes,not_applicable,unclear,no,none,not_applicable,not_applicable,no,no,no,no,no,yes,2026-07-23T13:49:35.770Z,,
