LockID,Target,Study,Outcomeestimand,Correctpriority,P1disposition,Includestrict,Includesensitivity,Narrative,QAstatus
F-PCA-001,F-PCA,Chen 2020,PCIA total/effective attempts,,,0,1,0,PASS — result-specific mapping
F-PCA-002,F-PCA,He 2026 (hepatectomy/JIS),PCA attempts/effective deliveries,P1,RESOLVED_BY_PARTIAL_EXCLUSION,0,1,0,PASS — result-specific mapping
F-PCA-003,F-PCA,Ao 2021,PCA solution use/effective presses,,,0,1,0,PASS — result-specific mapping
F-PCA-004,F-PCA,Liu 2021,PCA compressions,,,0,1,0,PASS — result-specific mapping
F-PCA-005,F-PCA,Long 2025,PCIA compressions,,,0,1,0,PASS — result-specific mapping
F-PCA-006,F-PCA,Zheng 2025,Total/effective PCIA use,P1,RESOLVED_BY_EXCLUSION,0,0,1,PASS — result-specific mapping
F-PCA-007,F-PCA,Jin 2023,Analgesic pump compressions,,,0,1,0,PASS — result-specific mapping
F-PCA-008,F-PCA,Lee 2011,PCA demands,P2,,0,1,0,PASS — result-specific mapping
F-PCA-009,F-PCA,Lu 2022,PCA attempts/deliveries,P2,,0,1,0,PASS — result-specific mapping
F-PCA-010,F-PCA,Yeh 2010,PCA button pushes,P1,HARD_HOLD_DEPENDENCY,0,0,1,PASS — result-specific mapping
F-PCA-011,F-PCA,Lin 2002,PCA demands,,,0,1,0,PASS — result-specific mapping
F-PCA-012,F-PCA,Yeh 2011,PCA button pushes,P1,HARD_HOLD_DEPENDENCY,0,0,1,PASS — result-specific mapping
F-postop-dose-001,F-postop-dose,Seevaunnamtum 2016,Total morphine incl PCAM + IV rescue,,,1,0,0,PASS — result-specific mapping
F-postop-dose-002,F-postop-dose,Lee 2011,Delivered morphine,P2,,1,0,0,PASS — result-specific mapping
F-postop-dose-003,F-postop-dose,Yeh 2010,Delivered morphine,P1,HARD_HOLD_DEPENDENCY,0,0,1,PASS — result-specific mapping
F-postop-dose-004,F-postop-dose,Chen 1998,Hydromorphone PCA dose,,,0,1,0,PASS — result-specific mapping
F-postop-dose-005,F-postop-dose,Lin 2002,Morphine PCA dose,,,0,1,0,PASS — result-specific mapping
F-postop-dose-006,F-postop-dose,Coura 2011,Total fentanyl,,,0,1,0,PASS — result-specific mapping
F-postop-dose-007,F-postop-dose,El-Rakshy 2009,Morphine/total analgesia,P2,,0,1,0,PASS — result-specific mapping
F-postop-dose-008,F-postop-dose,Gu 2019,Mixed PCIA solution consumption,P1,RESOLVED_BY_TIMEPOINT_EXCLUSION,0,0,1,PASS — result-specific mapping
F-postop-dose-009,F-postop-dose,Huang 2024 TKA,Additional PCA dose released,P1,RESOLVED_BY_EXCLUSION,0,0,1,PASS — result-specific mapping
F-postop-dose-010,F-postop-dose,Yeh 2011,Delivered morphine,P1,HARD_HOLD_DEPENDENCY,0,0,1,PASS — result-specific mapping
